производстволарны	projzwodstwoɫɑrnˈɯ
тавышына	tɑwɯʃɯnˈɑ
тезелделәр	tezeldelˈær
Алданган	ɒɫdɒŋʁˈɑn
тимәсә	timæsˈæ
куйгандыр	qujʁɑndˈɯr
классны	qɫɒssnˈɯ
сизү	sizˈy
бомбаны	bombɑnˈɯ
Чыгымнарны	ɕɯʁɯmnɑrnˈɯ
Анастасий	ɒnɒstɑsˈij
гаскәрнең	ʁɒsqærnˈeŋ
Багдадта	bɒʁdɒdtˈɑ
җәяргә	ʑæjærɣˈæ
тандем	tɒndˈem
тапмадык	tɒpmɒdˈɯq
укучыларыннан	uquɕɯɫɑrɯnnˈɑn
Левада	lewɑdˈɑ
киңәшләштек	kiŋæʃlæʃtˈek
көтеп	kœtˈep
балет	bɒɫˈet
Айлык	ɒjɫˈɯq
чыгачаклар	ɕɯʁɑɕɑqɫˈɑr
киткәч	kitkˈæɕ
уздырырга	uzdɯrɯrʁˈɑ
тишек	tiʃˈek
Венгриядән	weŋɣrijædˈæn
мәхкәмәнең	mæxkæmænˈeŋ
дөрестән	dœrestˈæn
җиләк	ʑilˈæk
Делегатлар	deleʁɑtɫˈɑr
уңайлыгы	uŋɑjɫɯʁˈɯ
Хәбәрсез	xæbærsˈez
монысы	monɯsˈɯ
сирәкләр	siræklˈær
фирмалар	firmɑɫˈɑr
бюро	bjurˈo
Кайсыдыр	qɒjsɯdˈɯr
үстерүдәге	ysterydæɣˈe
абыстайның	ɒbɯstɑjnˈɯŋ
поселоклар	poseɫoqɫˈɑr
ителүе	itelyˈe
тирәнлек	tirænlˈek
кибетләренә	kibetlærenˈæ
ителгәннәрне	itelɣænnærnˈe
лигасында	liʁɑsɯndˈɑ
Шәймөхәммәтова	ʃæjmœxæmmætowˈɑ
түзеп	tyzˈep
регионнарның	reɣionnɑrnˈɯŋ
дискотекасында	disqoteqɑsɯndˈɑ
барган	bɒrʁˈɒn
Наталия	nɒtɒɫijˈæ
аңа	ɒŋˈɒ
эшкуарларының	eʃquɑrɫɑrɯnˈɯŋ
акаеп	ɒqɒˈep
бусагасын	busɑʁɑsˈɯn
Якшәмбедә	jækʃæmbedˈæ
рапс	rˈɒps
Метрәй	metrˈæj
велосипедлар	weɫosipedɫˈɑr
биеде	biedˈe
тукланган	tuqɫɑŋʁˈɑn
аналитика	ɒnɒɫitiqˈɑ
индексацияләнә	indeqsɑtsijælænˈæ
Техник	texnˈik
ишетәсем	iʃetæsˈem
чакырылышка	ɕɒqɯrɯɫɯʃqˈɑ
Имаева	imɑewˈɑ
очуы	oɕuˈɯ
шомарып	ʃomɑrˈɯp
сәгатьләре	sæʁɑtʔɫærˈe
штаблары	ʃtɒbɫɒrˈɯ
Зариф	zɒrˈif
күчәр	kyɕˈær
төрлелек	tœrlelˈek
Меркушкин	merquʃqˈin
татлырак	tɒtɫɯrˈɑq
яралардан	jɑrɑɫɑrdˈɑn
баннерлар	bɒnnerɫˈɑr
казану	qɒzɒnˈu
Утырып	utɯrˈɯp
кыерсытырга	qɯersɯtɯrʁˈɑ
китәселәре	kitæselærˈe
Партизан	pɒrtizˈɑn
тапшыручы	tɒpʃɯruɕˈɯ
шылт	ʃˈɯɫt
шундадыр	ʃundɑdˈɯr
фантазиясен	fɒntɒzijæsˈen
томлык	tomɫˈɯq
кафедралары	qɒfedrɑɫɑrˈɯ
Әхмәтгали	æxmætʁɑɫˈi
Исхакыйның	isxɑqɯjnˈɯŋ
диссертация	dissertɑtsijˈæ
йоктыручыларның	joqtɯruɕɯɫɑrnˈɯŋ
