ayam	ʔajɐm
diskuwalipikasyon	dɪskʊɐlɪpɪxɐʃon
tsempedak	t͡ʃempedɐk
habi	habɪ
apatnapu	ʔɐpɐtnɐpuʔ
hugis	huɰɪs
sagimuymoy	saɰimujmoj
biyopisika	bɪopisɪxa
pandemya	pɐndemjɐ
lula	lulɐʔ
dumaguing	dʊmaɰɪŋ
iwi	ʔiwɪ
bogota	boɰota
istatuwa	ʔɪstatwa
estratehiko	ʔestɾɐtehɪxo
manlililok	mɐnlɪlilok
tayo	tɐjoʔ
balaan	balɐɐn
laway	lawaɪ̯
silidlawas	sɪlɪdlawɐs
olalia	ʔolalɪɐ
hasain	hɐsaʔɪn
diyametro	d͡ʒametɾo
mesa	mesɐ
dilambuwaya	dilɐmbwajɐ
barbero	bɐɾbeɾo
tinapay	tɪnapaɪ̯
calis	kxalɪs
butaka	bʊtaxɐ
halasan	hɐlasɐn
donasyon	donɐʃon
palomares	pɐlomaɾes
hilatsa	hɪlɐt͡ʃa
ibasco	ʔɪbasko
sepulturero	sepʊltʊɾeɾo
chiyoko	t͡ʃɪoxo
binalalak	bɪnɐlalɐk
hatiin	hɐtiʔɪn
tubero	tʊbeɾo
alat	ʔalɐt
klinika	kxlinɪxɐ
itim	ʔɪtim
hagibis	hɐɰɪbis
diamante	dɪɐmante
bigat	bɪɡʔat
eksperimento	ʔekspeɾɪmento
sira	siɾɐʔ
imperial	ʔɪmpeɾjɐl
dagisik	dɐɰɪsik
dao	dɐʔo
salitre	sɐlitɾe
basar	bɐsaɾ
islogan	ʔɪsloɰɐn
kalookan	kxɐloʔoxɐn
diblinig	dɪblɪniɡ
lakit	laxɪt
bawian	bɐwiʔɐn
amapola	ʔɐmɐpolɐ
sipsip	sipsɪp
saging	saɰɪŋ
balingit	bɐliŋɪt
komedya	kxomed͡ʒɐ
antukin	ʔɐntuxɪn
duguan	dʊɰʊʔan
destabilisasyon	destɐbɪlɪsɐʃon
langlang	lɐŋlaŋ
kasambahay	kxɐsɐmbɐhaɪ̯
laban	labɐn
gitling	ɡɪtliŋ
embalsama	ʔembɐlsɐma
liha	lihɐ
isipin	ʔɪsipɪn
balewala	bɐlewɐlaʔ
saksi	sɐksi
lablab	lɐblab
kapagka	kxɐpɐɡkaʔ
bakol	baxol
papasyalan	papɐʃɐlan
inhenyero	ʔɪŋheɲeɾo
himatayin	hɪmɐtɐjin
binundok	bɪnʊndok
buwag	bwaɡ
bayabas	bɐjabɐs
awtor	ʔaʊ̯toɾ
bubuli	bʊbʊli
departamento	depɐɾtɐmento
salonga	sɐloŋɡɐ
bigotilyo	bɪɰotiljo
aywan	ʔaɪ̯wan
malinis	mɐlinɪs
gantihan	ɡɐntɪhan
aboy	ʔɐboɪ̯
instansiya	ʔɪnstanʃa
akumulasyon	ʔɐxʊmʊlɐʃon
adulto	ʔɐdulto
habambuhay	hɐbɐmbuhaɪ̯
adajar	ʔɐdɐhaɾ
yakap	jaxɐp
lirot	lɪɾot
minako	mɪnaxo
atip	ʔɐtip
harot	hɐɾot
idalum	ʔɪdalʊm
aktres	ʔɐktɾes
hayaan	hɐjaʔɐn
tunay	tunaɪ̯
kustodiya	kxʊstodiɐ
betis	betɪs
amerika	ʔɐmeɾɪxa
bulilyaso	bʊlɪljaso
bunto	bʊnto
alangan	ʔɐlɐŋan
bentilador	bentɪlɐdoɾ
balimbing	bɐlɪmbiŋ
industriyalismo	ʔɪndʊstɾɪɐlismo
hugas	huɰɐs
nakakaloko	nɐxɐkɐloxo
iwang	ʔiwɐŋ
insenso	ʔɪnsenso
halhal	hɐlhal
alas	ʔɐlas
bulilit	bʊlilɪt
liway	lɪwaɪ̯
tria	tɾɪɐ
iha	ʔihɐ
corrales	kxoɾɾales
'y	ɪ
lura	lʊɾaʔ
itsa	ʔɪt͡ʃa
latayan	lɐtajɐn
magsuntukan	mɐɡsʊntuxɐn
maulan	mɐʔʊlan
kanluran	kxɐnluɾɐn
coronel	kxoɾonel
aklat	ʔɐklat
sapodilya	sɐpodiljɐ
maanghang	mɐɐŋhaŋ
hikaw	hixaʊ̯
diyamante	dɪɐmante
makabuluhan	mɐxɐbʊlʊhan
kapiraso	kxɐpɪɾaso
pigsa	pɪɡsaʔ
tabla	tablɐ
inanak	ʔɪnɐnak
kabisado	kxɐbɪsado
puki	puxɪ
akyatin	ʔɐkjɐtin
asya	ʔaʃɐ
krusipiho	kxɾʊsɪpiho
buyaya	bʊjajɐʔ
katibayan	kxɐtɪbajɐn
mabagsik	mɐbɐɡsik
siga	sɪɰaʔ
hukom	hʊxom
luminaw	lʊminaʊ̯
kapisanan	kxɐpɪsanɐn
barnis	bɐɾnis
versoza	beɾsosɐ
labatiba	lɐbɐtibɐ
umutot	ʔʊmʊtot
katoliko	kxɐtolɪxo
batingawan	bɐtɪŋawɐn
lasgas	lɐsɡas
tansan	tansɐn
alaala	ʔɐlɐʔalɐ
maniquiz	mɐnixɪs
limsiha	lɪmsihɐʔ
galit	ɡalɪt
matibag	mɐtibɐɡ
dedikasyon	dedɪxɐʃon
duwende	dwende
hardinero	hɐɾdɪneɾo
kandidato	kxɐndɪdato
sugarol	sʊɰɐɾol
hinahagkan	hɪnahɐɡkan
hapis	hɐpis
liya	ljaʔ
dulugan	dʊlʊɰan
agham	ʔɐɡham
rombaoa	ɾumbawɐ
initan	ʔinitɐn
balabal	bɐlabɐl
bisiro	bɪsiɾo
ingklinasyon	ʔɪŋklɪnɐʃon
aawat	ʔɐʔawɐt
ikaw	ʔɪxaʊ̯
lubak	lʊbak
baino	bɐʔɪno
hati	hɐtiʔ
dalubhasa	dɐlʊbhasɐʔ
hiwis	hɪwis
datapuwa	dɐtɐpwaʔ
asendero	ʔɐsendeɾo
istorbo	ʔɪstoɾbo
naku	nɐxu
harap	hɐɾap
hibaybay	hɪbaɪ̯baɪ̯
iloilo	ʔɪloʔilo
bakli	bɐkliʔ
palamuti	pɐlɐmʊtiʔ
espiya	ʔespja
lulay	lulaɪ̯
bagok	bɐɰok
anga	ʔɐŋaʔ
saan	sɐʔan
buhol	bʊhol
agwaras	ʔɐɡwɐɾas
buhok	bʊhok
lamang	lamɐŋ
bisa	bisɐʔ
manilaw	mɐnilaʊ̯
lantad	lɐntad
konserbatismo	kxonseɾbɐtismo
lawi	lɐwi
lanting	lantɪŋ
bulastog	bʊlɐstoɡ
gapo	ɡɐpoʔ
lihis	lɪhis
analitika	ʔɐnɐlitɪxa
gaas	ɡɐʔas
calinawan	kxɐlɪnawɐn
makakaliwa	mɐxakɐlɪwaʔ
banban	bɐnban
apostasiya	ʔɐpostɐsiɐ
kabikulan	kxɐbɪxulɐn
balahibo	bɐlɐhibo
litas	litɐs
magbati	mɐɡbɐti
kambing	kxɐmbiŋ
dugtong	dʊɡtoŋ
tira	tɪɾa
ayuno	ʔɐjuno
manghusga	mɐŋhʊsɡa
inupas	ʔɪnupɐs
suntukan	sʊntuxɐn
mamulaklak	mɐmʊlɐklak
piga	pɪɰaʔ
montecalvo	montexalbo
junichi	d͡ʒʊnit͡ʃɪ
maglangib	mɐɡlɐŋib
labas	labɐs
burma	buɾmɐ
bandila	bɐndilɐʔ
pagi	paɰɪ
bingi	bɪŋi
lawing	lɐwiŋ
konsentrasyon	kxonsentɾɐʃon
dayang	dɐjaŋ
dayukyok	dɐjʊkdok
dignidad	dɪɡnɪdad
tamod	tɐmod
bulak	bʊlak
angat	ʔɐŋat
bilao	bɪlaʔo
itineraryo	ʔɪtɪneɾaɾjo
dikta	dɪkta
pareño	pɐɾeɲo
lawak	lawɐk
parayno	pɐɾaɪ̯no
altar	ʔɐltaɾ
mabato	mabɐto
haba	hɐbaʔ
baba	babɐʔ
limatik	lɪmatɪk
lohikal	lohɪxal
badminton	bɐdmɪnton
taning	tanɪŋ
sultan	sultɐn
abuluyan	ʔabʊlʊjan
maliban	mɐlibɐn
luad	lʊʔad
bodabil	bodɐbil
antraks	ʔantɾɐks
anislag	ʔɐnislɐɡ
ganiri	ɡɐnɪɾi
anghel	ʔɐŋhel
duyan	dujɐn
adikto	ʔɐdikto
ebanghelyo	ʔebɐŋheljo
luko	luxo
dalanghita	dɐlɐŋhitɐ
kalbaryo	kxɐlbaɾjo
aguirre	ʔɐɰiɾe
hambing	hɐmbiŋ
apo	ʔɐpo
hithit	hɪthit
amerikano	ʔɐmeɾɪxano
anonang	ʔɐnonɐŋ
lambal	lɐmbal
kalawangin	kxɐlɐwaŋɪn
huramentado	hʊɾɐmentado
mancao	maŋkaʊ̯
masukal	mɐsuxɐl
linggo	lɪŋɡo
bulahaw	bʊlɐhaʊ̯
lakatan	lɐxɐtan
baang	bɐʔaŋ
kaligkig	kxɐlɪɡkiɡ
