เกลือก	klɯa̯k̚˨˩
ย	jɔː˧
จุมพต	t͡ɕum˧.pʰot̚˦˥
ระบบนิเวศ	ra˦˥.bop̚˨˩.ni˦˥.weːt̚˥˩
ดินดอนสามเหลี่ยม	din˧.dɔːn˧.saːm˩˩˦.lia̯m˨˩
สุกร	su˨˩.kɔːn˧,su˧.kɔːn˧
แม่พิมพ์	mɛː˥˩.pʰim˧
ศุภมัสดุ	sup̚˨˩.pʰa˦˥.mat̚˦˥.sa˨˩.duʔ˨˩
ชักแม่น้ำทั้งห้า	t͡ɕʰak̚˦˥.mɛː˥˩.naːm˦˥.tʰaŋ˦˥.haː˥˩
สนับ	sa˨˩.nap̚˨˩
การแตกหน่อ	kaːn˧.tɛːk̚˨˩.nɔː˨˩
เจียว	t͡ɕia̯w˧
ทิเบต	tʰi˦˥.beːt̚˨˩
ห้าสิบ	haː˥˩.sip̚˨˩
นกแก้วนกขุนทอง	nok̚˦˥.kɛːw˥˩.nok̚˦˥.kʰun˩˩˦.tʰɔːŋ˧
เวช	weːt̚˥˩
สลอด	sa˨˩.lɔːt̚˨˩
น้ำยาบ้วนปาก	nam˦˥.jaː˧.bua̯n˥˩.paːk̚˨˩
น่าขายหน้า	naː˥˩.kʰaːj˩˩˦.naː˥˩
ว่างงาน	waːŋ˥˩.ŋaːn˧
ดักดาน	dak̚˨˩.daːn˧
จดจ่อ	t͡ɕot̚˨˩.t͡ɕɔː˨˩
พบกัน	pʰop̚˦˥.kan˧
หินทราย	hin˩˩˦.saːj˧
เตะ	teʔ˨˩
ค้างคาว	kʰaːŋ˦˥.kʰaːw˧
โศก	soːk̚˨˩.ka˨˩.,soː˩˩˦.ka˨˩.,soːk̚˨˩
ประวัติศาสตร์	pra˨˩.wat̚˨˩.saːt̚˨˩,pra˨˩.wat̚˨˩.ti˨˩.saːt̚˨˩
เคาน์เตอร์	kʰaw˧.tɤː˥˩,kʰaw˦˥.tɤː˥˩
โนเนม	noː˧.neːm˧
ถูก	tʰuːk̚˨˩
ผัดไท	pʰat̚˨˩.tʰaj˧
แค่	kʰɛː˥˩
โฆษก	kʰoː˧.sok̚˨˩
โฮจิมินห์	hoː˧.t͡ɕi˨˩.min˧
น้ำปลา	nam˦˥.plaː˧
ชิม	t͡ɕʰim˧
ติง	tiŋ˧
วิกรม	wi˦˥.krom˧
รวม	rua̯m˧
เบราว์เซอร์	braw˧.sɤː˥˩
ต.ค.	tɔː˧.kʰɔː˧
