pozitif	pozitˈɪf
bizlere	bɪzleɾˈɛ
Sonuçları	sonʊt͡ʃɫaɾˈɯ
bütünü	bytynˈø
arenasında	aɾenasɯndˈa
Halid	halˈɪd
Konuşmayı	konˈʊʃmajɯ
Faiz	fˈaɪz
Kozluca	kɔzɫud͡ʒˈa
Balkanları	baɫkanɫaɾˈɯ
müziğini	myzijinˈɪ
antrenmanlarına	antrænmanɫaɾɯnˈa
Geiger	ɟeiɟˈɛr
döndürüldü	dœndyɾøldˈø
konulup	konuɫˈʊp
Sinemanın	sinˈemanɯn
haberlerini	habɛrleɾinˈɪ
membranın	mˈæmbranɯn
iktisadî	ɪktisadˈɯ
gereksinimlere	ɟeɾɛksinɪmleɾˈɛ
TFF	tˌɛfˌɛfˈɛ
tesirli	tesɪrlˈɪ
kasetini	kasetinˈɪ
izafi	izafˈɪ
kiralanan	kiɾaɫanˈan
gayretiyle	ɡajretˈɪjlɛ
eksikliğinde	ɛksɪklijɪndˈɛ
Portekizlilerin	pɔrtekɪzlileɾˈɪn
ölçen	œlt͡ʃˈæn
planıyla	pɫanˈɯjɫa
azaldığından	azaɫdɯɯɯndˈan
etkileyeceğini	ɛtkilejed͡ʒejinˈɪ
Mitolojisi	mitoɫoʒisˈɪ
milis	milˈɪs
öldürülmesini	œldyɾølmesinˈɪ
Saf	sˈaf
Institute	ɯnstitutˈɛ
almıyordu	aɫmˈɯjɔrdʊ
durulması	duɾʊɫmasˈɯ
limitli	limɪtlˈɪ
alıcıların	aɫɯd͡ʒɯɫaɾˈɯn
yapmalarını	japmaɫaɾɯnˈɯ
Konyaspor	kɔnjaspˈɔr
pedagog	pedaɡˈɔɡ
Histoire	hɪstoiɾˈɛ
Seher	sehˈɛr
Canterbury	d͡ʒantɛrbˈʊrj
Olayla	ˈoɫajɫa
romanlarının	romanɫaɾɯnˈɯn
Liberation	libeɾatiˈɔn
Kışlası	kɯʃɫasˈɯ
Hekim	hˈekɪm
ısınması	ɯsɯnmasˈɯ
Sahneye	sahnejˈɛ
durumlara	duɾʊmɫaɾˈa
derlemede	dɛrlˈemedɛ
Nakşibendi	nakʃibændˈɪ
Cullen	d͡ʒʊɫlˈæn
elmanın	ˈælmanɯn
yıkarak	jɯkaɾˈak
yazdıkları	jazdɯkɫaɾˈɯ
Seçimlerinde	set͡ʃɪmleɾɪndˈɛ
notlarından	nɔtɫaɾɯndˈan
Aralıkta	aɾaɫɯktˈa
meme	mˈemɛ
mamur	mamˈʊr
kalesine	kalesinˈɛ
forma	fˈɔrma
Sis	sˈɪs
rolüdür	rolˈydør
Denize	dˈenizɛ
kellesini	kællesinˈɪ
göründüğünü	ɟœɾøndyːnˈø
Zerrin	zɛrrˈɪn
kanunla	kanˈʊnɫa
sınırdışı	sɯnɯrdɯʃˈɯ
Priest	priˈɛst
ortamında	ɔrtamɯndˈa
liglerinin	lɪɟleɾinˈɪn
şiddete	ʃidːetˈɛ
No	nˈɔ
Heinkel	heɪnkˈæl
Münevver	mynɛvvˈɛr
ritim	rˈitɪm
astronotlar	astronɔtɫˈar
Wrestlemania	wrɛstlemaniˈa
Evine	evinˈɛ
geçememiştir	ɟet͡ʃememˈɪʃtɪr
kütüphaneler	kytøphanelˈɛr
Ferhad	fɛrhˈad
Yorklular	jɔrkɫuɫˈar
evlendiğinde	ɛvlændijɪndˈɛ
üslerinden	øsleɾɪndˈæn
istemişlerdi	ɪstemɪʃlɛrdˈɪ
Çabuk	t͡ʃabˈʊk
Sola	sˈoɫa
seksen	sˈɛksæn
homojenlik	homoʒænlˈɪk
tabakaların	tabakaɫaɾˈɯn
ölümcül	œlømd͡ʒˈøl
araştırmalarına	aɾaʃtɯrmaɫaɾɯnˈa
lityum	lˈɪtjʊm
uygarlıklar	ʊjɡarɫɯkɫˈar
Ermeniler	ɛrmenilˈɛr
ağırdı	aːɯrdˈɯ
Mormont	mɔrmˈɔnt
Halet	halˈɛt
vereceğini	veɾed͡ʒejinˈɪ
hafızasına	hafɯzasɯnˈa
sanılmıştır	sanɯɫmˈɯʃtɯr
Ofset	ɔfsˈɛt
operasyona	opeɾasjonˈa
uyarlayıp	ujarɫajˈɯp
başlarında	baʃɫaɾɯndˈa
Fender	fændˈɛr
Swiss	swˈɪss
sikkelerde	sikːelɛrdˈɛ
Jerry	ʒˈɛrrj
uğramaktadır	uːɾamaktˈadɯr
Kâbus	kabˈʊs
periyotları	peɾijɔtɫaɾˈɯ
binen	binˈæn
halk	hˈaɫk
Etkileyici	ɛtkilejid͡ʒˈɪ
ürünlerine	yɾønleɾinˈɛ
Syrah	sjrˈah
özünde	œzøndˈɛ
Ekimde	ˈekɪmdɛ
Abdülmecid	abdølmed͡ʒˈɪd
önerildiği	œneɾɪldijˈɪ
akışkanın	akɯʃkanˈɯn
Wacken	wˈad͡ʒcæn
Yemeği	jemejˈɪ
pantomim	pantˈomɪm
yoğunlaştırdı	joːʊnɫˈaʃtɯrdɯ
yayalar	jajaɫˈar
beraberliği	beɾabɛrlijˈɪ
amnezi	amnezˈɪ
markayı	markajˈɯ
çeşididir	t͡ʃeʃidˈidɪr
gerçekleşemedi	ɟɛrt͡ʃɛkleʃˈemedɪ
azımsanamayacak	azɯmsanˈamajad͡ʒak
görevleri	ɟœɾɛvleɾˈɪ
levazım	levˈazɯm
şarkısıdır	ʃarkɯsˈɯdɯr
zamanda	zamandˈa
sağlama	sˈaːɫama
müsabakaları	mysabakaɫaɾˈɯ
yorumcusu	joɾʊmd͡ʒusˈʊ
eserlerdeki	esɛrlɛrdekˈɪ
meyillidirler	mejɪllˈidɪrlɛr
Şişman	ʃɪʃmˈan
menfaati	mænfaatˈɪ
Mezarı	mezaɾˈɯ
ölçümünde	œlt͡ʃymøndˈɛ
dosyanın	dɔsjanˈɯn
alaycı	aɫajd͡ʒˈɯ
ünlülerinden	ønlyleɾɪndˈæn
Med	mˈɛd
tektoniği	tɛktonijˈɪ
ölçeği	œlt͡ʃejˈɪ
Patinaj	patinˈaʒ
profesyonelliğe	profɛsjonællijˈɛ
ölümlü	ˈœlømlø
Gazneliler	ɡaznelilˈɛr
bilmediğini	bɪlmedijinˈɪ
Marş	mˈarʃ
Nihayet	nihajˈɛt
Felix	felˈɪks
önerir	œneɾˈɪr
hormonları	hɔrmɔnɫaɾˈɯ
zorluğun	zɔrɫˈʊːn
betimlenir	betɪmlenˈɪr
Meat	meˈat
bayan	bajˈan
Dağlı	daːɫˈɯ
Teleferik	telefeɾˈɪk
ölmediği	œlmedijˈɪ
imzaya	ɪmzajˈa
verimlilik	veɾɪmlilˈɪk
Frozen	frozˈæn
arkadaşlıklar	arkadaʃɫɯkɫˈar
verilmekte	veɾɪlmɛktˈɛ
kendinizi	kændinizˈɪ
bozar	bozˈar
yetkilisi	jɛtkilisˈɪ
dişler	dɪʃlˈɛr
operatif	opeɾatˈɪf
zanaatkarlar	zanaatkarɫˈar
sözcülüğü	sœzd͡ʒylˈøː
olgular	ɔɫɡuɫˈar
Şehirden	ʃehɪrdˈæn
text	tˈɛkst
bulunmasından	buɫʊnmasɯndˈan
kitleri	kɪtleɾˈɪ
A	ˈa
Cinayeti	d͡ʒinajetˈɪ
toplayarak	tɔpɫajaɾˈak
Depremin	dɛpremˈɪn
deneyiminden	denejimɪndˈæn
TB	tˌɛbˈɛ
gelişinden	ɟeliʃɪndˈæn
mika	mikˈa
tamamlanamadı	tamamɫanˈamadɯ
marker	markˈɛr
Sekreterlik	sɛkretɛrlˈɪk
çağrısıyla	t͡ʃaːɾɯsˈɯjɫa
komutanlardan	komutanɫardˈan
tarar	taɾˈar
öneriyordu	œneɾˈijɔrdʊ
kaplanması	kapɫanmasˈɯ
metalden	metaɫdˈæn
Aygün	ajɡˈøn
boyadığı	bojadɯɯˈɯ
potasına	potasɯnˈa
enerjiyle	enɛrʒˈɪjlɛ
Athletic	athletˈɪd͡ʒ
konağında	konaːɯndˈa
kontu	kɔntˈʊ
Pisagor	pisaɡˈɔr
gösteride	ɟœsteɾidˈɛ
organını	ɔrɡanɯnˈɯ
Hacı	had͡ʒˈɯ
anlatmak	anɫatmˈak
hatırasına	hatɯɾasɯnˈa
çekince	t͡ʃekˈɪnd͡ʒɛ
