سىستېمىسى	sˌɪstemˈɪsɪ
سېتىۋېلىش	sˌetɪwˈelɪʃ
ئوتتۇرىسىدىكى	ˌottuɾˌɪsɪdˈɪkɪ
تارىخچى	tɑɾˈɪχt͡ʃɪ
كېسەللىك	kesˈællɪk
ئىككى	ˈɪkkɪ
كۆرەتتى	kœɾˈættɪ
ھايۋانلارنى	hˌɑjwɑnlˈɑrnɪ
نى	nˈɪ
مۈلۈك	mˈylyk
تىلىنى	tɪlˈɪnɪ
جايلاخكان	d͡ʒɑjlˈɑχkɑn
بىلگەن	bˈɪlɡæn
سىياسەت	sɪjˈɑsæt
پاتقاق	pˈɑtqɑq
ۋەزىپىگە	wˌæzɪpˈɪɡæ
سەھنە	sˈæhnæ
مەقسەت	mˈæqsæt
تۇغقانلىرى	tˌuʁqɑnlˈɪɾɪ
كاتتا	kˈɑttɑ
خاراكتېر	χɑɾˈɑkter
ھەقسىز	hˈæqsɪz
ئىنجىل	ˈɪnd͡ʒɪl
سۈرگۈن	sˈyrɡyn
قايتىدىن	qɑjtˈɪdɪn
ئىسمائىل	ɪsmˈɑɪl
كېتىشى	ketˈɪʃɪ
پەقەتلا	pæqˈætlɑ
شەرتى	ʃˈærtɪ
دەسلەپ	dˈæslæp
جۇمھۇرىيىتىنىڭ	d͡ʒˌumhuɾˌɪjɪtˈɪnɪŋ
مۇناسىۋەتلىك	mˌunɑsɪwˈætlɪk
بولدى	bˈoldɪ
ياغاچتىن	jɑʁˈɑt͡ʃtɪn
يېيىش	jˈejɪʃ
ئىپادىلەيدىغان	ˌɪpɑdˌɪlæjdˈɪʁɑn
مەھكىمىسى	mˌæhkɪmˈɪsɪ
داۋامىدا	dˌɑwɑmˈɪdɑ
ئۇنىۋېرسىتېتىدا	ˌunɪwˌersɪtetˈɪdɑ
ئېيتقاندا	ejtqˈɑndɑ
تاشكەنت	tˈɑʃkænt
خەلقلەرنىڭ	χælqlˈærnɪŋ
زىيالىلار	zˌɪjɑlˈɪlɑr
تىنچلىق	tˈɪnt͡ʃlɪq
مىنىڭ	mˈɪnɪŋ
قۇرۇشقا	quɾˈuʃqɑ
مايدانى	mɑjdˈɑnɪ
تەڭگە	tˈæŋɡæ
قىلىندۇ	qɪlˈɪndu
شى	ʃˈɪ
ئوخشىمايدۇ	ˌoχʃɪmˈɑjdu
ئېتىپ	ˈetɪp
بايرىقى	bɑjrˈɪqɪ
خانىم	χˈɑnɪm
يوقىتىش	joqˈɪtɪʃ
ئۇلار	ˈulɑr
قاتناشقان	qɑtnˈɑʃqɑn
ئۇنىۋېرستېتى	ˌunɪwerstˈetɪ
قارىغان	qɑɾˈɪʁɑn
ھېكىم	hˈekɪm
تەلىم	tˈælɪm
ئۇندىن	ˈundɪn
شىمالىدىكى	ʃˌɪmɑlɪdˈɪkɪ
نەقەدەر	næqˈædær
بەگ	bˈæɡ
يېزىلغان	jezˈɪlʁɑn
تونۇرغا	tonˈurʁɑ
ئاسمان	ˈɑsmɑn
سىياسىي	sɪjˈɑsɪj
ئارزۇسىنى	ˌɑrzusˈɪnɪ
ھەققى	hˈæqqɪ
كەلتۈرۈلگەن	kˌæltyɾˈylɡæn
ئۇيغۇرنىڭ	ujʁˈurnɪŋ
دائىم	dˈɑɪm
ھاياتىدا	hˌɑjɑtˈɪdɑ
ئېگىزلىكى	ˌeɡɪzlˈɪkɪ
ئوت	ˈot
ۋاقىتتىن	wɑqˈɪttɪn
ئىنكار	ˈɪnkɑr
يېڭىسار	jeŋˈɪsɑr
بەلگىلەيدۇ	bˌælɡɪlˈæjdu
دۇنيانى	dunjˈɑnɪ
روزى	rˈozɪ
بۇنىڭدىن	bunˈɪŋdɪn
كېتىش	kˈetɪʃ
بولغاندا	bolʁˈɑndɑ
ئاۋال	ˈɑwɑl
ساغلام	sˈɑʁlɑm
تەشكىلاتىنىڭ	tˌæʃkɪlɑtˈɪnɪŋ
خۇسۇسى	χusˈusɪ
كەشىپ	kˈæʃɪp
ۋاقتىنى	wɑqtˈɪnɪ
ئاتالغان	ɑtˈɑlʁɑn
مۇشۇنداق	muʃˈundɑq
تۇرىدۇ	tuɾˈɪdu
تەمىنلەيدىغان	tˌæmɪnlæjdˈɪʁɑn
قاراپ	qˈɑɾɑp
تە	tˈæ
يەردىكى	jærdˈɪkɪ
رازى	rˈɑzɪ
دۆلەت	dˈœlæt
ئۆمەر	ˈœmær
قارلىق	qˈɑrlɪq
ئۆزگىرىپ	œzɡˈɪɾɪp
بۇلارغا	bulˈɑrʁɑ
ئۆستەڭ	ˈœstæŋ
كوممۇنىستىك	kˌommunˈɪstɪk
ياراتتى	jɑɾˈɑttɪ
تۇرىمەن	tuɾˈɪmæn
سوغۇق	sˈoʁuq
كىتابلارنى	kˌɪtɑblˈɑrnɪ
خارابىسى	χˌɑɾɑbˈɪsɪ
كىم	kˈɪm
بولدۇق	bˈolduq
تۆرت	tˈœrt
ئەسىر	ˈæsɪr
ئاساسىي	ɑsˈɑsɪj
