теорією	teɔrʲijejʊ
слівцями	sʲlʲiu̯t͡sʲɐme
хмара	xmɑrɐ
між	mʲiʒ
промежина	prɔmɛʒenɐ
запитувати	zɐpɪtʊʋɐte
зал	zɑɫ
колір	kɔlʲir
українська	ʊkrɐjinʲsʲkɐ
ледащо	ɫedɑʃt͡ʃɔ
трьохсот	tʲrʲɔxsɔt
ящірка	jɑʃt͡ʃʲirkɐ
правопорушник	prɐwɔporuʃnek
чотирьохсот	t͡ʃɔterʲɔxsɔt
завжди	zɑu̯ʒde
стрибати	strebɑte
діафрагмах	dʲiɐfrɑɦmɐx
французький	frɐnt͡suzʲkei̯
об'єкт	ɔbjɛkt
палац	pɐɫɑt͡s
слівця	sʲlʲiu̯t͡sʲɐ
савченко	sɑu̯t͡ʃenkɔ
вираховувати	ʋerɐxɔwʊʋɐte
віє	ʋʲije
сильний	sɪlʲnei̯
спідниць	sʲpʲidnɪt͡sʲ
причинність	pret͡ʃɪnʲːisʲtʲ
лекцій	ɫɛkt͡sʲii̯
глибокий	ɦɫebɔkei̯
канадець	kɐnɑdet͡sʲ
лиходійка	ɫexodʲii̯kɐ
гармата	ɦɐrmɑtɐ
нести	nestɪ
одно	ɔdnɔ
вимирати	ʋemerɑte
уміти	ʊmʲite
стрункий	strʊnkɪi̯
озимі	ɔzɪmʲi
коханець	kɔxɑnet͡sʲ
ув'язнити	ʊʋjɐznɪte
артерії	ɐrtɛrʲiji
романтизм	rɔmɐntɪzm
надії	nɐdʲiji
задоволень	zɐdɔwɔɫenʲ
стрічки	stʲrʲit͡ʃkɪ
скорпіон	skɔrpʲiɔn
знедолити	znedɔɫete
причинний	pret͡ʃɪnːei̯
епістемологія	epʲistemɔɫɔɦʲijɐ
загальновідомий	zɐɦɐlʲnɔʋʲidɔmei̯
трубкозуб	trʊbkozub
каліграфія	kɐlʲiɦrɑfʲijɐ
безграмотність	bezɦrɑmɔtʲnʲisʲtʲ
заґреб	zɑɡreb
білок	bʲiɫɔk
