خطابت	xətˈaːbət
ریڑھیاں	rˈeːr.hjãː
ہواکہ	haʋˈaːkˌa
جھانکنے	ɟʰˈaːnəkneː
اورترقی	ˈoːrətˌərqˌiː
پینگیں	pˈeːnɡˌẽː
ٹیشن	ʈˈeːʃən
غاروں	ɣˈaːrõː
ایکسپیریا	ˌeːkəspˈiːrjaː
اورتعلیم	ˌoːrtˈaːlim
پڑھانا	pər.hˈaːnaː
پیرکی	pˈeːrkˌiː
نائیجیریا	nˌaːiɟˈiːrjaː
نورپور	nˌoːrpˈoːr
گودے	ɡˈoːdeː
ہردلعزیز	hˌərdəlˈaːziz
کنیت	kˌʊniˈat
گجومتہ	ɡəɟˈoːmtˌa
سیٹس	sˈeːʈs
میٹل	mˈeːʈəl
گلوب	ɡəlˈoːb
کاتصور	kˌaːtʂˈoːr
حضرات	hˌəzərˈaːt
ڈوئل	ɖoːˈɪl
کتری	kˈʌtrˌiː
سٹری	sˈʌʈrˌiː
ڈاکٹرذوالفقار	ɖaːkʈˈarzʋaːlˌəfqˌaːr
دخل	dˈʌxəl
پرگورنر	pˌərɡˈoːrənˌər
بڑائی	bər.ˈaːi
بیرسٹرسلطان	bˌeːrəsʈˌərəsˌəltˈaːn
پھیلارہے	pʰeːlˈaːrhˌeː
جیبیں	ɟˈeːbẽː
بنایاجارہاہے	bˌənaːjˌaːɟaːrhˈaːheː
سٹینڈرڈ	sʈˈeːnɖərɖ
پوچھیں	pˈuːcʰẽː
کینیڈا	keːnˈiːɖaː
کوالیفائی	kˌʊaːlifˈaːi
سرحدکی	sarhˈadki
بائی	bˈaːi
الحرمین	alhˈarmɛːn
لکڑو	lˈʌkr.ˌoː
انگوٹھے	ˌanɡˈoːʈʰeː
آمنے	ˈaːmnˌeː
سفیرڈیوڈہیل	səfˈiːrɖeːˌoːɖhˌiːl
روکتے	rˈoːktˌeː
قدروں	qˈʌdrˌõː
گریجویشن	ɡərˈiːɟʋeːʃˌan
نائن	nˈa͡ɪn
وصولی	ʋʊʂˈuːl
نبھاتے	nɪbʰˈaːteː
جھلک	ɟʰˈʌlək
ض	zʊˈaːd
ستارے	sɪtˈaːreː
ایجبسٹن	ˌeːɟəbˈʌsʈən
وتجارتی	ʋˌətɟˈaːrtˌiː
کاروائی	kˈaːrʋaːˌiː
قوموں	qˈoːmõː
مومنین	mˌoːmɪnˈiːn
شیلٹرز	ʃˌeːləʈˈʌrz
چکنائی	cɪknˈaːi
سائٹس	sˈa͡ɪʈs
ریسپی	rˈeːspˌiː
بادل	baːdˈal
بھوننے	bʰaʋˈanneː
تعمیل	tˈaːmil
ریسٹورنٹ	rˈeːsʈoːrˌənʈ
دیتیں	dˈeːtẽː
شہیدی	ʃəhˈiːdi
پرنسپل	pərˈʌnsəpˌəl
وزیراعطم	ʋˌəzirˈaːɪtˌəm
بندوقیں	bəndˈuːqẽː
ہوائیاں	haʋˈaːjãː
ممبرممالک	mˌəmbərˌəmmˈaːlɪk
