hokimiyatiga	hˌɑkymˌyjætˈyɡæ
tugatgan	tʊɡˈætɡæn
undan	ˈʊndæn
berildi	beɾˈyɫdy
asbob	ˈæsbɑb
elementi	ˌelemˈenty
qadriyatlarni	qˌædɾyjætlˈæɾny
kasallikning	kˌæsæɫɫˈyknyŋ
Shri	ʃɾˈy
musson	mˈʊssɑn
tizmasining	tˌyzmæsˈynyŋ
belgilar	beɫɡˈylæɾ
Jome	d͡ʒˈɑme
organizmidagi	ˌɑɾɡænˌyzmydˈæɡy
tayyorlashda	tˌæjjɑɾlˈæʃdæ
sugʻorilgan	sˌʊʁɑɾˈyɫɡæn
sohalarga	sˌɑhælˈæɾɡæ
Haydar	hˈæjdæɾ
boshqarishga	bˌɑʃqæɾˈyʃɡæ
niobiy	nyˈɑbyj
yaroqli	jæɾˈɑqɫy
kimyo	kˈymjɑ
Ford	fˌɑɾd
ovlanadi	ˌɑʋlænˈædy
filmning	fˌyɫmnyŋ
Sharqning	ʃˈæɾqnyŋ
Badaxshon	bædˈæχʃɑn
matbuot	mætbˈʊɑt
tukli	tˈʊkɫy
mirzo	mˈyɾzɑ
Jamshid	d͡ʒˈæmʃyd
Eynshteyn	ˈejnʃtejn
madad	mˈædæd
kamerasida	kˌæmeɾæsˈydæ
yerlarda	jeɾlˈæɾdæ
boʻlsin	bˈoɫsyn
zanjiri	zænd͡ʒˈyɾy
yasalgan	jæsˈæɫɡæn
Birinchi	byɾˈynt͡Sy
Barglari	bæɾɡlˈæɾy
aloqani	ˌæɫɑqˈæny
Arab	ˈæɾæb
olishgan	ɑɫˈyʃɡæn
organizmida	ˌɑɾɡænyzmˈydæ
shoyi	ʃˈɑjy
tadqiqotchilar	tˌædqyqɑtt͡Sˈylæɾ
oshiruvchi	ˌɑʃyɾˈʊʋt͡Sy
Iskandar	yskˈændæɾ
maktabga	mæktˈæbɡæ
ayni	ˈæjny
mashgʻulot	mæʃʁˈʊɫɑt
vositalarining	ʋˌɑsytˌælæɾˈynyŋ
Tasviriy	tæsʋˈyɾyj
XIV	χˈyʋ
yantoq	jˈæntɑq
Oʻt	ˈot
usullarni	ˌʊsʊɫlˈæɾny
ijtimoiy	ˌyd͡ʒtymˈɑyj
orkali	ɑɾkˈæɫy
xorijiy	χɑɾˈyd͡ʒyj
shimolidan	ʃˌymɑɫˈydæn
bildiruvchi	bˌyɫdyɾˈʊʋt͡Sy
kishilarda	kˌyʃylˈæɾdæ
Malakka	mælˈækkæ
gʻarbga	ʁˈæɾbɡæ
boʻlinadi	bˌoɫynˈædy
Badiiy	bædˈyyj
joylarga	d͡ʒɑjlˈæɾɡæ
qoʻmitasi	qˌomytˈæsy
Bokuda	bɑkˈʊdæ
belgilanishi	bˌeɫɡylænˈyʃy
reaksiyalar	ɾˌeæksyjˈælæɾ
tasvirlarni	tˌæsʋyɾlˈæɾny
qullar	qˈʊɫlæɾ
joʻnatgan	d͡ʒonˈætɡæn
oʻtkazuvchi	ˌotkæzˈʊʋt͡Sy
zali	zˈæɫy
Uy	ˈʊj
Olmaliq	ɑɫmˈæɫyq
egallaydi	ˌeɡæɫlˈæjdy
hujumlar	hʊd͡ʒˈʊmlæɾ
qipchoq	qˈypt͡Sɑq
Toyota	tɑjˈɑtæ
burmalanish	bˌʊɾmælˈænyʃ
Pnevmatik	pneʋmˈætyk
suzib	sˈʊzyb
bahsli	bˈæhsɫy
yashovchilar	jˌæʃɑʋt͡Sˈylæɾ
publitsistik	pˌʊbɫytsˈystyk
podshoh	pˈɑdʃɑh
Togʻ	tˈɑʁ
Temur	tˈemʊɾ
baynalmilal	bˌæjnæɫmˈylæɫ
yoʻqoladi	jˌoqɑlˈædy
yongʻin	jˈɑŋʔyn
podsholik	pɑdʃˈɑɫyk
tizimga	tyzˈymɡæ
oʻq	ˈoq
dramaturgiyasining	dɾˌæmætˌʊɾɡyjæsˈynyŋ
binobarin	bˌynɑbˈæɾyn
chinakam	t͡Synˈækæm
oʻzgarishlar	ˌozɡæɾˈyʃlæɾ
tagida	tæɡˌydæ
siklida	sykɫˈydæ
marmar	mˈæɾmæɾ
Ideal	ydˈeæɫ
xira	χˈyɾæ
devori	deʋˈɑɾy
