bắt ấn	băk˦˥ɤ̆ŋ˩˧
ống bơm	oŋ͡m˩˧bɤm˧˥
dẫn đường	jɤ̆ŋ˧˩˨dɯəŋ˦˨
của riêng	kuə˧˩˨ʐiəŋ˧˥
tiên hoa	tiəŋ˧˥hwa˧˥
kín miệng	kin˩˧miəŋ˨ˀ˩ʔ
hải li	haj˧˩˨li˧˥
bật lửa	bɤ̆k˨ˀ˩ʔlɯə˧˩˨
ngạc nhiên	ŋak˨ˀ˩ʔɲiəŋ˧˥
sảy	ʂăj˧˩˨
phong tao	fɔŋ͡m˧˥taw˧˥
ốc lồi	ok͡p˦˥loj˦˨
phản bội	faŋ˧˩˨boj˨ˀ˩ʔ
xanh lơ	san˧˥lɤ˧˥
chuyển đổi	cwiəŋ˧˩˨doj˧˩˨
hư không	hɯ˧˥xoŋ͡m˧˥
so tày vót nhọn	ʂɔ˧˥tăj˦˨jɔk͡p˦˥ɲɔŋ͡m˨ˀ˩ʔ
sư đoàn	ʂɯ˧˥dwaŋ˦˨
xúc giác kế	suk͡p˦˥jak˦˥ke˩˧
trốn	ʈoŋ͡m˩˧
thiên cảm	tʰiəŋ˧˥kam˧˩˨
ỉa bậy	iə˧˩˨bɤ̆j˨ˀ˩ʔ
êm giọng	em˧˥jɔŋ͡m˨ˀ˩ʔ
nghe lỏm	ŋɛ˧˥lɔm˧˩˨
hữu ái	hɯw˧˩˨aj˩˧
quỳnh lôi	win˦˨loj˧˥
bóp cổ	bɔp˦˥ko˧˩˨
trăng già	ʈăŋ˧˥ja˦˨
hay sao	hăj˧˥ʂaw˧˥
đốc chứng	dok͡p˦˥cɯŋ˩˧
gián cách	jaŋ˩˧kak˦˥
cân trất	kɤ̆ŋ˧˥ʈɤ̆k˦˥
hối quá	hoj˩˧wa˩˧
đá tai mèo	da˩˧taj˧˥meo˦˨
an tiêm	aŋ˧˥tiəm˧˥
đại thuỷ nông	daj˨ˀ˩ʔtʰwi˧˩˨noŋ͡m˧˥
theo vết xe đổ	tʰeo˧˥jet˦˥sɛ˧˥do˧˩˨
thấp kém	tʰɤ̆p˦˥kɛm˩˧
chụp ếch	cup˨ˀ˩ʔet˦˥
mê ngủ	me˧˥ŋu˧˩˨
ma phi a	ma˧˥fi˧˥a˧˥
lọt lưới	lɔk͡p˨ˀ˩ʔlɯəj˩˧
giở mặt	jɤ˧˩˨măk˨ˀ˩ʔ
trang viên	ʈaŋ˧˥jiəŋ˧˥
tòm tõm	tɔm˦˨tɔm˧˩˨
xộn	soŋ͡m˨ˀ˩ʔ
sườn	ʂɯəŋ˦˨
bánh răng	ban˩˧ʐăŋ˧˥
pháo xịt	faw˩˧sit˨ˀ˩ʔ
đong đầy bán vơi	dɔŋ͡m˧˥dɤ̆j˦˨baŋ˩˧jɤj˧˥
một lượt	mok͡p˨ˀ˩ʔlɯək˨ˀ˩ʔ
tuỳ viên thương mại	twi˦˨jiəŋ˧˥tʰɯəŋ˧˥maj˨ˀ˩ʔ
tiên quyết	tiəŋ˧˥wiɛk˦˥
bộc bạch	bok͡p˨ˀ˩ʔbak˨ˀ˩ʔ
cấm tiệt	kɤ̆m˩˧tiək˨ˀ˩ʔ
đại hiền triết	daj˨ˀ˩ʔhiəŋ˦˨ʈiək˦˥
lưa	lɯə˧˥
tĩnh mịch	tin˧˩˨mit˨ˀ˩ʔ
trở mặt	ʈɤ˧˩˨măk˨ˀ˩ʔ
ngồi chồm hổm	ŋoj˦˨com˦˨hom˧˩˨
a-lê	a˧˥-le˧˥
nữ nhi ngoại tộc	nɯ˧˩˨ɲi˧˥ŋwaj˨ˀ˩ʔtok͡p˨ˀ˩ʔ
việt thành	jiək˨ˀ˩ʔtʰan˦˨
hùn	huŋ͡m˦˨
đủ ăn đủ mặc	du˧˩˨ăŋ˧˥du˧˩˨măk˨ˀ˩ʔ
muối bỏ bể	muəj˩˧bɔ˧˩˨be˧˩˨
còn nước còn tát	kɔŋ͡m˦˨nɯək˦˥kɔŋ͡m˦˨tak˦˥
nhảy dù	ɲăj˧˩˨ju˦˨
lòa xòa	lwa˦˨swa˦˨
bá nhân bá khẩu	ba˩˧ɲɤ̆ŋ˧˥ba˩˧xɤ̆w˧˩˨
cứa	kɯə˩˧
nâu đen	nɤ̆w˧˥dɛŋ˧˥
kinh nghiệm	kin˧˥ŋiəm˨ˀ˩ʔ
phũ	fu˧˩˨
điêu khắc	diəw˧˥xăk˦˥
chư bà	cɯ˧˥ba˦˨
sĩ khí	ʂi˧˩˨xi˩˧
quả xanh nanh sắc	wa˧˩˨san˧˥nan˧˥ʂăk˦˥
ơn nghĩa	ɤŋ˧˥ŋiə˧˩˨
lu lu	lu˧˥lu˧˥
thơ ngũ ngôn	tʰɤ˧˥ŋu˧˩˨ŋoŋ͡m˧˥
lỡ thời	lɤ˧˩˨tʰɤj˦˨
tay ba	tăj˧˥ba˧˥
giống in	joŋ͡m˩˧in˧˥
gọi là	ɣɔj˨ˀ˩ʔla˦˨
dễ loà yếm thắm, khó loà trôn kim	je˧˩˨lwa˦˨iɛm˩˧tʰăm˩˧xɔ˩˧lwa˦˨ʈoŋ͡m˧˥kim˧˥
ngày đản	ŋăj˦˨daŋ˧˩˨
khoanh bí	xwan˧˥bi˩˧
điện đài	diəŋ˨ˀ˩ʔdaj˦˨
nang	naŋ˧˥
bôi trơn	boj˧˥ʈɤŋ˧˥
bảo ái	baw˧˩˨aj˩˧
quân nhạc	wɤ̆ŋ˧˥ɲak˨ˀ˩ʔ
sơ giải	ʂɤ˧˥jaj˧˩˨
bãi chợ	baj˧˩˨cɤ˨ˀ˩ʔ
cộng sự	koŋ͡m˨ˀ˩ʔʂɯ˨ˀ˩ʔ
đề đốc	de˦˨dok͡p˦˥
rửa trôi	ʐɯə˧˩˨ʈoj˧˥
đồ thư quán	do˦˨tʰɯ˧˥waŋ˩˧
cha già con cọc	ca˧˥ja˦˨kɔŋ͡m˧˥kɔk͡p˨ˀ˩ʔ
nhân trắc	ɲɤ̆ŋ˧˥ʈăk˦˥
hiền nhân quân tử	hiəŋ˦˨ɲɤ̆ŋ˧˥wɤ̆ŋ˧˥tɯ˧˩˨
chảy máu não	căj˧˩˨măw˩˧naw˧˩˨
vũ phu	ju˧˩˨fu˧˥
tập quần	tɤ̆p˨ˀ˩ʔwɤ̆ŋ˦˨
gì	ɣi˦˨
đèn điện	dɛŋ˦˨diəŋ˨ˀ˩ʔ
nhân số	ɲɤ̆ŋ˧˥ʂo˩˧
bán niên	baŋ˩˧niəŋ˧˥
không tặc	xoŋ͡m˧˥tăk˨ˀ˩ʔ
đồ họa	do˦˨hwa˨ˀ˩ʔ
cảng hàng không	kaŋ˧˩˨haŋ˦˨xoŋ͡m˧˥
cam lộ	kam˧˥lo˨ˀ˩ʔ
tối	toj˩˧
ở trần	ɤ˧˩˨ʈɤ̆ŋ˦˨
xã hội đồ	sa˧˩˨hoj˨ˀ˩ʔdo˦˨
ngọ báo	ŋɔ˨ˀ˩ʔbaw˩˧
béo như cối xay cùn	beo˩˧ɲɯ˧˥koj˩˧săj˧˥kuŋ͡m˦˨
bóp gác	bɔp˦˥ɣak˦˥
đến lời	den˩˧lɤj˦˨
rấn bước	ʐɤ̆ŋ˩˧bɯək˦˥
chê ỏng chê eo	ce˧˥ɔŋ͡m˧˩˨ce˧˥eo˧˥
xua	suə˧˥
bò lan	bɔ˦˨laŋ˧˥
đám cưới bạc	dam˩˧kɯəj˩˧bak˨ˀ˩ʔ
ẩn giấu	ɤ̆ŋ˧˩˨jɤ̆w˩˧
võ trang	jɔ˧˩˨ʈaŋ˧˥
thẳng cẳng	tʰăŋ˧˩˨kăŋ˧˩˨
chiều trời	ciəw˦˨ʈɤj˦˨
cấn	kɤ̆ŋ˩˧
phôi bì	foj˧˥bi˦˨
căm gan ngứa tiết	kăm˧˥ɣaŋ˧˥ŋɯə˩˧tiək˦˥
rốc kết	ʐok͡p˦˥ket˦˥
thầy địa	tʰɤ̆j˦˨diə˨ˀ˩ʔ
tỉnh giấc	tin˧˩˨jɤ̆k˦˥
ôm đầu	om˧˥dɤ̆w˦˨
yếm thế	iɛm˩˧tʰe˩˧
trù sơn	ʈu˦˨ʂɤŋ˧˥
dầu ta	jɤ̆w˦˨ta˧˥
khám phá	xam˩˧fa˩˧
lủng củng	luŋ͡m˧˩˨kuŋ͡m˧˩˨
chui luồn	cuj˧˥luəŋ˦˨
chấp chiếm	cɤ̆p˦˥ciəm˩˧
chậm rãi	cɤ̆m˨ˀ˩ʔʐaj˧˩˨
cắn cỏ kêu trời	kăŋ˩˧kɔ˧˩˨kɛu˧˥ʈɤj˦˨
may mắn	măj˧˥măŋ˩˧
va chạm	ja˧˥cam˨ˀ˩ʔ
đinh tán	din˧˥taŋ˩˧
nói bông	nɔj˩˧boŋ͡m˧˥
huệ biển	hwe˨ˀ˩ʔbiəŋ˧˩˨
ngang vai	ŋaŋ˧˥jaj˧˥
ngòm	ŋɔm˦˨
hở môi	hɤ˧˩˨moj˧˥
cả bì	ka˧˩˨bi˦˨
chống	coŋ͡m˩˧
trâu chậm uống nước đục	ʈɤ̆w˧˥cɤ̆m˨ˀ˩ʔuəŋ˩˧nɯək˦˥duk͡p˨ˀ˩ʔ
tác oai tác phúc	tak˦˥waj˧˥tak˦˥fuk͡p˦˥
thù đủ	tʰu˦˨du˧˩˨
thổi chim	tʰoj˧˩˨cim˧˥
góc so le ngoài	ɣɔk͡p˦˥ʂɔ˧˥lɛ˧˥ŋwaj˦˨
bình đồ độ cao	bin˦˨do˦˨do˨ˀ˩ʔkaw˧˥
rượu thuốc	ʐɯəw˨ˀ˩ʔtʰuək˦˥
leo teo	leo˧˥teo˧˥
chuyên chính vô sản	cwiəŋ˧˥cin˩˧jo˧˥ʂaŋ˧˩˨
phân tích	fɤ̆ŋ˧˥tit˦˥
hăng hắc	hăŋ˧˥hăk˦˥
ghịt	ɣit˨ˀ˩ʔ
bọ ngựa	bɔ˨ˀ˩ʔŋɯə˨ˀ˩ʔ
nhái bén	ɲaj˩˧bɛŋ˩˧
cười giòn	kɯəj˦˨jɔŋ͡m˦˨
ngọn đuốc	ŋɔŋ͡m˨ˀ˩ʔduək˦˥
mào gà	maw˦˨ɣa˦˨
khiếu	xiəw˩˧
nong luông	nɔŋ͡m˧˥luəŋ˧˥
