gút mắt	ɣut˦˥măt˦˥
nửa buổi	nɯə˧˩˨buəj˧˩˨
tháng	tʰaŋ˨˦
con gái như hạt mưa sa	kɔn˧˧ɣaj˨˦ɲɯ˧˧hat˨ˀ˩mɯə˧˧sa˧˧
công dịch	koŋ͡m˧˧zik˨ˀ˩
ninh ích	niŋ˧˧ik˦˥
thiện ngôn	tʰiən˨ˀ˩ʔŋon˧˧
khoảng	xwaŋ˧˩˨
nguy nan	ŋwi˧˧nan˧˧
tân dĩnh	tɤ̆n˧˧ziŋ˧ˀ˥
đồng hành	doŋ͡m˧˨hɛŋ˧˨
đốc suất; đốc thúc	dok͡p˦˥swɤ̆t˦˥dok͡p˦˥tʰuk͡p˦˥
í éo	i˨˦eo˨˦
song tử diệp	sɔŋ͡m˧˧tɯ˧˩˨ziəp˨ˀ˩
tương xứng	tɯəŋ˧˧sɯŋ˨˦
biệt thức	biət˨ˀ˩tʰɯk˦˥
sương phụ	sɯəŋ˧˧fu˨ˀ˩ʔ
đè đầu	dɛ˧˨dɤ̆w˧˨
ưa nhau cũng thể nàng dâu mẹ chồng	ɯə˧˧ɲăw˧˧kuŋ͡m˧ˀ˥tʰe˧˩˨naŋ˧˨zɤ̆w˧˧mɛ˨ˀ˩ʔcoŋ͡m˧˨
giao hoan	zaw˧˧hwan˧˧
bi cảm	bi˧˧kam˧˩˨
hà cớ	ha˧˨kɤ˨˦
uy phong lẫm liệt	wi˧˧fɔŋ͡m˧˧lɤ̆m˧ˀ˥liət˨ˀ˩
quang lịch	kwaŋ˧˧lik˨ˀ˩
bọ đa	bɔ˨ˀ˩ʔda˧˧
mút	mut˦˥
miệng nhà giàu nói đâu ra đấy	miəŋ˨ˀ˩ʔɲa˧˨zăw˧˨nɔj˨˦dɤ̆w˧˧za˧˧dɤ̆j˨˦
oanh oách	wɛŋ˧˧wɛk˦˥
màu cờ sắc áo	măw˧˨kɤ˧˨săk˦˥aw˨˦
thẹp	tʰɛp˨ˀ˩
rum	zum˧˧
an-ti-pi-rin	an˧˧-ti˧˧-pi˧˧-zin˧˧
mo	mɔ˧˧
lão hoá	law˧ˀ˥hwa˨˦
vũ trụ luận	vu˧ˀ˥cu˨ˀ˩ʔlwɤ̆n˨ˀ˩ʔ
tháng chạp	tʰaŋ˨˦cap˨ˀ˩
vàm láng	vam˧˨laŋ˨˦
chấm	cɤ̆m˨˦
nghén	ŋɛn˨˦
đắng họng	dăŋ˨˦hɔŋ͡m˨ˀ˩ʔ
cầm bò	kɤ̆m˧˨bɔ˧˨
sinh thiềng	siŋ˧˧tʰiəŋ˧˨
thuỳ túc	tʰwi˧˨tuk͡p˦˥
nhuệ độ	ɲwe˨ˀ˩ʔdo˨ˀ˩ʔ
công nông liên minh	koŋ͡m˧˧noŋ͡m˧˧liən˧˧miŋ˧˧
cờ vỉ	kɤ˧˨vi˧˩˨
hôi nách	hoj˧˧nɛk˦˥
ngây thộn	ŋɤ̆j˧˧tʰon˨ˀ˩ʔ
vợ nắm vợ mớ	vɤ˨ˀ˩ʔnăm˨˦vɤ˨ˀ˩ʔmɤ˨˦
tình đầu	tiŋ˧˨dɤ̆w˧˨
bình bầu	biŋ˧˨bɤ̆w˧˨
cất mũ	kɤ̆t˦˥mu˧ˀ˥
có đầu có đũa; có đầu có đuôi	kɔ˨˦dɤ̆w˧˨kɔ˨˦duə˧ˀ˥kɔ˨˦dɤ̆w˧˨kɔ˨˦duəj˧˧
kho khó	xɔ˧˧xɔ˨˦
bằng thừa	băŋ˧˨tʰɯə˧˨
quen thuộc	kwɛn˧˧tʰuək˨ˀ˩
đều đều	dɛu˧˨dɛu˧˨
quỳnh bảng	kwiŋ˧˨baŋ˧˩˨
phúc chốt	fuk͡p˦˥cot˦˥
lay-dơn	lăj˧˧-zɤn˧˧
hiệu quả	hiəw˨ˀ˩ʔkwa˧˩˨
lay bay	lăj˧˧băj˧˧
chủ từ	cu˧˩˨tɯ˧˨
muộn mằn	muən˨ˀ˩ʔmăn˧˨
cổ sinh vật	ko˧˩˨siŋ˧˧vɤ̆t˨ˀ˩
giả nghĩa giả nhân	za˧˩˨ŋiə˧ˀ˥za˧˩˨ɲɤ̆n˧˧
thánh chỉ	tʰɛŋ˨˦ci˧˩˨
lão thần	law˧ˀ˥tʰɤ̆n˧˨
đăng đường	dăŋ˧˧dɯəŋ˧˨
lẽ phải	lɛ˧ˀ˥faj˧˩˨
cơ khí hoá nông nghiệp	kɤ˧˧xi˨˦hwa˨˦noŋ͡m˧˧ŋiəp˨ˀ˩
ngáp gió	ŋap˦˥zɔ˨˦
một lát	mot˨ˀ˩lat˦˥
ruột béo gan mòn	zuət˨ˀ˩beo˨˦ɣan˧˧mɔn˧˨
hi vọng	hi˧˧vɔŋ͡m˨ˀ˩ʔ
cơ quan sinh sản	kɤ˧˧kwan˧˧siŋ˧˧san˧˩˨
phủ phục	fu˧˩˨fuk͡p˨ˀ˩
xe-re-nát	sɛ˧˧-zɛ˧˧-nat˦˥
cơm không	kɤm˧˧xoŋ͡m˧˧
chủ nghĩa thực chứng	cu˧˩˨ŋiə˧ˀ˥tʰɯk˨ˀ˩cɯŋ˨˦
chiếu trên chiếu dưới	ciəw˨˦cen˧˧ciəw˨˦zɯəj˨˦
lăm lẳm	lăm˧˧lăm˧˩˨
long sàng	lɔŋ͡m˧˧saŋ˧˨
khuôn viên	xuən˧˧viən˧˧
chết sống	cet˦˥soŋ͡m˨˦
trồng răng	coŋ͡m˧˨zăŋ˧˧
trà đa	ca˧˨da˧˧
trẹt lét	cɛt˨ˀ˩lɛt˦˥
đàn điếm	dan˧˨diəm˨˦
phòng vệ	fɔŋ͡m˧˨ve˨ˀ˩ʔ
nhu mì	ɲu˧˧mi˧˨
tồn qũy	ton˧˨kwi˧ˀ˥
liệt in	liət˨ˀ˩in˧˧
chàng trai	caŋ˧˨caj˧˧
bố kinh	bo˨˦kiŋ˧˧
bả	ba˧˩˨
cha chả	ca˧˧ca˧˩˨
mặt vuông chữ điền	măt˨ˀ˩vuəŋ˧˧cɯ˧ˀ˥diən˧˨
an long	an˧˧lɔŋ͡m˧˧
câu sấm	kɤ̆w˧˧sɤ̆m˨˦
ê trệ	e˧˧ce˨ˀ˩ʔ
đồng học	doŋ͡m˧˨hɔk͡p˨ˀ˩
lạnh người	lɛŋ˨ˀ˩ʔŋɯəj˧˨
luân hồi	lwɤ̆n˧˧hoj˧˨
to bụng	tɔ˧˧buŋ͡m˨ˀ˩ʔ
ễnh ương	eŋ˧ˀ˥ɯəŋ˧˧
dữ vía	zɯ˧ˀ˥viə˨˦
mưu tính	mɯw˧˧tiŋ˨˦
tử hà xa	tɯ˧˩˨ha˧˨sa˧˧
trận địa chiến	cɤ̆n˨ˀ˩ʔdiə˨ˀ˩ʔciən˨˦
ếch tháng mười, người tháng giêng	ek˦˥tʰaŋ˨˦mɯəj˧˨ŋɯəj˧˨tʰaŋ˨˦zeŋ˧˧
thành bại	tʰɛŋ˧˨baj˨ˀ˩ʔ
vũ văn mật	vu˧ˀ˥văn˧˧mɤ̆t˨ˀ˩
nghe lóng	ŋɛ˧˧lɔŋ͡m˨˦
nắc nẻ	năk˦˥nɛ˧˩˨
kẹo sô-cô-la	keo˨ˀ˩ʔso˧˧-ko˧˧-la˧˧
sang độc	saŋ˧˧dok͡p˨ˀ˩
lạnh gáy	lɛŋ˨ˀ˩ʔɣăj˨˦
phát đạt	fat˦˥dat˨ˀ˩
người thiên cổ	ŋɯəj˧˨tʰiən˧˧ko˧˩˨
trắc nghiệm	căk˦˥ŋiəm˨ˀ˩ʔ
tươi vui	tɯəj˧˧vuj˧˧
ký-ninh	ki˨˦-niŋ˧˧
sĩ hai	si˧ˀ˥haj˧˧
phối khí	foj˨˦xi˨˦
ích-xì	ik˦˥-si˧˨
bí truyền	bi˨˦cwiən˧˨
một chốc	mot˨ˀ˩cok͡p˦˥
bản chính	ban˧˩˨ciŋ˨˦
áp thấp nhiệt đới	ap˦˥tʰɤ̆p˦˥ɲiət˨ˀ˩dɤj˨˦
báo xuân	baw˨˦swɤ̆n˧˧
long lóc	lɔŋ͡m˧˧lɔk͡p˦˥
bỏ đời	bɔ˧˩˨dɤj˧˨
mắc phải	măk˦˥faj˧˩˨
cá chát	ka˨˦cat˦˥
chó dái	cɔ˨˦zaj˨˦
mặt cắt không còn giọt máu	măt˨ˀ˩kăt˦˥xoŋ͡m˧˧kɔn˧˨zɔt˨ˀ˩măw˨˦
sống trâu	soŋ͡m˨˦cɤ̆w˧˧
tủa thàng	tuə˧˩˨tʰaŋ˧˨
tiến triển	tiən˨˦ciən˧˩˨
xe ô-tô	sɛ˧˧o˧˧-to˧˧
sọt	sɔt˨ˀ˩
trừng	cɯŋ˧˨
chính thống	ciŋ˨˦tʰoŋ͡m˨˦
ngọc đường	ŋɔk͡p˨ˀ˩dɯəŋ˧˨
diện hiến	ziən˨ˀ˩ʔhiən˨˦
lấp biển dời non	lɤ̆p˦˥biən˧˩˨zɤj˧˨nɔn˧˧
kiếm cơi trầu	kiəm˨˦kɤj˧˧cɤ̆w˧˨
hả hê	ha˧˩˨he˧˧
nực nội	nɯk˨ˀ˩noj˨ˀ˩ʔ
thong manh	tʰɔŋ͡m˧˧mɛŋ˧˧
được mồ được	dɯək˨ˀ˩mo˧˨dɯək˨ˀ˩
chủ nghĩa cá nhân	cu˧˩˨ŋiə˧ˀ˥ka˨˦ɲɤ̆n˧˧
tự thực	tɯ˨ˀ˩ʔtʰɯk˨ˀ˩
cá chẳng ăn muối cá ươn	ka˨˦căŋ˧˩˨ăn˧˧muəj˨˦ka˨˦ɯən˧˧
nhân mạng	ɲɤ̆n˧˧maŋ˨ˀ˩ʔ
khoa	xwa˧˧
liên hiệp	liən˧˧hiəp˨ˀ˩
bến	ben˨˦
áo may-ô	aw˨˦măj˧˧-o˧˧
nhắn gửi	ɲăn˨˦ɣɯj˧˩˨
triển	ciən˧˩˨
thầy xí	tʰɤ̆j˧˨si˨˦
tua-ma-lin	tuə˧˧-ma˧˧-lin˧˧
thư hoạ	tʰɯ˧˧hwa˨ˀ˩ʔ
khòng	xɔŋ͡m˧˨
ruốc bông	zuək˦˥boŋ͡m˧˧
vũ văn nhậm	vu˧ˀ˥văn˧˧ɲɤ̆m˨ˀ˩ʔ
quành	kwɛŋ˧˨
đầu sai	dɤ̆w˧˨saj˧˧
bi-ki-ni	bi˧˧-ki˧˧-ni˧˧
mối	moj˨˦
u linh	u˧˧liŋ˧˧
mang công mắc nợ	maŋ˧˧koŋ͡m˧˧măk˦˥nɤ˨ˀ˩ʔ
răng chuối tiêu	zăŋ˧˧cuəj˨˦tiəw˧˧
bán tự vi sư	ban˨˦tɯ˨ˀ˩ʔvi˧˧sɯ˧˧
bộ tướng	bo˨ˀ˩ʔtɯəŋ˨˦
xâu tai	sɤ̆w˧˧taj˧˧
vàng ròng	vaŋ˧˨zɔŋ͡m˧˨
huyết bài	hwiət˦˥baj˧˨
tỏng	tɔŋ͡m˧˩˨
thủy lôi	tʰuj˧˩˨loj˧˧
thê thiếp	tʰe˧˧tʰiəp˦˥
uy tín	wi˧˧tin˨˦
vái	vaj˨˦
ngờ đâu	ŋɤ˧˨dɤ̆w˧˧
phân công	fɤ̆n˧˧koŋ͡m˧˧
tiểu tiết	tiəw˧˩˨tiət˦˥
cờ hiệu	kɤ˧˨hiəw˨ˀ˩ʔ
nen	nɛn˧˧
chờ thời	cɤ˧˨tʰɤj˧˨
địa phương chủ nghĩa	diə˨ˀ˩ʔfɯəŋ˧˧cu˧˩˨ŋiə˧ˀ˥
bắn tiếng	băn˨˦tiəŋ˨˦
tầm nã	tɤ̆m˧˨na˧ˀ˥
đẵm	dăm˧ˀ˥
găng	ɣăŋ˧˧
hợp quần	hɤp˨ˀ˩kwɤ̆n˧˨
keo tơ	keo˧˧tɤ˧˧
xép xẹp	sɛp˦˥sɛp˨ˀ˩
dao vọ	zaw˧˧vɔ˨ˀ˩ʔ
khoan dung	xwan˧˧zuŋ͡m˧˧
nhiễu	ɲiəw˧ˀ˥
sân gác	sɤ̆n˧˧ɣak˦˥
khập khiễng	xɤ̆p˨ˀ˩xiəŋ˧ˀ˥
hằn	hăn˧˨
mèo hoa	meo˧˨hwa˧˧
ô hay	o˧˧hăj˧˧
lịch sử	lik˨ˀ˩sɯ˧˩˨
pi gia ma	pi˧˧za˧˧ma˧˧
trển	cen˧˩˨
cờ gian bạc bịp	kɤ˧˨zan˧˧bak˨ˀ˩bip˨ˀ˩
công nhân quí tộc	koŋ͡m˧˧ɲɤ̆n˧˧kwi˨˦tok͡p˨ˀ˩
át-pi-rin	at˦˥-pi˧˧-zin˧˧
thười lười	tʰɯəj˧˨lɯəj˧˨
hoóc-mon	hɔk͡p˦˥-mɔn˧˧
òi ọp	ɔj˧˨ɔp˨ˀ˩
thân lừa ưa nặng	tʰɤ̆n˧˧lɯə˧˨ɯə˧˧năŋ˨ˀ˩ʔ
biểu tình	biəw˧˩˨tiŋ˧˨
hôn canh hỗn cư	hon˧˧kɛŋ˧˧hon˧ˀ˥kɯ˧˧
chùm	cum˧˨
hình trạng	hiŋ˧˨caŋ˨ˀ˩ʔ
cơi nới	kɤj˧˧nɤj˨˦
cao độ	kaw˧˧do˨ˀ˩ʔ
hỗ huệ (	ho˧ˀ˥hwe˨ˀ˩ʔ
văn học sử	văn˧˧hɔk͡p˨ˀ˩sɯ˧˩˨
cao môn	kaw˧˧mon˧˧
ngẩn	ŋɤ̆n˧˩˨
êm như ru	em˧˧ɲɯ˧˧zu˧˧
tự xúc tác	tɯ˨ˀ˩ʔsuk͡p˦˥tak˦˥
đảo chánh	daw˧˩˨cɛŋ˨˦
thầm yêu trộm nhớ	tʰɤ̆m˧˨iəw˧˧com˨ˀ˩ʔɲɤ˨˦
huyên cỗi xuân già	hwiən˧˧koj˧ˀ˥swɤ̆n˧˧za˧˨
cùng đinh	kuŋ͡m˧˨diŋ˧˧
vượt quá	vɯət˨ˀ˩kwa˨˦
nhất tiếu thiên kim	ɲɤ̆t˦˥tiəw˨˦tʰiən˧˧kim˧˧
được đất	dɯək˨ˀ˩dɤ̆t˦˥
tút	tut˦˥
lời qua tiếng lại	lɤj˧˨kwa˧˧tiəŋ˨˦laj˨ˀ˩ʔ
kẻ cả thì ngả mặt lên	kɛ˧˩˨ka˧˩˨tʰi˧˨ŋa˧˩˨măt˨ˀ˩len˧˧
yếu nhân	iəw˨˦ɲɤ̆n˧˧
nụ cười	nu˨ˀ˩ʔkɯəj˧˨
khoèo	xwew˧˨
kém ăn	kɛm˨˦ăn˧˧
ăn tiệc	ăn˧˧tiək˨ˀ˩
hạnh phúc	hɛŋ˨ˀ˩ʔfuk͡p˦˥
bồng bế	boŋ͡m˧˨be˨˦
đen nhánh	dɛn˧˧ɲɛŋ˨˦
khóc thét	xɔk͡p˦˥tʰɛt˦˥
tự tiêu hóa	tɯ˨ˀ˩ʔtiəw˧˧hwa˨˦
văn mỗ	văn˧˧mo˧ˀ˥
đàn tràng	dan˧˨caŋ˧˨
noãn	nwan˧ˀ˥
gạo lức	ɣaw˨ˀ˩ʔlɯk˦˥
đánh đeo	dɛŋ˨˦deo˧˧
đớn kiếp	dɤn˨˦kiəp˦˥
song tấu	sɔŋ͡m˧˧tɤ̆w˨˦
