lô cốt	lo˧˧kok͡p˦˥
hoóc-môn	hɔk͡p˦˥-moŋ͡m˧˧
không hề	xoŋ͡m˧˧he˧˨
chuột chù	cuək˨˩˨cu˧˨
việt xuyên	jiək˨˩˨swiəŋ˧˧
tẩu vi thượng sách	tɤ̆w˨˩˦ji˧˧tʰɯəŋ˨˩˨ʂat˦˥
lệnh chỉ	len˨˩˨ci˨˩˦
bụi bờ	buj˨˩˨bɤ˧˨
nằm vạ	năm˧˨ja˨˩˨
xuân la	swɤ̆ŋ˧˧la˧˧
sơ học yếu lược	ʂɤ˧˧hɔk͡p˨˩˨iəw˦˥lɯək˨˩˨
e é	ɛ˧˧ɛ˦˥
gỏi	ɣɔj˨˩˦
đào ngạch gặp phải nhà thờ	daw˧˨ŋat˨˩˨ɣăp˨˩˨faj˨˩˦ɲa˧˨tʰɤ˧˨
châu chấu đá voi	cɤ̆w˧˧cɤ̆w˦˥da˦˥jɔj˧˧
biến chủng	biəŋ˦˥cuŋ͡m˨˩˦
giơ xương	jɤ˧˧sɯəŋ˧˧
kịch trường	kit˨˩˨ʈɯəŋ˧˨
gây men	ɣɤ̆j˧˧mɛŋ˧˧
lắc đầu	lăk˦˥dɤ̆w˧˨
hướng nhật	hɯəŋ˦˥ɲɤ̆k˨˩˨
khoanh vùng	xwan˧˧juŋ͡m˧˨
thù tiếp	tʰu˧˨tip˦˥
ba nang	ba˧˧naŋ˧˧
phương thức	fɯəŋ˧˧tʰɯk˦˥
hội đồng bộ trưởng	hoj˨˩˨doŋ͡m˧˨bo˨˩˨ʈɯəŋ˨˩˦
đà đao	da˧˨daw˧˧
phạm nhân	fam˨˩˨ɲɤ̆ŋ˧˧
thuỷ lợi	tʰwi˨˩˦lɤj˨˩˨
mặt nặng như đá đeo	măk˨˩˨năŋ˨˩˨ɲɯ˧˧da˦˥deo˧˧
song thần	ʂɔŋ͡m˧˧tʰɤ̆ŋ˧˨
bỏ bả	bɔ˨˩˦ba˨˩˦
tình ái	tin˧˨aj˦˥
ăn dối làm thật	ăŋ˧˧joj˦˥lam˧˨tʰɤ̆k˨˩˨
cù túng	ku˧˨tuŋ͡m˦˥
bình nghĩa	bin˧˨ŋiə˨˩˦
cán cầu	kaŋ˦˥kɤ̆w˧˨
mẫu nghi	mɤ̆w˨˩˦ŋi˧˧
đã hay	da˨˩˦hăj˧˧
duyên giang	jwiəŋ˧˧jaŋ˧˧
sông kôn	ʂoŋ͡m˧˧koŋ͡m˧˧
hôm tê	hom˧˧te˧˧
húy nhật	huj˦˥ɲɤ̆k˨˩˨
trợ thính	ʈɤ˨˩˨tʰin˦˥
cuồn	kuəŋ˧˨
như gấm thêm hoa	ɲɯ˧˧ɣɤ̆m˦˥tʰem˧˧hwa˧˧
đồng chiêm	doŋ͡m˧˨cim˧˧
sài đồng	ʂaj˧˨doŋ͡m˧˨
ba nam	ba˧˧nam˧˧
tiểu đoàn bộ	tiəw˨˩˦dwaŋ˧˨bo˨˩˨
tương kế tựu kế	tɯəŋ˧˧ke˦˥tɯw˨˩˨ke˦˥
bản ngoại	baŋ˨˩˦ŋwaj˨˩˨
thình thình	tʰin˧˨tʰin˧˨
căn cứ du kích	kăŋ˧˧kɯ˦˥ju˧˧kit˦˥
păng-túp	păŋ˧˧-tup˦˥
cuống họng	kuəŋ˦˥hɔŋ͡m˨˩˨
câu chuôm thả ao	kɤ̆w˧˧cum˧˧tʰa˨˩˦aw˧˧
ba đào	ba˧˧daw˧˨
chim sa cá lặn	cim˧˧ʂa˧˧ka˦˥lăŋ˨˩˨
học chọc bát cơm	hɔk͡p˨˩˨cɔk͡p˨˩˨bat˦˥kɤm˧˧
tân hoà tây	tɤ̆ŋ˧˧hwa˧˨tɤ̆j˧˧
vào lỗ tai ra lỗ miệng	jaw˧˨lo˨˩˦taj˧˧ʐa˧˧lo˨˩˦miəŋ˨˩˨
mắc cười	măk˦˥kɯəj˧˨
ếm	em˦˥
canh thâu	kan˧˧tʰɤ̆w˧˧
tuyển trạch	twiəŋ˨˩˦ʈat˨˩˨
nhạt thếch	ɲat˨˩˨tʰet˦˥
cách điệu hoá	kat˦˥diəw˨˩˨hwa˦˥
thương hải	tʰɯəŋ˧˧haj˨˩˦
quang trọng	waŋ˧˧ʈɔŋ͡m˨˩˨
đơn sơ	dɤŋ˧˧ʂɤ˧˧
thơm lây	tʰɤm˧˧lɤ̆j˧˧
khách địa	xat˦˥diə˨˩˨
nhân vật	ɲɤ̆ŋ˧˧jɤ̆k˨˩˨
sự  thế	ʂɯ˨˩˨tʰe˦˥
tề ngụy	te˧˨ŋuj˨˩˨
chằng chớ	căŋ˧˨cɤ˦˥
mang tai	maŋ˧˧taj˧˧
mùa màng	muə˧˨maŋ˧˨
đít bọ ngựa	dit˦˥bɔ˨˩˨ŋɯə˨˩˨
đồng loại	doŋ͡m˧˨lwaj˨˩˨
kèn hát	kɛŋ˧˨hat˦˥
như tay với chân	ɲɯ˧˧tăj˧˧jɤj˦˥cɤ̆ŋ˧˧
chữa	cɯə˨˩˦
tiệm	tim˨˩˨
sờ nắn	ʂɤ˧˨năŋ˦˥
gián tiếp	jaŋ˦˥tip˦˥
tổng tuyển cử	toŋ͡m˨˩˦twiəŋ˨˩˦kɯ˨˩˦
sơ thảo	ʂɤ˧˧tʰaw˨˩˦
sảo thai	ʂaw˨˩˦tʰaj˧˧
gỗ tứ thiết	ɣo˨˩˦tɯ˦˥tʰiək˦˥
thợ	tʰɤ˨˩˨
hưởng dụng	hɯəŋ˨˩˦juŋ͡m˨˩˨
cơ kí	kɤ˧˧ki˦˥
đạn xuyên	daŋ˨˩˨swiəŋ˧˧
tỉ trọng	ti˨˩˦ʈɔŋ͡m˨˩˨
chậm rì	cɤ̆m˨˩˨ʐi˧˨
mội	moj˨˩˨
đớp	dɤp˦˥
công trình	koŋ͡m˧˧ʈin˧˨
nói cứng	nɔj˦˥kɯŋ˦˥
xanh hồ thuỷ	san˧˧ho˧˨tʰwi˨˩˦
huy hoàng	hwi˧˧hwaŋ˧˨
nhũ hương	ɲu˨˩˦hɯəŋ˧˧
phòng vệ dân sự	fɔŋ͡m˧˨je˨˩˨jɤ̆ŋ˧˧ʂɯ˨˩˨
áo cặp	aw˦˥kăp˨˩˨
tàu lăn	tăw˧˨lăŋ˧˧
dịch âm	jit˨˩˨ɤ̆m˧˧
tán chuyện	taŋ˦˥cwiəŋ˨˩˨
a đảng	a˧˧daŋ˨˩˦
khai nghiệp	xaj˧˧ŋip˨˩˨
giữ nguyên	jɯ˨˩˦ŋwiəŋ˧˧
bình điền	bin˧˨diəŋ˧˨
độ đặm	do˨˩˨dăm˨˩˨
bán trú	baŋ˦˥ʈu˦˥
đoản đao	dwaŋ˨˩˦daw˧˧
vi thiềng	ji˧˧tʰiəŋ˧˨
thua keo này bày keo khác	tʰuə˧˧keo˧˧năj˧˨băj˧˨keo˧˧xak˦˥
mắt gà	măk˦˥ɣa˧˨
đầu sông ngọn nguồn	dɤ̆w˧˨ʂoŋ͡m˧˧ŋɔŋ͡m˨˩˨ŋuəŋ˧˨
âm bội	ɤ̆m˧˧boj˨˩˨
mật ước	mɤ̆k˨˩˨ɯək˦˥
tai tiếng	taj˧˧tiəŋ˦˥
mềm hóa	mem˧˨hwa˦˥
kinh bang tế thế	kin˧˧baŋ˧˧te˦˥tʰe˦˥
cơm chín	kɤm˧˧cin˦˥
phù thuỷ đền gà	fu˧˨tʰwi˨˩˦den˧˨ɣa˧˨
buộc nút	buək˨˩˨nuk͡p˦˥
tiên cẩm	tiəŋ˧˧kɤ̆m˨˩˦
khai sơn phá thạch	xaj˧˧ʂɤŋ˧˧fa˦˥tʰat˨˩˨
sông nhạn	ʂoŋ͡m˧˧ɲaŋ˨˩˨
hành lạc	han˧˨lak˨˩˨
chín rữa	cin˦˥ʐɯə˨˩˦
tóm thâu	tɔm˦˥tʰɤ̆w˧˧
hiệu lực	hiəw˨˩˨lɯk˨˩˨
bẩn thẩn bần thần	bɤ̆ŋ˨˩˦tʰɤ̆ŋ˨˩˦bɤ̆ŋ˧˨tʰɤ̆ŋ˧˨
trăm nghìn	ʈăm˧˧ŋin˧˨
truy đuổi	ʈwi˧˧duəj˨˩˦
xuất chúng	swɤ̆k˦˥cuŋ͡m˦˥
tuyến yên	twiəŋ˦˥iɛŋ˧˧
sắp chữ	ʂăp˦˥cɯ˨˩˦
sáp	ʂap˦˥
khờ khĩnh	xɤ˧˨xin˨˩˦
vịnh	jin˨˩˨
thị lang	tʰi˨˩˨laŋ˧˧
chiếm đóng	cim˦˥dɔŋ͡m˦˥
bí đỏ	bi˦˥dɔ˨˩˦
hư ảo	hɯ˧˧aw˨˩˦
si ngốc	ʂi˧˧ŋok͡p˦˥
ỉa táo	iə˨˩˦taw˦˥
cuốn trôi	kuəŋ˦˥ʈoj˧˧
ỉa chảy	iə˨˩˦căj˨˩˦
trái bỉ	ʈaj˦˥bi˨˩˦
nội sinh	noj˨˩˨ʂin˧˧
lổn nhổn	loŋ͡m˨˩˦ɲoŋ͡m˨˩˦
quang yên	waŋ˧˧iɛŋ˧˧
hỏng mắt	hɔŋ͡m˨˩˦măk˦˥
tô nhượng	to˧˧ɲɯəŋ˨˩˨
quáu	wăw˦˥
gioàng	jwaŋ˧˨
ngược lại	ŋɯək˨˩˨laj˨˩˨
trưng triệu	ʈɯŋ˧˧ʈiəw˨˩˨
mỡ gà	mɤ˨˩˦ɣa˧˨
ẩu đả	ɤ̆w˨˩˦da˨˩˦
sang cát	ʂaŋ˧˧kat˦˥
vắng bóng	jăŋ˦˥bɔŋ͡m˦˥
biến tướng	biəŋ˦˥tɯəŋ˦˥
gió máy	jɔ˦˥măj˦˥
giấc kê vàng	jɤ̆k˦˥ke˧˧jaŋ˧˨
