medd	meːð
archangel	arχaŋal
anawsterau	anau̯sdɛraɨ̯
gwerthwr	ɡwɛrθʊr
corhwyaid	kɔrhʊɨ̯ai̯d
cyfyd	kəvɨ̞d
brain	brai̯n
cerais	kɛrai̯s
teisennau	tei̯ʃɛnaɨ̯
mhysgod	m̥əsɡɔd
charafán	χaravan
cronni	krɔni
ngoleuadau	ŋɔleɨ̯ada
goch	ɡoːχ
carw	karu
bandiau	bandjɛ
siwgr	ʃʊɡʊr
bawn	bau̯n
hechrydus	hɛχrədɨ̞s
basio	baʃɔ
coleg	kɔlɛɡ
llaswyr	ɬasʊɨ̯r
twyn	tuːɨ̯n
chymylog	χəməlɔɡ
cymreig	kəmrei̯ɡ
ciwcymbr	kɪu̯kəmbr
ngwddwg	ŋʊðʊɡ
ffoniwn	fɔnjʊn
thaliadau	θaljadaɨ̯
uchelwr	ɨ̞χɛlʊr
trymhau	trəmhaɨ̯
petryal	pɛtrɨːal
dweud	dweɨ̯d
canolwr	kanɔlʊr
nghylchgrawn	ŋ̊əlχɡrau̯n
edau	ɛdaɨ̯
aethoch	eɨ̯θɔχ
ffrwgwd	frʊɡʊd
protocol	prɔtɔkɔl
rhedyna	r̥ɛdəna
adnebydd	adnɛbɨ̞ð
mynachdai	mənaχdai̯
hogiau	hɔɡjaɨ̯
cynorthwyo	kənɔrθʊɨ̯ɔ
biti	bɪtɪ
chwpan	χʊpan
gwenynen feirch	ɡwɛnənɛnvei̯rχ
gwlad	ɡwlaːd
cyrsiau	kərʃɛ
dywyll	dəu̯ɨ̞ɬ
pedol	pɛdɔl
dydd sul	dɨ̞sɨːl
crychydd	krəχɨ̞ð
nghefn	ŋ̊ɛvn
daclus	daklɨ̞s
llawfeddygon	ɬau̯vɛðəɡɔn
bordydd	bɔrdɨ̞ð
pabyddion	pabəðjɔn
awchus	au̯χɨ̞s
anabl	anabl
cilio	kɪljɔ
tryferi	trəvɛrɪ
chwydd	χwɨːð
marchogaeth	marχɔɡaɨ̯θ
thŵr	θuːr
hetiwr	hɛtjʊr
slej	slɛd͡ʒ
