flodau	vloːdai̯
caredigrwydd	karɛdɪɡrʊi̯ð
hymenyn	həmɛnɪn
fuan	viːan
adferfol	advɛrvɔl
clun	kliːn
protestaniaeth	prɔtɛsdanjai̯θ
coes	kɔi̯s
ngadael	ŋadɛl
cod post	koːdpɔsd
yn achlysurol	ənaχləsɪrɔl
dydd llun	diːðɬiːn
anrhydeddu	anr̥ədɛði
fûm	viːm
diwedd	dɪu̯ɛð
garant	ɡarant
sioned	ʃɔnɛd
cyfundrefn	kəvɪndrɛvn
anoddach	anoːðaχ
busnes	bɪsnɛs
ngweriniaethau	ɡwɛrɪnjei̯θɛ
paned	paːnɛd
gofid	ɡɔvɪd
credes	krɛdɛs
oddf	ɔðv
meddiannol	mɛðjanɔl
pyramid	pɪramɪd
gorlifo	ɡɔrliːvɔ
tal	taːl
adeiladweithiau	adei̯ladwei̯θjɛ
chwain	χwai̯n
paentio	pei̯ntjɔ
hedyn	hɛdɪn
eirin mair	ei̯rɪmmai̯r
tua	tiːa
iesin	jɛsɪn
trannoeth	tranɔi̯θ
byrddydd gaeaf	bərðɪðɡei̯av
caches	kaːχɛs
unit	ɪnɪt
braster	brastɛr
hunain	hiːnai̯n
cyfieithydd	kəvjei̯θɪð
ffonia	fɔnja
ffilmiau	fɪlmjai̯
carant	karant
gofodoldeb	ɡɔvɔdɔldɛb
ysglodyn	sɡloːdɪn
heddluoedd	hɛðliːɔi̯ð
teulu brenhinol	tei̯librɛnhiːnɔl
talem	taːlɛm
mrechdan	mrɛχdan
amheuaf	amhei̯a
yng	əŋ
anafu	anaːvi
dihuno	dɪhɪnɔ
conwydd	kɔnʊi̯ð
condemni	kɔndɛmni
cefn	keːvɛn
rheoliadau	r̥ɛɔljadɛ
neidit	nei̯dɪt
brwmstan	brʊmsdan
ciciau cosb	kɪkjai̯ɡɔsb
atalnod	atalnɔd
deall	dɛaɬ
gwerinwr	ɡwɛrɪnʊr
symud	səmɪd
mynachdy	mənaχdi
fron	vrɔn
afal cariad	aːvalkarjad
gwladgarol	ɡwladɡaːrɔl
drwyddedau	drʊi̯ðɛdai̯
llwybr llaethog	əɬʊi̯brɬei̯θɔɡ
thân	θaːn
nheulu	n̥ei̯li
gweiriau	ɡwei̯rjɛ
picau ar y maen	pɪkɛarəmaːn
etyl	ɛtɪl
pedair	peːdɛr
criw	krɪu̯
eryr	ɛrɪr
ffonau	fɔnai̯
nghadair	ŋ̊adɛr
cymar	kəmar
crwt	krʊt
coeden afalau	kɔi̯dɛnavalai̯
daliad	daljad
rhuddwyn	r̥ɪðwɪn
cared	kaːrɛd
oes	ɔi̯s
dryswch	drəsʊχ
tyngedfenyddiaeth	təŋɛdvɛnəðjɛθ
sarhad	sarhaːd
chastell	χasdɛɬ
gwddw	ɡʊðu
bangor	baŋɡɔr
argraffiadydd	arɡrafjaːdɪð
esgyn	ɛsɡɪn
saethyddiaeth	sei̯θəðjai̯θ
saeth	sai̯θ
allgofnodi	aɬɡɔvnɔdi
ymrafaelgar	əmravei̯lɡar
toiledau	tɔi̯lɛdɛ
bryfed	brəvɛd
gwesty	ɡwɛsdi
aberdaugleddau	abɛrdai̯ɡleːðai̯
ymlaen llaw	əmlaːnɬau̯
tyllau yn y wal	təɬai̯ənəwal
acen ddyrchafedig	akɛnðərχaveːdɪɡ
ddrud	ðriːd
welsh cêc	wɛlʃkeːk
digalon	dɪɡaːlɔn
rhai	r̥ai̯
trefi	trɛvi
iselderau	ɪsɛldeːrai̯
dydw i ddim yn siarad y saesneg	dəduiðɪmənʃaradəsəisnɛɡ
disgyblion	dɪsɡəbljɔn
hufen	hiːvɛn
tri ar hugain	triːarhiːɡai̯n
dylid	dəlid
galon	ɡalɔn
etifeddu	ɛtɪveːði
eloch	eːlɔχ
gaed	ɡai̯d
thud	θiːd
clyw	klɪu̯
sgìl	sɡɪl
cynnud	kənɪd
manteision	mantei̯ʃɔn
lleuad	ɬei̯ad
asesiadau	asɛsjadɛ
gylfinir	ɡəlvɪnɪr
ymenyn	əmɛnɪn
goleuedig	ɡɔlei̯ɛdɪɡ
chalenigion	χalɛnɪɡjɔn
delen	deːlɛn
fab	vaːb
llwynog	ɬʊi̯nɔɡ
gwrthryfelwr	ɡʊrθrəvɛlʊr
unais	iːnɛs
adferent	advɛrɛnt
dylwn	dəlʊn
cyn	kɪn
addolgar	aðɔlɡar
ngwair	ŋwai̯r
anghytuno	aŋhətɪnɔ
egwyl	eːɡʊi̯l
phrynu	frəni
llond	ɬɔnd
hiraeth	hɪrai̯θ
aflwyddiannus	avlʊi̯ðjanɪs
budd	biːð
neidr	nei̯dɪr
mewnfodol	mɛu̯nvoːdɔl
amheuaeth	amhei̯ɛθ
pêr	peːr
cynghrair	kəŋrai̯r
daliff	daːlɪf
llydan	ɬədan
dalu	dali
creda	kreːda
dalia	dalja
adaryddiaeth	adarəðjai̯θ
sinc	sɪŋk
droen	drɔi̯n
bath	baːθ
merlota	mɛrlɔta
nghariad	ŋ̊arjad
leicio	lɪkɔ
allforyn	aɬvɔrɪn
tsimpansî	tʃɪmpanziː
thudalen	θɪdalɛn
te	teː
roeddet	rɔi̯ðɛt
ysboncio	əsbɔŋkjɔ
cosb	kɔsb
ambell	ambɛɬ
farus	vaːrɪs
cwestau	kwɛsdɛ
caro	karɔ
eirin ysgaw	ei̯rɪnəsɡau̯
addysgu	aðəsɡi
yn	ən
ystyr	əsdɪr
uwch	ɪu̯χ
fynyddoedd	vənəðɔð
adladd	adlað
amrywiaeth	amrɪu̯jai̯θ
cyfrwyo	kəvrʊi̯ɔ
mewnol	mɛu̯nɔl
clymu	kləmi
awyr	au̯ɪr
piclau	pɪklai̯
microsgopau	mɪkrɔsɡɔpai̯
adfywiadau	advɪu̯jaːdɛ
adlamau	adlamai̯
caran	karan
dan	dan
oen	oːn
efyrnwy	ɛvərnʊi̯
frenin	vreːnɪn
dienw	diɛnu
dafad	daːvad
welsh cêcs	wɛlʃkeːks
absen	absɛn
marchogaeth	marχɔɡɛθ
olwyn	oːlʊi̯n
addysg	aðɪsɡ
pastai	pasdai̯
eurgylch	ei̯rɡɪlχ
pwll nofio	pʊɬnɔvjɔ
mae'n ddrwg gen i	mai̯nðruːɡɡɛni
digalonni	dɪɡalɔni
agweddi	aɡweːði
frechdan	vrɛχdan
cherir	χɛrɪr
banc	baŋk
llesteiriant	ɬɛsdei̯rjant
hefyd	hɛvɪd
dudno	dɪdnɔ
protestant	prɔtɛsdant
sefyll	seːvɪɬ
saffari	safaːri
mhysgodyn	m̥əsɡoːdɪn
nheigrod	n̥ei̯ɡrɔd
gwyndyd	ɡʊi̯ndɪd
sbwriel	sbʊrjɛl
phoptai	fɔptai̯
swshi	suːʃi
adarwr	adaːrʊr
salamandr	salamandr
gwsberen	ɡʊsbɛrɛn
brawiau	brau̯jai̯
pump	pɪmp
enghraifft	ɛŋrɛfd
petryal	pɛtriːal
camsefyll	kamseːvɪɬ
gwrdd	ɡʊrð
ffi	fiː
chlefyd	χleːvɪd
crwydr	krʊi̯dr
bigwrn	biːɡʊrn
troa	troːa
cyfforddus	kəfɔrðɪs
arad	ərarad
wychach	wəχaχ
credaf	krɛdav
pasteiod	pasdei̯ɔd
clas	klaːs
chysgu	χəsɡi
pured	piːrɛd
edliw	ɛdlɪu̯
brawychdod	brau̯əχdɔd
echnos	ɛχnɔs
ddeng	ðɛŋ
cyngor	kəŋɔr
canet	kanɛt
deg ar hugain	deːɡarhɪɡɛn
mynachaidd	mənaχɛð
sefydlog	sɛvədlɔɡ
teisennau	tɪʃɛnɛ
hyn a hyn	hɪnahɪn
bronrhuddyn y mynydd	brɔnr̥iːðɪnəmənɪð
llenyddiaeth	ɬɛnəðjai̯θ
gwybodaeth	ɡwɪboːdɛθ
conwydd	kɔnwɪð
adwaenant	adwei̯nant
caffel	kafɛl
bleiddiaid	blei̯ðjɛd
arbedaf	arbɛda
ciwcymbrau	kɪu̯kəmbrɛ
bu	biː
sioned	ʃoːnɛd
ffrwydro	frʊi̯drɔ
cenedlaethol	kɛnɛdlei̯θɔl
canwyllbrennau	kanʊi̯ɬbrɛnɛ
amserlen	amsɛrlɛn
ngwystl	ŋwɪsdl
technoleg gwybodaeth	tɛχnɔlɛɡɡwɪbɔdɛθ
piclau	pɪklɛ
habadaethau	habadei̯θɛ
ddechrau	ðɛχrɛ
p'nawn	pnau̯n
cregynna	krɛɡəna
ddau	ðɔi̯
atebaf	ateːba
bryn	brɪn
milcant	milkant
rhiant	r̥iant
pâr minimol	paːrmɪnɪmɔl
barotach	barɔtaχ
sièd	ʃɛd
caergrawnt	kai̯rɡrau̯nt
meheryn	mɛhɛrɪn
blynyddoedd	blənəðɔð
threfydd	θreːvɪð
genweiriau	ɡɛnwei̯rjɛ
wythfed	ʊi̯θvɛd
gloset	ɡlɔsɛt
mewnforwyr	mɛu̯nvɔrwɪr
teipiadur	tei̯pjadɪr
afr	aːvar
ffyrdd	fɪrð
biws	bɪu̯s
aeronen	ei̯roːnɛn
i blith	iːbliːθ
peiriannau llungopïo	pei̯rjanɛɬɪŋɔpiːɔ
ddoli	ðɔli
rhyngrwyd y pethau	r̥əŋrʊi̯dəpɛθai̯
dwywaith	dʊi̯wɛθ
adweinaf	adwei̯nav
melyngoch	mɛləŋɡɔχ
fàs	vas
neng	nɛŋ
bobl	bɔbɔl
corhedydd	kɔrheːdɪð
ymrafael	əmravɛl
adio	adjɔ
nghusanu	ŋ̊ɪsaːni
llythyrennau	ɬəθərɛnai̯
saer	sai̯r
pennill	pɛnɪɬ
ddrama	ðrama
