服務	fʊk˨mou˨
酸宿	sy:n˥sʊk˥
餓	ŋɔ:˨
自在	tsi:˨tsɔ:i˨
蹄	tʰɐi˨˩
按期	ɔ:n˧kʰei˨˩,ŋɔ:n˧kʰei˨˩
醫生	ji:˥sɐŋ˥
快馬	fa:i˧ma:˩˧
酘	tʰɐu˨˩
涉獵	si:p˧li:p˨
睇你唔起	tʰɐi˧˥nei˩˧m̩˨˩hei˧˥,tʰɐi˧˥lei˩˧m̩˨˩hei˧˥
阕	kʰy:t˧
同線	tʰʊŋ˨˩si:n˧
鹘	kwɐt˥,wɐt˨
監倉	ka:m˥tsʰɔ:ŋ˥
取而代之	tsʰɵy˧˥ji:˨˩tɔ:i˨tsi:˥
鬍鬚勒特	wu:˨˩sou˥lɐk˨tɐk˨
免疫系統	mi:n˩˧jɪk˨hɐi˨tʰʊŋ˧˥
絕緣體	tsy:t˨jy:n˨˩tʰɐi˧˥
韝	kɐu˧,kɐu˥
人選	jɐn˨˩sy:n˧˥
歸天	kwɐi˥tʰi:n˥
囉柚	lɔ:˥jɐu˧˥
毒	tʊk˨
椽子	tsʰy:n˨˩tsi:˧˥
䥌	tsɪŋ˧,tʰi:p˧
索女	sɔ:k˧lɵy˩˧,sɔ:k˧nɵy˩˧
𥊙到正	tsɔ:ŋ˥tou˧tsɛ:ŋ˧
蘼	mei˨˩
眺望	tʰi:u˧mɔ:ŋ˨
之	tsi:˥
鬥走	tɐu˧tsɐu˧˥
女孩子	nɵy˩˧ha:i˨˩tsi:˧˥,lɵy˩˧ha:i˨˩tsi:˧˥
直接	tsɪk˨tsi:p˧
擘髀	ma:k˧pei˧˥
選手	sy:n˧˥sɐu˧˥
鴉片貿易	a:˥pʰi:n˧mɐu˨jɪk˨,ŋa:˥pʰi:n˧mɐu˨jɪk˨
顙	sɔ:ŋ˧˥
金玉滿堂	kɐm˥jʊk˨mu:n˩˧tʰɔ:ŋ˨˩
壓氣	a:t˧hei˧,ŋa:t˧hei˧
天跌落嚟當被冚	tʰi:n˥ti:t˧lɔ:k˨lei˨˩tɔ:ŋ˧pʰei˩˧kʰɐm˧˥
查	tsa:˥,tsʰa:˨˩
恆產	hɐŋ˨˩tsʰa:n˧˥
絇	kʰɵy˨˩
大暑	ta:i˨sy:˧˥
地痞流氓	tei˨pʰei˧˥lɐu˨˩mɔ:ŋ˨˩
腰骨	ji:u˥kwɐt˥
下詔	ha:˨tsi:u˧
清潔工	tsʰɪŋ˥ki:t˧kʊŋ˥
荒野	fɔ:ŋ˥jɛ:˩˧
㧬跌	ʊŋ˧˥ti:t˧,ŋʊŋ˧˥ti:t˧
廱	jʊŋ˥
冥府	mɪŋ˨˩fu:˧˥
言語	ji:n˨˩jy:˩˧
藏污納垢	tsʰɔ:ŋ˨˩wu:˥na:p˨kɐu˧,tsʰɔ:ŋ˨˩wu:˥la:p˨kɐu˧
煙仔檔	ji:n˥tsɐi˧˥tɔ:ŋ˧
官僚政治	ku:n˥li:u˨˩tsɪŋ˧tsi:˨
疣豬	jɐu˨˩tsy:˥
軍管	kwɐn˥ku:n˧˥
