矋	li˥˩
㝟	mɑʊ˥˩,u˨˩˦,mɑʊ˧˥
䟡	ti˥˩
锁	suɔ˨˩˦
媒	meɪ˧˥
蜯	pɑŋ˥˩
棃	li˧˥
掿	nuɔ˥˩
丑	ʈʂʰoʊ˨˩˦
畎田	tɕʰɥœn˨˩˦tʰjɛn˧˥
进	tɕɪn˥˩
政权	ʈʂɤŋ˥˩tɕʰɥœn˧˥
藕	oʊ˨˩˦
揇	nan˨˩˦
响应	ɕjɑŋ˨˩˦ɪŋ˥˩
髷	tɕʰy˥˥
磕碰	kʰɤ˥˥pʰɤŋ˥˩
开怀畅饮	kʰaɪ˥˥xuaɪ˧˥ʈʂʰɑŋ˥˩ɪn˨˩˦
印鉴	ɪn˥˩tɕjɛn˥˩
做诗	tsuɔ˥˩ʂɚ˥˥
䜼	ku˧˥
鼸	ɕjɛn˨˩˦
调解	tʰjɑʊ˧˥tɕjɛ˨˩˦
随心所欲	sweɪ˧˥ɕɪn˥˥suɔ˨˩˦y˥˩
烘	xʊŋ˥˥
粗	tsʰu˥˥
腹鳍	fu˥˩tɕʰi˧˥
患	xwan˥˩
䑲	ʈʂaɪ˧˥,ʈʂʰɤ˥˩,ʈʂɑʊ˥˩
伂	pʰeɪ˥˩
兽圈	ʂoʊ˥˩tɕɥœn˥˩
站长	ʈʂan˥˩ʈʂɑŋ˨˩˦
机翼	tɕi˥˥i˥˩
柌	tsʰɯ˧˥
就绪	tɕjoʊ˥˩ɕy˥˩
誊	tʰɤŋ˧˥
缉查	tɕi˥˥ʈʂʰa˧˥,tɕʰi˥˩ʈʂʰa˧˥
憯	tsʰan˨˩˦
镾	mi˧˥
周四	ʈʂoʊ˥˥sɯ˥˩
䑰	pu˥˩
嚣张	ɕjɑʊ˥˥ʈʂɑŋ˥˥
自爱	tsɯ˥˩aɪ˥˩
㔪	lu˨˩˦
䯥	an˥˩,tɕʰi˥˩
工业革命	kʊŋ˥˥jɛ˥˩kɤ˧˥mɪŋ˥˩
婚筵	xuən˥˥jɛn˧˥
泤	sɯ˥˩
超人	ʈʂʰɑʊ˥˥ʐən˧˥
仼	wɑŋ˧˥
扎紧	tsa˥˥tɕɪn˨˩˦
䰊	pɔ˧˥
风险投资	fɤŋ˥˥ɕjɛn˨˩˦tʰoʊ˧˥tsɯ˥˥
㚣	ɕjɑʊ˧˥
七成	tɕʰi˥˥ʈʂʰɤŋ˧˥
妩	u˨˩˦
㠸	kʰu˥˩
冿	tɕjɛn˥˥
潮港	ʈʂʰɑʊ˧˥kɑŋ˨˩˦
想起	ɕjɑŋ˨˩˦tɕʰi˨˩˦
雫	na˨˩˦
嵑	tɕjɛ˧˥,xɤ˧˥,tɕɥœ˧˥
鑫	ɕɪn˥˥,ɕyn˥˩
㰵	tsu˧˥
空荡荡	kʰʊŋ˥˥tɑŋ˥˩tɑŋ˥˩
笄年	tɕi˥˥njɛn˧˥
拒	tɕy˥˩,tɕy˨˩˦
得幸	tɤ˧˥ɕɪŋ˥˩
下碇	ɕja˥˩tɪŋ˥˩
壧	jɛn˧˥
奖	tɕjɑŋ˨˩˦
扒	pʰa˥˥,pa˥˥,pʰa˧˥
