呼呼	xu˥˥xu˥˥
䟼	u˨˩˦
菛	mən˧˥
頸椎	tɕɪŋ˨˩˦ʈʂweɪ˥˥
㗒	aɪ˥˩
昖	jɛn˧˥
反戰分子	fan˨˩˦ʈʂan˥˩fən˥˩tsɯ˧,fan˨˩˦ʈʂan˥˩fən˥˩tsɯ˨˩˦
暢通	ʈʂʰɑŋ˥˩tʰʊŋ˥˥
畺	tɕjɑŋ˥˥
晚會	wan˨˩˦xweɪ˥˩
眨	ʈʂa˨˩˦
䑧	fu˧˥
軻	kʰɤ˥˥
丟面子	tjoʊ˥˥mjɛn˥˩tsɯ˧
虁	kʰweɪ˧˥
捅嘍子，捅漏子	tʰʊŋ˨˩˦loʊ˧˥tsɯ˧
趘	ɕi˧˥
跑	pɔ˧˥,pʰɑʊ˨˩˦,pʰɑʊ˧˥
反響	fan˨˩˦ɕjɑŋ˨˩˦
上個禮拜	ʂɑŋ˥˩kɤ˧li˨˩˦paɪ˥˩
㲜	tʰan˧˥,tʰan˨˩˦
玖	tɕjoʊ˨˩˦
則個	tsɤ˧˥kɤ˥˩
㼍	leɪ˨˩˦
丹田	tan˥˥tʰjɛn˧˥
緩	xwan˨˩˦
乙酉年	i˨˩˦joʊ˨˩˦njɛn˧˥
蕂	ʂɤŋ˥˩
押金	ja˥˥tɕɪn˥˥
搌布	ʈʂan˨˩˦pu˥˩
䭿	i˥˩
㐖	jɛ˥˩
磤	ɪn˥˥,ɪn˨˩˦
刎	uən˨˩˦
渮	kɤ˥˥
愁	ʈʂʰoʊ˧˥
行當	xɑŋ˧˥tɑŋ˥˩
小妞	ɕjɑʊ˨˩˦njoʊ˥˥
空隙	kʰʊŋ˥˥ɕi˥˩
吾家	u˧˥tɕja˥˥
交與	tɕjɑʊ˥˥y˨˩˦
鰔	tɕjɛn˨˩˦
蝝	ɥœn˧˥
㽩	tsʰɑʊ˥˩,tsʰan˥˩
胃酸	weɪ˥˩swan˥˥
攙	ʈʂʰan˥˥
代溝	taɪ˥˩koʊ˥˥
鷷	tsuən˥˥
趕鴨子	kan˨˩˦ja˥˥tsɯ˧
㓢	luɔ˥˩
跾	ʂu˧˥
𫛸	tʰi˧˥
慍色	yn˥˩sɤ˥˩
有機體	joʊ˨˩˦tɕi˥˥tʰi˨˩˦
鼧	tʰuɔ˧˥
翹辮子	tɕʰjɑʊ˥˩pjɛn˥˩tsɯ˧
岔口	ʈʂʰa˥˩kʰoʊ˨˩˦
跫	tɕʰjʊŋ˧˥,tɕʰjɑŋ˥˥,tɕʰjʊŋ˥˥
詉	nɑʊ˧˥
糠	kʰɑŋ˥˥
昱	y˥˩,i˥˩
秘書	mi˥˩ʂu˥˥
藅	fa˧˥
鬧市區	nɑʊ˥˩ʂɚ˥˩tɕʰy˥˥
血漿	ɕɥœ˥˩tɕjɑŋ˥˥
做夢	tsuɔ˥˩mɤŋ˥˩
刪節	ʂan˥˥tɕjɛ˧˥
藉故	tɕjɛ˥˩ku˥˩
一念之間	i˧˥njɛn˥˩ʈʂɚ˥˥tɕjɛn˥˥
蘘荷	ʐɑŋ˧˥xɤ˧˥
驝	tʰuɔ˥˥
床	ʈʂʰwɑŋ˧˥
符節	fu˧˥tɕjɛ˧˥
橢圓形	tʰuɔ˨˩˦ɥœn˧˥ɕɪŋ˧˥
䚻	jɑʊ˧˥
湏	xweɪ˥˩
䄇	ʈʂʰɤŋ˧˥
垶	ɕɪŋ˥˥
㢎	ʈʂɤ˧˥,ʈʂaɪ˧˥,ʈʂʰa˥˩,tsɤ˧˥
提心吊膽	tʰi˧˥ɕɪn˥˥tjɑʊ˥˩tan˨˩˦
妥	tʰuɔ˨˩˦
忿忿不平	fən˥˩fən˥˩pu˥˩pʰɪŋ˧˥
騉	kʰuən˥˥
海岸炮	xaɪ˨˩˦an˥˩pʰɑʊ˥˩
羽絨	y˨˩˦ʐʊŋ˧˥
簕	lɤ˥˩
螻	loʊ˧˥
娛樂圈	y˧˥lɤ˥˩tɕʰɥœn˥˥
踨	tsʊŋ˥˥
消防	ɕjɑʊ˥˥fɑŋ˧˥
㣬	tɕʰi˥˩
鞱	tʰɑʊ˥˥
大端	ta˥˩twan˥˥
密髮	mi˥˩fa˥˩,mi˥˩fa˨˩˦
