а	ʔaː
абадз	aːbaːd͡z
абакъэ	aːbaːqa
абан	aːbaːn
абас	aːbaːs
абдзах	aːbd͡zaːx
абрагъу	aːbraːʁʷ
абрадж	aːbraːd͡ʒ
абрамыжъу	aːbraːməʐʷ
абхъаз	aːbχaːz
абыкъу	aːbəqʷ
абэгъоплъ	aːbaʁʷapɬ
абэдзэкъуай	aːbad͡zaqʷaːj
абэуйэй	abawjaj
агурджашъу	aːɡʷərd͡ʒaːʂʷ
агъо	aːʁʷa
агъунэр	aːʁʷənar
аддэ	aːdda
аджал	aːd͡ʒaːl
аджар	aːd͡ʒaːr
адрабгъу	aːdəraːbʁʷ
ады	ʔaːdə
адыгагъ	aːdəɣaːʁ
адыгэ	aːdəɣa
адыгэбзэ	aːdəɣabza
адыгэкъэб	aːdəɣaqab
адыгэхэ	aːdəɣaxa
адырабгъу	aːdəraːbʁʷ
адэ	aːda
адэбз	aːdabz
адэкӏо	aːdakʷʼa
адэм	ʔaːdam
адэхъу	aːdaχʷ
ае	aːja
азыфагу	aːzəfaːɡʷ
азэ	aːza
азэнадж	aːzanaːd͡ʒ
ай	aːj
акул	aːkʷəl
акъужъ	aːqʷəʐ
акъуш	aːqʷəʃ
акъыл	ʔaːqəl
акъылыгъу	aːqələʁʷ
ал	aːl
алашэ	aːlaːʃa
алъмэкъ	aːɬmaq
алыркъэб	aːlərqab
алырэгъу	aːləraʁʷ
алырэгъушӏ	aːləraʁʷʃʼ
алэдышъ	aːladəʂ
амал	aːmaːl
амдэз	aːmdaz
амылкъан	aːməlqaːn
амырмэ	aːmarma
амышӏэр	aːməʃʼar
амыщ	aːməɕ
амэ	aːma
амэрмэ	aːmarma
анай	aːnaːj
анахь	aːnaːħ
анджэрэф	aːnd͡ʒaraf
анезе	anajzaj
антыр	aːntər
анэ	ʔaːna
анэбзыу	anabzəw
анэбзэ	aːnabza
анэдэлъфыбзэ	aːnadaɬfəbza
анэл	aːnal
анэу	aːnaw
анэхь	aːnaħ
анэш	ʔaːnaʃ
анэшыпхъу	ʔaːnaʃəpχʷ
апкь	aːpkʲ
апкӏмыжъ	aːpkʲməʐʷ
апкӏмыжъ	aːpt͡ʃməʐʷ
апкӏхалъхь	aːpkʲxaːɬħ
апкӏхалъхь	aːpt͡ʃxaːɬħ
апкӏхьэн	aːpkʲħan
апкӏхьэн	aːpt͡ʃħan
апкӏшъхьэтэт	aːpkʲʂħatat
апкӏшъхьэтэт	aːpt͡ʃʂħatajt
апс	aːps
апхъурэлъф	aːpχʷəraɬf
апч	aːpt͡ʃ
апшъ	aːpʂ
апшъышъ	ʔaːpʂəʂ
апшъэр	aːpʂar
апэ	aːpa
апэрэ	aːpara
апэрэу	aːparaw
апӏэ	aːpʼa
ар	aːr
арап	aːraːp
арба	arbaː
аргъой	aːrʁʷaj
аргъойпаӏу	aːrʁʷajaːʔʷ
