die	di
en	ɛn
van	fɐn
is	əs
het	hɛt
in	ən
nie	ni
n	ɛn
te	tə
wat	vɐt
om	ɔm
vir	fər
Die	di
met	mɛt
op	ɔp
word	vɔrt
dit	dət
ons	õns
se	sə
dat	dɐt
sy	sɛɪ
as	ɐs
aan	ɑːn
kan	kɐn
hulle	hœlə
was	vɐs
ek	æk
ook	ʊək
jy	jɛɪ
sal	sɐl
jou	jəʊ
by	bɛɪ
of	ɔf
my	mɛɪ
hy	hɛɪ
na	nɑː
maar	mɑːr
deur	døər
oor	ʊər
Ek	æk
moet	mut
daar	dɑːr
Dit	dət
gaan	xɑːn
tot	tɔt
hierdie	hirdi
so	sʊə
uit	øyt
net	nɛt
baie	baɪə
Hy	hɛɪ
soos	sʊəs
wees	viəs
meer	miər
haar	hɑːr
al	ɐl
toe	tu
God	xɔt
mense	mẽnsə
een	iən
ander	ɐndər
maak	mɑːk
sê	seː
Ons	õns
nog	nɔx
wil	vəl
nou	nəʊ
jaar	jɑːr
hul	hœl
kom	kɔm
hom	hɔm
In	ən
dan	dɐn
waar	vɑːr
hoe	hu
doen	dun
weer	viər
teen	tiən
julle	jœlə
groot	xrʊət
begin	bəxən
twee	twiə
lewe	liəvə
werk	værk
Sy	sɛɪ
laat	lɑːt
En	ɛn
sien	sin
mens	mẽns
voor	fʊər
eerste	iərstə
Daar	dɑːr
gebruik	xəbrøyk
saam	sɑːm
onder	ɔnər
nuwe	nyvə
kry	krɛɪ
As	ɐs
ŉ	lɛtəriənfiːrniəxə
dié	di
sou	səʊ
tyd	tɛɪt
weet	viət
af	ɐf
hier	hiːr
Maar	mɑːr
kon	kɔn
gee	xiə
elke	ælkə
tussen	tœsən
Hierdie	hirdi
Jesus	jiːsœs
deel	diəl
dag	dɐx
eie	ɛɪə
kinders	kəndərs
gesê	xəseː
Hulle	hœlə
hou	həʊ
want	vɐnt
egter	æxtər
dink	dəŋk
goed	xut
geen	xiən
iets	its
staan	stɑːn
omdat	ɔmdɐt
almal	ɐlmɐl
My	mɛɪ
bly	blɛɪ
Dis	dəs
Jy	jɛɪ
Here	hiərə
gemaak	xəmɑːk
alles	ɐləs
keer	kiər
wanneer	vɐniər
kyk	kɛɪk
neem	niəm
u	y
goeie	xuɪə
alle	ɐlə
reeds	riəts
altyd	ɐltɛɪt
enige	iənəxə
wêreld	væːrəlt
dus	dœs
land	lɐnt
drie	dri
glo	xlʊə
man	mɐn
Wat	vɐt
plek	plæk
sonder	sɔnər
volgende	fɔlxəndə
daardie	dɑːrdi
moes	mus
paar	pɑːr
huis	høys
help	hælp
gehad	xəhɐt
mag	mɐx
plaas	plɑːs
self	sælf
eers	iərs
sit	sət
wie	vi
terwyl	tərvɛɪl
daarvan	dɑːrfɐn
gedoen	xədun
reg	ræx
steeds	stiəts
nooit	nʊɪt
Christus	xrəstœs
hele	hiələ
selfs	sælfs
hê	heː
vra	frɑː
ou	əʊ
ten	tɛn
probeer	prubiər
mekaar	məkɑːr
Op	ɔp
raak	rɑːk
stel	stæl
praat	prɑːt
voel	ful
veral	fərɐl
dieselfde	disælfdə
vrou	frəʊ
dis	dəs
iemand	imɐnt
pad	pɐt
dinge	dəŋə
wel	væl
vandag	fɐndɐx
sodat	sʊədɐt
Van	fɐn
vertel	fərtæl
dood	dʊət
lees	liəs
liefde	lifdə
dalk	dɐlk
leer	liər
lank	lɐŋk
slegs	slæxs
Vir	fər
lyk	lɛɪk
ontvang	ɔntfɐŋ
per	pər
kerk	kærk
seker	siəkər
nodig	nʊədəx
bied	bit
boek	buk
beste	bɛstə
besluit	bəsløyt
lekker	lækər
water	vɑːtər
terug	trœx
niks	nəks
bestaan	bəstɑːn
tydens	tɛɪdəns
Hom	hɔm
beter	biətər
speel	spiəl
skryf	skrɛɪf
gebeur	xəbøər
Om	ɔm
So	sʊə
geld	xælt
binne	bənə
kind	kənt
Met	mɛt
vind	fənt
klein	klɛɪn
