ላይ	lˈaj
እና	ʔˈɨna
ውስጥ	wˈɨsɨt`
እንደ	ʔˈɨnɨdə
ወደ	wˈədə
ግን	ɡˈɨn
ወይም	wˈəjɨm
ጊዜ	ɡˈize
ጋር	ɡˈar
በኋላ	bˈəhwala
ነው	nˈəw
ሲሆን	sˈihon
አንድ	ʔˈanɨd
ደግሞ	dˈəɡɨmo
ይህ	jˈɨx
ዘመን	zˈəmən
እስከ	ʔˈɨsɨkə
ብዙ	bˈɨzu
መንግሥት	mˈənɨɡɨsɨt
በዚህ	bˈəziç
ነገር	nˈəɡər
ድረስ	dˈɨrəs
ሰው	sˈəw
ማለት	mˈalət
ስለ	sˈɨlə
ሁሉ	hˈulu
ብቻ	bˈɨt͡ʃa
ዓክልበ	ʔˈakɨlɨβə
ሰዎች	sˈəwot͡ʃ
ልጅ	lˈɨd͡ʒ
ከተማ	kˈətəma
ንጉሥ	nˈɨɡus
ቀን	k`ˈən
ሆኖ	hˈono
ስም	sˈɨm
ቤት	bˈet
ነበር	nˈəβər
ዓመት	ʔˈamət
በላይ	bˈəlaj
ከዚህ	kˈəziç
እንዲሁም	ʔˈɨnɨdihum
ዘንድ	zˈənɨd
አገር	ʔˈaɡər
መካከል	mˈəkakəl
ዋና	wˈana
ሁለት	hˈulət
ዓም	ʔˈam
ታሪክ	tˈarik
ቁጥር	k`ˈut`ɨr
በጣም	bˈət`am
አሁን	ʔˈahun
ያለው	jˈaləw
ዓመታት	ʔˈamətat
ጀምሮ	d͡ʒˈəmɨro
ክፍል	kˈɨfɨl
ሆነ	hˈonə
በ	bˈə
አዲስ	ʔˈadis
ሌላ	lˈela
በፊት	bˈəfit
ምክንያት	mˈɨkɨnɨjat
ቋንቋ	k`wˈanɨk`wa
አንዱ	ʔˈanɨdu
አይነት	ʔˈajɨnət
ፊደል	fˈidəl
ቤተ	bˈetə
የኢትዮጵያ	jˈəʔitɨjop`ɨja
እንጂ	ʔˈɨnɨd͡ʒi
ከፍተኛ	kˈəfɨtəɲa
ብሎ	bˈɨlo
ቦታ	bˈota
ይህን	jˈɨhɨn
ትምህርት	tˈɨmɨhɨrɨt
ምንም	mˈɨnɨm
ሌሎች	lˈelot͡ʃ
ልዩ	lˈɨju
የ	jˈə
ከዚያ	kˈəzija
እንዲህ	ʔˈɨnɨdiç
ስለዚህ	sˈɨləziç
ይህም	jˈɨhɨm
ደረጃ	dˈərəd͡ʒa
ወቅት	wˈək`ɨt
ሆኖም	hˈonom
ቃል	k`ˈal
የተለያዩ	jˈətələjaju
ቅዱስ	k`ˈɨdus
ብለው	bˈɨləw
ጦርነት	t`ˈorɨnət
የሚል	jˈəmil
ያህል	jˈahɨl
ያለ	jˈalə
ኢትዮጵያ	ʔˈitɨjop`ɨja
የሚሰጡዋቸውን	jˈəmisət`uwat͡ʃəwɨn
አካባቢ	ʔˈakaβaβi
እነዚህ	ʔˈɨnəziç
መንገድ	mˈənɨɡəd
አመት	ʔˈamət
ለምሳሌ	lˈəmɨsale
ሁኔታ	hˈuneta
የሆነ	jˈəhonə
ሕዝብ	hˈɨzɨb
በአንድ	bˈəʔanɨd
ክርስቲያን	kˈɨrɨsɨtijan
እጅግ	ʔˈɨd͡ʒɨɡ
ግዛት	ɡˈɨzat
በተለይ	bˈətələj
ተብሎ	tˈəβɨlo
ልጆች	lˈɨd͡ʒot͡ʃ
ከ	kˈə
