a	ɑː
abad	ɑːbɑːd
abecede	ɑːbeːkeːdeː
abelgan	ɑːbelɡɑn
abeodan	ɑːbe͜oːdɑn
aberan	ɑːberɑn
aberendlic	ɑːberendliːt͡ʃ
abidan	ɑːbiːdɑn
abraham	ɑbrɑxɑm
abrastlian	ɑːbrɑstliɑn
abrecan	ɑːbrekɑn
abredwian	ɑːbredwiɑn
abreoþan	ɑːbre͜oːθɑn
abroþen	ɑːbroθen
abroþennes	ɑːbroθennes
abroþennys	ɑːbroθennys
abufan	ɑbuːfɑn
abugan	ɑːbuːɡɑn
ac	ɑk
ac	ɑːk
acan	ɑkɑn
accent	ɑkkent
acennan	ɑːkennɑn
acennedlic	ɑːkennedliːt͡ʃ
acierran	ɑːt͡ʃi͜yrrɑn
acnyssan	ɑːknyssɑn
acol	ɑːkol
acsian	ɑːksiɑn
acsung	ɑːksunɡ
acumendlic	ɑːkumendliːt͡ʃ
acwelan	ɑːkwelɑn
acwelaþ	ɑːkwelɑθ
acwele	ɑːkwele
acwelen	ɑːkwelen
acweorna	ɑːkwe͜ornɑ
acweorran	ɑːkwe͜orrɑn
acweþan	ɑːkweθɑn
acwician	ɑːkwikiɑn
acwilþ	ɑːkwilθ
acwinan	ɑːkwiːnɑn
acwincan	ɑːkwinkɑn
acwolen	ɑːkwolen
acwæl	ɑːkwæl
acwæle	ɑːkwæːle
acwælon	ɑːkwæːlon
acyrran	ɑːt͡ʃyrrɑn
acyrrednes	ɑːt͡ʃyrrednes
ad	ɑːd
adeadian	ɑːdæ͜ɑːdiɑn
adeliht	ɑdelixt
ademan	ɑːdeːmɑn
adesa	ɑdesɑ
adihtan	ɑːdixtɑn
adilegian	ɑːdileɡiɑn
adilgian	ɑːdilɡiɑn
adl	ɑːdl
adlian	ɑːdliɑn
adlieg	ɑːdli͜yːj
adlig	ɑːdlij
adrencan	ɑːdrent͡ʃɑn
adreogan	ɑːdre͜oːɡɑn
adrincan	ɑːdrinkɑn
adustrian	ɑduːstriɑn
adælan	ɑːdæːlɑn
afaran	ɑːfɑrɑn
affrica	ɑffrikɑ
afigen	ɑːfijen
afol	ɑfol
afon	ɑːfoːn
afor	ɑːfor
afremdan	ɑːfremdɑn
afremdung	ɑːfremdunɡ
afulic	ɑfuliːt͡ʃ
afyllan	ɑːfyllɑn
agalan	ɑːɡɑlɑn
agan	ɑːɡɑn
agan	ɑːɡɑːn
agangan	ɑːɡɑnɡɑn
agen	ɑjeːn
agen	ɑːɡen
agend	ɑːɡend
agendfrea	ɑːɡendfræ͜ɑː
agengecyrran	ɑjeːnjet͡ʃyrrɑn
agengehweorfan	ɑjeːnjexwe͜orfɑn
agenslaga	ɑːɡenslɑɡɑ
agenspræc	ɑːɡenspræːt͡ʃ
agenung	ɑːɡenunɡ
agiefan	ɑːji͜yfɑn
agiemeleasian	ɑːji͜yːmelæ͜ɑːsiɑn
agifan	ɑːjifɑn
aglæca	ɑːɡlæːt͡ʃɑ
agnettan	ɑːɡnettɑn
agnian	ɑːɡniɑn
agrapian	ɑːɡrɑːpiɑn
agrisan	ɑːɡriːsɑn
agymeleasian	ɑːjyːmelæ͜ɑːsiɑn
ah	ɑx
ahabban	ɑːxɑbbɑn
ahatan	ɑːxɑːtɑn
aheardian	ɑːxæ͜ɑrdiɑn
aheardung	ɑːxæ͜ɑrdunɡ
aheawan	ɑːxæ͜ɑːwɑn
ahebban	ɑːxebbɑn
ahierdan	ɑːxi͜yrdɑn
ahierding	ɑːxi͜yrdinɡ
ahlehhan	ɑːxlexxɑn
ahleoþrian	ɑːxle͜oːθriɑn
ahliehhan	ɑːxli͜yxxɑn
ahon	ɑːxoːn
ahreran	ɑːxreːrɑn
ahte	ɑːhte
ahweorfan	ɑːxwe͜orfɑn
ahycgan	ɑːxyjjɑn
ahyrdan	ɑːxyrdɑn
al	ɑːl
alan	ɑlɑn
ald	ɑld
alda	ɑldɑ
aldor	ɑldor
aldorleas	ɑldorlæ͜ɑːs
aldwine	ɑldwine
alecgan	ɑːlejjɑn
alegd	ɑːlejd
alfæt	ɑːlfæt
alh	ɑlx
alibban	ɑlibbɑn
alibbend	ɑlibbend
aliefan	ɑːli͜yːfɑn
aliesan	ɑːli͜yːsɑn
alimpan	ɑːlimpɑn
all	ɑll
alles	ɑlles
allic	ɑlliːt͡ʃ
alor	ɑlor
alyfan	ɑːlyːfɑn
alysan	ɑːlyːsɑn
alædan	ɑːlæːdɑn
amarian	ɑːmɑriɑn
amasian	ɑːmɑsiɑn
ambeaht	ɑmbæ͜ɑxt
ambeht	ɑmbext
ambehtan	ɑmbextɑn
amber	ɑmber
ambiht	ɑmbixt
amearcian	ɑːmæ͜ɑrkiɑn
ametan	ɑːmetɑn
ametendlic	ɑːmetendliːt͡ʃ
amierran	ɑːmi͜yrrɑn
amirran	ɑːmirrɑn
amore	ɑmore
ampella	ɑmpellɑ
an	ɑːn
anad	ɑːnɑd
anbugan	ɑnbuːɡɑn
anbyrdnes	ɑnbyrdnes
ancenned	ɑːnkenned
ancleo	ɑnkle͜oː
ancleow	ɑnkle͜oːw
ancor	ɑnkor
ancuman	ɑnkumɑn
and	ɑnd
anda	ɑndɑ
andcweþan	ɑndkweθɑn
andcwiss	ɑndkwiss
andefera	ɑndeferɑ
andefn	ɑndefn
andelbære	ɑndelbæːre
andettan	ɑndettɑn
andfang	ɑndfɑnɡ
andfenge	ɑndfenje
andgiet	ɑndji͜yt
andgiete	ɑndji͜yte
andgietol	ɑndji͜ytol
andgiettacen	ɑndji͜yttɑːken
andgit	ɑndjit
andgitfullice	ɑndjitfulliːt͡ʃe
andhweorfan	ɑndxwe͜orfɑn
