de	de
a	ˈa
en	en
y	jˈe
que	kɛ
o	ˈo
ye	jɛ
se	se
os	os
con	kon
un	ˈun
una	ˈuna
la	la
por	poɾ
A	ˈa
as	ˈas
lo	lo
como	kˌomo
suya	sˈuja
u	ˈu
En	en
O	ˈo
no	nˈo
son	sˈon
ta	ta
ha	ˈa
suyo	sˈujɔ
d	dˈe
mas	mˈas
tamién	tamjˈen
Os	os
población	pˌoβlaθjˈon
l	ˈɛle
los	los
habitants	ˌaβitˈantʰs
las	las
dos	dˈos
Ye	jɛ
entre	ˈentɾe
pa	pa
fa	fˈa
La	la
As	ˈas
bi	bi
más	mˈas
pero	pˈeɾo
Se	se
yera	jˈɛɾa
estió	estjˈo
nombre	nˈombɾe
dende	dˈende
estar	estˈaɾ
gran	ɣɾˈan
forma	fˈoɾma
encara	enkˈaɾa
i	ˈi
dica	dˈika
parte	pˈaɾte
suyos	sˈujɔs
Tamién	tamjˈen
puet	pwˈɛtʰ
sobre	sˈoβɾe
per	peɾ
suyas	sˈujas
dimpués	dimpwˈes
ciudat	θjuðˈatʰ
fan	fˈan
quan	kwan
pueden	pwˈɛðen
on	on
ya	jˈa
tien	tjˈɛn
troba	tɾˈoβa
diferents	dˌifeɾˈentʰs
termin	tˈeɾmin
atros	ˈatɾos
mesmo	mˈesmo
més	mˈes
parti	pˈaɾti
tot	tˈotʰ
luenga	lwˈɛnɡa
servir	seɾβˈiɾ
han	ˈan
fer	fˈeɾ
atras	ˈatɾas
fue	fwˈɛ
tienen	tjˈɛnen
aragonés	ˌaɾaɣonˈes
ista	ˈista
anyos	ˈaɲɔs
Bi	bi
mientres	mjˈɛntɾes
e	ˈe
lugar	luɣˈaɾ
Manimenos	mˌanimˈenos
baixo	bˈaʃo
bells	bels
luengas	lwˈɛnɡas
tres	tɾˈes
latín	latˈin
Por	poɾ
del	dˈel
puesto	pwˈɛsto
si	sˈi
mes	mes
totz	tˈoθ
Lo	lo
iste	ˈiste
enta	ˈenta
muitos	muˈitos
primera	pɾimˈeɾa
municipal	mˌuniθipˈal
primer	pɾimˈeɾ
muit	muˈitʰ
sieglo	sjˈɛɣlo
yeran	jˈɛɾan
nomás	nomˈas
sin	sin
río	rˈio
feito	fˈe͡ɪto
lugars	luɣˈas
mayor	majˈɔɾ
Sant	sˈantʰ
país	paˈis
Un	ˈun
Una	ˈuna
francés	fɾanθˈes
Dimpués	dimpwˈes
diz	dˈiθ
heba	ˈeβa
muito	muˈito
Zaragoza	θˌaɾaɣˈoθa
numero	numˈeɾo
mundo	mˈundo
asinas	asˈinas
Los	los
puede	pwˈɛðe
grans	ɣɾˈans
metros	mˈetɾos
norte	nˈoɾte
cada	kˈaða
grupo	ɣɾˈupo
estato	estˈato
Aragón	ˌaɾaɣˈon
formas	fˈoɾmas
estau	estˈa͡ʊ
sobén	soβˈen
caso	kˈaso
el	el
eixemplo	eʃˈemplo
traza	tɾˈaθa
zona	θˈona
cheneral	t͡ʃˌeneɾˈal
tiempo	tjˈɛmpo
qui	ki
capital	kˌapitˈal
traviés	tɾaβjˈes
vida	bˈiða
bien	bjˈɛn
important	ˌimpoɾtˈantʰ
sud	sˈu
muitas	muˈitas
part	pˈaɾtʰ
estando	estˈando
regular	rˌeɣulˈaɾ
contra	kˈontɾa
sistema	sistˈema
Dende	dˈende
ixo	ˈiʃo
Ista	ˈista
menos	mˈenos
Con	kon
bellas	bˌeʎas
seguntes	seɣˈuntes
le	le
verbos	bˈeɾβos
parola	paɾˈola
El	el
I	ˈi
superficie	sˌupeɾfˈiθjɛ
m	ˈɛme
rechión	ret͡ʃjˈon
mayoría	mˌajɔɾˈia
tanto	tˈanto
No	nˈo
ilesia	ilˈesja
alto	ˈalto
prou	pɾˈow
Iste	ˈiste
fació	faθjˈo
territorio	tˌeritˈoɾjɔ
millons	miʎˈons
tener	tenˈeɾ
casa	kˈasa
historia	istˈoɾja
teneba	tenˈeβa
periodo	peɾjˈɔðo
casos	kˈasos
castellán	kˌasteʎˈan
mesma	mˈesma
poder	poðˈeɾ
dito	dˈito
Como	kˌomo
centro	θˈentɾo
Encara	enkˈaɾa
meyo	mˈejɔ
países	paˈises
gosa	ɣˈosa
guerra	ɡˈɛra
quantos	kwˈantos
veiga	bˈe͡ɪɣa
segunda	seɣˈunda
tiene	tjˈɛne
verbo	bˈeɾβo
chunto	t͡ʃˈunto
obra	ˈoβɾa
troban	tɾˈoβan
tipo	tˈipo
Ta	ta
bell	bel
Actualment	ˌaktwalmˈentʰ
rei	rˈe͡ɪ
quasi	kwˈasi
zonas	θˈonas
Entre	ˈentɾe
cinta	θˈinta
parolas	paɾˈolas
arredol	ˌareðˈol
conchunto	kont͡ʃˈunto
personas	peɾsˈonas
punto	pˈunto
color	kolˈoɾ
especies	espˈeθjɛs
este	ˈeste
ixe	ˈiʃe
puestos	pwˈɛstos
dita	dˈita
día	dˈia
estioron	estjˈɔɾon
vegadas	beɣˈaðas
común	komˈun
partir	paɾtˈiɾ
Estió	estjˈo
Quan	kwan
toponimo	tˌoponˈimo
Las	las
Santa	sˈanta
primers	pɾimˈes
val	bˈal
conoixito	kˌonoʃˈito
grupos	ɣɾˈupos
man	mˈan
uns	ˈuns
carrera	karˈeɾa
tiempos	tjˈɛmpos
municipio	mˌuniθˈipjɔ
Son	sˈon
Tien	tjˈɛn
ni	ni
textos	tˈekstos
