ա	ɑ
աա	ɑɑ
աաակ	ɑɑɑk
աաբ	ɑɑbə
աագ	ɑɑɡə
աագխ	ɑɑɡəχə
աաի	ɑɑi
աախ	ɑɑχə
աած	ɑɑt͡sə
աակ	ɑɑkə
աահ	ɑɑhə
աահհի	ɑɑhəhəi
աան	ɑɑnə
աապ	ɑɑpə
աապբ	ɑɑpəbə
աապվ	ɑɑpəvə
աառ	ɑɑrə
աբա	ɑbɑ
աբադան	ɑbɑdɑn
աբալովկա	ɑbɑlɔfkɑ
աբական	ɑbɑkɑn
աբայ	ɑbɑj
աբանոս	ɑbɑnɔs
աբաջյան	ɑbɑd͡ʒjɑn
աբաս	ɑbɑs
աբասանոց	ɑbɑsɑnɔt͡sʰ
աբասթուման	ɑbɑstʰumɑn
աբասի	ɑbɑsi
աբարան	ɑbɑɾɑn
աբարանցի	ɑbɑɾɑnt͡sʰi
աբբա	ɑbːɑ
աբբահայր	ɑbːɑhɑjɾ
աբբայական	ɑbːɑjɑkɑn
աբբայարան	ɑbːɑjɑɾɑn
աբբայություն	ɑbːɑjutʰjun
աբբայուհի	ɑbːɑjuhi
աբգար	ɑbɡɑɾ
աբեթ	ɑbɛtʰ
աբեթասունկ	ɑbɛtʰɑsuŋk
աբեթենի	ɑbɛtʰɛni
աբել	ɑbɛl
աբեղա	ɑbɛʁɑ
աբեղաթող	ɑbɛʁɑtʰɔʁ
աբեղախոտ	ɑbɛʁɑχɔt
աբեղաձագ	ɑbɛʁɑd͡zɑkʰ
աբեղայական	ɑbɛʁɑjɑkɑn
աբեղայակերպ	ɑbɛʁɑjɑkɛɾp
աբեղայություն	ɑbɛʁɑjutʰjun
աբեղացու	ɑbɛʁɑt͡sʰu
աբեղուկ	ɑbɛʁuk
աբերդին	ɑbɛɾdin
աբիջան	ɑbid͡ʒɑn
աբիսողոմ	ɑbisɔʁɔm
աբխազ	ɑpʰχɑz
աբխազական	ɑpʰχɑzɑkɑn
աբխազերեն	ɑpʰχɑzɛɾɛn
աբխազիա	ɑpʰχɑzjɑ
աբո	ɑbɔ
աբոլիցիոնիզմ	ɑbɔlit͡sʰiɔnizm
աբոնեմենտ	ɑbɔnɛmɛnt
աբոնեմենտային	ɑbɔnɛmɛntɑjin
աբոնենտ	ɑbɔnɛnt
աբովյան	ɑbɔvjɑn
աբորտ	ɑbɔɾt
աբուջա	ɑbud͡ʒɑ
աբուռ	ɑbur
աբսոլյուտ	ɑpʰsɔljut
աբսոլյուտիզմ	ɑbsɔljutizm
աբսորբել	ɑpʰsɔɾbɛl
աբսուրդ	ɑpʰsuɾd
աբստրակտ	ɑpʰstɾɑkt
աբստրակցիա	ɑpʰstɾɑkt͡sʰjɑ
աբստրահել	ɑpʰstɾɑhɛl
աբստրահում	ɑpʰstɾɑhum
աբստրահվել	ɑpʰstɾɑhvɛl
աբրա	ɑbɾɑ
աբրահամ	ɑbɾɑhɑm
աբրահամյան	ɑbɾɑhɑmjɑn
աբրամ	ɑbɾɑm
աբրեշում	ɑbɾɛʃum
աբրեշումե	ɑbɾɛʃumɛ
աբրուցցո	ɑbɾut͡sʰːɔ
աբքայք	ɑpʰkʰɑjkʰ
ագա	ɑɡɑ
ագաթ	ɑɡɑtʰ
ագահ	ɑɡɑh
ագահաբար	ɑɡɑhɑbɑɾ
ագահանալ	ɑɡɑhɑnɑl
ագահել	ɑɡɑhɛl
ագահորեն	ɑɡɑhɔɾɛn
ագահություն	ɑɡɑhutʰjun
ագամեմնոն	ɑɡɑmɛmnɔn
ագանյա	ɑɡɑnjɑ
ագատ	ɑɡɑt
ագարակ	ɑɡɑɾɑk
ագարականալ	ɑɡɑɾɑkɑnɑl
ագարակացնել	ɑɡɑɾɑkɑt͡sʰnɛl
ագարտալա	ɑɡɑɾtɑlɑ
ագեվազ	ɑɡɛvɑz
ագի	ɑɡi
ագինսկոյե	ɑɡinskɔjɛ
ագն	ɑɡənə
ագնոստիկ	ɑɡnɔstik
ագնոստիցիզմ	ɑɡnɔstit͡sʰizm
ագոն	ɑɡɔn
ագույց	ɑɡujt͡sʰ
ագուռ	ɑɡur
ագուցահանել	ɑɡut͡sʰɑhɑnɛl
ագուցանել	ɑɡut͡sʰɑnɛl
ագուցավորել	ɑɡut͡sʰɑvɔɾɛl
ագուցել	ɑɡut͡sʰɛl
ագուցվել	ɑɡut͡sʰvɛl
ագռավ	ɑɡrɑv
ագռավանալ	ɑɡrɑvɑnɑl
ագրեգատավորել	ɑɡɾɛɡɑtɑvɔɾɛl
ագրեսիա	ɑɡɾɛsjɑ
ագրիպպաս	ɑɡɾipːɑs
ադամ	ɑdɑm
ադամաթուզ	ɑdɑmɑtʰuz
ադամանդ	ɑdɑmɑnd
ադամանդագործ	ɑdɑmɑndɑɡɔɾt͡s
ադամանդագործական	ɑdɑmɑndɑɡɔɾt͡sɑkɑn
ադամանդագործություն	ɑdɑmɑndɑɡɔɾt͡sutʰjun
ադամանդել	ɑdɑmɑndɛl
ադամանդվել	ɑdɑmɑndvɛl
ադանա	ɑdɑnɑ
ադլեր	ɑdlɛɾ
ադոնց	ɑdɔnt͡sʰ
ադրբեջան	ɑdəɾbɛd͡ʒɑn
ադրբեջանական	ɑdəɾbɛd͡ʒɑnɑkɑn
ադրբեջաներեն	ɑdəɾbɛd͡ʒɑnɛɾɛn
ադրբեջանցի	ɑdəɾbɛd͡ʒɑnt͡sʰi
ադրիանապոլիս	ɑdɾijɑnɑpɔlis
ադրիանոս	ɑdɾijɑnɔs
ազաբանալ	ɑzɑbɑnɑl
ազաբացնել	ɑzɑbɑt͡sʰnɛl
ազազանալ	ɑzɑzɑnɑl
ազազել	ɑzɑzɛl
ազատ	ɑzɑt
ազատագնել	ɑzɑtɑɡənɛl
ազատագնվել	ɑzɑtɑɡənvɛl
ազատագրել	ɑzɑtɑɡɾɛl
ազատագրում	ɑzɑtɑɡɾum
ազատագրվել	ɑzɑtɑɡəɾvɛl
ազատազրկել	ɑzɑtɑzəɾkɛl
ազատականացնել	ɑzɑtɑkɑnɑt͡sʰnɛl
ազատանի	ɑzɑtɑni
ազատել	ɑzɑtɛl
ազատություն	ɑzɑtutʰjun
ազատքեղ	ɑzɑtkʰɛʁ
ազբ	ɑzb
ազբ	ɑzəbə
ազբեստ	ɑzbɛst
ազգ	ɑzɡ
ազգագրական	ɑzɡɑɡəɾɑkɑn
ազգական	ɑzɡɑkɑn
ազգային	ɑzɡɑjin
ազգայնականություն	ɑzɡɑjnɑkɑnutʰjun
ազգայնացում	ɑzɡɑjnɑt͡sʰum
ազգանուն	ɑzɡɑnun
ազգասեր	ɑzɡɑsɛɾ
ազգեր	ɑzɡɛɾ
ազգերի	ɑzɡɛɾi
ազգություն	ɑzɡutʰjun
ազգուտակ	ɑzɡutɑk
ազդ	ɑzd
ազդակ	ɑzdɑk
ազդանշան	ɑzdɑnəʃɑn
ազդարար	ɑzdɑɾɑɾ
ազդարարել	ɑzdɑɾɑɾɛl
ազդել	ɑzdɛl
ազդեցիկ	ɑzdɛt͡sʰik
ազդեցություն	ɑzdɛt͡sʰutʰjun
ազդող	ɑzdɔʁ
ազդու	ɑzdu
ազդվել	ɑzdvɛl
ազդր	ɑzdəɾ
ազդրոսկր	ɑzdɾɔskəɾ
ազերի	ɑzɛɾi
ազիկ	ɑzik
ազնավոր	ɑznɑvɔɾ
ազնավուր	ɑznɑvuɾ
ազնիվ	ɑzniv
ազնվական	ɑznəvɑkɑn
ազնվամորի	ɑznəvɑmɔɾi
ազոխ	ɑzɔχ
ազոտ	ɑzɔt
ազորներ	ɑzɔɾnɛɾ
աթաբեկ	ɑtʰɑbɛk
աթեիզմ	ɑtʰɛjizm
աթեիստ	ɑtʰɛist
աթենք	ɑtʰɛŋkʰ
աթլաս	ɑtʰlɑs
աթլետիկա	ɑtʰlɛtikɑ
աթոռ	ɑtʰɔr
աթոռակ	ɑtʰɔrɑk
աթս	ɑtʰəsə
աժ	ɑʒə
աժան	ɑʒɑn
աժդահա	ɑʒdɑhɑ
աժդահակ	ɑʒdɑhɑk
ալ	ɑl
ալադին	ɑlɑdin
ալազան	ɑlɑzɑn
ալաժահրի	ɑlɑʒɑhɾi
ալամ	ɑlɑm
ալան	ɑlɑn
ալանի	ɑlɑni
ալանք	ɑlɑŋkʰ
ալավերդի	ɑlɑvɛɾdi
ալարել	ɑlɑɾɛl
ալբաներեն	ɑlbɑnɛɾɛn
ալբանիա	ɑlbɑnjɑ
ալբատրոս	ɑlbɑtɾɔs
ալբերտ	ɑlbɛɾt
ալբոմ	ɑlbɔm
ալբուխարա	ɑlbuχɑɾɑ
ալգորիթմ	ɑlɡɔɾitʰm
ալեբաստր	ɑlɛbɑstəɾ
ալեզարդ	ɑlɛzɑɾtʰ
ալեկոծ	ɑlɛkɔt͡s
ալեկոծել	ɑlɛkɔt͡sɛl
ալեհավաք	ɑlɛhɑvɑkʰ
ալեհերձ	ɑlɛhɛɾd͡z
ալեմաներեն	ɑlɛmɑnɛɾɛn
ալերգիա	ɑlɛɾɡjɑ
