ա	ɑ
աա	ɑɑ
աաակ	ɑɑɑɡ
աաբ	ɑɑpʰə
աագ	ɑɑkʰə
աագխ	ɑɑkʰəχə
աաի	ɑɑi
աախ	ɑɑχə
աած	ɑɑd͡zə
աակ	ɑɑɡə
աահ	ɑɑhə
աահհի	ɑɑhəhəi
աան	ɑɑnə
աապ	ɑɑbə
աապբ	ɑɑbəpʰə
աապվ	ɑɑbəvə
աառ	ɑɑɾə
աբա	ɑpʰɑ
աբադան	ɑpʰɑtʰɑn
աբական	ɑpʰɑɡɑn
աբայ	ɑpʰɑj
աբանոս	ɑpʰɑnɔs
աբաջյան	ɑpʰɑt͡ʃʰjɑn
աբաս	ɑpʰɑs
աբասանոց	ɑpʰɑsɑnɔt͡sʰ
աբասթուման	ɑpʰɑstʰumɑn
աբասի	ɑpʰɑsi
աբարան	ɑpʰɑɾɑn
աբարանցի	ɑpʰɑɾɑnt͡sʰi
աբբա	ɑpʰːɑ
աբբահայր	ɑpʰːɑhɑjɾ
աբբայական	ɑpʰːɑjɑɡɑn
աբբայարան	ɑpʰːɑjɑɾɑn
աբբայություն	ɑpʰːɑjutʰʏn
աբբայուհի	ɑpʰːɑjuhi
աբգար	ɑpʰkʰɑɾ
աբեթ	ɑpʰɛtʰ
աբեթասունկ	ɑpʰɛtʰɑsuŋɡ
աբեթենի	ɑpʰɛtʰɛni
աբել	ɑpʰɛl
աբեղա	ɑpʰɛʁɑ
աբեղաթող	ɑpʰɛʁɑtʰɔʁ
աբեղախոտ	ɑpʰɛʁɑχɔd
աբեղաձագ	ɑpʰɛʁɑt͡sʰɑkʰ
աբեղայական	ɑpʰɛʁɑjɑɡɑn
աբեղայակերպ	ɑpʰɛʁɑjɑɡɛɾb
աբեղայություն	ɑpʰɛʁɑjutʰʏn
աբեղացու	ɑpʰɛʁɑt͡sʰu
աբեղուկ	ɑpʰɛʁuɡ
աբերդին	ɑpʰɛɾtʰin
աբիջան	ɑpʰit͡ʃʰɑn
աբիսողոմ	ɑpʰisɔʁɔm
աբխազ	ɑpʰχɑz
աբխազական	ɑpʰχɑzɑɡɑn
աբխազերեն	ɑpʰχɑzɛɾɛn
աբխազիա	ɑpʰχɑzjɑ
աբո	ɑpʰɔ
աբոլիցիոնիզմ	ɑpʰɔlit͡sʰiɔnizm
աբոնեմենտ	ɑpʰɔnɛmɛnd
աբոնեմենտային	ɑpʰɔnɛmɛndɑjin
աբոնենտ	ɑpʰɔnɛnd
աբովյան	ɑpʰɔvjɑn
աբուջա	ɑpʰut͡ʃʰɑ
