və	vˈæ
bir	bˈir
ilə	ˈilæ
bu	bˈu
də	dˈæ
üçün	yt͡ʃˈyn
olan	oɫˈan
Bu	bˈu
isə	ˈisæ
da	dˈa
ki	cˈi
kimi	cimˈi
sonra	sonrˈa
çox	t͡ʃˈox
edir	edˈir
ildə	ˈildæ
idi	idˈi
görə	ɟˈœɾæ
olaraq	oɫaɾˈax
onun	onˈun
ən	ˈæn
daha	dahˈa
tərəfindən	tæɾæfindˈæn
Azərbaycan	azærbajd͡ʒˈan
ya	ja
böyük	bœjˈyç
istifadə	istifˈadæ
o	ˈo
qədər	ɡædˈær
öz	ˈœz
O	ˈo
il	ˈil
ilk	ˈilç
iki	icˈi
olmuşdur	oɫmuʃdˈur
olur	oɫˈur
hər	hˈær
arasında	aɾasɯndˈa
edən	edˈæn
bütün	byt͡sˈyn
baş	bˈaʃ
olunur	oɫunˈur
əsas	æsˈas
təşkil	tæʃcˈil
etmək	etmˈæç
etmişdir	etmiʃdˈir
var	vˈar
digər	diɟˈær
müxtəlif	myxtælˈif
edilir	edilˈir
olub	oɫˈub
adı	adˈɯ
etdi	etdˈi
biri	biɾˈi
həm	hˈæm
Lakin	ɫacˈin
dəfə	dˈæfæ
yeni	jenˈi
onu	onˈu
Onun	onˈun
edilmişdir	edilmiʃdˈir
daxil	daxˈil
olduğu	oɫdˈuː
oğlu	oːɫˈu
adlı	adɫˈɯ
başqa	baʃɡˈa
qarşı	ɡarʃˈɯ
oldu	oɫdˈu
əsasən	æsasˈæn
qəbul	ɡæbˈuɫ
belə	bˈelæ
haqqında	haɡɡɯndˈa
onların	onɫaɾˈɯn
üzrə	ˈyzræ
zamanı	zamanˈɯ
neçə	nˈet͡ʃæ
yerləşir	jerlæʃˈir
həmin	hæmˈin
vardır	vardˈɯr
bilər	bilˈær
ona	onˈa
Bir	bˈir
davam	davˈam
zaman	zamˈan
yüksək	jyçsˈæç
heç	hˈet͡ʃ
verir	veɾˈir
üzərində	yzæɾˈindæ
elmi	elmˈi
geniş	ɟenˈiʃ
xüsusi	xysusˈi
