да	dˈɒ
һәм	hˈæm
белән	bˈelæn
дә	dˈæ
дип	dˈip
бу	bˈu
татар	tˈɒtɒr
өчен	ˈœɕen
иде	ˈide
ул	ˈuɫ
бер	bˈer
Бу	bˈu
бар	bˈɒr
турында	turˈɯndɑ
Русия	rusˈijæ
түгел	tˈyɣel
булган	bˈuɫʁɑn
бик	bˈik
генә	ɣˈenæ
кирәк	kˈiræk
Татарстан	tɒtˈɒrstɑn
инде	ˈinde
дигән	dˈiɣæn
гына	ʁˈɯnɑ
үз	ˈyz
челтәрендә	ɕˌeltærˈendæ
ди	dˈi
юк	jˈuq
ук	ˈuq
Ул	ˈuɫ
итеп	ˈitep
кеше	kˈeʃe
Казан	qˈɒzɒn
аның	ˈɒnɯŋ
соң	sˈoŋ
зур	zˈur
алар	ˈɒɫɒr
алып	ˈɒɫɯp
булып	bˈuɫɯp
тиеш	tˈieʃ
күп	kˈyp
каршы	qˈɒrʃɯ
башка	bˈɒʃqɒ
ел	jˈel
милли	mˈilli
була	bˈuɫɑ
без	bˈez
аны	ˈɒnɯ
Алар	ˈɒɫɒr
Ә	ˈæː
шул	ʃˈuɫ
ике	ˈike
Мин	mˈin
итә	ˈitæ
булды	bˈuɫdɯ
Без	bˈez
икән	ˈikæn
елда	jˈɯɫdɑ
халык	xˈɒɫɯq
бит	bˈit
бара	bˈɒrɒ
торган	tˈorʁɑn
Татар	tˈɒtɒr
беренче	berˈenɕe
диде	dˈide
яңа	jˈɑŋɑ
безнең	bˈezneŋ
вакытта	wɒqˈɯttɑ
ә	ˈæː
кебек	kˈebek
тә	tˈæ
Әмма	ˈæmmɑ
арасында	ˌɒrɒsˈɯndɑ
төрле	tˈœrle
урыс	ˈurɯs
шулай	ʃuɫˈɑɪ
мин	mˈin
булса	bˈuɫsɑ
иң	ˈiŋ
дәүләт	dæˈylæt
кадәр	qˈɒdær
хәзер	xˈæzer
килгән	kˈilɣæn
килә	kˈilæ
Аның	ˈɒnɯŋ
Казанда	qɒzˈɒndɑ
әле	ˈæle
та	tˈɒ
тора	tˈorɑ
Шулай	ʃuɫˈɑɪ
татарча	tɒtˈɒrɕɑ
кабул	qˈɒbuɫ
мөмкин	mˈœmkin
вакыты	wɒqˈɯtɯ
анда	ˈɒndɒ
ала	ˈɒɫɒ
октябрь	ˈoqtjɑbrʔ
күрә	kˈyræ
Ләкин	lˈækin
килеп	kˈilep
исә	ˈisæ
теле	tˈele
эш	ˈeʃ
булырга	buɫˈɯrʁɑ
шундый	ʃˈundɯj
телен	tˈelen
аудиолар	ˌɒudiˈoɫɑr
тагын	tˈɒʁɯn
Русиядә	rˌusijˈædæ
Русиянең	rˌusijˈæneŋ
белдерде	beldˈerde
президенты	prˌezidˈentɯ
Азатлык	ɒzˈɒtɫɯq
ярдәм	jˈærdæm
әмма	ˈæmmɑ
ничек	nˈiɕek
сүз	sˈyz
әлеге	ælˈeɣe
буларак	buɫˈɑrɑq
әйтә	æˈɪtæ
нинди	nˈindi
уртаклаш	urtˈɑqɫɑʃ
уртаклашВконтакте	urtˈɑqɫɑʃwqontˈɑqte
аларның	ɒɫˈɒrnɯŋ
итте	ˈitte
Анда	ˈɒndɒ
иткән	ˈitkæn
Мәскәү	mæskˈæy
татарлар	tɒtˈɒrɫɑr
Хәзер	xˈæzer
Шуңа	ʃˈuŋɑ
булачак	buɫˈɑɕɑq
яхшы	jˈɑxʃɯ
Безнең	bˈezneŋ
көнне	kˈœnne
тәкъдим	tˈækʔdim
хәл	xˈæl
үзе	ˈyze
шушы	ʃˈuʃɯ
безгә	bˈezɣæ
кешеләр	keʃˈelær
Шул	ʃˈuɫ
бөтен	bˈœten
соңгы	sˈoŋʁɯ
туган	tˈuʁɑn
телендә	telˈendæ
кенә	kˈenæ
Чөнки	ɕˈœnki
менә	mˈenæ
берничә	bernˈiɕæ
аларны	ɒɫˈɒrnɯ
дәвам	dˈæwɑm
аңа	ˈɒŋɒ
үзенең	yzˈeneŋ
икенче	ikˈenɕe
элек	ˈelek
Татарстанда	tˌɒtɒrstˈɑndɑ
эшли	ˈeʃli
җитәкчесе	ʑˌitækɕˈese
ни	nˈi
берсе	bˈerse
рәисе	ræˈise
итү	ˈity
нәрсә	nˈærsæ
президент	prezˈident
аша	ˈɒʃɒ
мең	mˈeŋ
узган	ˈuzʁɑn
тапкыр	tˈɒpqɯr
акча	ˈɒqɕɒ
елның	jˈɯɫnɯŋ
ислам	ˈisɫɑm
чөнки	ɕˈœnki
булыр	bˈuɫɯr
Төркия	tœrkˈijæ
халкы	xˈɒɫqɯ
әйтте	æˈɪtte
булуын	buɫˈuɯn
туры	tˈurɯ
итәргә	itˈærɣæ
артык	ˈɒrtɯq
яки	jˈæki
идем	ˈidem
милләт	mˈillæt
Европа	jɯwrˈopɑ
балалар	bɒɫˈɒɫɑr
килде	kˈilde
җавап	ʑˈɑwɑp
ил	ˈil
баш	bˈɒʃ
Әгәр	ˈæɣær
мондый	mˈondɯj
булмый	bˈuɫmɯj
хәбәр	xˈæbær
чыга	ɕˈɯʁɑ
сүзләренчә	sˌyzlærˈenɕæ
күбрәк	kˈybræk
башкорт	bˈɒʃqort
сәяси	sæjˈæsi
төп	tˈœp
чыкты	ɕˈɯqtɯ
Путин	pˈutin
кала	qˈɒɫɒ
мәгълүмат	mæɣʔlˈymɑt
елларда	jɯɫɫˈɑrdɑ
караганда	qˌɒrɒʁˈɑndɑ
вакытында	wˌɒqɯtˈɯndɑ
кире	kˈire
мәчет	mˈæɕet
Әлеге	ælˈeɣe
мөселман	mœsˈeɫmɑn
Менә	mˈenæ
чит	ɕˈit
тик	tˈik
бүген	bˈyɣen
чыккан	ɕˈɯqqɑn
буенча	buˈenɕɑ
минем	mˈinem
көн	kˈœn
алган	ˈɒɫʁɒn
алмый	ˈɒɫmɯj
монда	mˈondɑ
яктан	jˈɑqtɑn
кайбер	qɒˈɪber
өч	ˈœɕ
бергә	bˈerɣæ
