і	ˈi
ў	ˌunʲɛskɭˌadɔvˈɑjɛ
на	nˈɑ
з	zˈɛ
у	ˈu
не	nʲˈɛ
што	ʂtˈo
да	dˈɑ
У	ˈu
па	pˈɑ
за	zˈɑ
як	ʲˈj͡ak
а	ˈɑ
для	dɭʲˈj͡a
гэта	ɣˈɛta
ад	ˈɑd
яго	ʲˈj͡aɣʌ
іх	ˈix
якія	ʲɪkˈia
пра	prˈɑ
толькі	tˈoɭki
ён	ʲˈɔn
І	ˈi
але	ˈɑɭʲɛ
А	ˈɑ
калі	kˈɑɭi
было	bˈɨɭʌ
каб	kˈɑb
На	nˈɑ
яе	ʲˈj͡aʲɛ
які	ʲˈj͡aki
быў	bˈɨw
таксама	taksˈɑma
мы	mˈɨ
больш	bˈoɭʂ
яшчэ	ʲˈj͡aʂʈ͡͡ʂɛ
Беларусі	bʲˌɛɭarˈusi
Але	ˈɑɭʲɛ
час	ʈ͡͡ʂˈɑs
ці	t̻͡͡sˈi
я	ˈj͡a
яны	ʲˈj͡anɨ
будзе	bˈudzʲɛ
так	tˈɑk
ж	ʐˈɛ
аб	ˈɑb
тым	tˈɨm
года	ɣˈoda
былі	bˈɨɭi
вельмі	vʲˈɛɭmi
была	bˈɨɭa
дзе	dzʲˈɛ
можна	mˈoʐna
гэтым	ɣˈɛtɨm
годзе	ɣˈodzʲɛ
якая	ʲɪkˈɑʲa
ўсё	wsʲˈɔ
яна	ʲˈj͡ana
ўжо	wʐˈo
нас	nˈɑs
З	zˈɛ
таго	tˈɑɣʌ
Гэта	ɣˈɛta
тут	tˈut
гэтага	ɣɛtˈɑɣa
пад	pˈɑd
трэба	trˈɛba
гадоў	ɣˈɑdʌw
са	sˈɑ
тое	tˈoʲɛ
можа	mˈoʐa
таму	tˈɑmu
пры	prˈɨ
ім	ˈim
хто	xtˈo
нават	nˈɑvat
то	tˈo
Калі	kˈɑɭi
ёсць	ʲˈɔst̻͡͡s
Як	ʲˈj͡ak
год	ɣˈod
быць	bˈɨt̻͡͡s
бо	bˈo
сябе	sʲˈj͡abʲɛ
гэты	ɣˈɛtɨ
Ён	ʲˈɔn
людзей	ɭʲˈudzʲɛj
чалавек	ʈ͡͡ʂaɭˈɑvʲɛk
той	tˈoj
дзень	dzʲˈɛn
пасля	pˈɑsɭʲa
Я	ˈj͡a
Беларусь	bʲɛɭˈɑrus
праз	prˈɑz
гэтай	ɣˈɛtaj
чым	ʈ͡͡ʂˈɨm
мяне	mʲˈj͡anʲɛ
шмат	ʂmˈɑt
б	bˈɛ
адзін	ˈɑdzin
раёна	raʲˈɔna
ўсе	wsʲˈɛ
жа	ʐˈɑ
ва	vˈɑ
без	bʲˈɛz
беларускай	bʲˌɛɭarˈuskaj
культуры	kuɭtˈurɨ
Не	nʲˈɛ
якіх	ʲˈj͡akix
працы	prˈɑt̻͡͡sɨ
месца	mʲˈɛst̻͡͡sa
дзяцей	dzʲˈj͡at̻͡͡sʲɛj
мае	mˈɑʲɛ
свае	svˈɑʲɛ
разам	rˈɑzam
сваёй	svˈɑʲɔj
каля	kˈɑɭʲa
жыцця	ʐˈɨt̻͡͡st̻͡͡sʲa
людзі	ɭʲˈudzi
сваю	svˈɑʲu
там	tˈɑm
гады	ɣˈɑdɨ
ужо	ˈuʐʌ
ня	nʲˈj͡a
ды	dˈɨ
сваіх	svˈɑix
мне	mnʲˈɛ
або	ˈɑbʌ
