က	ka̰
ကကုသန်	ka̰kṵθàɴ
ကကုသန်ဘုရား	ka̰kṵθàɴpʰəjá
ကက်စီနို	kɛʔsìnò
ကက်ပတိန်	kɛʔpətèɪɴ
ကက်သလစ်	kɛʔθəlɪʔ
ကကြီး	ka̰d͡ʑí
ကချင်	kət͡ɕʰɪ̀ɴ
ကချေသည်	ka̰d͡ʑèðè
ကင်ဆာရောဂါ	kɪ̀ɴsʰàjɔ́ɡà
ကင်ညာ	kɪ̀ɴɲà
ကင်ပွန်း	kɪ̀ɴbʊ́ɴ
ကင်မရာ	kɪ̀ɴməɹà
ကင်မရွန်း	kɪ̀ɴma̰ɹʊ́ɴ
ကင်း	kɪ́ɴ
ကင်းခြေများ	kɪ́ɴt͡ɕìmjá
ကင်းပုံ	kɪ́ɴbòʊɴ
ကင်းမြီးကောက်	kɪ́ɴmjíɡaʊʔ
ကင်းမွန်	kɪ́ɴmʊ̀ɴ
ကစား	ɡəzá
ကစားကွင်း	ɡəzáɡwɪ́ɴ
ကစားစရာ	ɡəzázəjà
ကစားသမား	ɡəsáðəmá
ကဆုန်	kəsʰòʊɴ
ကဆုန်လပြည့်နေ့	kəsʰòʊɴla̰pjḭnḛ
ကညာ	kəɲà
ကညွတ်ရိုး	kəɲʊʔjó
ကဏန်း	ɡənáɴ
ကဏ္ဍ	kànda̰
ကတည်းက	ɡədɛ́ɡa̰
ကတိ	ɡədḭ
ကတော့	ɡədɔ̰
ကတော်	ɡədɔ̀
ကတ္တား	kaʔtá
ကတ္တီပါ	ɡədìbà
ကတ်	kaʔ
ကတ်ကြေး	kaʔt͡ɕí
ကတ်ကြေးကိုက်	kaʔt͡ɕíkaɪʔ
ကတ်ပြား	kaʔpjá
ကတ်သလိတ်	kaʔθəleɪʔ
ကတွတ်ယို	kədʊʔjò
ကထိန်	kətʰèɪɴ
ကဒ်	kàd
ကနခို	kənəkʰò
ကနစိုး	kənəzó
ကနား	kəná
ကနုကမာ	kənṵkəmà
ကနုတ်	kənoʊʔ
ကနေဒါ	ka̰nèdà
ကန့်	ka̰ɴ
ကန့်လန့်ကာ	kələɡà
ကန္တာရ	kàɴtàja̰
ကန်	kàɴ
ကန်စွန်း	ɡəzʊ́ɴ
ကန်စွန်းဥ	ɡəzʊ́ɴʔṵ
ကန်တော့	ɡədɔ̰
ကန်ထရိုက်	kàɴtʰəɹaɪʔ
ကပ္ပလီ	kaʔpəlì
ကပ္ပလီပင်လယ်	kaʔpəlìpɪ̀ɴlɛ̀
ကပ်	kaʔ
ကပ်ကြီးသုံးပါး	kaʔd͡ʑíθóʊɴbá
ကပ်နာ	kaʔnà
ကပ်ပယ်	kaʔpɛ̀
ကပ်ပါး	kaʔpá
ကပ်ရောဂါ	kaʔjɔ́ɡà
ကပွဲရုံ	ka̰bwɛ́jòʊɴ
ကဖီး	kəpʰí
ကဗျာ	ɡəbjà
ကဘီလူး	ka̰bəlú
ကမန်	ka̰màɴ
ကမာ	kəmà
ကမာရွတ်	kəmàjʊʔ
ကမ္ဗလာ	ɡəbəlà
ကမ္ဗောဇ	kàɴbɔ́za̰
ကမ္ဘာ	ɡəbà
ကမ္ဘာဂြိုဟ်	ɡəbàd͡ʑò
