a	a
abakus	abakus
abalda	abalda
abchazský	apxaskiː
abcházie	apxaːzɪɛ
abcházský	apxaːskiː
abcházština	apxaːsʃcɪna
abdikace	abdɪkat͡sɛ
abdikovat	abdɪkovat
abdiáš	abɟɪaːʃ
abdominální	abdomɪnaːlɲiː
abdon	abdon
abeceda	abɛt͡sɛda
abecední	abɛt͡sɛdɲiː
abelovský	abɛlofskiː
abidžan	abɪdʒan
abiotický	abɪocɪt͡skiː
ablace	ablat͡sɛ
abnormální	abnormaːlɲiː
abolicionismus	abolɪt͡sɪoɲɪzmus
abraham	abraɦam
abrahamův	abraɦamuːf
abrahám	abraɦaːm
abrakadabra	abrakadabra
abreakce	abrɛakt͡sɛ
absces	apst͡sɛs
absence	apsɛnt͡sɛ
absint	apsɪnt
absinth	apsɪnt
absolutismus	apsolutɪzmus
absolutní	apsolutɲiː
absolvent	apsolvɛnt
absolventský	apsolvɛntskiː
absolvovat	apsolvovat
absorbovat	apsorbovat
absorpce	apsorpt͡sɛ
abstinent	apstɪnɛnt
abstrahovat	apstraɦovat
abstrakce	apstrakt͡sɛ
abstrakt	apstrakt
abstraktní	apstraktɲiː
abstraktum	apstraktum
absurdita	apsurdɪta
absurdnost	apsurdnost
absurdní	apsurdɲiː
absurdně	apsurdɲɛ
absťák	apscaːk
aby	abɪ
acetaldehyd	at͡sɛtaldɛɦɪt
acetaminofen	at͡sɛtamɪnofɛn
acetazolamid	at͡sɛtazolamɪt
acetylcholin	at͡sɛtɪlxolɪn
acetylén	at͡sɛtɪlɛːn
acetát	at͡sɛtaːt
achilles	axɪlɛs
achillův	axɪluːf
achirální	axɪraːlɲiː
acht	axt
achát	axaːt
acidita	at͡sɪdɪta
acidóza	at͡sɪdoːza
acinární	at͡sɪnaːrɲiː
acyklický	at͡sɪklɪt͡skiː
adam	adam
adamec	adamɛt͡s
adaptovat	adaptovat
adaptér	adaptɛːr
adekvátní	adɛkvaːtɲiː
adenin	adɛnɪn
adenohypofýza	adɛnoɦɪpofiːza
adenokarcinom	adɛnokart͡sɪnom
adenom	adɛnom
adenozin	adɛnozɪn
adiabatický	adɪjabatɪt͡skiː
adikce	adɪkt͡sɛ
adina	aɟɪna
aditivum	adɪtɪvum
adjektivní	adjɛktɪvɲiː
adjektivum	adjɛktɪvum
adjuvantní	adjuvantɲiː
administrativa	admɪnɪstratɪva
administrativní	admɪnɪstratɪvɲiː
administrátor	admɪnɪstraːtor
admirál	admɪraːl
adolescence	adolɛst͡sɛnt͡sɛ
adolescent	adolɛst͡sɛnt
adolescentní	adolɛst͡sɛntɲiː
adolf	adolf
adolfek	adolfɛk
adopce	adopt͡sɛ
adorant	adorant
adrenalin	adrɛnalɪn
adrenergní	adrɛnɛrɡɲiː
adresa	adrɛsa
adresovat	adrɛsovat
adresát	adrɛsaːt
adresář	adrɛsaːr̝̊
adstringentní	atstrɪŋɡɛntɲiː
advent	advɛnt
adventní	advɛntɲiː
adverbiální	advɛrbɪaːlɲiː
advokát	advokaːt
adámek	adaːmɛk
adéla	adɛːla
adélin	adɛːlɪn
adélka	adɛːlka
aerobik	aɛrobɪk
aerobní	aɛrobɲiː
aerodynamicky	aɛrodɪnamɪt͡skɪ
aerodynamický	aɛrodɪnamɪt͡skiː
aerodynamika	aɛrodɪnamɪka
aerolinie	aɛrolɪnɪjɛ
aerolinka	aɛrolɪŋka
aerolinky	aɛrolɪŋkɪ
aerologický	aɛroloɡɪt͡skiː
aerologie	aɛroloɡɪjɛ
aerosol	aɛrosol
aerosolový	aɛrosoloviː
afekce	afɛkt͡sɛ
afektivní	afɛktɪvɲiː
aferentní	afɛrɛntɲiː
afghánec	avɡaːnɛt͡s
afghánistán	avɡaːɲɪstaːn
afghánka	avɡaːŋka
afghánský	avɡaːnskiː
afgánec	avɡaːnɛt͡s
afgánistán	avɡaːɲɪstaːn
afgánský	avɡaːnskiː
afix	afɪks
aforismus	aforɪzmus
aforista	aforɪsta
aforistický	aforɪstɪt͡skiː
aforizmus	aforɪzmus
africký	afrɪt͡skiː
afrika	afrɪka
afrikánec	afrɪkaːnɛt͡s
afrikánsky	afrɪkaːnskɪ
afrikánský	afrɪkaːnskiː
afrikáta	afrɪkaːta
afričan	afrɪt͡ʃan
afroamerický	afroamɛrɪt͡skiː
afroameričan	afroamɛrɪt͡ʃan
afrodita	afrodɪta
afázie	afaːzɪjɛ
afélium	afɛːlɪum
aférka	afɛːrka
agapornis	aɡapornɪs
ageneze	aɡɛnɛzɛ
agent	aɡɛnt
agentura	aɡɛntura
agitátor	aɡɪtaːtor
aglomerace	aɡlomɛrat͡sɛ
agnosticismus	aɡnostɪt͡sɪzmus
agnostik	aɡnostɪk
agorafobie	aɡorafobɪjɛ
agranulocytóza	aɡranulot͡sɪtoːza
agregátor	aɡrɛɡaːtor
agrese	aɡrɛsɛ
agresivita	aɡrɛsɪvɪta
agresivnost	aɡrɛsɪvnost
agresivní	aɡrɛsɪvɲiː
agresivně	aɡrɛsɪvɲɛ
agronom	aɡronom
agrární	aɡraːrɲiː
agáta	aɡaːta
agátka	aɡaːtka
agáve	aɡaːvɛ
aha	aɦa
ahojky	aɦojkɪ
aids	aɪts
aj	aj
ajka	ajka
ajmarština	ajmarʃcɪna
ajnclík	ajn̩t͡sliːk
ajurvéda	ajurvɛːda
ajťák	ajcaːk
akademický	akadɛmɪt͡skiː
akademie	akadɛmɪjɛ
akademik	akadɛmɪk
akanský	akanskiː
akce	akt͡sɛ
akcelerace	akt͡sɛlɛrat͡sɛ
akcelerovat	akt͡sɛlɛrovat
akceptovat	akt͡sɛptovat
akceptovatelný	akt͡sɛptovatɛlniː
akcie	akt͡sɪjɛ
akcionář	akt͡sɪjonaːr̝̊
akciový	akt͡sɪjoviː
akkadský	akatskiː
akkadština	akatʃcɪna
akkaďan	akaɟan
aklimatizace	aklɪmatɪzat͡sɛ
aklimatizovaný	aklɪmatɪzovaniː
aklimatizovat	aklɪmatɪzovat
akomodace	akomodat͡sɛ
akordeon	akordɛon
akorát	akoraːt
akrobat	akrobat
akrobatický	akrobatɪt͡skiː
akropole	akropolɛ
akropolis	akropolɪs
akrylát	akrɪlaːt
akt	akt
aktinid	akcɪɲɪt
aktiv	aktif
aktiv	aktiːf
aktivismus	aktɪvɪzmus
aktivista	aktɪvɪsta
aktivistický	aktɪvɪstɪt͡skiː
aktivita	aktɪvɪta
aktivní	aktɪvɲiː
aktivně	aktɪvɲɛ
aktivovat	aktɪvovat
aktovka	aktofka
aktualizace	aktualɪzat͡sɛ
aktualizovaný	aktualɪzovaniː
aktualizovat	aktualɪzovat
aktuální	aktuaːlɲiː
aktuálně	aktuaːlɲɛ
aktér	aktɛːr
akupresura	akuprɛsura
akupunktura	akupuŋktura
akustický	akustɪt͡skiː
akustika	akustɪka
akutní	akutɲiː
akvarista	akvarɪsta
akvizice	akvɪzɪt͡sɛ
akviziční	akvɪzɪt͡ʃɲiː
akát	akaːt
