'k	k
'k	ək
'm	əm
'n	ən
'ns	əns
'r	ər
's	s
's	əs
't	t
't	ət
a	aː
aa	aː
aad	aːt
aadje	aːtjə
aafje	aːfjə
aagje	aːxjə
aagt	aːxt
aagtappel	aːxtɑpəl
aagtje	aːxtjə
aai	aːi̯
aaibaar	aːi̯baːr
aaibaarheid	aːi̯baːrɦɛi̯t
aaibaarheidsfactor	aːi̯baːrɦɛi̯tsfɑktɔr
aaien	aːi̯ən
aaiing	aːi̯ɪŋ
aak	aːk
aaks	aːks
aal	aːl
aalbert	aːlbɛrt
aalbes	aːlbɛs
aalbessengelei	aːlbɛsənʒəlɛi̯
aalbessenjam	aːlbɛsənʒɛm
aalbessenjenever	aːlbɛsənjəneːvər
aalbessensap	aːlbɛsənsɑp
aalbessenstruik	aːlbɛsənstrœy̯k
aalbessesap	aːlbɛsəsɑp
aalbessestruik	aːlbɛsəstrœy̯k
aalbrecht	aːlbrɛxt
aalderik	aːldərɪk
aaldert	aːldərt
aaldrik	aːldrɪk
aalfuik	aːlfœy̯k
aalgeer	aːlɣeːr
aalglad	aːlɣlɑt
aalkorf	aːlkɔrf
aalkuip	aːlkœy̯p
aalmoes	aːlmus
aalmoezenier	aːlmuzəniːr
aalmoezenierskamer	aːlmuzəniːrskaːmər
aaloud	aːlɑu̯t
aalpomp	aːlpɔmp
aalput	aːlpʏt
aalrik	aːlrɪk
aalschaar	aːlsxaːr
aalscholver	aːlsxɔlvər
aalspeer	aːlspeːr
aalst	aːlst
aalstal	aːlstɑl
aalsteker	aːlsteːkər
aalstreep	aːlstreːp
aalsvel	aːlsfɛl
aalt	aːlt
aalten	aːltən
aalvlug	aːlvlʏx
aalvork	aːlvɔrk
aalvormig	aːlvɔrməx
aam	aːm
aambeeld	aːmbeːlt
aambeeldsblok	aːmbeːltsblɔk
aambei	aːmbɛi̯
aamborstig	aːmbɔrstəx
aamborstigheid	aːmbɔrstəxɦɛi̯t
aamt	aːmt
aan	aːn
aanaarden	aːnaːrdən
aanaarding	aːnaːrdɪŋ
aanaardploeg	aːnaːrtplux
aanademen	aːnaːdəmən
aanbaffen	aːnbɑfən
aanbakken	aːnbɑkən
aanbaksel	aːnbɑksəl
aanbedene	aːnbeːdənə
aanbeeld	aːmbeːlt
aanbeeldsblok	aːmbeːltsblɔk
aanbegin	aːmbəɣɪn
aanbegin	aːnbəɣɪn
aanbehoren	aːnbəɦoːrən
aanbelanden	aːmbəlɑndən
aanbelang	aːnbəlɑŋ
aanbellen	aːnbɛlən
aanberming	aːnbɛrmɪŋ
aanbesteden	aːnbəsteːdən
aanbesteder	aːnbəsteːdər
aanbesteding	aːnbəsteːdɪŋ
aanbestedingsbeleid	aːnbəsteːdɪŋsbəlɛi̯t
aanbestedingsprocedure	aːnbəsteːdɪŋsproːsədyːrə
aanbestedingsregel	aːnbəsteːdɪŋsreːɣəl
aanbestedingsregeling	aːnbəsteːdɪŋsreːɣəlɪŋ
aanbestedingsvoorwaarde	aːnbəsteːdɪŋsfoːrʋaːrdə
aanbesterven	aːnbəstɛrvən
aanbetalen	aːnbətaːlən
aanbetaling	aːnbətaːlɪŋ
aanbetreffen	aːnbətrɛfən
aanbetrouwen	aːnbətrɑu̯ən
aanbevelen	aːmbəveːlən
aanbevelenswaard	aːnbəveːlənsʋaːrt
aanbevelenswaardig	aːnbəveːlənsʋaːrdəx
aanbeveler	aːnbəveːlər
aanbeveling	aːmbəveːlɪŋ
aanbevelingsbrief	aːnbəveːlɪŋsbrif
aanbevelingscomité	aːnbəveːlɪŋskɔmiteː
aanbevolene	aːnbəvoːlənə
aanbiddelijk	aːnbɪdələk
aanbidden	aːmbɪdən
aanbidder	aːnbɪdər
aanbidding	aːnbɪdɪŋ
aanbidster	aːnbɪtstər
aanbieden	aːnbidən
aanbieder	aːnbidər
aanbieding	aːnbidɪŋ
aanbiedingsbrief	aːnbidɪŋsbrif
aanbiedingsfolder	aːnbidɪŋsfɔldər
aanbiedingsprijs	aːnbidɪŋsprɛi̯s
aanbiedplaats	aːnbitplaːts
aanbijten	aːnbɛi̯tən
aanbinden	aːnbɪndən
aanblaffen	aːnblɑfən
aanblazen	aːnblaːzən
aanblazing	aːnblaːzɪŋ
aanblijven	aːmblɛi̯vən
aanblik	aːnblɪk
aanbod	aːnbɔt
aanbodbeleid	aːnbɔtbəlɛi̯t
aanbodcurve	aːnbɔtkʏrvə
aanbodeconomie	aːnbɔteːkoːnoːmi
aanbodelasticiteit	aːnbɔteːlɑstisitɛi̯t
aanbodkant	aːnbɔtkɑnt
aanbodoverschot	aːnbɔtoːvərsxɔt
aanbodzijde	aːnbɔtsɛi̯də
aanbouw	aːnbɑu̯
aanbouwen	aːmbɑu̯ən
aanbouwing	aːnbɑu̯ɪŋ
aanbouwsel	aːnbɑu̯səl
aanbraakt	aːmbraːkt
aanbrak	aːmbrɑk
aanbrake	aːmbraːkə
aanbraken	aːmbraːkən
aanbranden	aːmbrɑndən
aanbreek	aːmbreːk
aanbreekt	aːmbreːkt
aanbreke	aːmbreːkə
aanbreken	aːmbreːkən
aanbrekend	aːmbreːkənt
aanbreng	aːnbrɛŋ
aanbrengen	aːmbrɛŋən
aanbrenger	aːnbrɛŋər
aanbrengertje	aːnbrɛŋərtjə
aanbrenging	aːnbrɛŋɪŋ
aanbrengpremie	aːnbrɛŋpreːmi
aanbrengst	aːnbrɛŋst
aanbrug	aːnbrʏx
aanbruisen	aːnbrœy̯sən
aanbrullen	aːnbrʏlən
aandacht	aːndɑxt
aandachtig	aːndɑxtəx
aandachtigheid	aːndɑxtəxɦɛi̯t
aandachtsaspect	aːndɑxtsɑspɛkt
aandachtsgebied	aːndɑxtsxəbit
aandachtsgroep	aːndɑxtsxrup
aandachtshoer	aːndɑxtsɦuːr
aandachtspunt	aːndɑxtspʏnt
aandachtspuntenlijst	aːndɑxtspʏntənlɛi̯st
aandachtsstoornis	aːndɑxtstoːrnɪs
aandachtsstreep	aːndɑxtstreːp
aandachtsteken	aːndɑxtsteːkən
aandachtsterrein	aːndɑxtstərɛi̯n
aandachtsterrein	aːndɑxtstɛrɛi̯n
aandachtstreep	aːndɑxtstreːp
aandachtstrekker	aːndɑxtstrɛkər
aandachtsveld	aːndɑxtsfɛlt
aandachtsverlies	aːndɑxtsfərlis
aandachtsverlies	aːndɑxtsfɛrlis
aandachttrekker	aːndɑxtrɛkər
aandachttrekkerij	aːndɑxtrɛkərɛi̯
aandeel	aːndeːl
aandeelbewijs	aːndeːlbəʋɛi̯s
aandeelhebber	aːndeːlɦɛbər
aandeelhebster	aːndeːlɦɛpstər
aandeelhouder	aːndeːlɦɑu̯dər
aandeelhoudersvergadering	aːndeːlɦɑu̯dərsfərɣaːdərɪŋ
aandeelhoudersvergadering	aːndeːlɦɑu̯dərsfɛrɣaːdərɪŋ
aandeelhoudster	aːndeːlɦɑu̯tstər
aandelenbelegger	aːndeːlənbəlɛɣər
aandelenbeurs	aːndeːlənbøːrs
aandelenbezit	aːndeːlənbəzɪt
aandelenbezitter	aːndeːlənbəzɪtər
aandelenemissie	aːndeːləneːmɪsi
aandelenhandelaar	aːndeːlənɦɑndəlaːr
aandelenmarkt	aːndeːlənmɑrkt
aandelenuitgifte	aːndeːlənœy̯txɪftə
aandenken	aːndɛŋkən
aandienen	aːndinən
aandikken	aːndɪkən
aandissen	aːndɪsən
aandoen	aːndun
aandoening	aːndunɪŋ
aandoenlijk	aːndunlək
aandragen	aːndraːɣən
aandrang	aːndrɑŋ
aandrentelen	aːndrɛntələn
aandribbelen	aːndrɪbələn
aandrift	aːndrɪft
aandrijfas	aːndrɛi̯fɑs
aandrijfketting	aːndrɛi̯fkɛtɪŋ
aandrijfkracht	aːndrɛi̯fkrɑxt
aandrijflijn	aːndrɛi̯flɛi̯n
aandrijven	aːndrɛi̯vən
aandringen	aːndrɪŋən
aandrukken	aːndrʏkən
aanduiden	aːndœy̯dən
