.f	ʔɛf
.fj	ʔɛfi
.j	aj
.j	t
.j	ɾ
.j	ʔ
.j	ʔi
.jn	ʔin
.k	k
.k	ʔɛk
.kj	ʔki
.kj	ʔɛki
.kw	ku
.kw	ʔkuː
.kꜣ	ʔkɑ
.n	ʔɛn
.nj	ʔɛni
.nw	ʔnuː
.s	ʔɛs
.sj	ʔɛsi
.sn	ʔsɛn
.snj	ʔsɛni
.st	ʔsɛt
.sw	ʔsuː
.t	ʔɛt
.tj	ʔti
.tjwn	ʔtiuːn
.tjwnj	ʔtiuːni
.tn	ʔtɛn
.tnj	ʔtɛni
.tw	ʔtuː
.twn	ʔtuːn
.ty	ʔtiː
.w	ʔuː
.wj	ʔuːi
.wjn	ʔuːin
.wn	ʔuːn
.wy	ʔuːiː
.y	ʔiː
.ḫr	ʔxɛr
.ṯ	c
.ṯ	t
.ṯ	ʔ
.ṯ	ʔɛt͡ʃ
.ṯn	ʔt͡ʃɛn
.ṯnj	ʔt͡ʃɛni
bbr	bɛbɛr
bbwt	bɛbuːt
bdt	bɛdɛt
bdš	bɛdɛʃ
bgs	bɛɡɛs
bjk	bik
bjn	baːjin
bjn	baːʔən
bjn	bin
bjn	βoːʔən
bjnt	bajnVt
bjnt	bajnVʔ
bjnt	binɛt
bjnt	βajnə
bjrwnygꜣt	biruːniːɡɑt
bjrwnygꜣt	βəɾəniːkə
bjt	bijat
bjt	bijaʔ
bjt	bit
bjt	βəjaʔ
bjtj	bijatVj
bjtj	biti
bjtj	βəjatə
bjꜣ	biɑ
bjꜣt	biɑt
bjꜣyt	biɑiːt
bkꜣ	bɛkɑ
bn	bɛn
bnbnt	bɛnbɛnɛt
bnr	binij
bnr	biniɾ
bnr	bɛnɛr
bnr	βəneʔ
bntj	bɛnti
bntwt	bɛntuːt
bnw	bɛnuː
bnš	bɛnɛʃ
bs	bɛs
btj	bɛti
btꜣ	bɛtɑ
bw	buː
bwt	buːt
bwtj	buːti
bzj	bɛzi
bšj	bɛʃi
bšṯ	bɛʃɛt͡ʃ
bḥdt	bɛħdɛt
bḥn	bɛħɛn
bḥs	bɛħɛs
bḥz	bɛħɛz
bḫnt	bɛxnɛt
bṯ	bɛt͡ʃ
bẖbẖ	bɛçbɛç
bꜣ	bɑ
bꜣbꜣrw	bɑbɑruː
bꜣgj	biʀkʼit
bꜣgj	biʀkʼiʔ
bꜣgj	biːkʼaʔ
bꜣgj	bɑɡi
bꜣgj	βiːkʼə
bꜣgsw	bɑɡsuː
bꜣj	bɑi
bꜣjr	bɑir
bꜣjr	βøʔɾə
bꜣk	baːʀak
bꜣk	baːʔək
bꜣk	bɑk
bꜣk	βoːʔək
bꜣkt	baʀkat
bꜣkt	baʀkaʔ
bꜣkt	baːkaʔ
bꜣkt	bɑkɛt
bꜣkt	βoːkə
bꜣkw	baʀkaw
bꜣkw	baːkəʔ
bꜣkw	bɑkuː
bꜣkw	βoːk
bꜣkꜣ	bɑkɑ
bꜣs	bɑs
bꜣst	bɑsɛt
bꜣstt	buʀistit
bꜣstt	buʀistiʔ
bꜣstt	bɑstɛt
bꜣstt	ʔuβestə
bꜣt	baːʀat
bꜣt	baːʀaʔ
bꜣt	bɑt
bꜣt	βoːʔə
bꜣw	bɑuː
bꜣḥ	bɑħ
bꜣẖ	bɑç
bꜣẖw	baʀçaw
bꜣẖw	baːçəʔ
bꜣẖw	bɑçuː
bꜣẖw	βoːç
bꜥr	bɑːr
bꜥḥ	bɑːħ
bꜥḥj	biʕħit
bꜥḥj	biʕħiʔ
bꜥḥj	bɑːħi
bꜥḥj	βeʕħə
db	dɛb
db	tʼep
db	tʼib
dbn	dɛbɛn
dbn	tʼiːban
dbn	tʼiːβən
dbnt	dɛbnɛt
dbḥ	dɛbɛħ
ddw	dɛduː
dgj	dɛɡi
dgm	dɛɡɛm
dgm	tʼeːkʼəm
dgm	tʼuːkʼVm
dgꜣj	dɛɡɑi
dhnt	dɛhnɛt
dj	di
djnw	dinuː
djw	diuː
djw	tʼiːjaw
djw	tʼiːw
djw	tʼiːwəʔ
dm	dɛm
dmj	dɛmi
dmj	tʼiːmij
dmj	tʼiːmiʔ
dmj	tʼiːmə
dmḏ	dɛmɛd͡ʒ
dmḏj	dɛmɛd͡ʒi
dmḏj	tʼaːmacʼ
dmḏj	tʼaːmatʼ
dmḏj	tʼemtʼə
dmḏj	tʼimcʼit
dmḏj	tʼimtʼiʔ
dmḏj	tʼoːmətʼ
dmꜣt	dɛmɑt
dn	dɛn
dnd	dɛnɛd
dng	dɛnɛɡ
dnjt	dɛnit
dnjt	tʼanjut
dnjt	tʼanjuʔ
dnjt	tʼanʔə
dns	dɛnɛs
dp	dɛp
dpt	dɛpɛt
dpt	tʼVːput
dpt	tʼVːpuʔ
dpt	tʼVːpə
dpt	tʼiːpVt
dpt	tʼiːpVʔ
dpt	tʼiːpə
dpy	dɛpiː
dqr	dɛkɛr
dr	dɛr
drp	dɛrɛp
ds	dɛs
dsj	dɛsi
dwn	duːn
dwn	tʼaːwan
dwn	tʼoːwən
dwꜣ	duːɑ
dwꜣt	duːɑt
dwꜣt	tʼeːʔə
dwꜣt	tʼuwʀat
dwꜣt	tʼuwʀaʔ
dwꜣt	tʼuːʔa
dwꜣtj	duːɑti
dwꜣw	duːɑuː
dyw	diːuː
dyw	tʼijjaw
dšr	dɛʃɛr
dšr	tʼaːɾiʃ
dšr	tʼaːʃiɾ
dšr	tʼeːʃə
dšr	tʼoːɾəʃ
dšr	tʼuːʃVɾ
dšr	tʼuːʃVʔ
dšrt	dɛʃrɛt
dšrt	tʼaʃɾat
dšrt	tʼaʃɾaʔ
dšrt	tʼaʃɾə
dḥr	dɛħɛr
dꜣ	dɑ
dꜣb	dɑb
dꜣdꜣ	dɑdɑ
dꜣr	dɑr
dꜣt	dɑt
fdq	fɛdɛk
fgn	fɛɡɛn
fk	fɛk
fn	fɛn
fnḏ	fɛnɛd͡ʒ
fnḫw	fɛnɛxuː
fnṯ	fent
fnṯ	fincuw
fnṯ	fintaʔ
fnṯ	fintuw
fnṯ	fɛnɛt͡ʃ
ftft	fɛtfɛt
fḫ	fɛx
fḫt	fɛxɛt
fꜣj	fɑi
gbb	kʼeːβ
gbb	kʼuːbab
gbb	ɡɛbɛb
gbtjw	ɡɛbtiuː
gbꜣ	ɡɛbɑ
gm	ɡɛm
gmgm	kʼamkʼam
gmgm	kʼamkʼəm
gmgm	ɡɛmɡɛm
gmj	kʼiːmit
gmj	kʼiːmiʔ
gmj	kʼiːmə
gmj	ɡɛmi
gmt	ɡɛmɛt
gmḥ	ɡɛmɛħ
gmḥt	ɡɛmħɛt
gnn	ɡɛnɛn
gnẖ	ɡɛnɛç
gp	kʼaːp
gp	kʼeːp
gp	kʼoːp
gp	kʼuːpaw
gp	ɡɛp
gr	kʼaːɾ
gr	kʼaːʔ
gr	kʼoːʔ
gr	ɡɛr
grg	kʼalkʼ
grg	kʼalkʼuw
grg	kʼalkʼəʔ
