'll	l,əl
'm	əm
're	ə
's	z,s
've	əv,v
a	ˈeɪ,ə
a's	ˈeɪz
aardvark	ˈɑːdvɑːk
aardvarks	ˈɑːdvɑːks
aardwolf	ˈɑːdwʊlf
aaron	ˈɛəɹən
aba	ɐbˈæ
abaca	æbˈækɐ
aback	ɐbˈæk,əbˈæk
abacus	ˈæbækəs
abacuses	ˈæbɐkəsɪz
abalone	ɐbˈæləʊn
abandon	əbˈændən,ɐbˈændən
abandoned	əbˈændənd,ɐbˈændənd
abandoning	ɐbˈændənɪŋ
abandonment	ɐbˈændənmənt
abandons	ɐbˈændənz
abas	ɐbˈæz
abase	ɐbˈeɪs
abasement	ɐbˈeɪsmənt
abashed	ɐbˈæʃt
abate	ɐbˈeɪt,əbˈeɪt
abated	ɐbˈeɪtɪd
abatement	ɐbˈeɪtmənt
abates	ɐbˈeɪts
abating	ɐbˈeɪtɪŋ
abattoir	ˈæbɐtwˌɑː
abattoirs	ˈæbɐtwˌɑːz
abb	ˈæb
abba	ˈæbɐ
abbess	ˈæbɛs
abbesses	ˈæbɛsɪz
abbey	ˈæbi
abbeys	ˈæbiz
abbot	ˈæbət
abbots	ˈæbəts
abbreviate	əbɹˈiːvɪˌeɪt,ɐbɹˈiːvɪˌeɪt
abbreviated	ɐbɹˈiːvɪˌeɪtɪd
abbreviates	ɐbɹˈiːvɪˌeɪts
abbreviating	ɐbɹˈiːvɪˌeɪtɪŋ
abbreviation	ɐbɹˌiːvɪˈeɪʃən
abbreviations	ɐbɹˌiːvɪˈeɪʃənz
abdicate	ˈæbdɪkˌeɪt
abdicated	ˈæbdɪkˌeɪtɪd
abdicates	ˈæbdɪkˌeɪts
abdicating	ˈæbdɪkˌeɪtɪŋ
abdication	ˌæbdɪkˈeɪʃən
abdomen	ˈæbdəmən
abdomens	ˈæbdəmənz
abdominal	æbdˈɒmɪnəl
abduct	ɐbdˈʌkt
abducted	ɐbdˈʌktɪd
abducting	ɐbdˈʌktɪŋ
abduction	ɐbdˈʌkʃən
abductions	ɐbdˈʌkʃənz
abductor	ɐbdˈʌktɐ
abductors	ɐbdˈʌktəz
abducts	ɐbdˈʌkts
abeam	ɐbˈiːm
abed	ɐbˈɛd
abel	ˈeɪbəl
aberdeen	ˌæbədˈiːn
aberdeenshire	ˌæbədˈiːnʃə
aberrant	ɐbˈɛɹənt
aberration	ˌæbəɹˈeɪʃən
aberrations	ˌæbəɹˈeɪʃənz
abet	ɐbˈɛt,əbˈɛt
abetted	ɐbˈɛtɪd
abetting	ɐbˈɛtɪŋ
abeyance	ɐbˈeɪəns
abhor	əbhˈɔː,ɐbhˈɔː
abhorred	ɐbhˈɔːd
abhorrence	ɐbhˈɒɹəns
abhorrent	ɐbhˈɒɹənt
abhorring	ɐbhˈɔːɹɪŋ
abhors	ɐbhˈɔːz
abide	əbˈaɪd,ɐbˈaɪd
abided	ɐbˈaɪdɪd
abides	ɐbˈaɪdz
abiding	ɐbˈaɪdɪŋ
abies	ɐbˈaɪz
abigail	ˈæbɪɡˌeɪl
abilities	əbˈɪlɪtiz,ɐbˈɪlətˌiz
ability	ɐbˈɪlətˌi,əbˈɪlɪti
abingdon	ˈæbɪŋdən
abjection	æbdʒˈɛkʃən
abjectly	ˈæbdʒɛktli
abjure	ɐbdʒjˈɔː
ablation	ɐblˈeɪtiən
ablaze	ɐblˈeɪz
able	ˈeɪbəl
abler	ˈeɪblɐ
ablest	ˈeɪbləst
ablution	ɐblˈuːʃən
ablutions	ɐblˈuːʃənz
ably	ˈeɪbli
abnegate	ˈæbnɪɡˌeɪt
abnegation	ˌæbnɪɡˈeɪʃən
abnormal	æbnˈɔːməl,ɐbnˈɔːməl
abnormalities	ɐbnɔːmˈælɪtiz
abnormality	ɐbnɔːmˈælɪti
abnormally	ɐbnˈɔːməli
aboard	əbˈɔːd,ɐbˈɔːd
abode	ɐbˈəʊd,əbˈəʊd
abodes	ɐbˈəʊdz
abolish	əbˈɒlɪʃ,ɐbˈɒlɪʃ
abolished	ɐbˈɒlɪʃt
abolishes	ɐbˈɒlɪʃɪz
abolishing	ɐbˈɒlɪʃɪŋ
abolishment	ɐbˈɒlɪʃmənt
abolition	ˌæbəlˈɪʃən
abolitionist	ˌæbəlˈɪʃənˌɪst
abolitionists	ˌæbəlˈɪʃənˌɪsts
abominable	ɐbˈɒmɪnəbəl
abominably	ɐbˈɒmɪnəbli
abominate	ɐbˈɒmɪnˌeɪt
abominated	ɐbˈɒmɪnˌeɪtɪd
abomination	ɐbˌɒmɪnˈeɪʃən
abominations	ɐbˌɒmɪnˈeɪʃənz
abominator	ɐbˈɒmɪnˌeɪtɐ
aboriginal	ˌæbəɹˈɪdʒɪnəl
aboriginals	ˌæbəɹˈɪdʒɪnəlz
aborigine	ˌæbəɹˈɪdʒənˌi
aborigines	ˌæbəɹˈɪdʒənˌiz
abort	əbˈɔːt,ɐbˈɔːt
aborted	ɐbˈɔːtɪd
aborting	ɐbˈɔːtɪŋ
abortion	əbˈɔːʃən,ɐbˈɔːʃən
abortionist	ɐbˈɔːʃənˌɪst
abortionists	ɐbˈɔːʃənˌɪsts
abortions	ɐbˈɔːʃənz
abortive	ɐbˈɔːtɪv
aborts	ɐbˈɔːts
abound	ɐbˈaʊnd
abounded	ɐbˈaʊndɪd
abounding	ɐbˈaʊndɪŋ
abounds	ɐbˈaʊndz
about	ɐbˈaʊt,əbˈaʊt
above	əbˈɐv,əbˈʌv
abracadabra	ˌæbɹəkədˈæbɹɐ
abrade	ɐbɹˈeɪd
abraded	ɐbɹˈeɪdɪd
abrades	ɐbɹˈeɪdz
abrading	ɐbɹˈeɪdɪŋ
abraham	ˈeɪbɹəhˌæm
abrasion	ɐbɹˈeɪʒən
abrasions	ɐbɹˈeɪʒənz
abrasive	ɐbɹˈeɪsɪv
abrasiveness	ɐbɹˈeɪsɪvnəs
abrasives	ɐbɹˈeɪsɪvz
abraxas	ɐbɹˈæksəs
abreast	ɐbɹˈɛst
abri	ɐbɹˈi
abridged	ɐbɹˈɪdʒd
abridgement	ɐbɹˈɪdʒmənt
abroad	ɐbɹˈɔːd,əbɹˈɔːd
abrogated	ˈæbɹəɡˌeɪtɪd
abrogating	ˈæbɹəɡˌeɪtɪŋ
abrogation	ˌæbɹəɡˈeɪʃən
abrupt	ɐbɹˈʌpt
abruption	ɐbɹˈʌpʃən
abruptly	ɐbɹˈʌptli,əbɹˈɐptli
abruptness	ɐbɹˈʌptnəs
abs	ˈæbz
abscess	ˈæbsɛs
abscesses	ˈæbsɛsɪz
abscond	əbskˈɒnd,ɐbskˈɒnd
absconded	ɐbskˈɒndɪd
absconding	ɐbskˈɒndɪŋ
absconds	ɐbskˈɒndz
abseil	ˈæbseɪl
abseiled	ˈæbseɪld
abseiler	ˈæbseɪlɐ
abseiling	ˈæbseɪlɪŋ
abseils	ˈæbseɪlz
absence	ˈæbsəns
absences	ˈæbsənsɪz
absent	ˈæbsənt
absented	æbsˈɛntɪd
absentee	ˌæbsəntˈiː
absenteeism	ˌæbsəntˈiːɪzəm
absentees	ˌæbsəntˈiːz
absenting	æbsˈɛntɪŋ
absentminded	ˌæbsəntmˈaɪndɪd
absentmindedly	ˌæbsəntmˈaɪndɪdli
absinthe	ˈæbsɪnθ
absolute	ˈæbsəlˌuːt
absolutely	ˌæbsəlˈuːtli
absolutes	ˈæbsəlˌuːts
absolution	ˌæbsəlˈuːʃən
absolutism	ˈæbsəlˌuːtɪzəm
absolutist	ˈæbsəlˌuːtɪst
absolve	ɐbsˈɒlv
absolved	ɐbsˈɒlvd
absolves	ɐbsˈɒlvz
absolving	ɐbsˈɒlvɪŋ
absorb	əbzˈɔːb,ɐbsˈɔːb
absorbable	ɐbsˈɔːbəbəl
absorbed	ɐbsˈɔːbd,əbzˈɔːbd
absorbency	ɐbsˈɔːbənsi
absorbent	ɐbsˈɔːbənt
absorber	ɐbsˈɔːbɐ
absorbers	ɐbsˈɔːbəz
absorbing	ɐbsˈɔːbɪŋ
absorbs	ɐbsˈɔːbz
absorption	əbzˈɔːpʃən,ɐbsˈɔːpʃən,əbsˈɔːpʃən
abstain	ɐbstˈeɪn
abstained	ɐbstˈeɪnd
abstainers	ɐbstˈeɪnəz
abstaining	ɐbstˈeɪnɪŋ
abstains	ɐbstˈeɪnz
abstemious	ɐbstˈiːmiəs
abstention	ɐbstˈɛnʃən
abstentions	ɐbstˈɛnʃənz
abstinence	ˈæbstɪnəns
abstinent	ˈæbstɪnənt
abstract	æbstɹˈækt,ˈæbstɹˌækt
abstracted	ɐbstɹˈæktɪd
abstracting	ɐbstɹˈæktɪŋ
abstraction	ɐbstɹˈækʃən
abstractions	ɐbstɹˈækʃənz
abstractly	ɐbstɹˈæktli
abstracts	əbstɹˈækts,ˈæbstɹˌækts
abstruse	ɐbstɹˈuːs
absurd	ɐbsˈɜːd,əbsˈɜːd
absurdist	ɐbsˈɜːdɪst
absurdities	ɐbsˈɜːdɪtiz
absurdity	ɐbsˈɜːdɪti
absurdly	ɐbsˈɜːdli
abundance	ɐbˈʌndəns,əbˈɐndəns
abundances	ɐbˈʌndənsɪz
abundant	əbˈɐndənt,ɐbˈʌndənt
abundantly	ɐbˈʌndəntli
abuse	əbjˈuːz,əbjˈuːs
abused	ɐbjˈuːsd
abuser	ɐbjˈuːsɐ
abusers	ɐbjˈuːsəz
abusing	ɐbjˈuːsɪŋ
abusive	ɐbjˈuːsɪv
abusively	ɐbjˈuːsɪvli
abut	ɐbˈʌt
abutment	ɐbˈʌtmənt
abutments	ɐbˈʌtmənts
abuts	ɐbˈʌts
abutting	ɐbˈʌtɪŋ
abuzz	ɐbˈʌz
aby	ɐbˈaɪ
abysmal	ɐbˈɪsməl,əbˈɪsməl
abysmally	ɐbˈɪsməli
abyss	ɐbˈɪs,əbˈɪs
abyssal	ɐbˈɪsəl
abysses	ɐbˈɪsɪz
acacia	ɐkˈeɪʃɐ
acacias	ɐkˈeɪʃəz
academe	ɐkˈædəmˌi
academia	ˌækədˈiːmiə
academic	ˌækədˈɛmɪk
academical	ˌækədˈɛmɪkəl
academically	ˌækədˈɛmɪkli
academician	ˌækədɪmˈɪʃən
academicians	ˌækədɪmˈɪʃənz
academics	ˌækədˈɛmɪks
academies	ɐkˈædəmɪz
academy	əkˈædəmi,ɐkˈædəmi
acanthus	ɐkˈɑːnθəs
accede	ɐksˈiːd
acceded	ɐksˈiːdɪd
acceding	ɐksˈiːdɪŋ
accelerando	ɐksˌɛləɹˈændəʊ
accelerant	ɐksˈɛləɹənt
accelerate	æksˈɛləɹˌeɪt,ɐksˈɛləɹˌeɪt
accelerated	ɐksˈɛləɹˌeɪtɪd
accelerates	ɐksˈɛləɹˌeɪts
accelerating	ɐksˈɛləɹˌeɪtɪŋ
acceleration	ɐksˌɛləɹˈeɪʃən,æksˌɛləɹˈeɪʃən
accelerations	ɐksˌɛləɹˈeɪʃənz
accelerator	æksˈɛləɹˌeɪtə,ɐksˈɛləɹˌeɪtɐ
accelerators	ɐksˈɛləɹˌeɪtəz
accelerometer	ɐksˌɛləɹˈɒmɪtɐ
accelerometers	ɐksˌɛləɹˈɒmɪtəz
accent	ˈæksˌɛnt,əksˈɛnt
accented	ˈæksəntɪd
accents	ˈæksɛnts
accentuate	æksˈɛntʃuːˌeɪt
accentuated	æksˈɛntʃuːˌeɪtɪd
accentuates	æksˈɛntʃuːˌeɪts
accentuating	æksˈɛntʃuːˌeɪtɪŋ
accept	əksˈɛpt,ɐksˈɛpt
acceptability	ɐksˌɛptəbˈɪlɪti
acceptable	ɐksˈɛptəbəl,əksˈɛptəbəl
acceptably	əksˈɛptəbli,ɐksˈɛptəbli
acceptance	əksˈɛptəns,ɐksˈɛptəns
acceptances	ɐksˈɛptənsɪz
acceptation	ɐksɪptˈeɪʃən
accepted	əksˈɛptɪd,ɐksˈɛptɪd
accepting	əksˈɛptɪŋ,ɐksˈɛptɪŋ
accepts	ɐksˈɛpts,əksˈɛpts
access	ˈæksɛs,ˈæksˌɛs
accessed	ˈæksɛst,ˈæksˌɛst
accesses	ˈæksɛsɪz,ˈæksˌɛsɪz
accessibility	ˌæksɛsɪbˈɪlɪti,ɐksˌɛsəbˈɪlɪti
accessible	ɐksˈɛsəbəl,əksˈɛsɪbəl
accessibly	ɐksˈɛsəbli
accessing	ˈæksˌɛsɪŋ,ˈæksɛsɪŋ
accession	ɐksˈɛʃən
accessories	ɐksˈɛsəɹˌiz,æksˈɛsəɹiz
accessorise	ɐksˈɛsɔːɹˌaɪz
accessorised	ɐksˈɛsɔːɹˌaɪzd
accessorising	ɐksˈɛsɔːɹˌaɪzɪŋ
accessory	ɐksˈɛsəɹˌi,æksˈɛsəɹi
accident	ˈæksɪdənt
accidental	ˌæksɪdˈɛntəl
accidentally	ˌæksɪdˈɛntəli
accidently	ˈæksɪdəntli
accidents	ˈæksɪdənts
accidie	ˈæksɪdi
acclaim	ɐklˈeɪm
acclaimed	ɐklˈeɪmd
acclaiming	ɐklˈeɪmɪŋ
acclaims	ɐklˈeɪmz
acclamation	ɐklɐmˈeɪʃən
acclimate	ɐklˈaɪmət
acclimated	ɐklˈaɪmətɪd
acclimatisation	ɐklˌaɪmɐtaɪzˈeɪʃən
acclimatise	ɐklˈaɪmɐtˌaɪz
acclimatised	ɐklˈaɪmɐtˌaɪzd
acclimatising	ɐklˈaɪmɐtˌaɪzɪŋ
accolade	ˈækəlˌeɪd
accolades	ˈækəlˌeɪdz
accommodate	əkˈɒmədˌeɪt,ɐkˈɒmədˌeɪt
accommodated	ɐkˈɒmədˌeɪtɪd
accommodates	ɐkˈɒmədˌeɪts
accommodating	ɐkˈɒmədˌeɪtɪŋ
accommodation	ɐkˌɒmədˈeɪʃən,əkˌɒmədˈeɪʃən
accommodations	ɐkˌɒmədˈeɪʃənz,əkˌɒmədˈeɪʃənz
accompanied	əkˈɐmpənid,ɐkˈʌmpənɪd
accompanies	ɐkˈʌmpənɪz
accompaniment	ɐkˈʌmpɐnˌɪmənt
accompaniments	ɐkˈʌmpɐnˌɪmənts
accompanist	ɐkˈʌmpɐnˌɪst
accompanists	ɐkˈʌmpɐnˌɪsts
accompany	əkˈɐmpəni,ɐkˈʌmpəni
accompanying	ɐkˈʌmpənɪɪŋ,əkˈɐmpəniɪŋ
accomplice	ɐkˈɒmplɪs
accomplices	ɐkˈɒmplɪsɪz
accomplish	ɐkˈɒmplɪʃ,əkˈɒmplɪʃ
accomplished	əkˈɒmplɪʃt,ɐkˈɒmplɪʃt
accomplishes	ɐkˈɒmplɪʃɪz
accomplishing	ɐkˈɒmplɪʃɪŋ
accomplishment	ɐkˈɒmplɪʃmənt
accomplishments	ɐkˈɒmplɪʃmənts
accord	ɐkˈɔːd,əkˈɔːd
accordance	əkˈɔːdəns,ɐkˈɔːdəns
accordant	ɐkˈɔːdənt
accorded	əkˈɔːdɪd,ɐkˈɔːdɪd
according	əkˈɔːdɪŋ,ɐkˈɔːdɪŋ
accordingly	əkˈɔːdɪŋli,ɐkˈɔːdɪŋli
accordion	əkˈɔːdɪən,ɐkˈɔːdiən
accordionist	ɐkˈɔːdɪənˌɪst
accordionists	ɐkˈɔːdɪənˌɪsts
accordions	ɐkˈɔːdiənz
accords	əkˈɔːdz,ɐkˈɔːdz
accost	ɐkˈɒst
accosted	ɐkˈɒstɪd
accosting	ɐkˈɒstɪŋ
accosts	ɐkˈɒsts
account	ɐkˈaʊnt,əkˈaʊnt
accountability	ɐkˌaʊntəbˈɪlɪti,əkaʊntəbˈɪlɪti
accountable	ɐkˈaʊntəbəl
accountancy	ɐkˈaʊntənsi
accountant	əkˈaʊntənt,ɐkˈaʊntənt
accountants	əkˈaʊntənts,ɐkˈaʊntənts
accounted	ɐkˈaʊntɪd
accounting	əkˈaʊntɪŋ,ɐkˈaʊntɪŋ
accounts	əkˈaʊnts,ɐkˈaʊnts
accoutred	ɐkˈuːtɹəd
accoutrement	ɐkˈuːtɹɪmənt
accoutrements	ɐkˈuːtɹɪmənts
accreditation	əkɹˌɛdɪtˈeɪʃən,ɐkɹˌɛdɪtˈeɪʃən
accredited	əkɹˈɛdɪtɪd,ɐkɹˈɛdɪtɪd
accredits	ɐkɹˈɛdɪts
accrete	ɐkɹˈiːt
accreted	ɐkɹˈiːtɪd
accretion	ɐkɹˈɛʃən
accretions	ɐkɹˈɛʃənz
accrual	ɐkɹˈuːəl
accrue	ɐkɹˈuː
accrued	ɐkɹˈuːd
accrues	ɐkɹˈuːz
accruing	ɐkɹˈuːɪŋ
acculturated	ɐkˈʌltʃəɹˌeɪtɪd
accumulate	əkjˈuːmjʊlˌeɪt,ɐkjˈuːmjʊlˌeɪt
accumulated	ɐkjˈuːmjʊlˌeɪtɪd
accumulates	ɐkjˈuːmjʊlˌeɪts
accumulating	ɐkjˈuːmjʊlˌeɪtɪŋ
accumulation	ɐkjˌuːmjʊlˈeɪʃən,əkjˌuːmjʊlˈeɪʃən
accumulations	ɐkjˌuːmjʊlˈeɪʃənz
accumulative	ɐkjˈuːmjʊlətˌɪv
accumulator	ɐkjˈuːmjʊlˌeɪtɐ
accumulators	ɐkjˈuːmjʊlˌeɪtəz
accuracy	ˈækjʊɹəsi
accurate	ˈækjʊɹət,ˈækjʊɹɪt
accurately	ˈækjʊɹɪtli,ˈækjʊɹətli
accursed	ɐkˈɜːsɪd
accusation	ˌækjʊzˈeɪʃən,ˌækjuːzˈeɪʃən
accusations	ˌækjuːzˈeɪʃənz
accusative	ɐkjˈuːzətˌɪv
accusatory	ɐkjˈuːzətəɹˌi
accuse	əkjˈuːz,ɐkjˈuːz
accused	əkjˈuːzd,ɐkjˈuːzd
accuser	ɐkjˈuːzɐ
accusers	ɐkjˈuːzəz
accuses	ɐkjˈuːzɪz
accusing	ɐkjˈuːzɪŋ
accusingly	ɐkjˈuːzɪŋli
accustom	ɐkˈʌstəm
accustomed	ɐkˈʌstəmd
ace	ˈeɪs
aced	ˈeɪst
acer	ˈeɪsə
acerbic	ɐsˈɜːbɪk
aces	ˈeɪsɪz
acetate	ˈæsɪtˌeɪt
acetates	ˈæsɪtˌeɪts
acetic	ɐsˈiːtɪk
acetone	ˈæsɪtˌəʊn
acetyl	ˈæsɪtˌaɪl
acetylene	ɐsˈɛtəlˌiːn
ache	ˈeɪk
ached	ˈeɪkt
aches	ˈeɪkz
achievable	ɐtʃˈiːvəbəl
achieve	ɐtʃˈiːv,ətʃˈiːv
achieved	ətʃˈiːvd,ɐtʃˈiːvd
achievement	ətʃˈiːvmənt,ɐtʃˈiːvmənt
achievements	ɐtʃˈiːvmənts,ətʃˈiːvmənts
achiever	ɐtʃˈiːvɐ
achievers	ɐtʃˈiːvəz
achieves	ɐtʃˈiːvz
achieving	ətʃˈiːvɪŋ,ɐtʃˈiːvɪŋ
aching	ˈeɪkɪŋ
achingly	ɐtʃɪŋlˈi
achoo	ɐtʃˈuː
achy	ˈeɪki
acid	ˈæsɪd
acidic	ɐsˈɪdɪk,əsˈɪdɪk
acidification	ɐsˌɪdɪfɪkˈeɪʃən
acidified	ɐsˈɪdɪfˌaɪd
acidify	ɐsˈɪdɪfˌaɪ
acidifying	ɐsˈɪdɪfˌaɪɪŋ
acidity	æsˈɪdɪti
acidosis	ɐsɪdˈəʊsɪs
acidotic	ɐsɪdˈɒtɪk
acids	ˈæsɪdz
acidulated	ɐsˈɪdjʊlˌeɪtɪd
acing	ˈeɪsɪŋ
acknowledge	ɐknˈɒlɪdʒ,əknˈɒlɪdʒ
acknowledged	ɐknˈɒlɪdʒd,əknˈɒlɪdʒd
acknowledgement	ɐknˈɒlɪdʒmənt,əknˈɒlɪdʒmənt
acknowledgements	ɐknˈɒlɪdʒmənts
acknowledges	ɐknˈɒlɪdʒɪz
acknowledging	ɐknˈɒlɪdʒɪŋ
acknowledgment	ɐknˈɒlɪdʒmənt,əknˈɒlɪdʒmənt
acknowledgments	ɐknˈɒlɪdʒmənts
acme	ˈækmi
