a-vorto	avorto
abandoni	abandoni
abandono	abandono
abasido	abasido
abaso	abaso
abatejo	abateio
abatinejo	abatineio
abatino	abatino
abato	abato
abdiki	abdiki
abdiko	abdiko
abdomeno	abdomeno
abela	abela
abeledoj	abeledoi
abelejo	abeleio
abelino	abelino
abelisto	abelisto
abelmanĝulo	abelmand͡ʒulo
abelo	abelo
abelreĝino	abelred͡ʒino
abelsvarmo	abelsvarmo
abelujo	abeluio
abelŝedo	abelʃedo
aberacii	aberat͡sii
aberacio	aberat͡sio
abidarmo	abidarmo
abio	abio
abisma	abisma
abismo	abismo
abiturienta ekzameno	abiturientaekzameno
abituriento	abituriento
ablacia aĝo	ablat͡siaad͡ʒo
ablacio	ablat͡sio
ablativo	ablativo
abnegacia	abnegat͡sia
abnegacio	abnegat͡sio
aboco	abot͡so
abocolibro	abot͡solibro
aboli	aboli
abolicii	abolit͡sii
abomena	abomena
abomenaĵo	abomenaʒo
abomeni	abomeni
abomeninda	abomeninda
abomeno	abomeno
aboni	aboni
abonigi	abonigi
abonilo	abonilo
abono	abono
aborigena	aborigena
aborigeno	aborigeno
aborta rimo	abortarimo
abortaĵo	abortaʒo
aborti	aborti
abortigi	abortigi
aborto	aborto
abortulo	abortulo
abrakadabro	abrakadabro
abrikotarbo	abrikotarbo
abrikoto	abrikoto
abrikotujo	abrikotuio
abrotano	abrotano
abrupta	abrupta
absceso	abst͡seso
absciso	abst͡siso
absideto	absideto
absido	absido
absintaĵo	absintaʒo
absinto	absinto
absoluta	absoluta
absoluta monopolo	absolutamonopolo
absoluta sonsento	absolutasonsento
absoluta valoro	absolutavaloro
absolute konverĝa	absolutekonverd͡ʒa
absolutismo	absolutismo
absolvi	absolvi
absolvo	absolvo
absorbi	absorbi
absorbiĝi	absorbid͡ʒi
abstinado	abstinado
abstinenco	abstinent͡so
abstini	abstini
abstrakta	abstrakta
abstrakti	abstrakti
absurda	absurda
abunda	abunda
abundeco	abundet͡so
abundi	abundi
abundo	abundo
abutmento	abutmento
aceracoj	at͡serat͡soi
acerba	at͡serba
acero	at͡sero
acetato	at͡setato
acetileno	at͡setileno
acetilo	at͡setilo
aceto	at͡seto
acetono	at͡setono
acida	at͡sida
acido	at͡sido
acipenseredoj	at͡sipenseredoi
acipenserformaj	at͡sipenserformai
acipensero	at͡sipensero
adam	adam
adamo	adamo
adapti	adapti
adaptilo	adaptilo
adasismo	adasismo
adaĝe	adad͡ʒe
adaĝo	adad͡ʒo
adekvata	adekvata
adeptigi	adeptigi
adepto	adepto
adhera	adhera
adheraĵo	adheraʒo
adheri	adheri
adhero	adhero
adianto	adianto
adiaŭ	adiau
adiaŭdiri	adiaudiri
adiaŭi	adiaui
adiciato	adit͡siato
adicii	adit͡sii
adicio	adit͡sio
adjektivo	adjektivo
adjudanto	adjudanto
adjudiki	adjudiki
adjudiko	adjudiko
adjunkto	adjunkto
adjutanto	adjutanto
administracio	administrat͡sio
administraj notoj	administrainotoi
administrantaro	administrantaro
administrejo	administreio
administri	administri
admiralitato	admiralitato
admiralo	admiralo
admiri	admiri
admitanco	admitant͡so
admoni	admoni
admono	admono
adobo	adobo
adoleskanto	adoleskanto
adoleski	adoleski
adolesko	adolesko
adoleskulo	adoleskulo
adolfo	adolfo
adolta	adolta
adolteco	adoltet͡so
adoltiĝi	adoltid͡ʒi
adoltiĝo	adoltid͡ʒo
adolto	adolto
adopti	adopti
adori	adori
adorkliniĝi	adorklinid͡ʒi
adrenalino	adrenalino
adresanto	adresanto
adresaro	adresaro
adresato	adresato
adresi	adresi
adreso	adreso
adstringa	adstringa
adulta	adulta
adultado	adultado
adultaĵo	adultaʒo
adultema	adultema
adulti	adulti
adultigi	adultigi
adulto	adulto
adultulino	adultulino
adultulo	adultulo
advento	advento
adverbo	adverbo
advokato	advokato
adzo	ad͡zo
aedo	aedo
aera	aera
aerarmeo	aerarmeo
aerkondukilo	aerkondukilo
aero	aero
aerobia	aerobia
aerodromo	aerodromo
aerofloto	aerofloto
aerokondukilo	aerokondukilo
aerolito	aerolito
aerometro	aerometro
aeronaŭtiko	aeronautiko
aeronaŭto	aeronauto
aeroplano	aeroplano
aerostato	aerostato
aerpirato	aerpirato
aerpumpilo	aerpumpilo
aertransporto	aertransporto
aerumi	aerumi
aerŝipo	aerʃipo
aerŝtono	aerʃtono
afabla	afabla
afazio	afazio
afekcia	afekt͡sia
afekcii	afekt͡sii
afekcio	afekt͡sio
afekta	afekta
afektaĵo	afektaʒo
afektema	afektema
afekti	afekti
afektiva	afektiva
afekto	afekto
afektulino	afektulino
afektulo	afektulo
afelio	afelio
afera	afera
afereca	aferet͡sa
aferema	aferema
aferisto	aferisto
afero	afero
afganio	afganio
afgano	afgano
afganujo	afganuio
afidedoj	afidedoi
afido	afido
afikso	afikso
afina	afina
afina ebeno	afinaebeno
afina hiperebeno	afinahiperebeno
afina rekto	afinarekto
afina rotacio	afinarotat͡sio
afina spaco	afinaspat͡so
afina subspaco	afinasubspat͡so
afiŝi	afiʃi
afiŝo	afiʃo
aflikti	aflikti
afliktiĝi	afliktid͡ʒi
afliktiĝo	afliktid͡ʒo
aflikto	aflikto
afonio	afonio
aforismo	aforismo
afranki	afranki
afrankite	afrankite
afrikano	afrikano
afrikato	afrikato
afriko	afriko
afrodita	afrodita
afrodito	afrodito
afto	afto
aftozo	aftozo
afusto	afusto
agaci	agat͡si
agapo	agapo
agaragaro	agaragaro
agarikacoj	agarikat͡soi
agariko	agariko
agato	agato
agavo	agavo
agema	agema
agendo	agendo
agentejo	agenteio
agento	agento
agi	agi
agiti	agiti
agleca	aglet͡sa
aglo	aglo
aglomeri	aglomeri
aglomero	aglomero
aglutina	aglutina
aglutini	aglutini
agnateco	agnatet͡so
agnato	agnato
agnio	agnio
agnoski	agnoski
agnostikismo	agnostikismo
ago	ago
agonii	agonii
agonio	agonio
agorafobio	agorafobio
agordi	agordi
agordilo	agordilo
agordisto	agordisto
agordo	agordo
agrabla	agrabla
agrafi	agrafi
agrafo	agrafo
agresema	agresema
agresemo	agresemo
agresi	agresi
agreso	agreso
agrikulturisto	agrikulturisto
agrikulturo	agrikulturo
agro	agro
agronomiisto	agronomiisto
agronomio	agronomio
agronomo	agronomo
agropiro	agropiro
agroturismo	agroturismo
aha	aha
aideso	aideso
aidoso	aidoso
aidosulo	aidosulo
aikido	aikido
ailanto	ailanto
aina	aina
aino	aino
aj	ai
ajatolo	aiatolo
ajgena	aigena
ajgeno	aigeno
ajgenspaco	aigenspat͡so
ajgensubspaco	aigensubspat͡so
ajgenvaloro	aigenvaloro
ajgenvektoro	aigenvektoro
ajlo	ailo
ajmara	aimara
ajmaro	aimaro
ajn	ain
ajna	aina
