on	on
ja	ja
et	ˈet
ei	ˌeiː
ka	kˈa
kui	kˈuiː
Eesti	ˈeːs^ti
oma	ˈomɑ
ning	niŋɡ
oli	ˌoʎɪ
see	sˈeeː
siis	sˈiiːs
aga	ˌaɡɑ
mis	mˈis
ta	ta
kes	kˈes
pole	pˈolɛ
nii	nˈiiː
või	vˌɵiː
seda	sˈedɑ
ole	ˌolɛ
Kui	kˈuiː
selle	sˈelle
juba	jˈubɑ
veel	vˈeeːl
aasta	ˈaːsta
välja	vˈæʎja
vaid	vˈaid
üle	ˈylɛ
kuid	kˈuid
sest	sˈest
tuleb	tˈulɛb
meie	mˌeije
eest	ˈeːst
ütles	ˈytːles
kus	kˈus
sõnul	sˈɵnʊl
saab	sˈaaːb
väga	vˈæɡɑ
mitte	mˈitːe
oleks	ˈolɛks
maha	mˈahɑ
võib	vˈɵib
mida	mˈidɑ
tema	tˌemɑ
jäänud	jˈæːnud
kõik	kˈɵik
vastu	vˈastu
olnud	ˌolnud
palju	pˈaʎju
nagu	nˈaɡʊ
ära	ˈærɑ
See	sˈeeː
nad	nad
nende	nˈende
ma	ma
kas	kˈas
enam	ˈenɑm
uudised	ˈuːd^ised
aastal	ˈaːstal
natuke	nˈatuke
pärast	pˈærɑst
Tallinna	tˈaʎʎinna
teha	tˈehɑ
üks	ˈyks
midagi	mˈidɑɡi
Euroopa	ˌeurˈoːpːa
peab	pˈeab
ajast	ˈajɑst
ju	jˈu
rohkem	rˈohkem
krooni	krˈoːɲi
tagasi	tˈaɡɑsi
Eestist	ˈeːs^tist
olla	ˌolla
ise	ˌisɛ
sai	sˈaiː
ajal	ˈajɑl
brauser	prˈauser
küll	kˈyiʎʎ
raha	rˈahɑ
Eestis	ˈeːs^tis
saa	sˈaaː
neid	nˈeid
ikka	ˈikːa
need	nˈeeːd
kohta	kˈohta
kuidas	kˈuidas
Ja	ja
peaks	pˈeaks
me	me
kokku	kˈokːu
Värsked	vˈærsked
Postimees	pˌos^timˈeːs
nüüd	nˈyyːd
ainult	ˈainult
aastat	ˈaːstat
olid	ˌoʎɪd
mille	mˈille
Kas	kˈas
sellest	sˈellest
ette	ˈetːe
saanud	sˈaːnud
ega	ˌeɡɑ
läbi	lˈæbɪ
täna	tˈænɑ
peale	pˈeale
kõige	kˈɵiɡe
kaks	kˈaks
Aga	ˌaɡɑ
välismaaltSinu	vˌæʎɪsmˈaːltsˈinʊ
praegu	prˈaeɡu
olema	ˈolɛma
kogu	kˈoɡʊ
vaja	vˈajɑ
seal	sˈeal
koos	kˈooːs
hea	hˈeaː
enne	ˈenne
saada	sˈaːda
poolt	pˈoːlt
ehk	ehk
inimesed	ˈiɲɪmesed
siin	sˈiiːn
just	jˈust
riigi	rˈiːɡi
alla	ˈalla
osa	ˈosɑ
Tartu	tˈartu
teada	tˈeada
ühe	ˈyhɛ
jaoks	jˈaoːks
miljonit	mˈiʎjonit
elu	ˈelʊ
korda	kˈorda
siiski	sˈiːski
näiteks	nˈæ͡itːeks
võiks	vˈɵiks
isegi	ˈisɛɡi
Nii	nˈiiː
võimalik	vˈɵimalik
meil	mˈeil
keegi	kˈeːɡi
jooksul	jˈoːksul
Ma	ma
iga	ˈiɡɑ
juurde	jˈuːrde
Venemaa	vˌenɛmˈaː
uue	ˈuːwe
aega	ˈaeɡa
suur	sˈuuːr
eurot	ˈeurot
tuli	tˈuʎɪ
kaasa	kˈaːsa
edasi	ˈedɑsi
jääb	jˈææːb
poole	pˈoːle
enda	ˈenda
Ta	ta
olen	ˌolɛn
ees	ˈeeːs
rääkis	rˈæːkːis
võtta	vˈɵtːa
minu	mˈinʊ
selles	sˈelles
tööd	tˈøøːd
miks	mˈiks
saavad	sˈaːvad
mees	mˈeeːs
lihtsalt	lˈihtsalt
Hiiu	hˈiːu
kuni	kˈuɲɪ
end	ˈend
sel	sˈel
Tallinnas	tˈaʎʎinnas
läheb	lˈæhɛb
kelle	kˈelle
kell	kˈell
protsenti	prˈotseɲti
hästi	hˈæs^ti
USA	ˈuːˌessˌaaː
Ka	kˈa
eile	ˈeile
kindlasti	kˈindlas^ti
puhul	pˈuhʊl
järgi	jˈærɡi
toimub	tˈoimub
aeg	ˈaeɡ
teeb	tˈeeːb
inimesi	ˈiɲɪmˌesi
kuna	kˈunɑ
inimene	ˈiɲɪmˌene
ligi	lˈiɡɪ
üles	ˈylɛs
eesti	ˈeːs^ti
selleks	sˈelleks
teatas	tˈeatːas
alati	ˈalɑti
sama	sˈamɑ
uus	ˈuuːs
jäi	jˈæ͡iː
kinni	kˈiɲɲi
aru	ˈarʊ
oleme	ˌolɛme
lisas	lˈisɑs
tõttu	tˈɵtːu
pea	pˈeaː
kolm	kˈolm
endale	ˈendale
vahel	vˈahɛl
ilma	ˈilma
Soome	sˈoːme
töö	tˈøøː
sa	sa
riik	rˈiːk
valmis	vˈalmis
teinud	tˈeinud
tal	tˈal
talle	tˈalle
Ei	ˌeiː
tehtud	tˈehtud
sisse	sˈisse
üldse	ˈyldse
kohe	kˈohɛ
neile	nˈeile
Kuid	kˈuid
kunagi	kˈunɑɡi
samuti	sˈamʊti
all	ˈall
kahe	kˈahɛ
eriti	ˈerɪti
inimeste	ˈiɲɪmˌeste
öelda	ˈøeːlda
sellega	sˈelleɡa
päeva	pˈæeva
juures	jˈuːres
inimest	ˈiɲɪmest
minna	mˈinna
varem	vˈarɛm
vähemalt	vˈæhɛmalt
Samas	sˈamɑs
alles	ˈalles
president	prˈes^ideɲt
teda	tˈedɑ
näha	nˈæhɑ
hakkab	hˈakːab
juht	jˈuht
sellele	sˈellele
politsei	pˌoʎɪtsˈeiː
polnud	pˈolnud
tegi	tˈeɡɪ
selline	sˈeʎʎine
annab	ˈannab
taas	tˈaaːs
anda	ˈanda
tegelikult	tˈeɡɛlikult
tuleks	tˈulɛks
hinnangul	hˈinnaŋɡul
Nüüd	nˈyyːd
Liidu	lˈiːdu
rahva	rˈahva
esimees	ˌes^ɪmˈeːs
juhul	jˈuhʊl
asi	ˈas^ɪ
neil	nˈeil
Mis	mˈis
peavad	pˈeavad
liiga	lˈiːɡa
hoopis	hˈoːpːis
kinnitas	kˈiɲɲitas
Miks	mˈiks
Riigikogu	rˈiːɡikˌoɡu
viis	vˈiiːs
tee	tˈeeː
teise	tˈeise
tulnud	tˈulnud
taha	tˈahɑ
Tema	tˌemɑ
miljoni	mˈiʎjoni
Keskerakonna	kˈeskerakˌonna
Seda	sˈedɑ
linna	lˈinna
ongi	ˈoŋɡi
tänavu	tˈænɑvu
teine	tˈeine
maailma	mˈaːilma
seotud	sˈeoːtːud
läinud	lˈæ͡inud
mulle	mˈulle
said	sˈaid
suure	sˈuːre
ennast	ˈennast
õhtul	ˈɵhtul
panna	pˈanna
olemas	ˈolɛmas
neist	nˈeist
Vene	vˈenɛ
tegemist	tˈeɡɛmist
raske	rˈaske
meile	mˈeile
