eta	ˈeta
da	dˈa
zen	s̻ˈen
zuen	s̻uˈen
izan	is̻ˈan
bat	bˈat
ere	ˈeɾe
ziren	s̻iɾˈen
ez	ˈes̻
dira	diɾˈa
du	dˈu
bere	bˈeɾe
zuten	s̻ˈuten
egin	eɣˈin
edo	ˈeðo
zituen	s̻itˈuˌen
dute	dˈute
beste	bˈes̺te
ditu	dˈitu
baina	bˈa͡ɪɲa
egiten	eɣˈitˌen
dago	dˈaɣo
behar	beˈaɾ
bi	bˈi
den	dˈen
artean	aɾtˈeˌan
batean	batˈeˌan
hau	ˈa͡ʊ
baten	batˈen
baino	bˈa͡ɪɲo
oso	ˈos̺o
bezala	bes̻ˈalˌa
duen	duˈen
Bere	bˈeɾe
lehen	leˈen
bizi	bˈis̻i
zituzten	s̻itˈus̻tˌen
ondoren	ondˈoɾˌen
diren	diɾˈen
batzuk	bat͡s̻ˈuk
eman	emˈan
hainbat	a͡ɪnbˈat
hori	ˈoɾi
egun	eɣˈun
hartu	ˈaɾtu
dela	dˈela
erabiltzen	eɾˈaβilt͡s̻ˌen
daude	dˈa͡ʊðe
hasi	ˈas̺i
bakarrik	bakˈarˌik
dituzte	ditˈus̻tˌe
sortu	s̺ˈoɾtu
arteko	aɾtˈekˌo
izena	is̻ˈenˌa
izango	is̻ˈanɡˌo
duten	dutˈen
hauek	ˈa͡ʊek
urte	ˈuɾte
arabera	aɾˈaβeɾˌa
batera	batˈeɾˌa
nahi	nˈai
arte	ˈaɾte
lan	lˈan
daiteke	da͡ɪtˈekˌe
de	dˈe
Hala	ˈala
zion	s̻iˈon
handia	andˈiˌa
ematen	emˈatˌen
batek	batˈek
zela	s̻ˈela
asko	ˈas̺ko
baita	bˈa͡ɪta
zegoen	s̻eɣˈoˌen
bertan	beɾtˈan
gisa	ɡˈis̺a
lortu	lˈoɾtu
batez	batˈes̻
hartzen	aɾt͡s̻ˈen
dituzten	ditˈus̻tˌen
hil	ˈil
pertsona	peɾt͡s̺ˈonˌa
gehiago	ɡe͡ɪˈaɣˌo
horretan	orˈetˌan
honetan	onˈetˌan
honek	onˈek
hiru	ˈiɾu
izaten	is̻ˈatˌen
bidez	biðˈes̻
gabe	ɡˈaβe
esan	es̺ˈan
gero	ɡˈeɾo
ondorioz	ondˈoɾiˌos̻
zehar	s̻eˈaɾ
horien	ˈoɾiˌen
egon	eɣˈon
horiek	ˈoɾiˌek
honen	ˈonen
egiteko	eɣˈitekˌo
gain	ɡˈa͡ɪn
parte	pˈaɾte
gabeko	ɡaβˈekˌo
berriz	berˈis̻
guztiak	ɡus̻tˈiˌak
azken	as̻kˈen
alde	ˈalðe
Euskal	e͡ʊs̺kˈal
zenbait	s̻enbˈa͡ɪt
