دادن	pænɒːhdɒːdæn,tekɒːndɒːdæn,pænddɒːdæn,d͡ʒɒːdɒːdæn
!یاهو	jɒːhuː!
.واشینگتن دی.سی	vɒːʃenɡtondiː.siː.
آئورت	ɒːʔoɾt
آب	ɒːb
آب اکسیژنه	ɒːboksiːʒene
آب حیات	ɒːbehejɒːt
آب دادن	ɒːbdɒːdæn
آب زدن	ɒːbzædæn
آب سیب	ɒːbesiːb
آب شدن	ɒːbʃodæn
آب معدنی	ɒːbmæʔdæniː
آب و هوا	ɒːbohævɒː
آب کردن	ɒːbkæɾdæn
آب کشیدن	ɒːbkeʃiːdæn
آب گرفتن	ɒːbɡeɾeftæn
آبادان	ɒːbædæn
آبادی	ɒːbɒːdiː
آبان	ɒːbɒːn
آباژور	ɒːbɒːʒuːɾ
آبتنی	ɒːbtæniː
آبتنی کردن	ɒːbtæniːkæɾdæn
آبجو	ɒːbd͡ʒoʊ,ɒːbd͡ʒo
آبجو زدن	ɒːbd͡ʒozædæn
آبخاز	ɒːbxɒːz
آبخازستان	ɒːbxɒːzestɒːn
آبخازیه	ɒːbxɒːziːje
آبدست	ɒːbdæst
آبراه	ɒːbɾɒːh
آبریز	ɒːbɾiːz
آبزی شناسی	ɒːbziːʃenɒːsiː
آبزیدان	ɒːbziːdɒːn
آبستنی	ɒːbestæniː
آبشار	ɒːbʃɒːɾʔ,ɒːbʃɒːɾ
آبغوره	ɒːbɢuːɾe
آبغوره گرفتن	ɒːbɢuːɾeɡeɾeftæn
آبفشاری	ɒːbfeʃæɾiː
آبمیوه	ɒːbmiːve
آبْلرْزه	ɒːblæɾze
آبچین	ɒːbt͡ʃiːn
آبکش	ɒːbkeʃ
آبکش کردن	ɒːbkeʃkæɾdæn
آبگونه	ɒːbɡuːne
آبگینه	ɒːbɡiːne
آبی	ɒːbiː
آبی آسمانی	ɒːbiːjeɒːsemɒːniː
آب‌سنگ	ɒːbsænɡ
آب‌نما	ɒːbnæmɒː
آب‌پنیر	ɒːbpæniːɾ
آتش	ɒːtæʃ
آتش زدن	ɒːtæʃzædæn
آتش کشیدن	ɒːtæʃkeʃiːdæn
آتش گرفتن	ɒːtæʃɡeɾeftæn
آتشسوزی	ɒːtæʃsuːziː
آتش‌بس	ɒːtæʃbæs
آتش‌فشان	ɒːteʃfeʃɒːn
آتش‌نشان	ɒːtæʃneʃɒːn
آتن	ɒːten
آتنا	ɒːtenɒː
آجر	ɒːd͡ʒoɾ
آجری	ɒːd͡ʒoɾiː
آخ	ɒːx
آخر	ɒːxæɾ
آخر هفته	ɒːxeɾehæfte,ɒːxæɾehæfte
آخرت	ɒːxeɾæt
آخشیج	ɒːxʃiːd͡ʒ
آخور	ɒːxoɾ
آخوندک	ɒːxuːndæk
آدام	ɒːdɒːm
آدامس	ɒːdɒːms
آدرس	ɒːdɾes
آدم	ɒːdæm
آدم برفی	ɒːdæmbæɾfiː
آدمی	ɒːdæmiː
آدم‌خواری	ɒːdæmxɒːɾiː
آدیس آبابا	ɒːdiːsɒːbɒːbɒː
آدینه	ɒːdiːne
آذر	ɒːzæɾ
آذربایجان	ɒːzæɾbɒːjed͡ʒɒːn,ɒːzæɾbɒːjd͡ʒɒːn
آذربایجانی	ɒːzæɾbɒːjd͡ʒɒːniː
آذرخش	ɒːzæɾæxʃ
آذری	ɒːzæɾiː
آرارات	ɒːɾæɾæt
آراستن	ɒːɾɒːstæn
آرام	ɒːɾɒːm
آرام شدن	ɒːɾɒːmʃodæn
آرام گرفتن	ɒːɾɒːmɡeɾeftæn
آرامش	ɒːɾɒːmeʃ
آرامش بخشیدن	ɒːɾɒːmeʃbæxʃiːdæn
آرامگاه	ɒːɾɒːmɡɒːh
آرانی	ɒːɾɒːniː
آرايشگر	ɒːɾɒːjeʃɡæɾ
آرایش	ɒːɾɒːjeʃ
آرایش دادن	ɒːɾɒːjeʃdɒːdæn
آرایه	ɒːɾɒːje
آرخانگلسک	ɒːɾxɒːnɡelsk
آرد	ɒːɾd
آرزو	ɒːɾezuː
آرزو داشتن	ɒːɾezuːdɒːʃtæn,ɒːɾezuːdɒːʃtæn
آرزو كردن	ɒːɾezuːkæɾdæn
آرزو کردن	ɒːɾezuːkæɾdæn
آرزو کشیدن	ɒːɾezuːkeʃiːdæn
آرزومندی	ɒːɾezuːmændiː
آرسنیک	ɒːɾseniːk
آرمان	ɒːɾmɒːn
آرمانی	ɒːɾmɒːniː
آرماگدون	ɒːɾmæɡedon
آرنج	ɒːɾænd͡ʒ,ɒːɾend͡ʒ
آره	ɒːɾe
آروغ	ɒːɾoɢ
