Ⴁ	b
Ⴂ	ɡ
Ⴍ	ɔ
ა	ɑ
ააბარგებს	ɑɑbɑrɡɛbs
ააგდებს	ɑɑɡdɛbs
ააგიზგიზებს	ɑɑɡizɡizɛbs
ააგო	ɑɑɡɔ
აადვილებს	ɑɑdvilɛbs
აალებადი	ɑɑlɛbɑdi
აალებული	ɑɑlɛbuli
აამებს	ɑɑmɛbs
აბა	ɑbɑ
აბაზანა	ɑbɑzɑnɑ
აბაზი	ɑbɑzi
აბაიშვილი	ɑbɑiʃvili
აბაკი	ɑbɑkʼi
აბამს	ɑbɑms
აბანო	ɑbɑnɔ
აბანოზი	ɑbɑnɔzi
აბაჟური	ɑbɑʒuri
აბარგება	ɑbɑrɡɛbɑ
აბარებს	ɑbɑrɛbs
აბატი	ɑbɑtʼi
აბგა	ɑbɡɑ
აბდაუბდა	ɑbdɑubdɑ
აბედი	ɑbɛdi
აბეზღებს	ɑbɛzɣɛbs
აბელი	ɑbɛli
აბელიანი	ɑbɛliɑni
აბზაცი	ɑbzɑt͡si
აბზინდა	ɑbzindɑ
აბი	ɑbi
აბიბინებს	ɑbibinɛbs
აბინძურებს	ɑbind͡zurɛbs
აბლაბუდა	ɑblɑbudɑ
აბლაგვებს	ɑblɑɡvɛbs
აბლაუტი	ɑblɑutʼi
აბმა	ɑbmɑ
აბო	ɑbɔ
აბონემენტი	ɑbɔnɛmɛntʼi
აბონენტი	ɑbɔnɛntʼi
აბორიგენი	ɑbɔriɡɛni
აბრაგი	ɑbrɑɡi
აბრაკადაბრა	ɑbrɑkʼɑdɑbrɑ
აბრალებს	ɑbrɑlɛbs
აბრამი	ɑbrɑmi
აბრამიშვილი	ɑbrɑmiʃvili
აბრევი	ɑbrɛvi
აბრევიატურა	ɑbrɛviɑtʼurɑ
აბრეშუმი	ɑbrɛʃumi
აბრუნებს	ɑbrunɛbs
აბრძანდება	ɑbrd͡zɑndɛbɑ
აბსოლუტიზმი	ɑbsɔlutʼizmi
აბსოლუტურად	ɑbsɔlutʼurɑd
აბსოლუტური	ɑbsɔlutʼuri
აბსტრაქტულად	ɑbstʼrɑkʰtʼulɑd
აბსტრაქტული	ɑbstʼrɑkʰtʼuli
აბსტრაქცია	ɑbstʼrɑkʰt͡siɑ
აბსურდულად	ɑbsurdulɑd
აბსურდული	ɑbsurduli
აბსურდულობა	ɑbsurdulɔbɑ
აბულაშვილი	ɑbulɑʃvili
აბურძგნილი	ɑburd͡zɡnili
აბუსერიძე	ɑbusɛrid͡zɛ
აბშილავა	ɑbʃilɑvɑ
აბჯარი	ɑbd͡ʒɑri
აგავა	ɑɡɑvɑ
აგარა	ɑɡɑrɑ
აგბობს	ɑɡbɔbs
აგდება	ɑɡdɛbɑ
აგდებს	ɑɡdɛbs
აგდებულად	ɑɡdɛbulɑd
აგდებული	ɑɡdɛbuli
აგება	ɑɡɛbɑ
აგებინებს	ɑɡɛbinɛbs
აგებს	ɑɡɛbs
აგეგმვა	ɑɡɛɡmvɑ
აგენტად	ɑɡɛntʼɑd
აგენტი	ɑɡɛntʼi
აგენტით	ɑɡɛntʼitʰ
აგენტის	ɑɡɛntʼis
აგენტმა	ɑɡɛntʼmɑ
აგენტო	ɑɡɛntʼɔ
აგენტს	ɑɡɛntʼs
აგენტურა	ɑɡɛntʼurɑ
აგვირგვინებს	ɑɡvirɡvinɛbs
აგვისტო	ɑɡvistʼɔ
აგვისტოდ	ɑɡvistʼɔd
აგვისტოთი	ɑɡvistʼɔtʰi
აგვისტომ	ɑɡvistʼɔm
აგვისტოს	ɑɡvistʼɔs
აგზნებადობა	ɑɡznɛbɑdɔbɑ
აგზნებულად	ɑɡznɛbulɑd
აგიდელი	ɑɡidɛli
აგიზგიზება	ɑɡizɡizɛbɑ
აგიზგიზებული	ɑɡizɡizɛbuli
აგინებს	ɑɡinɛbs
აგიტატორი	ɑɡitʼɑtʼɔri
აგლომერაცია	ɑɡlɔmɛrɑt͡siɑ
აგნებს	ɑɡnɛbs
