ͷ	t͡sʼ
άλκιμοσ	alcimos
αὔγη	avʝi
αὔγη	awɡe
αὔγη	aβɣi
αὔγη	ǎu̯ɡɛː
αὔγουρ	avɣur
αὔγουρ	awɡur
αὔγουρ	aβɣur
αὔγουρ	ǎu̯ɡoːr
αὔγουστοσ	avɣustos
αὔγουστοσ	awɡustos
αὔγουστοσ	aβɣustos
αὔγουστοσ	ǎu̯ɡoːstos
αὔδα	avða
αὔδα	awda
αὔδα	aβða
αὔδα	ǎu̯daː
αὔξειν	afksin
αὔξειν	aɸksin
αὔξειν	aʍksin
αὔξειν	ǎu̯kseːn
αὔξω	afkso
αὔξω	aɸkso
αὔξω	aʍkso
αὔξω	ǎu̯ksɔː
αὔρα	avra
αὔρα	awra
αὔρα	aβra
αὔρα	ǎu̯raː
αὔριον	avrion
αὔριον	awrion
αὔριον	aβrion
αὔριον	ǎu̯rion
αὔσονεσ	afsones
αὔσονεσ	aɸsones
αὔσονεσ	aʍsonɛs
αὔσονεσ	ǎu̯sones
αὔσπιξ	afspiks
αὔσπιξ	aɸspiks
αὔσπιξ	aʍspiks
αὔσπιξ	ǎu̯spiks
αὔτωσ	aftos
αὔτωσ	aɸtos
αὔτωσ	aʍtos
αὔτωσ	ǎu̯tɔːs
αὔω	avo
αὔω	awo
αὔω	aβo
αὔω	ǎu̯ɔː
αὖ	av
αὖ	aw
αὖ	aβ
αὖ	âu̯
αὖθ'	afθ
αὖθ'	aɸθ
αὖθ'	aʍtʰ
αὖθ'	âu̯tʰ
αὖθι	afθi
αὖθι	aɸθi
αὖθι	aʍtʰi
αὖθι	âu̯tʰi
αὖλαξ	avlaks
αὖλαξ	awlaks
αὖλαξ	aβlaks
αὖλαξ	âu̯laks
αὖλοσ	avlos
αὖλοσ	awlos
αὖλοσ	aβlos
αὖλοσ	âu̯los
αὖτ'	aft
αὖτ'	aɸt
αὖτ'	aʍt
αὖτ'	âu̯t
αὖτε	afte
αὖτε	aɸte
αὖτε	aʍtɛ
αὖτε	âu̯te
αὖτισ	aftis
αὖτισ	aɸtis
αὖτισ	aʍtis
αὖτισ	âu̯tis
αὐγέασ	au̯ɡéaːs
αὐγέασ	avʝeas
αὐγέασ	awɡɛas
αὐγέασ	aβɣeas
αὐγή	au̯ɡɛ̌ː
αὐγή	avʝi
αὐγή	awɡe
αὐγή	aβɣi
αὐγείασ	au̯ɡěːaːs
αὐγείασ	avʝias
αὐγείασ	awɡias
αὐγείασ	aβɣias
αὐγειαί	au̯ɡeːǎi̯
αὐγειαί	avʝie
αὐγειαί	awɡiɛ
αὐγειαί	aβɣiɛ
αὐδάομαι	au̯dáomai̯
αὐδάομαι	avðaome
αὐδάομαι	awdaomɛ
αὐδάομαι	aβðaomɛ
αὐδάω	au̯dáɔː
αὐδάω	avðao
αὐδάω	awdao
αὐδάω	aβðao
αὐδή	au̯dɛ̌ː
αὐδή	avði
αὐδή	awde
αὐδή	aβði
αὐδήν	au̯dɛ̌ːn
αὐδήν	avðin
αὐδήν	awden
αὐδήν	aβðin
αὐδήσασ	au̯dɛ̌ːsaːs
αὐδήσασ	avðisas
αὐδήσασ	awdesas
αὐδήσασ	aβðisas
αὐδήσασκε	au̯dɛ̌ːsaske
αὐδήσασκε	avðisasce
αὐδήσασκε	awdesaskɛ
αὐδήσασκε	aβðisaske
αὐδήσασκεν	au̯dɛ̌ːsasken
αὐδήσασκεν	avðisascen
αὐδήσασκεν	awdesaskɛn
αὐδήσασκεν	aβðisasken
αὐδήσασχ'	au̯dɛ̌ːsaskʰ
αὐδήσασχ'	avðisasx
αὐδήσασχ'	awdesaskʰ
αὐδήσασχ'	aβðisasx
αὐδήσομαι	au̯dɛ̌ːsomai̯
αὐδήσομαι	avðisome
αὐδήσομαι	awdesomɛ
αὐδήσομαι	aβðisomɛ
αὐδήσω	au̯dɛ̌ːsɔː
αὐδήσω	avðiso
αὐδήσω	awdeso
αὐδήσω	aβðiso
αὐδᾶι	au̯dâːi̯
αὐδᾶι	avða
αὐδᾶι	awda
αὐδᾶι	aβða
αὐδᾶν	au̯dâːn
αὐδᾶν	avðan
αὐδᾶν	awdan
αὐδᾶν	aβðan
αὐδᾶσθαι	au̯dâːstʰai̯
αὐδᾶσθαι	avðasθe
αὐδᾶσθαι	awdastʰɛ
αὐδᾶσθαι	aβðasθɛ
αὐδηθήσομαι	au̯dɛːtʰɛ̌ːsomai̯
αὐδηθήσομαι	avðiθisome
αὐδηθήσομαι	awdetʰesomɛ
αὐδηθήσομαι	aβðiθisomɛ
αὐδηθείσ	au̯dɛːtʰěːs
αὐδηθείσ	avðiθis
αὐδηθείσ	awdetʰis
αὐδηθείσ	aβðiθis
αὐδυναῖοσ	au̯dynâi̯os
αὐδυναῖοσ	avðineos
αὐδυναῖοσ	avðyneos
αὐδυναῖοσ	awdynɛos
αὐδυναῖοσ	aβðynɛos
αὐδῶ	au̯dɔ̂ː
αὐδῶ	avðo
αὐδῶ	awdo
αὐδῶ	aβðo
αὐδῶμαι	au̯dɔ̂ːmai̯
αὐδῶμαι	avðome
αὐδῶμαι	awdomɛ
αὐδῶμαι	aβðomɛ
αὐδῶν	au̯dɔ̂ːn
αὐδῶν	avðon
αὐδῶν	awdon
αὐδῶν	aβðon
αὐδώμενοσ	au̯dɔ̌ːmenos
αὐδώμενοσ	avðomenos
αὐδώμενοσ	awdomɛnos
αὐδώμενοσ	aβðomenos
αὐεντῖνον	au̯entîːnon
αὐεντῖνον	avendinon
αὐεντῖνον	aventinon
αὐεντῖνον	awɛntinon
