άβλαβοσ	avlavos
άβλαπτοσ	avlaptos
άβλαφτοσ	avlaftos
άγγειλα	aŋɟila
άγγελοσ	aŋɟelos
άγγελου	aŋɟelu
άγγιξα	aŋɟiksa
άγγισα	aŋɟisa
άγια	aʝa
άγια	aʝia
άγιασ	aʝas
άγιασ	aʝias
άγιασα	aʝasa
άγιε	aʝie
άγιεσ	aʝes
άγιεσ	aʝies
άγιο	aʝio
άγιο	aʝo
άγιοι	aʝi
άγιοι	aʝii
άγιοσ	aʝios
άγιοσ	aʝos
άγιου	aʝiu
άγιου	aʝu
άγιουσ	aʝius
άγιουσ	aʝus
άγιων	aʝion
άγιων	aʝon
άγκιστρο	aŋɟistro
άγνωροσ	aɣnoɾos
άγραφοσ	aɣrafos
άγρωστη	aɣɾosti
άγω	aɣo
άδενδροσ	aðenðɾos
άδεντροσ	aðendɾos
άδικη	aðici
άε	ae
άηχοσ	aixos
άθαφτοσ	aθaftos
άθεοσ	aθeos
άθροισα	aθɾisa
άκακοσ	akakos
άκαμπτοσ	akamptos
άκαρποσ	akaɾpos
άκεφοσ	acefos
άκησ	acis
άκοσμοσ	akozmos
άκουα	akua
άκουγα	akuɣa
άκουσα	akusa
άκουσεσ	akuses
άκων	akon
άλγεβρα	alʝevɾa
άλγοσ	alɣos
άλειψα	alipsa
άλιμοσ	alimos
άλλοθι	aloθi
άλυτοσ	alitos
άμαθοσ	amaθos
άμε	ame
άμετε	amete
άμπελοσ	ambelos
άμπωτη	amboti
άμυαλοσ	amɲalos
άνδρε	anðɾe
άνδρο	anðɾo
άνδροσ	anðɾos
άνδρου	anðɾu
άνδρωσα	anðɾosa
άνεση	anesi
άνθιμοσ	anθimos
άνθρωποσ	anθɾopos
άνοιξη	aniksi
άντ'	ad
άντε	ade
άντεσ	ades
άντεστε	adeste
άπατο	apato
άπειρων	apiron
άπτομαι	aptome
άρα	aɾa
άραγε	aɾaʝe
άραξα	araksa
άραχλοσ	aɾaxlos
άραχνοσ	aɾaxnos
άργησα	aɾʝisa
άργοσ	aɾɣos
άρια	aɾia
άρκανσασ	aɾkanzas
άρκτε	aɾkte
άρκτοσ	aɾktos
άρμα	aɾma
άρον	aron
άρτα	aɾta
άρτοσ	artos
άρχομαι	arxome
άρχοντασ	aɾxondas
άρχω	arxo
άσβεστοσ	azvestos
άσεβα	aseva
άσεβε	aseve
άσεβεσ	aseves
άσεβη	asevi
άσεβησ	asevis
άσεβο	asevo
άσεβοι	asevi
άσεβοσ	asevos
άσεβου	asevu
άσεβουσ	asevus
άσεβων	asevon
άσκησα	ascisa
άσπρισα	aspɾizo
άσπροσ	aspɾos
άστραψα	astɾapsa
άστρο	astro
άτονοσ	atonos
άχου	axu
άχρηστοσ	axɾistos
έβαλα	evala
έβαλε	evale
έβαλεσ	evales
έβαλλα	evala
έβαψα	evapsa
έβδομοσ	evðomos
έβενοσ	evenos
έβιασα	evʝasa
έβλαψα	evlapsa
έβοσκα	evoska
έβρεξα	evreksa
έγγαμοσ	eŋɣamos
έγγραφο	eŋɣrafo
έγινα	eʝina
έγκριση	eŋɡɾisi
έγκυοσ	eŋɟios
έγλειψα	eɣlipsa
έγνοια	eɣɲa
έγχυσα	eŋçisa
έδεσσα	eðesa
έδιωξα	eðʝoksa
έδρα	eðɾa
έδρασα	eðɾasa
έδρεψα	eðɾepsa
έδυσα	eðisa
έζησα	ezisa
έζησαν	ezisan
έθαλψα	eθalpsa
έθαψα	eθapsa
έθνοσ	eθnos
έκαμψα	ekampsa
έκαψα	ekapsa
έκθεση	ekθesi
έκκροτοσ	ekrotos
έκλεισα	eklisa
έκλειψη	eklipsi
έκλεψα	eklepsa
έκλινα	eklina
έκπληξη	ekpliksi
έκρηξη	ekɾiksi
έκρινα	ekɾina
έκρουσα	ekrusa
έκταση	ektasi
έκτοποσ	ektopos
έκτοσ	ektos
έκχυσα	ekçisa
έλαμψα	elampsa
έλειψα	elipsa
έλεοσ	eleos
έλιασα	eʎasa
έλκομαι	elkome
έλκομε	elkome
έλκοσ	elkos
έλκουμε	elkume
έλκω	elko
έλληνα	elina
έλληνεσ	elines
έλξατε	elksate
έλουσα	elusa
έλυνα	elina
έλυναν	elinan
έλυνε	eline
έλυνεσ	elines
έλυσα	elisa
έλυσαν	elisan
έλυσε	elise
έλυσεσ	elises
έμμονοσ	emonos
έμπορασ	emboɾas
έμποροσ	emboɾos
έναντι	enandi
έναρξη	enaɾksi
έναρξησ	enaɾksis
ένατοσ	enatos
ένδεκα	enðeka
ένζυμο	enzimo
έννοια	enia
έννοια	eɲa
ένρινα	enrina
ένρινε	enrine
ένρινεσ	enrines
ένρινη	enrini
ένρινησ	enrinis
ένρινο	enrino
ένρινοι	enrini
ένρινοσ	enrinos
ένρινου	enrinu
ένρινουσ	enrinus
ένρινων	enrinon
έντεκα	endeka
έντερο	endeɾo
έντονοσ	endonos
έντρομη	endɾomi
έντρομοι	endɾomi
έντρομοσ	endɾomos
έξεισ	eksis
έξη	eksi
έξι	eksi
έξοδοσ	eksoðos
έξυσα	eksisa
έπαιξα	epeksa
έπαυσα	epafsa
έπαψα	epapsa
έπεισα	episa
έπεμψα	epempsa
έπλεξα	epleksa
έπλευσα	eplefsa
έπνευσα	epnefsa
έπρεπε	epɾepe
έραψα	eɾapsa
έργο	eɾɣo
έριδα	eriða
έριδεσ	eriðes
έρπω	erpo
έρρευσα	erefsa
έρρινα	erina
έρρινε	erine
έρρινεσ	erines
έρρινη	erini
έρρινησ	erinis
έρρινο	erino
έρρινοι	erini
έρρινοσ	erinos
έρρινου	erinu
έρρινουσ	erinus
έρρινων	erinon
έρχομαι	eɾxome
έσεισα	esisa
έσκαγα	eskaɣa
έσκαζα	eskaza
έσκασα	eskasa
έσκισα	escisa
έσπαγα	espaɣa
έσπαζα	espaza
έσπασα	espasa
έσπειρα	espiɾa
έσταξα	estaksa
έστεψα	estepsa
έστρεψα	estɾepsa
έσυρα	esira
έσφυζα	esfiza
έσχισα	esçisa
έτεινα	etina
έτερψα	eteɾpsa
έτοιμοσ	etimos
έτοσ	etos
έτρεμα	etrema
έτρεψα	etɾepsa
έτριψα	etripsa
