а	a
абажур	abǎʒuːr
абаити	abaiti
абак	ǎbak
абакус	ǎbakus
абаја	abǎja
абаја	abǎːja
абаџија	âbad͡ʒija
абдес	ǎbdes
абдест	ǎbdest
абдикант	abdǐkant
абдикација	abdikǎːt͡sija
абдицирати	abdit͡sǐːrati
абдомен	abdǒːmen
абдоменски	abdǒːmenskiː
абдоминалан	âbdominaːlan
абел	ǎːbel
абер	ǎber
абесинац	abesǐːnat͡s
абесинија	abesǐːnija
абесински	aběsinskiː
абецеда	abet͡sěːda
абецедар	abet͡sědaːr
абецедариј	abet͡sědaːrij
абецедни	âbet͡seːdniː
абидјан	ǎbid͡ʒan
абидјански	abǐd͡ʒanskiː
абиџан	ǎbid͡ʒan
аблатив	âblatiʋ
аблаут	ǎblaut
аблација	ablǎːt͡sija
абнормалан	âbnormaːlan
абнормално	âbnormaːlno
абнормалност	abnormǎːlnoːst
аболиција	abolǐːt͡sija
аболицијски	abolǐːt͡siːjskiː
абонент	abǒnent
абонирати	abonǐːrati
абонирац	abonǐːrat͡s
абонман	abǒnmaːn
абориџиница	aborǐd͡ʒinit͡sa
абортирати	abortǐːrati
абразиван	âbraziːʋan
абразија	abrǎːzija
абревијација	abreʋijǎːt͡sija
абхажанка	abxǎʒaːnka
абхаз	ǎbxaːz
абхазија	ǎbxaːzija
абхаски	ǎbxaːskiː
аваз	ǎʋaːz
авангарда	ǎʋanɡaːrda
авангардни	ǎʋanɡaːrdniː
аванзирати	aʋanzǐːrati
аванс	ǎʋans
авантура	aʋantǔːra
авантурист	aʋantǔrist
авантуристички	aʋanturǐstitʃki
авантуристички	aʋanturǐstitʃkiː
аварски	ǎʋaːrskiː
аватар	aʋǎtaːr
авганистан	aʋɡanǐstaːn
авганистански	avɡanǐstaːnskiː
авдест	ǎʋdest
авенија	avěːnija
аверзија	aʋěrzija
авестички	aʋěstit͡ʃkiː
авиокомпанија	aʋiokompǎnija
авион	aʋǐoːn
авионски	aʋǐonski
авионски	aʋǐonskiː
авиопревозник	aʋioprěːʋozniːk
авиопријевозник	aʋioprijěːʋozniːk
авитаминоза	aʋitaminǒːza
авијатичар	aʋijǎtit͡ʃaːr
авијација	aʋijǎːt͡sija
авлија	ǎʋlija
авокадо	aʋokǎːdo
ага	ǎɡa
агами	aɡǎːmi
агент	ǎɡent
агенција	aɡěnt͡sija
агилан	âɡiːlan
агилно	âɡiːlno
агилност	aɡǐːlnoːst
агитатор	aɡǐtaːtor
агитација	aɡitǎːt͡sija
агитирати	aɡitǐːrati
агломерат	aɡloměraːt
агломерација	aɡlomerǎːt͡sija
аглутинативан	âɡlutinatiːʋan
аглутинација	aɡlutinǎːt͡sija
агностик	aɡnǒstik
агностичар	aɡnǒstit͡ʃaːr
агностичарка	aɡnǒstit͡ʃaːrka
агностички	aɡnǒstit͡ʃkiː
агогичан	aɡǒɡit͡ʃan
агонија	aɡǒnija
аграрни	ǎɡraːrniː
агрегатни	aɡrěɡaːtniː
агресиван	âɡresiːʋan
агресивно	âɡresiːʋno
агресија	aɡrěsija
агресор	ǎɡresor
агресорски	ǎɡresorskiː
агробиологија	aɡrobiolǒɡija
агрологија	aɡrolǒɡija
агроном	aɡrǒnom
агрономија	aɡronǒmija
агрономски	aɡrǒnomski
агрономски	aɡrǒnomskiː
агростологија	aɡrostolǒɡija
агротехнички	aɡrotěxnitʃki
агротехнички	aɡrotěxnitʃkiː
агротуризам	aɡroturǐzam
ада	ǎda
ада	ǎːda
адам	ǎdam
адаптација	adaptǎːt͡sija
адаптирати	adaptǐːrati
адвент	ǎdʋent
адвентист	adʋěntist
адвентистички	adʋentǐstitʃki
адвентистички	adʋentǐstitʃkiː
адвентисткиња	adʋěntistkiɲa
адверб	ǎdʋerb
адвербан	ǎdʋerban
адвербијалан	âdʋerbijaːlan
адвокат	adʋǒkaːt
адвокатски	adʋǒkaːtski
адекватан	âdekʋaːtan
адекватно	âdekʋaːtno
адекватност	adekʋǎːtnoːst
аден	âːden
аденски	ǎːdenskiː
адет	ǎːdet
адио	adîo
адио	ǎdio
адисабебски	adisǎbebskiː
адиција	adǐːt͡sija
адијабатски	adijǎbatskiː
административан	âdministratiːʋan
административка	administrǎtiːʋka
администратор	adminǐstraːtor
администрација	administrǎːt͡sija
адмирал	admǐraːl
адмиралитет	admiralǐteːt
адмитанција	admitǎnt͡sija
аднекс	ǎdneks
адолесцентица	adolěst͡sentit͡sa
адолесценција	adolest͡sěnt͡sija
адонис	âdonis
адоптација	adoptǎːt͡sija
адоптирати	adoptǐːrati
адопција	adǒpt͡sija
адорати	adǒrati
адоратор	adǒraːtor
адораторица	adǒraːtorit͡sa
адорација	adorǎːt͡sija
адорирати	adorǐːrati
адреналин	adrenǎliːn
адреналински	adrenǎliːnskiː
адреса	adrěsa
адресант	adrěsant
адресар	adrěsaːr
адресат	adrěsaːt
адресирати	adresǐːrati
адсорпција	adsǒrpt͡sija
адсорпцијски	adsǒrpt͡siːjskiː
адут	ǎduːt
адхерент	adxěrent
адјектив	âdjektiːʋ
адјункт	ǎdjunkt
адјустажа	adjustǎːʒa
адјустирати	adjustǐːrati
аеробан	âeroːban
аеробик	aerǒbik
аеробика	aerǒbika
аеробиологија	aerobiolǒɡija
аеробички	aerǒbit͡ʃkiː
аерографија	aeroɡrǎfija
аеродинамика	aerodinǎmika
аеродинамичан	aerodinǎmit͡ʃan
аеродинамички	aerodinǎmit͡ʃkiː
аеродром	aerǒdrom
аеродромски	aerǒdromskiː
аеролит	aerǒliːt
аерологија	aerolǒɡija
аеромеханика	aeromexǎnika
аеромеханичар	aeromexǎnit͡ʃar
аероплански	âeroplaːnski
аероплански	âeroplaːnskiː
аеросол	âerosoːl
ажур	ǎʒuːr
ажуран	âʒuːran
ажурирати	aʒurǐːrati
азбест	ǎzbest
азбука	ǎzbuka
азбучни	ǎzbut͡ʃniː
азербајџан	azerbǎjd͡ʒaːn
азербајџанац	azerbajd͡ʒǎːnat͡s
азерски	ǎzerskiː
азил	ǎziːl
азилант	azǐlant
азилантски	azǐlantski
азилантски	azǐlantskiː
азимут	ǎzimut
азија	âːzija
азијатски	azǐjatski
азијатски	azǐjatskiː
азијац	azǐːjat͡s
азијски	âːziːjskiː
азорски	ǎzorskiː
азот	ǎzot
азтек	ǎzteːk
азтечки	ǎztet͡ʃkiː
академик	akaděmik
академичарски	akaděmitʃaːrski
академичарски	akaděmitʃaːrskiː
академија	akaděmija
академијски	akaděmiːjskiː
академски	akǎdemski
