abadžija	âbad͡ʒija
abaiti	abaiti
abaja	abǎja
abaja	abǎːja
abak	ǎbak
abakus	ǎbakus
abažur	abǎʒuːr
abdes	ǎbdes
abdest	ǎbdest
abdicirati	abdit͡sǐːrati
abdikacija	abdikǎːt͡sija
abdikant	abdǐkant
abdomen	abdǒːmen
abdomenski	abdǒːmenskiː
abdominalan	âbdominaːlan
abeceda	abet͡sěːda
abecedar	abet͡sědaːr
abecedarij	abet͡sědaːrij
abecedni	âbet͡seːdniː
abel	ǎːbel
aber	ǎber
abesinac	abesǐːnat͡s
abesinija	abesǐːnija
abesinski	aběsinskiː
abhaski	ǎbxaːskiː
abhaz	ǎbxaːz
abhazija	ǎbxaːzija
abhažanka	abxǎʒaːnka
abidjan	ǎbid͡ʒan
abidjanski	abǐd͡ʒanskiː
abidžan	ǎbid͡ʒan
ablacija	ablǎːt͡sija
ablativ	âblatiʋ
ablaut	ǎblaut
abnormalan	âbnormaːlan
abnormalno	âbnormaːlno
abnormalnost	abnormǎːlnoːst
abolicija	abolǐːt͡sija
abolicijski	abolǐːt͡siːjskiː
abonent	abǒnent
abonirac	abonǐːrat͡s
abonirati	abonǐːrati
abonman	abǒnmaːn
aboridžinica	aborǐd͡ʒinit͡sa
abortirati	abortǐːrati
abrazija	abrǎːzija
abrazivan	âbraziːʋan
abrevijacija	abreʋijǎːt͡sija
acetat	at͡sětaːt
acetilen	at͡setǐleːn
aceton	at͡sětoːn
ada	ǎda
ada	ǎːda
adam	ǎdam
adaptacija	adaptǎːt͡sija
adaptirati	adaptǐːrati
adekvatan	âdekʋaːtan
adekvatno	âdekʋaːtno
adekvatnost	adekʋǎːtnoːst
aden	âːden
adenski	ǎːdenskiː
adet	ǎːdet
adherent	adxěrent
adicija	adǐːt͡sija
adijabatski	adijǎbatskiː
adio	adîo
adio	ǎdio
adisabebski	adisǎbebskiː
adjektiv	âdjektiːʋ
adjunkt	ǎdjunkt
adjustaža	adjustǎːʒa
adjustirati	adjustǐːrati
administracija	administrǎːt͡sija
administrativan	âdministratiːʋan
administrativka	administrǎtiːʋka
administrator	adminǐstraːtor
admiral	admǐraːl
admiralitet	admiralǐteːt
admitancija	admitǎnt͡sija
adneks	ǎdneks
adolescencija	adolest͡sěnt͡sija
adolescentica	adolěst͡sentit͡sa
adonis	âdonis
adopcija	adǒpt͡sija
adoptacija	adoptǎːt͡sija
adoptirati	adoptǐːrati
adoracija	adorǎːt͡sija
adorati	adǒrati
adorator	adǒraːtor
adoratorica	adǒraːtorit͡sa
adorirati	adorǐːrati
adrenalin	adrenǎliːn
adrenalinski	adrenǎliːnskiː
adresa	adrěsa
adresant	adrěsant
adresar	adrěsaːr
adresat	adrěsaːt
adresirati	adresǐːrati
adsorpcija	adsǒrpt͡sija
adsorpcijski	adsǒrpt͡siːjskiː
adut	ǎduːt
advent	ǎdʋent
adventist	adʋěntist
adventistica	adʋěntistit͡sa
adventistički	adʋentǐstit͡ʃki
adventistički	adʋentǐstit͡ʃkiː
adventistkinja	adʋěntistkiɲa
adverb	ǎdʋerb
adverban	ǎdʋerban
adverbijalan	âdʋerbijaːlan
advokat	adʋǒkaːt
advokatski	adʋǒkaːtski
adžuvan	ad͡ʒǔʋaːn
aeroban	âeroːban
aerobik	aerǒbik
aerobika	aerǒbika
aerobiologija	aerobiolǒɡija
aerobički	aerǒbit͡ʃkiː
aerodinamika	aerodinǎmika
aerodinamičan	aerodinǎmit͡ʃan
aerodinamički	aerodinǎmit͡ʃkiː
aerodrom	aerǒdrom
aerodromski	aerǒdromskiː
aerografija	aeroɡrǎfija
aerolit	aerǒliːt
aerologija	aerolǒɡija
aeromehanika	aeromexǎnika
aeromehaničar	aeromexǎnit͡ʃar
aeroplanski	âeroplaːnski
aeroplanski	âeroplaːnskiː
aerosol	âerosoːl
afekt	ǎfekt
afektacija	afektǎːt͡sija
afektirati	afektǐːrati
afel	ǎfel
afera	afěːra
afereza	afěreza
aferim	afěrim
afganistan	afɡanǐstaːn
afganistanski	afɡanǐstaːnskiː
afiks	ǎfiks
afinitet	afinǐteːt
afirmacija	afirmǎːt͡sija
afirmativan	âfirmatiːʋan
afirmativno	âfirmatiːʋno
afirmiran	afǐrmiːraːn
afirmirati	afirmǐːrati
aforist	afǒrist
aforistički	aforǐstit͡ʃkiː
aforizam	aforǐzam
afrika	ǎfrika
afrikanac	afrikǎːnat͡s
afrikanizacija	afrikanizǎːt͡sija
afrikanizam	afrikanǐzam
afrikanka	afrǐkaːnka
afrikanski	afrǐkaːnskiː
afrikata	afrikǎːta
afrički	ǎfrit͡ʃkiː
afrodizijak	afrodǐzijak
aga	ǎɡa
agami	aɡǎːmi
agencija	aɡěnt͡sija
agent	ǎɡent
agilan	âɡiːlan
agilno	âɡiːlno
agilnost	aɡǐːlnoːst
agitacija	aɡitǎːt͡sija
agitator	aɡǐtaːtor
agitirati	aɡitǐːrati
aglomeracija	aɡlomerǎːt͡sija
aglomerat	aɡloměraːt
aglutinacija	aɡlutinǎːt͡sija
aglutinativan	âɡlutinatiːʋan
agnostik	aɡnǒstik
agnostičar	aɡnǒstit͡ʃaːr
agnostičarka	aɡnǒstit͡ʃaːrka
agnostički	aɡnǒstit͡ʃkiː
agogičan	aɡǒɡit͡ʃan
agonija	aɡǒnija
agrarni	ǎɡraːrniː
agregatni	aɡrěɡaːtniː
agresija	aɡrěsija
agresivan	âɡresiːʋan
agresivno	âɡresiːʋno
agresor	ǎɡresor
agresorski	ǎɡresorskiː
agrobiologija	aɡrobiolǒɡija
agrologija	aɡrolǒɡija
agronom	aɡrǒnom
agronomija	aɡronǒmija
agronomski	aɡrǒnomski
agronomski	aɡrǒnomskiː
agrostologija	aɡrostolǒɡija
agrotehnički	aɡrotěxnitʃki
agrotehnički	aɡrotěxnitʃkiː
agroturizam	aɡroturǐzam
ahat	âxaːt
ahbab	ǎxbaːb
ahil	ǎxil
ahiret	ǎːxiret
ajam	ǎːjam
ajatolah	ajatǒlax
ajde	ǎjde
ajkula	âjkula
ajme	ǎjme
ajmeh	ǎjmex
ajmo	ǎjmo
ajvar	ǎjʋaːr
akademija	akaděmija
akademijski	akaděmiːjskiː
akademik	akaděmik
akademičarski	akaděmitʃaːrski
akademičarski	akaděmitʃaːrskiː
akademski	akǎdemski
akademski	akǎdemskiː
akadski	ǎkaːdskiː
akamoli	akâmoli
akceleracija	akt͡selerǎːt͡sija
akcelerator	akt͡selěraːtor
akcenat	ǎkt͡senat
akcent	ǎkt͡sent
akcentirati	akt͡sentǐːrati
akceptor	ǎkt͡septor
akcija	ǎkt͡sija
akcijski	ǎkt͡siːjskiː
aklamacija	aklamǎːt͡sija
aklimatizacija	aklimatizǎːt͡sija
aklimatizacijski	aklimatizǎːt͡siːjskiː
aklimatizacioni	âklimatizat͡sioːniː
aklimatizirati	aklimatizǐːrati
ako	âko
akomodacija	akomodǎːt͡sija
akomodirati	akomodǐːrati
akontacija	akontǎːt͡sija
akontirati	akontǐːrati
akonto	akǒnto
akoprem	âkoprem
akord	ǎkord
akov	ǎkoʋ
akra	âkra
akreditiv	akredǐtiːʋ
akrobat	akrǒbat
akrobatika	akrobǎtika
akrobatski	akrǒbatski
akrobatski	akrǒbatskiː
akronim	akrǒnim
akropola	akrǒpola
akrostih	âkrostix
aksiologija	aksiolǒɡija
aksiom	aksǐoːm
akt	âkt
akter	ǎkteːr
aktinologija	aktinolǒɡija
aktiva	aktǐːʋa
aktivacija	aktiʋǎːt͡sija
aktivan	âktiːʋan
aktivirati	aktiʋǐːrati
aktivist	aktǐʋist
aktivistkinja	aktǐʋistkiɲa
aktivizam	aktiʋǐzam
aktivizirati	aktiʋizǐːrati
aktivno	âktiːʋno
aktivnost	aktǐːʋnoːst
aktovka	âktoːʋka
aktualan	âktuaːlan
aktualizam	aktualǐzam
aktualizirati	aktualizǐːrati
aktuelan	âktueːlan
akulturacija	akulturǎːt͡sija
akumulacija	akumulǎːt͡sija
akumulator	akumǔlaːtor
akumulatorski	akumulâtorskiː
akumulatorski	akumǔlaːtorskiː
akumulirati	akumulǐːrati
akupunktura	akupunktǔːra
akustika	akǔstika
akustičan	akǔstit͡ʃan
akustički	akǔstit͡ʃkiː
akutan	âkuːtan
akuzativ	âkuzatiːʋ
akvarel	akʋǎrel
akvarelistički	akʋarelǐstitʃki
akvarelistički	akʋarelǐstitʃkiː
akvila	âːkʋila
akvizicija	akʋizǐːt͡sija
akšam	ǎkʃam
alabama	alabǎma
alakati	alǎːkati
alarm	ǎlarm
alarmantan	alarmǎntan
alarmantno	alarmǎntno
alarmni	ǎlarmniː
alat	ǎlaːt
alatni	ǎlaːtniː
albanac	albǎːnat͡s
albanija	ǎlbaːnija
albanizacija	albanizǎːt͡sija
albanizirati	albanizǐːrati
albanka	ǎlbaːnka
albanolog	albanǒloɡ
albanologija	albanolǒɡija
albanologijski	albanolǒɡiːjskiː
albanološki	albanǒloʃki
albanološki	albanǒloʃkiː
albanološkinja	albanǒloʃkiɲa
albanski	ǎlbaːnski
albanski	ǎlbaːnskiː
albatros	ǎlbatros
albin	ǎlbiːn
albinizam	albinǐzam
album	ǎlbuːm
ale	âle
alegorija	aleɡǒrija
alegoričan	aleɡǒrit͡ʃan
aleksandar	alěksaːndar
aleksandrija	aleksǎndrija
alem	ǎlem
alem	ǎːlem
alergičan	alěrɡit͡ʃan
alergično	alěrɡit͡ʃno
alergičnost	alěrɡit͡ʃnoːst
alergolog	alerɡǒloɡ
alergologija	alerɡolǒɡija
alergologijski	alerɡolǒɡiːjskiː
alergološki	alerɡǒloʃki
alergološki	alerɡǒloʃkiː
aleutski	alěutskiː
alfa	âlfa
alfabet	alfǎbeːt
alfabetizam	alfabetǐzam
alfabetski	alfǎbeːtskiː
algebarski	ǎlɡeːbarski
algebarski	ǎlɡeːbarskiː
algebra	ǎlɡeːbra
algologija	alɡolǒɡija
algonkijski	alɡǒnkiːjskiː
algoritam	alɡorǐtam
alhamiado	alxamiǎːdo
ali	âli
aligator	alǐɡaːtor
alijansa	alǐjansa
alijenacija	alijenǎːt͡sija
aliteracija	aliterǎːt͡sija
aljamiado	aʎamiado
aljaska	ǎʎaska
aljaski	ǎʎaskiː
aljkav	âʎkaʋ
aljkavo	âʎkaʋo
alka	âːlka
alkaloid	alkalǒiːd
alkohol	ǎlkoxol
alkoholizam	alkoxolǐzam
alkoholiziran	alkoxolǐziːran
alkoholizirati	alkoxolizǐːrati
alkoholičar	alkoxǒlit͡ʃaːr
alkoholni	ǎlkoxolniː
alkoholno	ǎlkoxolnoː
almaatski	almaâtskiː
almanah	almǎnax
alofon	âlofoːn
alomorf	âlomorf
alotrop	alǒtrop
alpe	âːlpe
alpinist	alpǐnist
alpinski	ǎlpiːnskiː
alpski	âːlpskiː
alteracija	alterǎːt͡sija
alternacija	alternǎːt͡sija
alternativac	alternatǐːʋat͡s
alternativan	âlternatiːʋan
altimetar	ǎltimetar
altruistički	altruǐstitʃki
altruistički	altruǐstitʃkiː
altruizam	altruǐzam
aludirati	aludǐːrati
aluminij	alǔmiːnij
aluvijalan	âluʋijaːlan
aluzija	ǎluːzija
alveola	alʋeǒːla
alveolar	alʋeǒlaːr
alveolaran	âlʋeolaːran
alzaški	ǎlzaʃki
alzaški	ǎlzaʃkiː
alžir	ǎlʒiːr
alžirac	alʒǐːrat͡s
alžirka	ǎlʒiːrka
alžirski	ǎlʒiːrskiː
ama	âma
amajlija	amǎjlija
amalgam	amǎlɡaːm
aman	ǎmaːn
amandman	amǎndmaːn
amater	amǎteːr
amaterizam	amaterǐzam
amaterski	amǎteːrski
amaterski	amǎteːrskiː
amaterstvo	amatěːrstʋo
amazonski	amǎzoːnski
amazonski	amǎzoːnskiː
ambalaža	ambalǎːʒa
ambasada	ambasǎːda
ambasador	ambǎsaːdor
ambasadorski	ambǎsaːdorski
