ँ	ə̃
ं	ə̃m
ं	ə̃n
ं	ə̃ŋ
ं	ə̃ɳ
अँकवैया	ə̃ŋkwə̯ijäː
अँगड़ाई	ə̃ŋɡɽäːiː
अँगरेज़	ə̃ŋɡɾeːd͡ʒ
अँगरेज़	ə̃ŋɡɾeːz
अँगरेज़ी	ə̃ŋɡɾeːd͡ʒiː
अँगरेज़ी	ə̃ŋɡɾeːziː
अँगहीन	ə̃ŋɡʱĩːn̪
अँगिया	ə̃ŋɡijäː
अँगीठी	ə̃ŋɡiːʈʰiː
अँगूठी	ə̃ŋɡuːʈʰiː
अँग्रेज़	ə̃ŋɡɾeːd͡ʒ
अँग्रेज़	ə̃ŋɡɾeːz
अँग्रेज़ी	ə̃ŋɡɾeːd͡ʒiː
अँग्रेज़ी	ə̃ŋɡɾeːziː
अँटना	ə̃ɳʈn̪äː
अँतड़ी	ə̃n̪t̪ɽiː
अंक	ə̃ŋk
अंकगणित	ə̃ŋkɡəɳɪt̪
अंकन	ə̃ŋkə̃n̪
अंकनी	ə̃ŋkn̪iː
अंकल	ə̃ŋkəl̪
अंकारा	ə̃ŋkäːɾäː
अंकित	ə̃ŋkɪt̪
अंकुर	ə̃ŋkʊɾ
अंकुरित	ə̃ŋkʊɾɪt̪
अंकुश	ə̃ŋkʊʃ
अंग	ə̃ŋɡ
अंगच्छेद	ə̃ŋɡət̚t͡ʃʰeːd̪
अंगड़ाई	ə̃ŋɡɽäːiː
अंगदान	ə̃ŋɡd̪ä̃ːn̪
अंगन	ə̃ŋɡə̃n̪
अंगना	ə̃ŋɡən̪äː
अंगसंग	ə̃ŋɡs̪ə̃ŋɡ
अंगहीन	ə̃ŋɡʱĩːn̪
अंगार	ə̃ŋɡäːɾ
अंगारा	ə̃ŋɡäːɾäː
अंगिया	ə̃ŋɡijäː
अंगीकार	ə̃ŋɡiːkäːɾ
अंगुल	ə̃ŋɡʊl̪
अंगुली	ə̃ŋɡʊl̪iː
अंगूठा	ə̃ŋɡuːʈʰäː
अंगूठी	ə̃ŋɡuːʈʰiː
अंगूर	ə̃ŋɡuːɾ
अंगूरी	ə̃ŋɡuːɾiː
अंगोछा	ə̃ŋɡoːt͡ʃʰäː
अंगोट	ə̃ŋɡoːʈ
अंगोला	ə̃ŋɡoːl̪äː
अंग्रेज	ə̃ŋɡɾeːd͡ʒ
अंग्रेज	ə̃ŋɡɾeːz
अंग्रेज़	ə̃ŋɡɾeːd͡ʒ
अंग्रेज़	ə̃ŋɡɾeːz
अंग्रेज़ियत	ə̃ŋɡɾeːd͡ʒijət̪
अंग्रेज़ियत	ə̃ŋɡɾeːzijət̪
अंग्रेज़ी	ə̃ŋɡɾeːd͡ʒiː
अंग्रेज़ी	ə̃ŋɡɾeːziː
अंग्रेजी	ə̃ŋɡɾeːd͡ʒiː
अंग्रेजी	ə̃ŋɡɾeːziː
अंचल	ə̃n̪t͡ʃəl̪
अंछर	ə̃n̪t͡ʃʰəɾ
अंजन	ə̃n̪d͡ʒə̃n̪
अंजाम	ə̃n̪d͡ʒä̃ːm
अंजीर	ə̃n̪d͡ʒiːɾ
अंजु	ə̃n̪d͡ʒuː
अंटार्कटिका	ə̃ɳʈäːɾkʈɪkäː
अंटार्टिका	ə̃ɳʈäːɾʈɪkäː
अंडकोष	ə̃ɳɖkoːʃ
अंडमान	ə̃ɳɖmä̃ːn̪
अंडा	ə̃ɳɖäː
अंडोरा	ə̃ɳɖoːɾäː
अंत	ə̃n̪t̪
अंतःक्षेप	ə̃n̪t̪əɦkʃeːp
अंतड़ी	ə̃n̪t̪ɽiː
अंतर	ə̃n̪t̪əɾ
अंतरंगता	ə̃n̪t̪əɾə̃ŋɡt̪äː
अंतरजाल	ə̃n̪t̪əɾd͡ʒäːl̪
अंतरण	ə̃n̪t̪ɾə̃ɳ
अंतरराष्ट्रीय	ə̃n̪t̪əɾɾäːʃʈɾiːjᵊ
अंतरराष्ट्रीयता	ə̃n̪t̪əɾɾäːʃʈɾiːjt̪äː
अंतरा	ə̃n̪t̪əɾäː
अंतरा	ə̃n̪t̪ɾäː
अंतराल	ə̃n̪t̪əɾäːl̪
अंतरिक्ष	ə̃n̪t̪əɾɪkʃ
अंतरिक्ष	ə̃n̪t̪ɾɪkʃ
अंतरिम	ə̃n̪t̪ɾɪ̃m
अंतर्कालीन	ə̃n̪t̪əɾkäːl̪ĩːn̪
अंतर्गत	ə̃n̪t̪əɾɡət̪
अंतर्जातीय	ə̃n̪t̪əɾd͡ʒäːt̪iːjᵊ
अंतर्जाल	ə̃n̪t̪əɾd͡ʒäːl̪
अंतर्देशीय	ə̃n̪t̪əɾd̪eːʃiːjᵊ
अंतर्धान	ə̃n̪t̪əɾd̪ʱä̃ːn̪
अंतर्निहित	ə̃n̪t̪əɾn̪ɪɦɪt̪
अंतर्राष्ट्रीय	ə̃n̪t̪əɾɾäːʃʈɾiːjᵊ
अंतर्वासी	ə̃n̪t̪əɾʋäːs̪iː
अंताक्षरी	ə̃n̪t̪äːkʃəɾiː
अंतिम	ə̃n̪t̪ɪ̃m
अंत्येष्टि	ə̃n̪t̪jeːʃʈiː
अंत्र	ə̃n̪t̪ɾᵊ
अंदर	ə̃n̪d̪əɾ
अंदाज	ə̃n̪d̪äːd͡ʒ
अंदाज	ə̃n̪d̪äːz
अंदाज़	ə̃n̪d̪äːd͡ʒ
अंदाज़	ə̃n̪d̪äːz
अंदाज़ा	ə̃n̪d̪äːd͡ʒäː
अंदाज़ा	ə̃n̪d̪äːzäː
अंधड़	ə̃n̪d̪ʱəɽ
अंधविश्वास	ə̃n̪d̪ʱʋɪʃʋäːs̪
अंधा	ə̃n̪d̪ʱäː
अंधाधुंध	ə̃n̪d̪ʱäːd̪ʱʊ̃n̪d̪ʱ
अंधेरा	ə̃n̪d̪ʱeːɾäː
अंबर	ə̃mbəɾ
अंबा	ə̃mbäː
अंबु	ə̃mbuː
अंश	ə̃n̪ʃ
अंशकालिक	ə̃n̪ʃkäːl̪ɪk
अंशतः	ə̃n̪ʃt̪əɦ
अंशुक	ə̃n̪ʃʊk
अकड़न	əkɽə̃n̪
अकड़ना	əkəɽn̪äː
अकर्मण्यता	əkəɾmə̃ɳjət̪äː
अकस्मात्	əkəs̪mäːt̪
अक़्ल	əkl̪ᵊ
अक़्ल	əkəl̪
अक़्ल	əql̪ᵊ
अक़्ल	əqəl̪
अक़्लमंद	əkl̪ᵊmə̃n̪d̪
अक़्लमंद	əkəl̪mə̃n̪d̪
अक़्लमंद	əql̪ᵊmə̃n̪d̪
अक़्लमंद	əqəl̪mə̃n̪d̪
अकाज	əkäːd͡ʒ
अकादमिक	əkäːd̪mɪk
अकादमी	əkäːd̪miː
अकारण	əkäːɾə̃ɳ
अकारथ	əkäːɾət̪ʰ
अकाल	əkäːl̪
अकेला	əkeːl̪äː
अकेलापन	əkeːl̪äːpə̃n̪
अक्खड़	ək̚kʰəɽ
अक्खा	ək̚kʰäː
अक्षत	əkʃət̪
अक्षम्य	əkʃə̃mjᵊ
अक्षर	əkʃəɾ
अक्षरारंभ	əkʃəɾäːɾə̃mbʱ
अक्स	əks̪
अक्सर	əks̪əɾ
अखंड	əkʰə̃ɳɖ
अखंडता	əkʰə̃ɳɖt̪äː
अखबार	əkʰbäːɾ
अखबार	əxbäːɾ
अखरना	əkʰəɾn̪äː
अख़बार	əkʰbäːɾ
अख़बार	əxbäːɾ
अख़बारवाला	əkʰbäːɾʋäːl̪äː
