a	ɒ
aba	ɒbɒ
abakusszal	ɒbɒkusːɒl
abakusszá	ɒbɒkusːaː
abakusz	ɒbɒkus
abakusza	ɒbɒkusɒ
abakuszai	ɒbɒkusɒji
abakuszaid	ɒbɒkusɒjid
abakuszaik	ɒbɒkusɒjik
abakuszaim	ɒbɒkusɒjim
abakuszaink	ɒbɒkusɒjiŋk
abakuszaitok	ɒbɒkusɒjitok
abakuszba	ɒbɒkuzbɒ
abakuszban	ɒbɒkuzbɒn
abakuszból	ɒbɒkuzboːl
abakuszhoz	ɒbɒkushoz
abakuszig	ɒbɒkusiɡ
abakuszként	ɒbɒkuskeːnt
abakusznak	ɒbɒkusnɒk
abakusznál	ɒbɒkusnaːl
abakuszod	ɒbɒkusod
abakuszok	ɒbɒkusok
abakuszokat	ɒbɒkusokɒt
abakuszokba	ɒbɒkusoɡbɒ
abakuszokban	ɒbɒkusoɡbɒn
abakuszokból	ɒbɒkusoɡboːl
abakuszokhoz	ɒbɒkusokhoz
abakuszokig	ɒbɒkusokiɡ
abakuszokkal	ɒbɒkusokːɒl
abakuszokká	ɒbɒkusokːaː
abakuszokként	ɒbɒkusokːeːnt
abakuszoknak	ɒbɒkusoknɒk
abakuszoknál	ɒbɒkusoknaːl
abakuszokon	ɒbɒkusokon
abakuszokra	ɒbɒkusokrɒ
abakuszokról	ɒbɒkusokroːl
abakuszoktól	ɒbɒkusoktoːl
abakuszokért	ɒbɒkusokeːrt
abakuszom	ɒbɒkusom
abakuszon	ɒbɒkuson
abakuszotok	ɒbɒkusotok
abakuszra	ɒbɒkusrɒ
abakuszról	ɒbɒkusroːl
abakuszt	ɒbɒkust
abakusztól	ɒbɒkustoːl
abakuszuk	ɒbɒkusuk
abakuszunk	ɒbɒkusuŋk
abakuszért	ɒbɒkuseːrt
abba	ɒbːɒ
abbahagy	ɒbːɒhɒɟ
abbamarad	ɒbːɒmɒrɒd
abban	ɒbːɒn
abból	ɒbːoːl
aberráció	ɒbɛrːaːt͡sijoː
aberrációk	ɒbɛrːaːt͡sijoːk
abház	ɒphaːz
abházok	ɒphaːzok
abigél	ɒbiɡeːl
abiogén	ɒbijoɡeːn
ablak	ɒblɒk
ablaka	ɒblɒkɒ
ablakai	ɒblɒkɒji
ablakaid	ɒblɒkɒjid
ablakaik	ɒblɒkɒjik
ablakaim	ɒblɒkɒjim
ablakaink	ɒblɒkɒjiŋk
ablakaitok	ɒblɒkɒjitok
ablakba	ɒblɒɡbɒ
ablakban	ɒblɒɡbɒn
ablakból	ɒblɒɡboːl
ablakcsa	ɒblɒkt͡ʃɒ
ablakdeszka	ɒblɒɡdɛskɒ
ablakdeszkák	ɒblɒɡdɛskaːk
ablakdeszkákat	ɒblɒɡdɛskaːkɒt
ablakdeszkát	ɒblɒɡdɛskaːt
ablakhoz	ɒblɒkhoz
ablakig	ɒblɒkiɡ
ablakkal	ɒblɒkːɒl
ablakká	ɒblɒkːaː
ablakként	ɒblɒkːeːnt
ablaknak	ɒblɒknɒk
ablaknál	ɒblɒknaːl
ablakod	ɒblɒkod
ablakok	ɒblɒkok
ablakokat	ɒblɒkokɒt
ablakokba	ɒblɒkoɡbɒ
ablakokban	ɒblɒkoɡbɒn
ablakokból	ɒblɒkoɡboːl
ablakokhoz	ɒblɒkokhoz
ablakokig	ɒblɒkokiɡ
ablakokkal	ɒblɒkokːɒl
ablakokká	ɒblɒkokːaː
ablakokként	ɒblɒkokːeːnt
ablakoknak	ɒblɒkoknɒk
ablakoknál	ɒblɒkoknaːl
ablakokon	ɒblɒkokon
ablakokra	ɒblɒkokrɒ
ablakokról	ɒblɒkokroːl
ablakoktól	ɒblɒkoktoːl
ablakokért	ɒblɒkokeːrt
ablakom	ɒblɒkom
ablakomat	ɒblɒkomɒt
ablakomba	ɒblɒkombɒ
ablakomban	ɒblɒkombɒn
ablakomig	ɒblɒkomiɡ
ablakommal	ɒblɒkomːɒl
ablakomnak	ɒblɒkomnɒk
ablakomon	ɒblɒkomon
ablakon	ɒblɒkon
ablakot	ɒblɒkot
ablakotok	ɒblɒkotok
ablakpárkány	ɒblɒkpaːrkaːɲ
ablakpárkánya	ɒblɒkpaːrkaːɲɒ
ablakpárkányai	ɒblɒkpaːrkaːɲɒji
ablakpárkányaid	ɒblɒkpaːrkaːɲɒjid
ablakpárkányaik	ɒblɒkpaːrkaːɲɒjik
ablakpárkányaim	ɒblɒkpaːrkaːɲɒjim
ablakpárkányaink	ɒblɒkpaːrkaːɲɒjiŋk
ablakpárkányaitok	ɒblɒkpaːrkaːɲɒjitok
ablakpárkánynak	ɒblɒkpaːrkaːɲnɒk
ablakpárkányod	ɒblɒkpaːrkaːɲod
ablakpárkányok	ɒblɒkpaːrkaːɲok
ablakpárkányokat	ɒblɒkpaːrkaːɲokɒt
