a	a
abandonabez	abandonabɛs
abandonabez	abandonabɛz
abandonabis	abandonabis
abandonabos	abandonabɔs
abandonabus	abandonabus
abandonanta	abandonanta
abandonante	abandonante
abandonanti	abandonanti
abandonanto	abandonanto
abandonar	abandonar
abandonas	abandonas
abandonata	abandonata
abandonate	abandonate
abandonati	abandonati
abandonato	abandonato
abandonez	abandonɛs
abandonez	abandonɛz
abandoninta	abandoninta
abandoninte	abandoninte
abandoninti	abandoninti
abandoninto	abandoninto
abandonir	abandonir
abandonis	abandonis
abandonita	abandonita
abandonite	abandonite
abandoniti	abandoniti
abandonito	abandonito
abandononta	abandononta
abandononte	abandononte
abandononti	abandononti
abandononto	abandononto
abandonor	abandonɔr
abandonos	abandonɔs
abandonota	abandonota
abandonote	abandonote
abandonoti	abandonoti
abandonoto	abandonoto
abandonus	abandonus
abasar	abasar
abase	abase
abatajaro	abataʒarɔ
abatanta	abatanta
abatante	abatante
abatanti	abatanti
abatanto	abatanto
abatar	abatar
abatas	abatas
abatata	abatata
abatate	abatate
abatati	abatati
abatato	abatato
abatez	abatɛs
abatez	abatɛz
abatinta	abatinta
abatinte	abatinte
abatinti	abatinti
abatinto	abatinto
abatir	abatir
abatis	abatis
abatiso	abatiso
abatita	abatita
abatite	abatite
abatiti	abatiti
abatito	abatito
abatonta	abatonta
abatonte	abatonte
abatonti	abatonti
abatonto	abatonto
abator	abatɔr
abatota	abatota
abatote	abatote
abatoti	abatoti
abatoto	abatoto
abatus	abatus
abdikar	abdikar
abdikas	abdikas
abjekta	abʒekta
ablativi	ablativi
ablativo	ablativo
abnegar	abneɡar
abolisanto	abolisanto
abolisar	abolisaɾ
abolisati	abolisati
aboliso	aboliso
abono	abono
abordar	abɔrdar
abortar	abortar
abortigar	abortiɡar
abortigar	abɔrtiɡar
aboyar	abojar
abrejar	abred͡ʒar
abrejar	abreʒar
abrejas	abred͡ʒas
abrejas	abreʒas
abreviar	abrevi̯ar
abrevias	abrevi̯as
abreviez	abrevi̯ɛs
abreviez	abrevi̯ɛz
abrevio	abrevi̯o
abrikoti	abrikoti
abrikoto	abrikoto
abrikoto	abrikɔtɔ
abrupta	abrupta
absinto	absinto
absoluta	absoluta
absolute	absolute
abstrakta	abstrakta
abundanta	abundanta
abundanto	abundanto
abundar	abundar
abundas	abundas
abundegar	abundeɡar
acendar	at͡sɛndar
acendilo	at͡sendilo
acensar	at͡sensar
acento	at͡sɛnto
aceptanta	at͡septanta
aceptante	at͡septante
aceptanti	at͡septanti
aceptanto	at͡septanto
aceptar	at͡septar
aceptas	at͡septas
aceptata	at͡septata
aceptate	at͡septate
aceptati	at͡septati
aceptato	at͡septato
aceptez	at͡septɛs
aceptez	at͡septɛz
aceptinta	at͡septinta
aceptinte	at͡septinte
aceptinti	at͡septinti
aceptinto	at͡septinto
aceptir	at͡septir
aceptis	at͡septis
aceptita	at͡septita
aceptite	at͡septite
aceptiti	at͡septiti
aceptito	at͡septito
aceptonta	at͡septonta
aceptonte	at͡septonte
aceptonti	at͡septonti
aceptonto	at͡septonto
aceptor	at͡septɔr
aceptos	at͡septɔs
aceptota	at͡septota
aceptote	at͡septote
aceptoti	at͡septoti
aceptoto	at͡septoto
aceptus	at͡septus
acido	at͡sido
acioni	at͡sjoni
acioniero	at͡sjonjeɾo
aciono	at͡sjono
ad	ad
adavane	adavane
aden	aden
adepto	adepto
adfluar	adflu̯ar
adherar	adherar
adianta	adi̯anta
adiante	adi̯ante
adianti	adi̯anti
adianto	adi̯anto
adiar	adi̯ar
adias	adi̯as
adiate	adi̯ate
adibe	adibe
adicionar	adit͡si̯onar
adicionas	adit͡si̯onas
adicionez	adit͡si̯onɛs
adicionez	adit͡si̯onɛz
adicionir	adit͡si̯onir
adicionis	adit͡si̯onis
adicionor	adit͡si̯onɔr
adicionos	adit͡si̯onɔs
adicionus	adit͡si̯onus
adio	adio
adio	adiɔ
adios	adi̯ɔs
adjacanta	add͡ʒat͡santa
adjacanta	adʒat͡santa
adjektiva	add͡ʒektiva
adjektiva	adʒektiva
adjektivi	add͡ʒektivi
adjektivi	adʒektivi
adjektivo	adʒektivo
adjuntar	adʒuntar
adjuntar	ad͡ʒuntar
adminime	adminime
administranto	administranto
admirar	admirar
admisar	admisar
adoptanta	adoptanta
adoptante	adoptante
adoptanti	adoptanti
adoptanto	adoptanto
adoptar	adoptar
adoptas	adoptas
adoptata	adoptata
adoptate	adoptate
adoptati	adoptati
adoptato	adoptato
adoptez	adoptɛs
adoptez	adoptɛz
adoptinta	adoptinta
adoptinte	adoptinte
adoptinti	adoptinti
adoptinto	adoptinto
adoptir	adoptir
adoptis	adoptis
adoptita	adoptita
adoptite	adoptite
adoptiti	adoptiti
adoptito	adoptito
adopto	adopto
adoptonta	adoptonta
adoptonte	adoptonte
adoptonti	adoptonti
adoptonto	adoptonto
adoptor	adoptɔr
adoptos	adoptɔs
adoptota	adoptota
adoptote	adoptote
adoptoti	adoptoti
adoptoto	adoptoto
adoptus	adoptus
adoranta	adoranta
adorante	adorante
adoranti	adoranti
adoranto	adoranto
adorar	adorar
adoras	adoras
adorata	adorata
adorate	adorate
adorati	adorati
adorato	adorato
adorez	adorɛs
adorez	adorɛz
adorinta	adorinta
adorinte	adorinte
adorinti	adorinti
adorinto	adorinto
adorir	adorir
adoris	adoris
adorita	adorita
adorite	adorite
adoriti	adoriti
adorito	adorito
adoronta	adoronta
adoronte	adoronte
adoronti	adoronti
adoronto	adoronto
adoror	adorɔr
adoros	adorɔs
adorota	adorota
adorote	adorote
adoroti	adoroti
adoroto	adoroto
adorus	adorus
adpozar	adpozar
adpozez	adpozɛs
adpozez	adpozɛz
adresi	adresi
adresizar	adresizar
adreso	adreso
adsub	adsub
adsur	adsur
adulto	adulto
adurolo	adurolo
advere	advere
adverso	adverso
advokati	advokati
advokato	advokato
aeroliti	aeroliti
aerolito	aerolito
aeronavo	aeronavo
aeroplano	aeroplano
aeroportuo	aeroportuo
aerosolo	aerosolo
aerostati	aerostati
aerostato	aerostato
afabla	afabla
afecionar	afet͡sionar
afliktar	afliktar
aflikto	aflikto
aganti	aɡanti
agar	aɡar
agato	aɡato
agavo	aɡavo
agema	aɡema
agi	aɡi
aginti	aɡinti
agitar	aɡitar
agitesar	aɡitesar
agnelo	aɡnelo
agnoskanta	aɡnoskanta
agnoskante	aɡnoskante
agnoskanti	aɡnoskanti
agnoskanto	aɡnoskanto
agnoskar	aɡnoskar
agnoskas	aɡnoskas
agnoskata	aɡnoskata
agnoskate	aɡnoskate
agnoskati	aɡnoskati
agnoskato	aɡnoskato
agnoskez	aɡnoskɛs
agnoskez	aɡnoskɛz
agnoskinta	aɡnoskinta
agnoskinte	aɡnoskinte
agnoskinti	aɡnoskinti
agnoskinto	aɡnoskinto
agnoskir	aɡnoskir
agnoskis	aɡnoskis
agnoskita	aɡnoskita
agnoskite	aɡnoskite
agnoskiti	aɡnoskiti
agnoskito	aɡnoskito
agnoskonta	aɡnoskonta
agnoskonte	aɡnoskonte
agnoskonti	aɡnoskonti
agnoskonto	aɡnoskonto
agnoskor	aɡnoskɔr
agnoskos	aɡnoskɔs
agnoskota	aɡnoskota
agnoskote	aɡnoskote
agnoskoti	aɡnoskoti
agnoskoto	aɡnoskoto
agnoskus	aɡnoskus
ago	aɡo
agonti	aɡonti
agrafo	aɡrafo
agro	aɡro
agrokultivi	aɡrokultivi
agrokultivisto	aɡrokultivisto
agrokultivo	aɡrokultivo
agulo	aɡulo
ajila	aʒila
ajornar	ad͡ʒornar
ajornar	aʒornar
ajornas	ad͡ʒornas
ajornas	aʒornas
ajornez	ad͡ʒornɛs
ajornez	aʒornɛz
ajornir	ad͡ʒornir
ajornir	aʒornir
ajornis	ad͡ʒornis
ajornis	aʒornis
ajornor	ad͡ʒornɔr
ajornor	aʒornɔr
ajornos	ad͡ʒornɔs
ajornos	aʒornɔs
ajornus	ad͡ʒornus
ajornus	aʒornus
ajustar	ad͡ʒustar
ajustar	aʒustar
ajustez	ad͡ʒustɛs
ajustez	aʒustɛz
akademiani	akademi̯ani
akademiano	akademi̯ano
akademio	akademio
akademio	akademjo
akompananta	akompananta
akompanante	akompanante
akompananti	akompananti
akompananto	akompananto
akompanar	akompanar
akompanas	akompanas
akompanata	akompanata
akompanate	akompanate
akompanati	akompanati
akompanato	akompanato
akompanez	akompanɛs
akompanez	akompanɛz
akompaninta	akompaninta
akompaninte	akompaninte
akompaninti	akompaninti
akompaninto	akompaninto
akompanir	akompanir
akompanis	akompanis
akompanita	akompanita
akompanite	akompanite
akompaniti	akompaniti
akompanito	akompanito
akompano	akompano
akompanonta	akompanonta
akompanonte	akompanonte
akompanonti	akompanonti
akompanonto	akompanonto
akompanor	akompanɔr
akompanos	akompanɔs
akompanota	akompanota
akompanote	akompanote
akompanoti	akompanoti
akompanoto	akompanoto
akompanus	akompanus
akonito	akonito
akordo	akordo
aktiva	aktiva
aktorino	aktorino
aktorino	aktɔɾinɔ
aktoro	aktoro
aktoro	aktɔɾɔ
aktorulo	aktorulo
aktorulo	aktɔɾulɔ
aktuala	aktuala
aktualigar	aktuwaliɡar
aktualigar	aktuwaliɡaɾ
akumular	akumular
akupunturo	akupunturɔ
akushar	akuʃar
akustiko	akustiko
akuta	akuta
akutigar	akutiɡar
akuzanta	akuzanta
akuzante	akuzante
akuzanti	akuzanti
akuzanto	akuzanto
akuzar	akuzar
akuzas	akuzas
akuzata	akuzata
akuzate	akuzate
akuzati	akuzati
akuzato	akuzato
akuzez	akuzɛs
akuzez	akuzɛz
akuzinta	akuzinta
akuzinte	akuzinte
akuzinti	akuzinti
akuzinto	akuzinto
akuzis	akuzis
akuzita	akuzita
akuzite	akuzite
akuziti	akuziti
akuzito	akuzito
akuzonta	akuzonta
akuzonte	akuzonte
akuzonti	akuzonti
akuzonto	akuzonto
akuzos	akuzɔs
akuzota	akuzota
akuzote	akuzote
akuzoti	akuzoti
