le	lˈe
de	dˈe
e	ˈe
un	ˈun
del	dˈel
in	ˈin
es	ˈes
que	kˈe
Le	lˈe
su	sˈu
a	ˈa
pro	prˈo
per	pˈer
esseva	esˈeva
al	ˈal
ha	hˈa
con	kˈon
se	sˈe
como	kˈomo
plus	plˈus
non	nˈon
o	ˈo
In	ˈin
ille	ˈile
iste	ˈiste
pote	pˈote
altere	ˈaltere
illo	ˈilo
esser	esˈer
Ille	ˈile
era	ˈera
isotopo	isˈotopo
Illo	ˈilo
annos	ˈanos
habeva	habˈeva
Un	ˈun
prime	prˈime
ma	mˈa
inter	ˈinter
lo	lˈo
grande	ɡrˈande
lor	lˈor
super	sˈuper
duo	dˈuo
qui	kˈi
il	ˈil
Iste	ˈiste
Su	sˈu
multe	mˈulte
lingua	lˈiŋɡwa
on	ˈon
durante	durˈante
parte	pˈarte
tote	tˈote
multo	mˈulto
son	sˈon
illos	ˈilos
Il	ˈil
anque	ˈanke
essite	esˈite
nove	nˈove
quando	kwˈando
mesme	mˈesme
nomine	nˈomine
etiam	ˈetjam
qual	kwˈal
usque	ˈuske
forma	fˈorma
citate	t͡sitˈate
post	pˈost
solmente	solmˈente
tempore	tˈempore
isto	ˈisto
mundo	mˈundo
usate	usˈate
vita	vˈita
sur	sˈur
ab	ˈab
linguas	lˈiŋɡwas
circa	t͡sˈirka
deveniva	dˌevenˈiva
illes	ˈiles
population	pˌopulatjˈon
si	sˈi
sin	sˈin
alcun	ˈalkun
et	ˈet
parolas	parˈolas
anno	ˈano
ubi	ˈubi
debe	dˈebe
importante	ˌimportˈante
tres	trˈes
causa	kˈa͡ʊsa
omne	ˈomne
esse	ˈese
seculo	sˈekulo
cata	kˈata
plure	plˈure
personas	persˈonas
pais	pˈa͡ɪs
cognoscite	kˌoɡnost͡sˈite
anglese	aŋɡlˈese
ante	ˈante
exemplo	eksˈemplo
stato	stˈato
appellate	ˌapelˈate
ben	bˈen
Post	pˈost
alicun	ˈalikun
contra	kˈontra
illa	ˈila
numero	nˈumero
parola	parˈola
ex	ˈeks
differente	dˌiferˈente
systema	sistˈema
Pro	prˈo
rege	rˈeɡe
persona	persˈona
morte	mˈorte
fin	fˈin
assi	asˈi
gruppo	ɡrˈupo
nos	nˈos
historia	histˈorja
vices	vˈit͡ses
Isto	ˈisto
la	lˈa
minus	mˈinus
major	maʒˈor
principal	prˌint͡sipˈal
sub	sˈub
parve	pˈarve
sed	sˈed
commun	komˈun
proque	prokˈe
haber	habˈer
paises	pˈa͡ɪses
secunde	sekˈunde
Durante	durˈante
considerate	kˌonsiderˈate
A	ˈa
On	ˈon
obras	ˈobras
sovente	sovˈente
obra	ˈobra
human	humˈan
habitantes	hˌabitˈantes
politic	polˈitik
sol	sˈol
alte	ˈalte
loco	lˈoko
secundo	sekˈundo
facer	fat͡sˈer
