yang	jaŋ
dan	dan
di	di
ini	ˈini
dengan	dˈɛŋan
untuk	ˌuntuk
dari	dˌari
dalam	dˈalam
itu	ˈitu
tidak	tˈidak
pada	pˌada
akan	ˈakan
juga	d͡ʒˈuɡa
adalah	adˌalah
tersebut	tərsˈɛbut
bisa	bˈisa
oleh	ˈoləh
ada	ˈada
ke	kə
dapat	dˈapat
atau	ˌata͡ʊ
menjadi	mənd͡ʒˈadi
lebih	lˈɛbih
sebagai	səbˌaɡa͡ɪ
tahun	tˈahun
karena	karˈɛna
Indonesia	ˌindonəsˈia
sudah	sˈudah
telah	təlˈah
kita	kˈita
mereka	mərˈɛka
Anda	ˈanda
satu	sˈatu
orang	ˈɔraŋ
harus	hˈarus
bahwa	bˌahwa
saat	sˈaat
kepada	kəpˈada
seperti	səpˈɛrti
secara	sət͡ʃˈara
banyak	bˈaɲak
merupakan	mərupˈakan
sangat	sˈaŋat
saya	sˈaja
hanya	hˈaɲa
para	pˈara
memiliki	məmilˈiki
baik	bˈa͡ɪk
bagi	bˈaɡi
masyarakat	mˌaçarˈakat
masih	mˈasih
lain	lˈa͡ɪn
dilakukan	dˌilakˈukan
kami	kˈami
hari	hˈari
baru	bˈaru
melakukan	məlakˈukan
saja	sˈad͡ʒa
serta	sˈɛrta
beberapa	bəbərˈapa
hal	hˈal
kata	kˈata
terhadap	tərhˈadap
menggunakan	məŋɡunˈakan
besar	bˈɛsar
agar	ˈaɡar
salah	sˈalah
memberikan	məmbərˈikan
tak	tˈak
maka	mˈaka
membuat	məmbˈuat
sehingga	səhˈiŋɡa
atas	ˈatas
waktu	wˈaktu
Dalam	dˈalam
lagi	lˈaɡi
belum	bˈɛlum
semua	səmˈua
Untuk	ˌuntuk
dia	dˈia
yaitu	jˈa͡ɪtu
dua	dˈua
tentang	tˈɛntaŋ
hingga	hˈiŋɡa
Namun	nˈamun
lalu	lˈalu
jika	d͡ʒˈika
Jakarta	d͡ʒakˈarta
pun	pˈun
sebuah	səbˈuah
melalui	məlalˈui
Di	di
sampai	sˈampa͡ɪ
terjadi	tərd͡ʒˈadi
antara	antˈara
Dengan	dˈɛŋan
rumah	rˈumah
berbagai	bərbˈaɡa͡ɪ
Selain	sˈɛla͡ɪn
kegiatan	kəɡiˈatan
sama	sˈama
ia	ˈia
selama	səlˈama
Pada	pˌada
mengatakan	məŋatˈakan
anak	ˈanak
hasil	hˈasil
setiap	sətˈiap
tinggi	tˈiŋɡi
sendiri	səndˈiri
daerah	daˈɛrah
lainnya	lˈa͡ɪnɲa
dunia	dunˈia
Kota	kˈota
air	ˈa͡ɪr
kali	kˈali
program	prˈoɡram
cukup	t͡ʃˈukup
digunakan	dˌiɡunˈakan
setelah	sətˈɛlah
kerja	kˈɛrd͡ʒa
tempat	tˈɛmpat
langsung	lˈaŋsuŋ
penelitian	pənˌɛlitˈian
pemerintah	pəmərˈintah
bulan	bˈulan
seorang	səˈɔraŋ
anda	ˈanda
negara	nəɡˈara
seluruh	səlˈuruh
tetap	tˈɛtap
Hal	hˈal
perusahaan	pərˌusahˈaan
data	dˈata
perlu	pˈɛrlu
maupun	mˈa͡ʊpun
proses	prˈosəs
mulai	mˈula͡ɪ
sekitar	səkˈitar
harga	hˈarɡa
mampu	mˈampu
bukan	bˈukan
pertama	pərtˈama
ingin	ˈiŋin
kembali	kəmbˈali
ketika	kətˈika
sistem	sˈistəm
Kabupaten	kˌabupˈatən
memang	mˈɛmaŋ
cara	t͡ʃˈara
terus	tˈɛrus
informasi	ˌinfɔrmˈasi
apa	ˈapa
Rp	ˌɛrpˈe
Allah	ˈalah
diri	dˈiri
PT	pˌetˈe
sesuai	səsˈua͡ɪ
mendapatkan	məndapˈatkan
bagian	baɡˈian
produk	prˈoduk
masuk	mˈasuk
namun	nˈamun
tetapi	tətˈapi
bersama	bərsˈama
paling	pˈaliŋ
pendidikan	pəndidˈikan
Dan	dan
mahasiswa	mˌahasˈiswa
Saya	sˈaja
Karena	karˈɛna
kemudian	kəmudˈian
Jika	d͡ʒˈika
tapi	tˈapi
jalan	d͡ʒˈalan
pernah	pˈɛrnah
kedua	kədˈua
peserta	pəsˈɛrta
masalah	masˈalah
meningkatkan	məniŋkˈatkan
pihak	pˈihak
suatu	suˌatu
siswa	sˈiswa
Ini	ˈini
Kepala	kəpˈala
jadi	d͡ʒˈadi
semakin	səmˈakin
penting	pˈɛntiŋ
jumlah	d͡ʒˈumlah
acara	at͡ʃˈara
Islam	ˈislam
selalu	səlˈalu
tiga	tˈiɡa
mencapai	mənt͡ʃˈapa͡ɪ
Kami	kˈami
warga	wˈarɡa
kota	kˈota
tanpa	tˈanpa
Jawa	d͡ʒˈawa
luar	lˈuar
