abbadísin	apatiːsɪn
abbast	apast
acotæknival	aːkoutʰaihknɪval
adam	aːtam
adams	aːtams
adda	ata
addi	atɪ
adolf	aːtɔlv
adolfs	aːtɔls
adolfsson	aːtɔlfsɔːn
adrenalín	aːtrɛnaliːn
adrenalínpenna	aːtrɛnalinpʰɛna
adsl	atjɛːɛsɛtl̥
af	aːv
afa	aːva
afar	aːvar
afarkosti	aːvarkʰɔstɪ
afarnir	aːvatnɪr
afbakar	avpakar
afber	avpɛr
afbera	avpɛra
afborgana	avpɔrkana
afborganir	avpɔrkanɪr
afborgun	avpɔrkʏn
afborgunum	avpɔrkʏnʏm
afborið	avpɔrɪð
afbragð	avpraɣð
afbragðs	avpraɣðs
afbragðsfólk	avpraɣsfoul̥k
afbrigði	avprɪɣðɪ
afbrigðilegrar	avprɪɣðɪlɛɣrar
afbrigðilegt	avprɪɣðɪlɛxt
afbrigðum	avprɪɣðʏm
afbrot	avprɔt
afbrota	avprɔta
afbrotamenn	avprɔtamɛn
afbrotum	avprɔtʏm
afbrýði	avpriðɪ
afbrýðin	avpriðɪn
afbrýðisemi	avpriðɪsɛːmɪ
afbrýðisemin	avpriðɪsɛːmɪn
afbrýðisöm	avpriðɪsœːm
afburða	avpʏrða
afburðahestur	avpʏrðahɛstʏr
afdrep	avtrɛp
afdrepinu	avtrɛpɪnʏ
afdrepið	avtrɛpɪð
afdrif	avtrɪv
afdrifarík	avtrɪvariːk
afdrifaríkar	avtrɪvariːkar
afdrifum	avtrɪvʏm
afdráttarlaus	avtrauhtarlœiːs
afdráttarlaust	avtrauhtarlœist
affalla	afatla
affalls	afals
afferma	afɛrma
affermingu	afɛrmiŋkʏ
afföll	afœtl̥
afföllin	afœtlɪn
afgamalli	avkamatlɪ
afgana	avkana
afganar	avkanar
afgang	avkauŋk
afgangateppi	avkauŋkatʰɛhpɪ
afgangi	avkauɲcɪ
afganginn	avkauɲcɪn
afganginum	avkauɲcɪnʏm
afgangur	avkauŋkʏr
afgangurinn	avkauŋkʏrɪn
afganistan	avkanɪstan
afganistans	avkanɪstans
