да	dˈɑ
деп	dˈep
мен	mˈen
де	dˈe
және	ʒænˈe
бұл	bˈʊɫ
деген	deɡˈen
бар	bˈɑɾ
жоқ	ʒˈoq
ол	ˈoɫ
Бұл	bˈʊɫ
емес	emˈes
Ал	ˈɑɫ
Қазақстан	qɑzɑqstˈɑn
туралы	twɾˈɑɫə
осы	ˈosə
дейді	dejdˈɪ
бір	bˈɪɾ
жыл	ʒəɫ
үшін	uʃˈɪn
болып	bˈoɫəp
керек	keɾˈek
жылы	ʒəɫə
ғана	ʀɑnˈɑ
болған	boɫʀˈɑn
өз	ˈɵz
Ол	ˈoɫ
оның	ˈonəŋ
адам	ɑdˈɑm
бойынша	bˈojənʃɑ
болды	bˈoɫdə
сол	sˈoɫ
отыр	ˈotəɾ
пен	pˈen
Бірақ	bɪɾˈɑq
жатыр	ʒˈɑtəɾ
бас	bˈɑs
алып	ˈɑɫəp
қазақ	qɑzˈɑq
жатқан	ʒɑtqˈɑn
күні	kunˈɪ
Оның	ˈonəŋ
қатысты	qˈɑtəstə
көп	kˈɵp
екен	ekˈen
соң	sˈoŋ
келген	keɫɡˈen
Алаш	ɑɫˈɑʃ
болса	boɫsˈɑ
не	nˈe
Жас	ʒˈɑs
болады	boɫˈɑdə
жұмыс	ʒˈʊməs
айтуынша	ˈɑjtwənʃɑ
еді	edˈɪ
Ресей	ɾesˈej
қарсы	qˈɑɾsə
екі	ekˈɪ
басқа	bɑsqˈɑ
оны	ˈonə
өткен	ɵtkˈen
кезде	kezdˈe
мың	məŋ
жаңа	ʒɑŋˈɑ
Қазақстандағы	qɑzɑqstɑndˈɑʀə
кейін	kejˈɪn
ең	ˈeŋ
сот	sˈot
тағы	tˈɑʀə
саяси	sɑjˈasəj
ашық	ˈɑʃəq
арқылы	ˈɑɾqəɫə
ма	mˈɑ
болатын	boɫˈɑtən
алған	ɑɫʀˈɑn
дейін	dejˈɪn
отырған	ˈotəɾʀɑn
айтады	ɑjtˈɑdə
Осы	ˈosə
сияқты	səjjaqtə
тұр	tˈʊɾ
деді	dedˈɪ
Алматы	ɑɫmˈɑtə
берген	beɾɡˈen
айтты	ˈɑjttə
президент	pɾˈezəjdent
алатын	ɑɫˈɑtən
Қазақстанның	qɑzɑqstˈɑnnəŋ
тек	tˈek
үш	ˈuʃ
сөз	sˈɵz
айтып	ˈɑjtəp
қалған	qɑɫʀˈɑn
жылдың	ʒəɫdəŋ
олар	oɫˈɑɾ
ел	ˈeɫ
бұрын	bˈʊɾən
желтоқсан	ʒeɫtoqsˈɑn
Азаттық	ɑzˈɑttəq
Сондықтан	sˈondəqtɑn
демократиялық	demokɾˈɑtəjjaɫəq
Қазақстанда	qɑzɑqstɑndˈɑ
мүмкін	mumkˈɪn
Сол	sˈoɫ
қалай	qɑɫˈɑj
байланысты	bɑjɫˈɑnəstə
жүрген	ʒuɾɡˈen
президенті	pɾˈezəjdentɪ
олардың	oɫˈɑɾdəŋ
Алайда	ɑɫɑjdˈɑ
қол	qˈoɫ
ұлттық	ˈʊɫttəq
бұрынғы	bˈʊɾənʀə
қандай	qɑndˈɑj
ғой	ʀˈoj
Олар	oɫˈɑɾ
жаза	ʒɑzˈɑ
немесе	nemesˈe
тұрған	tʊɾʀˈɑn
оған	oʀˈɑn
рет	ɾˈet
өте	ɵtˈe
арасында	ɑɾˈɑsəndɑ
үлкен	uɫkˈen
Мен	mˈen
қайта	qɑjtˈɑ
екенін	ekenˈɪn
кеткен	ketkˈen
шыққан	ʃəqqɑn
жақсы	ʒˈɑqsə
жауап	ʒɑwˈɑp
ақпарат	ɑqpɑɾˈɑt
ретінде	ɾetɪndˈe
кезінде	kezɪndˈe
АҚШ	ˈɑqʃ
бағыттағы	bˈɑʀəttɑʀə
ал	ˈɑɫ
заң	zˈɑŋ
халықаралық	xˈɑɫəqɑɾɑɫəq
арнайы	ɑɾnˈɑjə
жер	ʒˈeɾ
бірі	bɪɾˈɪ
қалды	qˈɑɫdə
жерде	ʒeɾdˈe
күн	kˈun
соңғы	sˈoŋʀə
мұндай	mʊndˈɑj
мемлекеттік	memlekettˈɪk
халық	xˈɑɫəq
қарай	qɑɾˈɑj
өзі	ɵzˈɪ
келе	kelˈe
бірнеше	bɪɾneʃˈe
та	tˈɑ
жол	ʒˈoɫ
Егер	eɡˈeɾ
осындай	ˈosəndɑj
барлық	bˈɑɾɫəq
келеді	keledˈɪ
болуы	bˈoɫwə
дүйсенбі	dujsenbˈɪ
қарағанда	qɑɾɑʀɑndˈɑ
айтқан	ɑjtqˈɑn
жылдан	ʒəɫdɑn
алдында	ˈɑɫdəndɑ
талап	tɑɫˈɑp
түрде	tuɾdˈe
алды	ˈɑɫdə
миллион	məjɫɫəjon
қазір	qɑzˈɪɾ
теңге	teŋɡˈe
қажет	qɑʒˈet
бөлісіңіз	bɵlɪsɪŋˈɪz
бөлісіңізВ	bɵlɪsɪŋˈɪzvə
Назарбаев	nɑzɑɾbɑˈev
ішінде	ɪʃɪndˈe
ресми	ɾˈesməj
алады	ɑɫˈɑdə
әлі	ælˈɪ
жағдай	ʒɑʀdˈɑj
жоғары	ʒoʀˈɑɾə
жеке	ʒekˈe
Нұрсұлтан	nʊɾsʊɫtˈɑn
басшысы	bˈɑsʃəsə
те	tˈe
жылға	ʒəɫʀɑ
алмай	ɑɫmˈɑj
сатып	sˈɑtəp
ме	mˈe
бірақ	bɪɾˈɑq
мемлекет	memlekˈet
адамдар	ɑdɑmdˈɑɾ
Қазақ	qɑzˈɑq
алу	ˈɑɫw
қоғамдық	qoʀˈɑmdəq
қызмет	qəzmet
шықты	ʃəqtə
бастап	bɑstˈɑp
неге	neɡˈe
дұрыс	dˈʊɾəs
адамның	ɑdˈɑmnəŋ
шығып	ʃəʀəp
Олардың	oɫˈɑɾdəŋ
әрі	æɾˈɪ
жүр	ʒˈuɾ
қылмыстық	qəɫməstəq
бері	beɾˈɪ
ақша	ɑqʃˈɑ
біз	bˈɪz
жас	ʒˈɑs
барып	bˈɑɾəp
уақыт	wˈɑqət
қаржы	qˈɑɾʒə
жайлы	ʒˈɑjɫə
сайын	sˈɑjən
бірге	bɪɾɡˈe
енді	endˈɪ
бойы	bˈojə
одан	odˈɑn
алғашқы	ɑɫʀˈɑʃqə
Астана	ɑstɑnˈɑ
бес	bˈes
өзге	ɵzɡˈe
сайлау	sɑjɫˈɑw
төрағасы	tɵɾɑʀˈɑsə
ала	ɑɫˈɑ
халықтың	xˈɑɫəqtəŋ
түскен	tuskˈen
әскери	æskˈeɾəj
жылғы	ʒəɫʀə
