ក	kɑɑ
កក	kɑɑk
កកិត	kɑkət
កកូរ	kɑkou
កកើត	kɑɑkaət
កក់	kɑk
កក់ក្ដៅ	kɑkkdav
កក់សក់	kɑksɑk
កខ្វក់	kɑkvɑk
កង	kɑɑŋ
កង់	kɑŋ
កង្ហារ	kɑŋhaa
កញ្ចក់	kɑɲcɑk
កញ្ចប់	kɑɲcɑp
កញ្ច្រែង	kɑɲcraeŋ
កញ្ញា	kaɲɲaa
កដៃ	kɑɑday
កណ្ដាល	kɑndaal
កណ្ដឹង	kɑndəŋ
កណ្ដៀវ	kɑndiəv
កណ្ដោរ	kɑndao
កណ្ណិកា	kɑnəkaa
កត់	kɑt
កត់ត្រា	kɑttraa
កន្ត្រក	kɑntrɑɑk
កន្ត្រៃ	kɑntray
កន្ត្រៃកាត់ក្រចក	kɑntraykatkrɑcɑɑk
កន្ទក់	kɑntʊək
កន្ទុយ	kɑntuy
កន្ទេល	kɑnteel
កន្ធន់	kɑntʰʊən
កន្និកា	kɑnnikaa
កន្លង	kɑnlɑɑŋ
កន្លែង	kɑnlaeŋ
កន្លែងធ្វើការ	kɑnlaeŋtvəəkaa
កន្លះ	kɑnlah
កន្សែង	kɑnsaeŋ
កន្សែងពោះគោ	kɑnsaeŋpʊəhkoo
កប៉ាល់	kaʔpal
កប់	kɑp
កម្ចាត់	kɑmcat
កម្ដៅ	kɑmdav
កម្ទេច	kɑmtɨc
កម្ទេចកម្ទី	kɑmtɨckɑmtii
កម្ពស់	kɑmpʊəh
កម្ពុជា	kampuʔcie
កម្ពុជាក្រោម	kampuʔciekraom
កម្មករ	kammaʔkɑɑ
កម្មពៀរ	kampiə,kammeaʔpiə,kammaʔpiə
កម្មវិធី	kamviʔtʰii,kammaʔviʔtʰii,kammeaʔviʔtʰii
កម្រ	kɑmrɑɑ
កម្រាល	kɑmraal
កម្រាលព្រំ	kɑmraalprum
កម្រាលឥដ្ឋ	kɑmraalʔǝt
កម្រិត	kɑmrɨt
កម្រើក	kɑmraək
កម្លាំង	kɑmlaŋ
កម្សាន្ត	kɑmsaan
ករណី	kaʔraʔnəy
កសិកម្ម	kaʔseʔkam
កសិករ	kaʔseʔkɑɑ
កអាវ	kɑɑʔaav
កា	kaa
កាកសំណល់	kaaksɑmnɑl
កាក់	kak
កាច	kaac
កាច់ចង្កូត	kaccɑŋkout
កាដូ	kaadou
កាណូត	kaanout
កាត	kaat
កាតាប	kaataap
កាត់	kat
កាត់ចិត្ត	katcət
កាត់តម្លៃ	kattɑmlay
កាត់បន្ថយ	katbɑntʰɑɑy
កាទឹក	kaatɨk
កាន់	kan
កាន់តែ	kantae
កាបូប	kaaboup
កាមេរ៉ា	kaameeraa
កាយ	kaay
កាយវិការ	kaayviʔkaa
ការ	kaa
ការងារ	kaaŋie
ការចាយវាយ	kaacaayviey,kaacaayvay
ការដ្ឋាន	kaarattʰaan
ការតុង	kaatoŋ
ការទូត	kaatuut
ការពារ	kaapie
