أجنَبي	.ʔec.ne.bî
أجنَبی	.ʔec.ne.bî
ئا	.ʔa
ئاب	.ʔab
ئابوری	.ʔa.bu.rî
ئابووری	.ʔa.bû.rî
ئابووریی	.ʔa.bû.rîy
ئابوورییان	.ʔa.bû.rî.yan
ئابوورییەوە	.ʔa.bû.rî.ye.we
ئابی	.ʔa.bî
ئاخافتن	.ʔa.xaf.tin
ئاخاوتن	.ʔa.xaw.tin
ئاخر	.ʔa.xir
ئاخوندی	.ʔa.xun.dî
ئاخۆ	.ʔa.xo
ئادانا	.ʔa.da.na
ئارادایە	.ʔa.ra.da.ye
ئاراس	.ʔa.ras
ئاراستە	.ʔa.ras.te
ئاراستەی	.ʔa.ras.tey
ئارام	.ʔa.ram
ئارامدا	.ʔa.ram.da
ئارامی	.ʔa.ra.mî
ئاراوە	.ʔa.ra.we
ئارخا	.ʔar.xa
ئارەزوو	.ʔa.re.zû
ئارەزووی	.ʔa.re.zûy
ئازاد	.ʔa.zad
ئازادانە	.ʔa.za.da.ne
ئازادکردنی	.ʔa.zad.kir.di.nî
ئازادی	.ʔa.za.dî
ئازادیخواز	.ʔa.za.dî.xwaz
ئازادیخوازی	.ʔa.za.dîx.wa.zî
ئازادیی	.ʔa.za.dîy
ئازادییا	.ʔa.za.dî.ya
ئازادییە	.ʔa.za.dî.ye
ئازادیێ	.ʔa.zad.yê
ئازادە	.ʔa.za.de
ئازار	.ʔa.zar
ئازاری	.ʔa.za.rî
ئاسان	.ʔa.san
ئاسانتر	.ʔa.san.tir
ئاسانی	.ʔa.sa.nî
ئاسایش	.ʔa.sa.yiş
ئاسایشی	.ʔa.sa.yi.şî
ئاسایی	.ʔa.sa.yî
ئاساییترین	.ʔa.sa.yît.rîn
ئاساییی	.ʔa.sa.yîy
ئاسایییە	.ʔa.sa.yî.ye
ئاسایییەکان	.ʔa.sa.yî.ye.kan
ئاست	.ʔast
ئاستی	.ʔas.tî
ئاستێکدان	.ʔas.têk.dan
ئاستێکی	.ʔas.tê.kî
ئاستە	.ʔas.te
ئاستەنگەکان	.ʔas.ten.ge.kan
ئاسمان	.ʔas.man
ئاسمانی	.ʔas.ma.nî
ئاسمانیی	.ʔas.ma.nîy
ئاسن	.ʔa.sin
ئاسوودەتر	.ʔa.sû.de.tir
ئاسۆ	.ʔa.so
ئاسۆی	.ʔa.soy
ئاسیا	.ʔas.ya
ئاسیایی	.ʔas.ya.yî
ئاشتی	.ʔaş.tî
ئاشنا	.ʔaş.na
ئاشوورییەوە	.ʔa.şû.rî.ye.we
ئاشکرا	.ʔaş.ki.ra
ئاشکرای	.ʔaş.ki.ray
ئاشکرایکرد	.ʔaş.ki.ray.kird
ئاشکرایە	.ʔaş.ki.ra.ye
ئاغا	.ʔa.ẍa
ئاغای	.ʔa.ẍay
ئافراند	.ʔaf.rand
ئافراندنی	.ʔaf.ran.di.nî
ئافرەت	.ʔaf.ret
ئافرەتان	.ʔaf.re.tan
ئافرەتانی	.ʔa.fi.re.ta.nî
ئافرەتی	.ʔaf.re.tî
ئاقاری	.ʔa.qa.rî
ئاقارێکدا	.ʔa.qa.rêk.da
ئاقارێکی	.ʔa.qa.rê.kî
ئاقارەدا	.ʔa.qa.re.da
ئاقارەکە	.ʔa.qa.re.ke
ئالان	.ʔa.lan
ئامادە	.ʔa.ma.de
ئامادەبوون	.ʔa.ma.de.bûn
ئامادەبوونی	.ʔa.ma.de.bû.nî
ئامادەن	.ʔa.ma.den
ئامادەکاری	.ʔa.ma.de.ka.rî
ئامادەکاریگەلێکی	.ʔa.ma.de.ka.rî.ge.lê.kî
ئامادەکارییەکاندا	.ʔa.ma.de.ka.rî.ye.kan.da
ئامادەکراوەکانی	.ʔa.ma.de.ki.ra.we.ka.nî
ئامادەکردنی	.ʔa.ma.de.kir.di.nî
ئامادەی	.ʔa.ma.dey
ئامادەیی	.ʔa.ma.de.yî
ئامادەیە	.ʔa.ma.de.ye
ئاماری	.ʔa.ma.rî
ئامارێک	.ʔa.ma.rêk
ئامارێکی	.ʔa.ma.rê.kî
ئامارەکانی	.ʔa.ma.re.ka.nî
ئامانج	.ʔa.manc
ئامانجم	.ʔa.man.cim
ئامانجی	.ʔa.man.cî
ئامانجە	.ʔa.man.ce
ئامانجەکانی	.ʔa.man.ce.ka.nî
ئامانجەکانیان	.ʔa.man.ce.kan.yan
ئاماژە	.ʔa.ma.je
ئاماژەمان	.ʔa.ma.je.man
ئاماژەی	.ʔa.ma.jey
ئاماژەیان	.ʔa.ma.je.yan
ئاماژەیە	.ʔa.ma.je.ye
ئاماژەیەکی	.ʔa.ma.je.ye.kî
ئامرازی	.ʔam.ra.zî
ئامریکا	.ʔam.rî.ka
ئامریکایییەکاندان	.ʔam.rî.ka.yî.ye.kan.dan
ئامۆژگاری	.ʔa.moj.ga.rî
ئامۆژگارییان	.ʔa.moj.ga.rî.yan
ئامێری	.ʔa.mê.rî
ئامێرێک	.ʔa.mê.rêk
ئامێرە	.ʔa.mê.re
ئامەد	.ʔa.med
ئامەدی	.ʔa.me.dî
ئانا	.ʔa.na
ئانتەر	.ʔan.ter
ئانتەرەوە	.ʔan.te.re.we
ئانکارا	.ʔan.ka.ra
ئانکارادا	.ʔan.ka.ra.da
ئانکارادایە	.ʔan.ka.ra.da.ye
ئانگژا	.ʔan.gi.ja
ئاهەنگی	.ʔa.hen.gî
ئاو	.ʔaw
ئاوا	.ʔa.wa
ئاوات	.ʔa.wat
ئاوارە	.ʔa.wa.re
ئاوارەکان	.ʔa.wa.re.kan
ئاوارەکانی	.ʔa.wa.re.ka.nî
ئاوارەی	.ʔa.wa.rey
ئاواز	.ʔa.waz
ئاوازی	.ʔa.wa.zî
ئاوای	.ʔa.way
ئاوایی	.ʔa.wa.yî
ئاوایییەکانیان	.ʔa.wa.yî.ye.kan.yan
ئاوریان	.ʔa.wir.yan
ئاوی	.ʔa.wî
ئاوێزە	.ʔa.wê.ze
ئاوێنە	.ʔa.wê.ne
ئاوێنەی	.ʔa.wê.ney
ئاوەدانی	.ʔa.we.da.nî
ئاوەڵاوە	.ʔa.we.ła.we
ئاپۆ	.ʔa.po
ئاڕاستەی	.ʔa.řas.tey
ئاژانس	.ʔa.jans
ئاژانسی	.ʔa.jan.sî
ئاژاولەی	.ʔa.jaw.ley
ئاژەڵ	.ʔa.jeł
ئاڤەستا	.ʔa.ves.ta
ئاکادمی	.ʔa.kad.mî
ئاکار	.ʔa.kar
ئاکاری	.ʔa.ka.rî
ئاکارەکانی	.ʔa.ka.re.ka.nî
ئاکام	.ʔa.kam
ئاکامدا	.ʔa.kam.da
ئاکامی	.ʔa.ka.mî
ئاکامە	.ʔa.ka.me
ئاکامەکان	.ʔa.ka.me.kan
ئاکشەنەر	.ʔak.şe.ner
ئاکینان	.ʔa.kî.nan
ئاگادار	.ʔa.ga.dar
ئاگادارنەبوونی	.ʔa.ga.dar.ne.bû.nî
ئاگاداری	.ʔa.ga.da.rî
ئاگادارینامەکان	.ʔa.ga.da.rî.na.me.kan
ئاگادارینامەکەدا	.ʔa.ga.da.rî.na.me.ke.da
ئاگادارینامەی	.ʔa.ga.da.rî.na.mey
ئاگاداریی	.ʔa.ga.da.rîy
ئاگادارییان	.ʔa.ga.da.rî.yan
ئاگاهی	.ʔa.ga.hî
ئاگای	.ʔa.gay
ئاگر	.ʔa.gir
ئاگری	.ʔa.gi.rî
ئاڵا	.ʔa.ła
ئاڵای	.ʔa.łay
ئاڵبانییەکان	.ʔał.ba.nî.ye.kan
ئاڵمان	.ʔał.man
ئاڵماندا	.ʔał.man.da
ئاڵمانێدا	.ʔał.ma.nê.da
ئاڵن	.ʔa.łin
ئاڵوگۆڕی	.ʔa.łu.go.řî
ئاڵوگۆڕییەکان	.ʔa.łu.go.řî.ye.kan
