aarōn	aaɾoːn
abacaenum	abakae̯nʊ̃ˑ
abace	abakɛ
abacinā	abakɪnaː
abacinātus	abakɪnaːt̪ʊs̠
abacinātūrus	abakɪnaːt̪uːɾʊs̠
abacinō	abakɪnoː
abacis	abakɪs̠
abaculus	abakʊɫ̪ʊs̠
abacum	abakʊ̃ˑ
abacus	abakʊs̠
abacīnus	abakiːnʊs̠
abacīs	abakiːs̠
abaddōn	abad̪d̪oːn
abaesamis	abae̯s̠amɪs̠
abaestuātum	abae̯s̠t̪ʊaːt̪ʊ̃ˑ
abaestuō	abae̯s̠t̪ʊoː
abagmentum	abaɡmɛn̪t̪ʊ̃ˑ
abalietās	abal̪iɛt̪aːs̠
abaliēnāte	abal̪ieːnaːt̪ɛ
abaliēnātiō	abal̪ieːnaːt̪ioː
abaliēnātō	abal̪ieːnaːt̪oː
abaliēnō	abal̪ieːnoː
aballaba	abal̠l̠aba
aballava	abal̠l̠awa
abalus	abaɫ̪ʊs̠
abalī	abal̪iː
abambulō	abambʊɫ̪oː
abamita	abamɪt̪a
abannātiō	abannaːt̪ioː
abante	aban̪t̪ɛ
abantius	aban̪t̪iʊs̠
abantēa	aban̪t̪eːa
abantēa	aban̪t̪eːaː
abantēus	aban̪t̪eːʊs̠
abanēt	abaneːt̪
abanēth	abaneːt̪ʰ
abascanta	abas̠kan̪t̪a
abascanta	abas̠kan̪t̪aː
abascantissimus	abas̠kan̪t̪ʊs̠
abascantus	abas̠kan̪t̪ʊs̠
abascus	abas̠kʊs̠
abasgī	abas̠ɡiː
abavunculus	abawʊŋkʊɫ̪ʊs̠
abavus	abawʊs̠
abax	abaks̠
abbacinō	abbakɪnoː
abbreviandus	abbɾɛwian̪d̪ʊs̠
abbreviātiō	abbɾɛwiaːt̪ioː
abbreviātiōnibus	abbɾɛwiaːt̪ioːnɪbʊs̠
abbreviātulus	abbɾɛwiaːt̪ʊɫ̪ʊs̠
abbreviātum	abbɾɛwiaːt̪ʊ̃ˑ
abbreviātūrus	abbɾɛwiaːt̪uːɾʊs̠
abbreviō	abbɾɛwioː
abbās	abbaːs̠
abbātia	abbaːt̪ia
abbātissa	abbaːt̪ɪs̠s̠a
abbātizō	abbaːt̪ɪzzoː
abbātiālis	abbaːt̪iaːl̪ɪs̠
abchasica	apkʰas̠ɪka
abchasica	apkʰas̠ɪkaː
abchasicus	apkʰas̠ɪkʊs̠
abdara	abd̪aɾa
abdicandō	abd̪ɪkan̪d̪oː
abdicā	abd̪ɪkaː
abdicārem	abd̪ɪkaːɾɛ̃ˑ
abdicārās	abd̪ɪkaːɾaːs̠
abdicārēs	abd̪ɪkaːɾeːs̠
abdicās	abd̪iːkaːs̠
abdicās	abd̪ɪkaːs̠
abdicāsse	abd̪ɪkaːs̠s̠ɛ
abdicāssem	abd̪ɪkaːs̠s̠ɛ̃ˑ
