aarōn	aːarɔn
ababa	aːbaba
abacaenum	abat͡ʃɛːnum
abace	aːbat͡ʃɛ
abacinā	abaːt͡ʃina
abacinātus	abat͡ʃinaːt̪us
abacinātūrus	abat͡ʃinat̪uːrus
abacinō	abaːt͡ʃinɔ
abacis	aːbat͡ʃis
abaculus	abaːkulus
abacum	aːbakum
abacus	aːbakus
abacī	aːbat͡ʃi
abacīna	abat͡ʃiːna
abacīnus	abat͡ʃiːnus
abacīs	aːbat͡ʃis
abacūc	aːbakuk
abaddōn	abad̪d̪ɔn
abae	aːbɛ
abaesamis	abɛːzamis
abaestuātum	abɛst̪uaːt̪um
abaestuō	abɛst̪uɔ
abagmentum	abaɡmɛn̪t̪um
abalietās	abaliːɛt̪as
abaliēnāte	abaliɛnaːt̪ɛ
abaliēnātiō	abaliɛnaːt͡siɔ
abaliēnātō	abaliɛnaːt̪ɔ
abaliēnō	abaliɛːnɔ
abalus	aːbalus
abalī	aːbali
abambulō	abambulɔ
abamita	abaːmit̪a
abannātiō	abannaːt͡siɔ
abante	aban̪t̪ɛ
abantēa	aban̪t̪ɛːa
abantēus	aban̪t̪ɛːus
abanēt	aːbanɛt̪
abanēth	aːbanɛt̪
abarceō	abart͡ʃɛɔ
abascanta	abaskan̪t̪a
abascantissimus	abaskan̪t̪us
abascantus	abaskan̪t̪us
abavia	abaːvia
abavunculus	abavuŋkulus
abavus	aːbavus
abax	aːbaks
abbacinō	abbaːt͡ʃinɔ
abbreviandus	abbrɛvian̪d̪us
abbreviātiō	abbrɛviaːt͡siɔ
abbreviātiōnibus	abbrɛviat͡siɔːnibus
abbreviātulus	abbrɛviaːt̪ulus
abbreviātum	abbrɛviaːt̪um
abbreviātūrus	abbrɛviat̪uːrus
abbreviō	abbrɛːviɔ
abbātia	abbaːt͡sia
abbātissa	abbat̪issa
abbātizō	abbat̪idd͡zɔ
abbātiālis	abbat͡siaːlis
abchasica	apkaːzika
abchasicus	apkaːzikus
abdara	abd̪ara
abdicandō	abd̪ikan̪d̪ɔ
abdicā	abd̪ika
abdicārem	abd̪ikaːrɛm
abdicārās	abd̪ikaːras
abdicārēs	abd̪ikaːrɛs
abdicās	abd̪ikas
abdicās	abd̪iːkas
abdicāsse	abd̪ikassɛ
abdicāssem	abd̪ikassɛm
abdicāssēs	abd̪ikassɛs
abdicātiō	abd̪ikaːt͡siɔ
abdicātīva	abd̪ikat̪iːva
abdicātīvus	abd̪ikat̪iːvus
abdicātīvās	abd̪ikat̪iːvas
abdicātīvē	abd̪ikat̪iːvɛ
abdicātīvō	abd̪ikat̪iːvɔ
abdicātīvōs	abd̪ikat̪iːvɔs
abdicātōria	abd̪ikat̪ɔːria
abdicātōrius	abd̪ikat̪ɔːrius
abdicō	abd̪ikɔ
abditum	abd̪it̪um
abditus	abd̪it̪us
abditīva	abd̪it̪iːva
abditīvus	abd̪it̪iːvus
abdua	abd̪ua
abductiō	abd̪ukt͡siɔ
abductīva	abd̪ukt̪iːva
abductīvus	abd̪ukt̪iːvus
abductōris	abd̪ukt̪ɔːris
abdērus	abd̪ɛːrus
abdērītānus	abd̪ɛrit̪aːnus
abdīcam	abd̪iːkam
abdīcar	abd̪iːkar
abdīcō	abd̪iːkɔ
abdō	abd̪ɔ
abdōmen	abd̪ɔːmɛn
abdōminālis	abd̪ɔminaːlis
abdūcēns	abd̪uːt͡ʃɛns
abdūcō	abd̪uːkɔ
abecedārium	abɛt͡ʃɛd̪aːrium
abecedārius	abɛt͡ʃɛd̪aːrius
abella	abɛlla
abellana	abɛllana
abellīnum	abɛlliːnum
abelus	aːbɛlus
abequitō	abɛːkwit̪ɔ
aberdeenēnsis	abɛrd̪ɛnɛnsis
aberrant	abɛrran̪t̪
aberrante	abɛrran̪t̪ɛ
aberrantēs	abɛrran̪t̪ɛs
aberrātiō	abɛrraːt͡siɔ
aberrō	abɛrrɔ
abeō	aːbɛɔ
abhibeō	abiːbɛɔ
abhinc	abiŋk
abhorreō	abɔrrɛɔ
abhorrēscō	abɔrrɛskɔ
abia	aːbia
abiciō	abiːt͡ʃiɔ
abiciō	abjiːt͡ʃiɔ
abiectiō	abjɛkt͡siɔ
abiectō	abjɛkt̪ɔ
abierimus	abiɛriːmus
abierimus	abiɛːrimus
abieris	abiːɛris
abieritis	abiɛriːt̪is
abieritis	abiɛːrit̪is
abietifolia	abiɛt̪ifɔːlia
abietifolius	abiɛt̪ifɔːlius
abietina	abiɛːt̪ina
abietinus	abiɛːt̪inus
abietāria	abiɛt̪aːria
abietārius	abiɛt̪aːrius
abiga	aːbiɡa
abigeus	abiːd͡ʒɛus
abigeātor	abid͡ʒɛaːt̪ɔr
abigeātus	abid͡ʒɛaːt̪us
abigō	aːbiɡɔ
abilitās	abiːlit̪as
abitiō	abiːt͡siɔ
abitus	aːbit̪us
abiugō	abjuɡɔ
abiungō	abjuŋɡɔ
abiāthār	abiaːt̪ar
abiēgna	abiɛɲɲa
abiēgnus	abiɛɲɲus
abiēs	aːbiɛs
abiūdicandus	abjud̪ikan̪d̪us
abiūdicātīva	abjud̪ikat̪iːva
abiūdicātīvus	abjud̪ikat̪iːvus
abiūdicō	abjuːd̪ikɔ
abiūrgō	abjurɡɔ
abiūrātiō	abjuraːt͡siɔ
abiūrō	abjuːrɔ
abjiciō	abjiːt͡ʃiɔ
abjudicātīvus	abjud̪ikat̪iːvus
abjugō	abjuɡɔ
abjungō	abjuŋɡɔ
abjūdicō	abjuːd̪ikɔ
abjūrgō	abjurɡɔ
ablactō	ablakt̪ɔ
ablacuō	ablaːkuɔ
ablaqueātiō	ablakwɛaːt͡siɔ
ablaqueō	ablaːkwɛɔ
ablepsia	ablɛpsia
abligurriō	abliɡurriɔ
abligurrītiō	abliɡurriːt͡siɔ
abligurrītor	abliɡurriːt̪ɔr
ablocō	ablɔkɔ
abluvium	abluːvium
abluviō	abluːviɔ
abluō	abluɔ
ablātiō	ablaːt͡siɔ
ablātor	ablaːt̪ɔr
ablātīva	ablat̪iːva
ablātīve	ablat̪iːvɛ
ablātīvus	ablat̪iːvus
ablātīvās	ablat̪iːvas
ablātīvī	ablat̪iːvi
ablātīvō	ablat̪iːvɔ
ablātīvōs	ablat̪iːvɔs
ablēgātiō	ablɛɡaːt͡siɔ
ablēgō	ablɛːɡɔ
ablūdō	abluːd̪ɔ
ablūtiō	abluːt͡siɔ
ablūtor	abluːt̪ɔr
ablūtīvus	ablut̪iːvus
ablūtūrus	ablut̪uːrus
abmātertera	abmat̪ɛrt̪ɛra
abnatātum	abnat̪aːt̪um
abnatātūrus	abnat̪at̪uːrus
abnatō	abnat̪ɔ
abnegātiō	abnɛɡaːt͡siɔ
abnegātor	abnɛɡaːt̪ɔr
abnegātīva	abnɛɡat̪iːva
abnegātīvus	abnɛɡat̪iːvus
abnegō	abnɛɡɔ
abnepōs	abnɛpɔs
abnoctātum	abnɔkt̪aːt̪um
abnoctātūrus	abnɔkt̪at̪uːrus
abnoctō	abnɔkt̪ɔ
abnuitiō	abnuiːt͡siɔ
abnumerō	abnuːmɛrɔ
abnuō	abnuɔ
abnōdō	abnɔːd̪ɔ
abnōrmis	abnɔrmis
abnūtātum	abnut̪aːt̪um
abnūtātūrus	abnut̪at̪uːrus
abnūtīva	abnut̪iːva
abnūtīvus	abnut̪iːvus
abnūtō	abnuːt̪ɔ
abobrīga	abɔbriːɡa
abodiacum	abɔd̪iːakum
aboleō	abɔːlɛɔ
abolitiō	abɔliːt͡siɔ
abolitor	abɔːlit̪ɔr
abolla	abɔlla
abolānī	abɔlaːni
abolēscō	abɔlɛskɔ
abomāsum	abɔmaːzum
aborigina	abɔriːd͡ʒina
aboriginus	abɔriːd͡ʒinus
aborior	abɔːriɔr
aborsa	abɔrsa
aborsus	abɔrsus
abortiō	abɔrt͡siɔ
abortus	abɔrt̪us
abortās	abɔrt̪as
abortātūrus	abɔrt̪at̪uːrus
abortīva	abɔrt̪iːva
abortīvum	abɔrt̪iːvum
abortīvus	abɔrt̪iːvus
abortō	abɔrt̪ɔ
aborīgineus	abɔrid͡ʒiːnɛus
abra	aːbra
abrelicta	abrɛlikt̪a
abrelictus	abrɛlikt̪us
abrenuntiātum	abrɛnunt͡siaːt̪um
abrenuntiātūrus	abrɛnunt͡siat̪uːrus
abrenūntiō	abrɛnunt͡siɔ
abrincatuī	abriŋkaːt̪ui
abripiō	abriːpiɔ
abrocomēs	abrɔːkɔmɛs
abrogāte	abrɔɡaːt̪ɛ
abrogātiō	abrɔɡaːt͡siɔ
abrogāvissēmus	abrɔɡavissɛmus
abrogō	abrɔɡɔ
abrotanifolia	abrɔt̪anifɔːlia
abrotanifolius	abrɔt̪anifɔːlius
abrumpō	abrumpɔ
abrupta	abrupt̪a
abruptissima	abrupt̪issima
abruptiō	abrupt͡siɔ
abruptās	abrupt̪as
abruptōs	abrupt̪ɔs
abrādō	abraːd̪ɔ
abrāsiō	abraːziɔ
abrōdō	abrɔːd̪ɔ
abrōnius	abrɔːnius
abscindō	apʃin̪d̪ɔ
abscissiō	apʃissiɔ
abscondeō	apskɔn̪d̪ɛɔ
absconditus	apskɔn̪d̪it̪us
abscondō	apskɔn̪d̪ɔ
abscēdō	apʃɛːd̪ɔ
abscīdō	apʃiːd̪ɔ
abscīsa	apʃiːza
abscīsus	apʃiːzus
abscōnsa	apskɔnsa
abscōnsus	apskɔnsus
abscōnsō	apskɔnsɔ
absentia	apsɛnt͡sia
absentīvus	apsɛn̪t̪iːvus
absentō	apsɛn̪t̪ɔ
absiliō	apsiːliɔ
absimilis	apsiːmilis
absinthifolius	apsin̪t̪ifɔːlius
absinthium	apsin̪t̪ium
absinthiātus	apsin̪t̪iaːt̪us
absinthītārum	apsin̪t̪iːt̪arum
absinthītēs	apsin̪t̪iːt̪ɛs
absistō	apsist̪ɔ
absitus	apsit̪us
absocer	apsɔt͡ʃɛr
absoluō	apsɔːluɔ
absolvēns	apsɔlvɛns
absolvō	apsɔlvɔ
absolūtiō	apsɔluːt͡siɔ
absolūtus	apsɔluːt̪us
absolūtōrius	apsɔlut̪ɔːrius
absonus	apsɔnus
absonō	apsɔnɔ
absorbent	apsɔrbɛn̪t̪
absorbentem	apsɔrbɛn̪t̪ɛm
absorbeō	apsɔrbɛɔ
absorptiō	apsɔrpt͡siɔ
absortus	apsɔrt̪us
abspellō	apspɛllɔ
absportō	apspɔrt̪ɔ
absque	apskwɛ
abstergeō	apst̪ɛrd͡ʒɛɔ
absterreō	apst̪ɛrrɛɔ
abstinentia	apst̪inɛnt͡sia
abstineō	apst̪iːnɛɔ
abstināx	apst̪inaks
abstractiō	apst̪rakt͡siɔ
abstractus	apst̪rakt̪us
abstrahentibus	apst̪raɛn̪t̪ibus
abstraherentur	apst̪raɛrɛn̪t̪ur
abstrahō	apst̪raɔ
abstrāxerimus	apst̪raksɛːrimus
abstrūdō	apst̪ruːd̪ɔ
abstrūsus	apst̪ruːzus
abstulī	apst̪uli
abstēmius	apst̪ɛːmius
abstō	apst̪ɔ
absurdus	apsurd̪us
absynthītēs	apsin̪t̪iːt̪ɛs
absārius	apsaːrius
absēns	apsɛns
absīdātus	apsid̪aːt̪us
absūmēdō	apsumɛːd̪ɔ
absūmō	apsuːmɔ
abudius	abuːd̪ius
abundanter	abun̪d̪an̪t̪ɛr
abundantia	abun̪d̪ant͡sia
abundantius	abun̪d̪ant͡sius
abundantēs	abun̪d̪an̪t̪ɛs
abundiflōrus	abun̪d̪iflɔːrus
abundus	abun̪d̪us
abundātiō	abun̪d̪aːt͡siɔ
abundātum	abun̪d̪aːt̪um
abundātūrus	abun̪d̪at̪uːrus
abundē̆	abun̪d̪ɛ
abundō	abun̪d̪ɔ
aburius	abuːrius
abusina	abuːzina
abyla	aːbila
abyssicolus	abissiːkɔlus
abyssinicus	abissiːnikus
abyssālis	abissaːlis
abzoae	abd͡zɔɛ
abāctor	abakt̪ɔr
abāctus	abakt̪us
abīa	abiːa
abōminandus	abɔminan̪d̪us
abōminābilis	abɔminaːbilis
abōmināmentum	abɔminamɛn̪t̪um
abōminātiō	abɔminaːt͡siɔ
abōminō	abɔːminɔ
abōminōsa	abɔminɔːza
abōminōsus	abɔminɔːzus
abūsor	abuːzɔr
abūsīvus	abuziːvus
abūtor	abuːt̪ɔr
abȳdus	abiːd̪us
acacia	akaːt͡ʃia
acaciifolius	akat͡ʃiifɔːlius
acacēsium	akat͡ʃɛːzium
acadēmicus	akad̪ɛːmikus
acadēmīa	akad̪ɛmiːa
acalandrus	akalan̪d̪rus
acalyphāceus	akalifaːt͡ʃɛus
acalēphē	akalɛːfɛ
acanthicarpus	akan̪t̪ikarpus
acanthifolius	akan̪t̪ifɔːlius
acanthinus	akan̪t̪inus
acanthius	akan̪t̪ius
acanthocalycibus	akan̪t̪ɔkaliːt͡ʃibus
acanthocalyx	akan̪t̪ɔːkaliks
acanthocarpus	akan̪t̪ɔkarpus
acanthocladus	akan̪t̪ɔːklad̪us
acanthocomus	akan̪t̪ɔːkɔmus
acanthodontus	akan̪t̪ɔd̪ɔn̪t̪us
acanthonotus	akan̪t̪ɔːnɔt̪us
acanthophorus	akan̪t̪ɔːfɔrus
acanthophyllus	akan̪t̪ɔfillus
acanthopodius	akan̪t̪ɔpɔːd̪ius
acanthus	akan̪t̪us
acaricus	akaːrikus
acarnānia	akarnaːnia
acascomarcī	akaskɔmart͡ʃi
acaustus	akau̯st̪us
accadicus	akkaːd̪ikus
accanite	akkaːnit̪ɛ
accanitō	akkaːnit̪ɔ
accanō	akkanɔ
accapitō	akkaːpit̪ɔ
acceia	att͡ʃɛja
accelerātiō	att͡ʃɛlɛraːt͡siɔ
accelerātrīx	att͡ʃɛlɛraːt̪riks
accelerō	att͡ʃɛːlɛrɔ
accendō	att͡ʃɛn̪d̪ɔ
accentor	att͡ʃɛn̪t̪ɔr
accentus	att͡ʃɛn̪t̪us
accepta	att͡ʃɛpt̪a
acceptante	att͡ʃɛpt̪an̪t̪ɛ
acceptiō	att͡ʃɛpt͡siɔ
acceptābilis	att͡ʃɛpt̪aːbilis
acceptō	att͡ʃɛpt̪ɔ
accersiō	att͡ʃɛrsiɔ
accessibilis	att͡ʃɛssiːbilis
accessitō	att͡ʃɛssit̪ɔ
accessōrius	att͡ʃɛssɔːrius
accidenta	att͡ʃid̪ɛn̪t̪a
accidentia	att͡ʃid̪ɛnt͡sia
accidentum	att͡ʃid̪ɛn̪t̪um
accidentō	att͡ʃid̪ɛn̪t̪ɔ
accidere	att͡ʃid̪ɛːrɛ
accidere	att͡ʃiːd̪ɛrɛ
accidēns	att͡ʃid̪ɛns
accidō	att͡ʃid̪ɔ
accingō	att͡ʃiŋɡɔ
accinō	att͡ʃinɔ
accipiter	att͡ʃiːpit̪ɛr
accipitrīna	att͡ʃipit̪riːna
accipitrō	att͡ʃiːpit̪rɔ
accipiēns	att͡ʃiːpiɛns
accipiō	att͡ʃiːpiɔ
accisī	att͡ʃizi
acciō	att͡ʃiɔ
acclāmō	akklaːmɔ
acclārō	akklaːrɔ
acclīnis	akkliːnis
acclīnō	akkliːnɔ
acclīvis	akkliːvis
accolēius	akkɔlɛːius
accomandatiō	akkɔman̪d̪aːt͡siɔ
accommodātus	akkɔmmɔd̪aːt̪us
accommodō	akkɔmmɔd̪ɔ
acconciliō	akkɔn̠ʲt͡ʃiːliɔ
accorporō	akkɔrpɔrɔ
accrēscente	akkrɛʃʃɛn̪t̪ɛ
accrēscō	akkrɛskɔ
accrētus	akkrɛːt̪us
accubitus	akkuːbit̪us
accubitātiō	akkubit̪aːt͡siɔ
accubō	akkubɔ
accumbere	akkumbɛrɛ
accumbere	akkumbɛːrɛ
accumbō	akkumbɔ
accumulātiō	akkumulaːt͡siɔ
accumulō	akkuːmulɔ
accurrō	akkurrɔ
accēdō	att͡ʃɛːd̪ɔ
accēnseō	att͡ʃɛnsɛɔ
accēnsibilis	att͡ʃɛnsiːbilis
accēnsūrus	att͡ʃɛnsuːrus
accīdere	att͡ʃiːd̪ɛrɛ
accīdia	att͡ʃiːd̪ia
accīdēns	att͡ʃiːd̪ɛns
accīdō	att͡ʃiːd̪ɔ
accūrātus	akkuraːt̪us
accūrō	akkuːrɔ
accūsitō	akkuːzit̪ɔ
accūsābilis	akkuzaːbilis
accūsātiō	akkuzaːt͡siɔ
accūsātor	akkuzaːt̪ɔr
accūsātrīx	akkuzaːt̪riks
accūsātus	akkuzaːt̪us
accūsātī	akkuzaːt̪i
accūsātīvus	akkuzat̪iːvus
accūsātōrius	akkuzat̪ɔːrius
accūsātōriē	akkuzat̪ɔːriɛ
accūsō	akkuːzɔ
acephalus	at͡ʃɛːfalus
acer	aːt͡ʃɛr
acerbe	at͡ʃɛrbɛ
acerbitās	at͡ʃɛrbit̪as
acerbus	at͡ʃɛrbus
acerbāte	at͡ʃɛrbaːt̪ɛ
acerbē	at͡ʃɛrbɛ
acerbō	at͡ʃɛrbɔ
acere	aːt͡ʃɛrɛ
aceriflōrus	at͡ʃɛriflɔːrus
acerifolius	at͡ʃɛrifɔːlius
acerinus	at͡ʃɛːrinus
aceriphyllus	at͡ʃɛrifillus
acernus	at͡ʃɛrnus
acerra	at͡ʃɛrra
acerrae	at͡ʃɛrrɛ
acerrōnius	at͡ʃɛrrɔːnius
acervus	at͡ʃɛrvus
acervālis	at͡ʃɛrvaːlis
acervō	at͡ʃɛrvɔ
acerōsus	at͡ʃɛrɔːzus
acesīnus	at͡ʃɛziːnus
acesīnēs	at͡ʃɛziːnɛs
acetoxidāns	at͡ʃɛt̪ɔksid̪ans
aceō	aːt͡ʃɛɔ
achaemenis	akɛːmɛnis
acharis	aːkaris
acharnae	akarnɛ
acharnē	akarnɛ
achatēs	aːkat̪ɛs
achelōus	akɛlɔːus
achenum	aːkɛnum
acherontēus	akɛrɔn̪t̪ɛːus
acheronēnsis	akɛrɔnɛnsis
acherunticus	akɛrun̪t̪ikus
acherōn	aːkɛrɔn
achillēs	akillɛs
achillīnus	akilliːnus
achrōmiāns	akrɔːmians
achāia	akaːia
achātēs	akaːt̪ɛs
achātīnus	akat̪iːnus
achōr	aːkɔr
acicula	at͡ʃiːkula
acicularifolius	at͡ʃikularifɔːlius
aciculifer	at͡ʃikuːlifɛr
aciculinus	at͡ʃikuːlinus
aciculāris	at͡ʃikulaːris
aciculātus	at͡ʃikulaːt̪us
acidominimus	at͡ʃid̪ɔmiːnimus
acidovorāns	at͡ʃid̪ɔːvɔrans
acidulus	at͡ʃiːd̪ulus
acidus	aːt͡ʃid̪us
acidīnus	at͡ʃid̪iːnus
acidō	aːt͡ʃid̪ɔ
acimincum	at͡ʃimiŋkum
acinacifolius	at͡ʃinat͡ʃifɔːlius
acinasis	at͡ʃiːnazis
acinifolius	at͡ʃinifɔːlius
acinippō	at͡ʃinippɔ
acinus	aːt͡ʃinus
acinōsus	at͡ʃinɔːzus
acipēnser	at͡ʃipɛnsɛr
aciārium	at͡ʃiaːrium
aciēs	aːt͡ʃiɛs
acmodontus	akmɔd̪ɔn̪t̪us
acoetis	at͡ʃɛːt̪is
acoetēs	at͡ʃɛːt̪ɛs
acollis	akɔllis
acolythus	akɔːlit̪us
acona	aːkɔna
aconitifolius	akɔnit̪ifɔːlius
acontius	akɔnt͡sius
acontizō	akɔn̪t̪idd͡zɔ
aconītum	akɔniːt̪um
aconītus	akɔniːt̪us
acoris	aːkɔris
acornis	akɔrnis
acoros	aːkɔrɔs
acorus	aːkɔrus
acquiēscentis	akkwiɛʃʃɛn̪t̪is
acquiēscō	akkwiɛskɔ
acquīrō	akkwiːrɔ
acrae	aːkrɛ
acraephia	akrɛːfia
acraeus	akrɛːus
acranthus	akran̪t̪us
acrillae	akrillɛ
acrisius	akriːzius
acroanthus	akrɔan̪t̪us
acrobracteātus	akrɔbrakt̪ɛaːt̪us
acrocarpus	akrɔkarpus
acroceraunia	akrɔt͡ʃɛrau̯nia
acrocorium	akrɔkɔːrium
acrocōnus	akrɔkɔːnus
acrodontus	akrɔd̪ɔn̪t̪us
acroglōssus	akrɔɡlɔssus
acrolasius	akrɔlaːzius
acrolepis	akrɔːlɛpis
acronēmaticus	akrɔnɛmaːt̪ikus
acroscopicus	akrɔskɔːpikus
acrotrichus	akrɔːt̪rikus
acrozȳmus	akrɔdd͡ziːmus
acroāma	akrɔaːma
acrufolius	akrufɔːlius
acrō	aːkrɔ
actinacanthus	akt̪inakan̪t̪us
actinocarpus	akt̪inɔkarpus
actinophyllus	akt̪inɔfillus
actē	akt̪ɛ
actīnium	akt̪iːnium
actīniō	akt̪iːniɔ
actīnopetalus	akt̪inɔpɛːt̪alus
aculeaticarpus	akulɛat̪ikarpus
aculeolātus	akulɛɔlaːt̪us
aculeus	akuːlɛus
