an	ˈɑn
de	dˈə
der	dʁ
vun	fˈun
ass	ˈɑs
déi	dˈɜ͡ɪ
fir	fˈiːʁ
a	ˈɑ
den	dˈən
och	ˈoX
op	ˈop
ze	ʦˈə
net	nˈət
eng	ˈæɳ
et	ˈeːt
mat	mˈɑt
am	ˈɑm
huet	hˈu͡ət
vum	fˈum
ginn	gˈin
sech	zˈəɕ
e	ˈə
dat	dˈaːt
een	ˈeːn
sinn	zˈin
wéi	vˈɜ͡ɪ
datt	dˈɑt
méi	mˈɜ͡ɪ
zu	ʦˈuː
nach	nˈɑX
ech	ˈeɕ
hunn	hˈun
awer	ˈaːvʁ
vu	vˈu
dem	dˈəm
en	ˈən
mir	mˈiːʁ
gëtt	gˈət
ee	ˈeː
engem	ˈæɳəm
De	dˈə
bei	bˈɑ͡ɪ
Et	ˈeːt
war	vˈaːʀ
esou	ˈəzə͡ʊ
oder	ˈoːdʁ
aus	ˈæː͡ʊs
si	zˈiː
An	ˈɑn
un	ˈun
um	ˈum
Joer	jˈoːʁ
enger	ˈæɳʁ
ganz	gˈɑnʦ
all	ˈɑl
do	dˈoː
dann	dˈɑn
deen	dˈeːn
vill	fˈil
dass	dˈɑs
eis	ˈɑ͡ɪs
se	zˈə
elo	ˈəloː
wat	vˈaːt
Dat	dˈaːt
wann	vˈɑn
Den	dˈən
hei	hˈɑ͡ɪ
kann	kˈɑn
Ech	ˈeɕ
no	nˈoː
als	ˈɑls
Lëtzebuerg	ləʦˈəbuːʁɕ
bis	bˈis
mer	mʁ
wier	vˈiːʁ
wou	vˈə͡ʊ
gouf	gˈə͡ʊf
well	vˈæl
Leit	lˈɑ͡ɪt
sou	zˈə͡ʊ
muss	mˈus
jo	jˈoː
Déi	dˈɜ͡ɪ
ëmmer	ˈəmʁ
mam	mˈɑm
gutt	gˈut
dee	dˈeː
maachen	mˈaːXən
iwwer	ˈivʁ
hat	hˈaːt
geet	ʒˈeːt
iwwert	ˈivʁt
Mir	mˈiːʁ
seng	zˈeɳ
zum	ʦˈum
deem	dˈeːm
soll	zˈol
Dir	dˈiːʁ
keng	kˈæɳ
mee	mˈeː
géif	gˈɜ͡ɪf
duerch	dˈuːʁɕ
hu	hˈu
Am	ˈɑm
hien	hˈi͡ən
just	ʒˈust
Fir	fˈiːʁ
hir	hˈiːʁ
da	dˈɑ
hätt	hˈet
virun	fˈiːʀun
gemaach	gˈəmaːX
dës	dˈəs
eppes	ˈæpəs
nei	nˈɑ͡ɪ
géint	gˈɜ͡ɪnt
also	ˈɑlzoː
hun	hˈuːn
kënnt	kˈənt
Wéi	vˈɜ͡ɪ
schonn	ʃˈon
mech	mˈəɕ
einfach	ˈɑ͡ɪnfɑX
kënnen	kˈənən
beim	bˈɑ͡ɪm
A	ˈɑ
ëm	ˈəm
Land	lˈɑnt
weider	vˈɑ͡ɪdʁ
nees	nˈeːs
aner	ˈaːnʁ
Eng	ˈæɳ
kommen	kˈomən
Mee	mˈeː
Zäit	ʦˈæː͡ɪt
Wann	vˈɑn
Lëtzebuerger	ləʦˈəbuːʁjʁ
Och	ˈoX
du	dˈuː
alles	ˈɑləs
puer	pˈuːʁ
haut	hˈɑ͡ʊt
soen	zˈoːən
mol	mˈoːl
nëmmen	nˈəmən
mä	mˈɛː
selwer	zˈeːlveːʀ
Si	zˈiː
E	ˈə
