а	a
аба	aba
абажур	abaʒur
абаџија	abad͡ʒija
абдал	abdaɫ
абдикација	abdikat͡sija
аберација	abɛrat͡sija
аблатив	abɫatif
аболира	abɔliɾa
аболиција	abɔlit͡sija
абонент	abɔnɛnt
авганистан	avɡanistan
август	avɡust
авенија	avɛnija
авиоиндустрија	avijɔindustrija
авиокомпанија	avijɔkɔmpanija
авиолинија	avijɔlinija
авион	avijɔn
авиони	avijɔni
авионче	avijɔnt͡ʃɛ
авијација	avijat͡sija
автархија	aftarxija
автентикација	aftɛntikat͡sija
автобиографија	aftɔbijɔɡrafija
автоматизација	aftɔmatizat͡sija
автоматски	aftɔmatski
автомобил	aftɔmɔbiɫ
авторизација	aftɔɾizat͡sija
авторка	aftɔrka
авторов	aftɔɾɔf
автостоперка	aftɔstɔpɛrka
автостоперски	aftɔstɔpɛrski
аглест	aɡlɛst
агломер	aɡɫɔmɛr
агломерација	aɡɫɔmɛrat͡sija
аглутинација	aɡɫutinat͡sija
агрономија	aɡrɔnɔmija
адаптација	adaptat͡sija
администраторка	administratɔrka
адреса	adrɛsa
аеродинамика	aɛɾɔdinamika
аеронаутика	aɛɾɔnautika
азбука	azbuka
аздисува	azdisuva
азербајџан	azɛrbajd͡ʒan
азотен	azɔtɛn
аирлија	airlija
академија	akadɛmija
акал	akaɫ
аквариум	akvaɾijum
аклиматизација	aklimatizat͡sija
ако	akɔ
акредитација	akrɛditat͡sija
аксиологија	aksijɔɫɔɡija
актерски	aktɛrski
актерство	aktɛrstvɔ
активација	aktivat͡sija
актуализација	aktualizat͡sija
акумулација	akumuɫat͡sija
акустика	akustika
акцентираност	akt͡sɛntiɾanɔst
ала	aɫa
алат	aɫat
алати	aɫati
алегорија	alɛɡɔɾija
алигатор	aliɡatɔr
алитерација	alitɛrat͡sija
алкален	aɫkalɛn
алкохоличарка	aɫkɔxɔlit͡ʃarka
алтернација	aɫtɛrnat͡sija
алхемија	aɫxɛmija
ама	ama
аман	aman
амански	amanski
амбасадорка	ambasadɔrka
амвон	aɱvɔn
америка	amɛɾika
американец	amɛrikanɛt͡s
американка	amɛrikaŋka
американски	amɛrikanski
амерички	amɛɾit͡ʃki
амин	amin
амнезија	amnɛzija
амнестија	amnɛstija
амортизација	amɔrtizat͡sija
ампутација	amputat͡sija
амстердам	amstɛrdam
амстердамски	amstɛrdamski
аналитичарка	analitit͡ʃarka
ананас	ananas
анасон	anasɔn
анафора	anafɔɾa
ангел	aŋɡɛɫ
ангелски	aŋɡɛɫski
ангелче	aŋɡɛɫt͡ʃɛ
англиски	aŋɡliski
англија	aŋɡlija
анемија	anɛmija
анестетичарка	anɛstɛtit͡ʃarka
аниматорка	animatɔrka
анкара	aŋkaɾa
анкарски	aŋkarski
анкета	ankɛta
анови	anɔvi
аномалија	anɔmalija
анорексија	anɔrɛksija
антиобиотички	antijɔbijɔtit͡ʃki
антипатија	antipatija
антонимија	antɔnimija
анјон	anjɔn
аорист	aɔɾist
апелациски	apɛɫat͡siski
аписки	apiski
апија	apija
апликација	aplikat͡sija
апозициски	apɔzit͡siski
апозиција	apɔzit͡sija
апостол	apɔstɔɫ
април	apriɫ
апсеник	apsɛnik
апстракција	apstrakt͡sija
аптека	aptɛka
арамилак	aramiɫak
арамиски	aramiski
аргентина	arɡɛntina
аргументациски	arɡumɛntat͡siski
аргументација	arɡumɛntat͡sija
арен	aɾɛn
арзухал	arzuxaɫ
аристократија	aɾistɔkratija
аристотел	aɾistɔtɛɫ
аритметика	aɾitmɛtika
аритметички	aɾitmɛtit͡ʃki
арнаут	arnaut
арнаутка	arnautka
арно	arnɔ
арнотија	arnɔtija
артикулација	artikuɫat͡sija
артикулира	artikuliɾa
археолог	arxɛɔɫɔk
археологија	arxɛɔɫɔɡija
архитектура	arxitɛktuɾa
асиметрија	asimɛtrija
асимилациски	asimiɫat͡siski
