li	lˈɪ
u	ˈu
ta	tˈaː
ma	jˈistax
biex	biˈəʃe
minn	mˈinn
kien	çˈiːn
fuq	fuˈə
dan	dˈan
qed	ˈede
hemm	ˈemm
din	dˈeɪn
għal	ˈall
xi	ʃˈiː
kif	çˈiːf
lil	hˈinn
hu	ˈu
se	sˈe
ukoll	ˈucoll
jew	ˈi͡euː
meta	mˈeta
dawn	dˈa͡uːn
mhux	mˈuːʃ
kienet	kˈiːnet
kienu	çˈi͡enu
fejn	fˈei͡un
dak	dˈak
huma	ˈuma
aktar	akˈetar
min	mˈɪn
tiegħu	tˌiːuː
huwa	ˈuːa
jekk	ˈi͡et͡ʃe
wara	uˈaɹa
ħafna	hˈafna
jkun	ˈi͡ukuːn
kollha	cˈollla
Malta	mˈalta
Dan	dˈan
kull	cˈull
wkoll	ˈucoll
dwar	deˈuar
biss	bˈiss
dawk	dˈa͡uːk
kemm	kˈemm
imma	ˈɪmma
tkun	xˈi
għax	ˈaʃ
fi	fˈiː
bħala	bhˈala
hi	ˈɪ
sena	sˈena
hija	ˌiːa
ikun	ˈicuːnn
f	ˈeffe
ftit	ftˈɪt
tagħhom	tˌahom
oħra	ˈohɹaː
lejn	lˈe͡inn
Alla	ˈalla
wieħed	ˌuiːhˈede
jista	ˈista
dejjem	dˌeeˈiːem
għandu	ˈandu
ghal	ɡːˈal
hekk	ekˈeke
San	sˈan
tagħna	tˌanaː
Din	dˈeɪn
qabel	ˈabel
U	ˈu
bejn	bˈe͡iːn
hawn	ˈaun
kollox	collˈoʃe
iżda	iːzˈəda
xejn	ʃeˈei͡un
kollu	cˈollu
qal	ˈal
jien	ˈi͡uiːn
l	ˈelle
ghax	ɡːˈaʃ
snin	snˈɪn
kellu	kˈellu
jkunu	i͡ukˈuːnuː
ser	sˈer
bħal	bhˈal
tagħha	tahˌəa
għandhom	ˈandom
qatt	ˈatː
dik	deˈɪke
iktar	ɪkˈetar
il	ˈɪl
b	bə
issa	ˈissa
nies	nˈiːs
darba	dˈarrba
sa	sˈa
flimkien	flˈinkiːm
Imma	ˈɪmma
waħda	ˌuahdˈea
hafna	ˈafna
Ma	jˈistax
tieghu	tˈiːɡːu
kont	cˈont
bi	bˈiː
quddiem	ˈəudˌiːm
sar	sˈar
Meta	mˈeta
waqt	ˈuaːt
Jekk	ˈi͡et͡ʃe
Malti	mˈaltɪ
anke	ˈanke
kbira	kebˈiːɹaː
tista	tˈɪsta
Kien	çˈiːn
ilu	ˈɪlu
Jien	ˈi͡uiːn
barra	bˈarɹaː
tajjeb	taˈiːep
kontra	cˈontɹa
