te	tˈe
i	ˈi
o	ˈɔ
ki	kˈi
ngā	ŋˈaː
e	ˈe
ka	kˈa
a	ˈa
me	mˈe
ana	ˈana
he	hˈe
nga	ŋˈa
Te	tˈe
ko	kˈɔ
mai	mˈa͡ɪ
Ko	kˈɔ
atu	ˈatu"
Ka	kˈa
He	hˈe
ai	ˈa͡ɪ
hei	hˈei
mō	mˈɔː
Māori	maːˈɔri
kia	kˈia
ia	ˈia
I	ˈi
mahi	mˈahi
hoki	hˈɔki
nei	nˈei
tau	tˈau"
tēnei	teːnˈei
tētahi	teːtˈahi
E	ˈe
roto	rˈɔtɔ
mea	mˈea
ake	ˈake
kei	kˈei
kua	kˈu"a
kōrero	kˈɔːrerˌɔ
ā	ˈaː
anō	ˈanɔː
nui	nˈu"i
reo	rˈeɔ
haere	hˈa͡ɪre
tangata	taŋˈata
ētahi	eːtˈahi
tonu	tˈɔnu"
mo	mˈɔ
katoa	katˈɔa
mā	mˈaː
rātou	raːtˈou"
whai	fˈa͡ɪ
iwi	ˈiwi
noho	nˈɔhɔ
koe	kwˈe
runga	rˈu"ŋa
Kei	kˈei
tō	tˈɔː
rānei	raːnˈei
whenua	fenˈu"a
to	tˈɔ
noa	nˈɔa
ākonga	aːkˈɔŋa
wā	wˈaː
kaupapa	kˌau"pˈapa
whare	fˈare
tana	tˈana
tino	tˈinɔ
pai	pˈa͡ɪ
Aotearoa	ˌa͡ʊtearˈɔa
rā	rˈaː
take	tˈake
Ngā	ŋˈaː
tenei	tenˈei
aha	ˈaha
ra	rˈa
taua	taˈu"a
toa	tˈɔa
taea	tˈa͡ɪa
tōna	tˈɔːna
kura	kˈu"ra
kai	kˈa͡ɪ
tae	tˈa͡ɪ
rawa	rˈawa
rua	rˈu"a
Kua	kˈu"a
kore	kˈɔre
whakaaro	fˌakaˈarɔ
mate	mˈate
puta	pˈu"ta
tamariki	tˌamarˈiki
tikanga	tikˈaŋa
ēnei	eːnˈei
reira	reˈira
wāhi	wˈaːhi
taku	tˈaku"
wai	wˈa͡ɪ
iho	ˈihɔ
pukapuka	pˌu"kapˈu"ka
ano	ˈanɔ
au	ˈau"
ao	ˈa͡ʊ
T	t
waka	wˈaka
tā	tˈaː
kitea	kitˈea
tetahi	tetˈahi
kupu	kˈu"pu"
momo	mˈɔmɔ
muri	mˈu"ri
Me	mˈe
ako	ˈakɔ
mua	mˈu"a
taha	tˈaha
whakaatu	fˌakaˈatu"
whānau	faːnˈau"
tika	tˈika
korero	kɔrˈerɔ
tahi	tˈahi
nā	nˈaː
tauira	tˌau"ˈira
nō	nˈɔː
kaha	kˈaha
tohu	tˈɔhu"
pā	pˈaː
M	m
matua	matˈu"a
āhua	aːhˈu"a
Kia	kˈia
ratou	ratˈou"
kāore	kaːˈɔre
pea	pˈea
engari	eŋˈari
ōna	ˈɔːna
tuatahi	tˌu"atˈahi
kē	kˈeː
wāhanga	waːhˈaŋa
the	thˈe
Hei	hˈei
hua	hˈu"a
ingoa	iŋˈɔa
maha	mˈaha
nama	nˈama
hou	hˈou"
raro	rˈarɔ
hunga	hˈu"ŋa
ō	ˈɔː
mana	mˈana
roa	rˈɔa
tēnā	tˈeːnaː
Mātauranga	mˌaːtau"rˈaŋa
āhuatanga	ˌaːhu"atˈaŋa
Nā	nˈaː
Ki	kˈi
kaiwhakahaere	kˌa͡ɪfakahˈa͡ɪre
mōhio	mɔːhˈiɔ
tū	tˈu"ː
hanga	hˈaŋa
rōpū	rˈɔːpu"ː
ahau	ahˈau"
koutou	kˌou"tˈou"
wa	wˈa
waiata	wa͡ɪˈata
tuku	tˈu"ku"
tērā	tˈeːraː
tona	tˈɔna
kotahi	kɔtˈahi
taki	tˈaki
mau	mˈau"
mātou	maːtˈou"
Ngati	ŋˈati
na	nˈa
utu	ˈu"tu"
hiahia	hˌiahˈia
rārangi	raːrˈaŋi
tautoko	tˌau"tˈɔkɔ
arā	ˈaraː
rauemi	rˌau"ˈemi
Mā	mˈaː
hāngai	hˈaːŋa͡ɪ
tāngata	taːŋˈata
wahine	wahˈine
Kete	kˈete
ara	ˈara
Nō	nˈɔː
Rauemi	rˌau"ˈemi
kōwhiringa	kˌɔːfirˈiŋa
kaore	kˈa͡ʊre
huarahi	hˌu"arˈahi
Ipurangi	ˌipu"rˈaŋi
whakamahi	fˌakamˈahi
toru	tˈɔru"
Reo	rˈeɔ
Kāore	kaːˈɔre
kite	kˈite
tekau	tekˈau"
ma	mˈa
Ngāti	ŋˈaːti
Kohinga	kɔhˈiŋa
aua	aˈu"a
Maori	mˈa͡ʊri
whakaahua	fˌakaahˈu"a
iti	ˈiti
hoa	hˈɔa
rāua	raːˈu"a
ta	tˈa
rangatira	rˌaŋatˈira
taonga	tˈa͡ʊŋa
tātou	taːtˈou"
rohe	rˈɔhe
Iwi	ˈiwi
New	nˈew
whakahaere	fˌakahˈa͡ɪre
rere	rˈere
marama	marˈama
āta	ˈaːta
Kura	kˈu"ra
etahi	etˈahi
Na	nˈa
moana	mɔˈana
ture	tˈu"re
ora	ˈɔra
nuinga	nu"ˈiŋa
konei	kɔnˈei
rite	rˈite
matou	matˈou"
tata	tˈata
no	nˈɔ
Makino	makˈinɔ
rau	rˈau"
Tiriti	tirˈiti
rātau	raːtˈau"
pānui	paːnˈu"i
tini	tˈini
whakamārama	fˌakamaːrˈama
taumata	tˌau"mˈata
mutu	mˈu"tu"
papa	pˈapa
pērā	pˈeːraː
whānui	faːnˈu"i
tuhi	tˈu"hi
kāinga	kaːˈiŋa
Pākehā	paːkˈehaː
tamaiti	tamˈa͡ɪti
or	ˈɔr
anake	anˈake
tuhinga	tu"hˈiŋa
tipu	tˈipu"
manu	mˈanu"
raua	raˈu"a
hapori	hapˈɔri
titiro	titˈirɔ
ika	ˈika
pa	pˈa
Ehara	ehˈara
Kōrero	kˈɔːrerˌɔ
huri	hˈu"ri
hui	hˈu"i
āwhina	aːfˈina
Kātahi	kaːtˈahi
Nau	nˈau"
marae	mˈara͡ɪ
mātauranga	mˌaːtau"rˈaŋa
kino	kˈinɔ
rapu	rˈapu"
whakarite	fˌakarˈite
rongo	rˈɔŋɔ
kī	kˈiː
āna	ˈaːna
Hoki	hˈɔki
motu	mˈɔtu"
pouako	pˌou"ˈakɔ
rangi	rˈaŋi
tono	tˈɔnɔ
TKI	tkˈi
pātai	pˈaːta͡ɪ
rerekē	rerˈekeː
kainga	kˈa͡ɪŋa
kaiako	ka͡ɪˈakɔ
whakamahia	fˌakamahˈia
Engari	eŋˈari
waho	wˈahɔ
heke	hˈeke
uru	ˈu"ru"
wahi	wˈahi
rahi	rˈahi
tatou	tatˈou"
pēhea	peːhˈea
tinana	tinˈana
Tai	tˈa͡ɪ
oti	ˈɔti
whakatau	fˌakatˈau"
ngaro	ŋˈarɔ
pōti	pˈɔːti
ahakoa	ˌahakˈɔa
hau	hˈau"
rangahau	rˌaŋahˈau"
tukuna	tu"kˈu"na
piki	pˈiki
kaimahi	ka͡ɪmˈahi
pae	pˈa͡ɪ
tohunga	tɔhˈu"ŋa
Whare	fˈare
rākau	raːkˈau"
tuarua	tˌu"arˈu"a
tīmata	tiːmˈata
ranei	ranˈei
putanga	pu"tˈaŋa
whiwhi	fˈifi
moni	mˈɔni
ahi	ˈahi
tera	tˈera
tāna	tˈaːna
ata	ˈata
wātea	waːtˈea
akoranga	ˌakɔrˈaŋa
tere	tˈere
Ahakoa	ˌahakˈɔa
wiki	wˈiki
pēnei	peːnˈei
awa	ˈawa
kāwanatanga	kˌaːwanatˈaŋa
waenganui	wˌa͡ɪŋanˈu"i
Waitangi	wa͡ɪtˈaŋi
enei	enˈei
mohio	mɔhˈiɔ
ērā	ˈeːraː
mihi	mˈihi
tu	tˈu"
whārangi	faːrˈaŋi
Heoi	hˈeo͡ɪ
hoko	hˈɔkɔ
pakeke	pakˈeke
ona	ˈɔna
toi	tˈo͡ɪ
rima	rˈima
hononga	hɔnˈɔŋa
riro	rˈirɔ
pānga	pˈaːŋa
pakanga	pakˈaŋa
ōrau	ɔːrˈau"
motuhake	mˌɔtu"hˈake
whā	fˈaː
eke	ˈeke
kau	kˈau"
kātahi	kaːtˈahi
ōrite	ɔːrˈite
tiaki	tiˈaki
hia	hˈia
taiao	tˈa͡ɪa͡ʊ
whāinga	faːˈiŋa
mārama	maːrˈama
ringa	rˈiŋa
aroha	arˈɔha
neke	nˈeke
whakaae	fakˈaa͡ɪ
Mēnā	mˈeːnaː
waahi	waˈahi
Koia	kˈo͡ɪa
raruraru	ɹˈaɹuɹˌaɹu
haka	hˈaka
oranga	ɔrˈaŋa
hauora	hˌau"ˈɔra
mahere	mahˈere
karakia	kˌarakˈia
pūrākau	pˌu"ːraːkˈau"
tirohia	tˌirɔhˈia
uri	ˈu"ri
tena	tˈena
ngä	ŋˈa
rautaki	rˌau"tˈaki
whanau	fanˈau"
kawe	kˈawe
Kaore	kˈa͡ʊre
tuhia	tu"hˈia
koia	kˈo͡ɪa
Tuhia	tu"hˈia
Katahi	katˈahi
māmā	mˈaːmaː
patu	pˈatu"
whakautu	fˌakaˈu"tu"
whakarongo	fˌakarˈɔŋɔ
mutunga	mu"tˈu"ŋa
aku	ˈaku"
aro	ˈarɔ
kapa	kˈapa
huanga	hu"ˈaŋa
mēnā	mˈeːnaː
Tokerau	tˌɔkerˈau"
Waikato	wa͡ɪkˈatɔ
Week	wˈeek
pirihimana	pˌirihimˈana
tirotiro	tˌirɔtˈirɔ
Mākino	maːkˈinɔ
A	ˈa
akomanga	ˌakɔmˈaŋa
tangi	tˈaŋi
ina	ˈina
rerenga	rerˈeŋa
ahua	ahˈu"a
tohutohu	tˌɔhu"tˈɔhu"
waahanga	wˌaahˈaŋa
whakataetae	fˌakatˈa͡ɪta͡ɪ
hōtaka	hɔːtˈaka
No	nˈɔ
pūrongo	pu"ːrˈɔŋɔ
whakauru	fˌakaˈu"ru"
ratonga	ratˈɔŋa
mātua	maːtˈu"a
wairua	wa͡ɪrˈu"a
kīia	kiːˈia
tētehi	teːtˈehi
Kaupapa	kˌau"pˈapa
uaua	ˌu"aˈu"a
hea	hˈea
tama	tˈama
Tau	tˈau"
whakaputa	fˌakapˈu"ta
waihanga	wa͡ɪhˈaŋa
kaua	kaˈu"a
pū	pˈu"ː
whakaako	fˌakaˈakɔ
kimi	kˈimi
karanga	karˈaŋa
rakau	rakˈau"
Mai	mˈa͡ɪ
tango	tˈaŋɔ
Niu	nˈiu"
riri	rˈiri
waenga	wˈa͡ɪŋa
mahinga	mahˈiŋa
Ao	ˈa͡ʊ
raupapa	rˌau"pˈapa
ke	kˈe
hangaia	haŋˈa͡ɪa
maunga	maˈu"ŋa
āhei	aːhˈei
Ture	tˈu"re
whakawhiti	fˌakafˈiti
Matua	matˈu"a
whakaritea	fˌakaritˈea
Whenua	fenˈu"a
ope	ˈɔpe
pepa	pˈepa
painga	pˈa͡ɪŋa
atua	atˈu"a
tirohanga	tˌirɔhˈaŋa
whawhai	fˈafa͡ɪ
whakanui	fˌakanˈu"i
whakaaturanga	fˌakaˌatu"rˈaŋa
To	tˈɔ
takoto	takˈɔtɔ
tukutuku	tˌu"ku"tˈu"ku"
takiwā	takˈiwaː
poto	pˈɔtɔ
whakaaturia	fˌakaˌatu"rˈia
haerenga	ha͡ɪrˈeŋa
wānanga	waːnˈaŋa
