--nya	--ɲa
-anda	-anda
-baur	-baur
-belas	-bəlas
-compéng	-tʃompeŋ
-delapan	-dəlapan
-kan	-kan
-ku	-ku
-lah	-lah
-lénggang	-leŋgaŋ
-mahasiswa	-mahasiswa
-nya	-ɲa
-sedarah	-sədarah
-sepit	-səpit
-tak	-taʔ
-wan	-wan
-wati	-wati
.penyakit	.pəɲakit
.telapak	.təlapaʔ
a-go-go	a-go-go
a.i.	a.i.
ab	ab
abad	abad
abadi	abadi
abadiah	abadiah
abadikan	abadikan
abah	abah
abai	abai
abaian	abaian
abaikan	abaikan
abaimana	abaimana
abaka	abaka
abakus	abakus
abang	abaŋ
abangan	abaŋan
abangnya	abaŋɲa
abar	abar
abaran	abaran
abatoar	abatoar
abau	abau
abdas	abdas
abdi	abdi
abdikasi	abdikasi
abdominal	abdominal
abdomén	abdomen
abdu	abdu
aberasi	abərasi
abet	abət
abian	abian
abid	abid
abidin	abidin
abilah	abilah
abis	abis
abisal	abisal
abiturién	abiturien
abjad	abdʒad
abjadiah	abdʒadiah
ablasi	ablasi
ablaut	ablaut
abnormal	abnormal
abnormalitas	abnormalitas
abnus	abnus
aboi	aboi
abolisi	abolisi
abon	abon
abonemén	abonəmen
aborsi	aborsi
abortus	abortus
abrak	abraʔ
abrakadabra	abrakadabra
abrar	abrar
abras	abras
abrasi	abrasi
abrek	abrəʔ
abrik	abriʔ
abrikos	abrikos
abréaksi	abreaʔsi
abréviasi	abreviasi
absah	absah
absis	absis
absolusi	absolusi
absolut	absolut
absolutisme	absolutismə
absorbén	absorben
absorpsi	absorpsi
absorptif	absorptif
abstain	abstain
abstrak	abstraʔ
abstraksi	abstraʔsi
absurd	absurd
absén	absen
absénsi	absensi
abséntéisme	absenteismə
absés	abses
abtar	abtar
abu	abu
abuan	abuan
abuh	abuh
abuhan	abuhan
abuk	abuʔ
abul	abul
abulhayat	abulhajat
abun	abun
abur	abur
abus	abus
abécé	abetʃe
abén	aben
ab’ad	abʔad
acah	atʃah
acak	atʃaʔ
acan	atʃan
acang	atʃaŋ
acap	atʃap
acar	atʃar
acara	atʃara
acaram	atʃaram
acat	atʃat
acatan	atʃatan
acau	atʃau
acawi	atʃawi
acerang	atʃəraŋ
aci	atʃi
acian	atʃian
acik	atʃiʔ
aco	atʃo
acu	atʃu
acuan	atʃuan
acuh	atʃuh
acuhan	atʃuhan
acum	atʃum
acuman	atʃuman
acung	atʃuŋ
acungkan	atʃuŋkan
ada	ada
ada.	ada.
adaan	adaʔan
adab	adab
adad	adad
adagio	adagio
adagium	adagium
adakah	adakah
adakala	adakala
adakan	adakan
adalah	adalah
adalat	adalat
adam	adam
adang	adaŋ
adanya	adaɲa
adap	adap
adaptasi	adaptasi
adaptif	adaptif
adaptor	adaptor
adapun	adapun
adar	adar
adas	adas
adat	adat
adati	adati
adegan	adəgan
adekuat	adəkuat
adem	adəm
adempauze	adəmpauzə
adhési	adhesi
adhésif	adhesif
adib	adib
adibintang	adibintaŋ
adibusana	adibusana
adicita	aditʃita
adidaya	adidaja
adigang	adigaŋ
adiguna	adiguna
adigung	adiguŋ
adik	adiʔ
adika	adika
adikara	adikara
adikarya	adikarja
adikku	adiʔku
adikmu	adiʔmu
adiknya	adiʔɲa
adikodrati	adikodrati
adikong	adikoŋ
adiksi	adiʔsi
adiktif	adiʔtif
adikuasa	adikuasa
adil	adil
adilan	adilan
adiluhung	adiluhuŋ
adimarga	adimarga
adinda	adinda
ading	adiŋ
adipati	adipati
adipenghantar	adipəŋhantar
adipositas	adipositas
adipura	adipura
adiraja	adiradʒa
adiratna	adiratna
adisional	adisional
adisiswa	adisiswa
aditif	aditif
aditokoh	aditokoh
adiwangsa	adiwaŋsa
adiwarna	adiwarna
adiwidia	adiwidia
adjéktiva	addʒeʔtiva
administrasi	administrasi
administratif	administratif
administrator	administrator
admiral	admiral
admisi	admisi
adon	adon
adonan	adonan
adopsi	adopsi
adoptif	adoptif
adrénal	adrenal
adrénalin	adrenalin
adrés	adres
adsorbén	adsorben
adsorpsi	adsorpsi
adu	adu
aduan	aduan
aduh	aduh
aduhai	aduhai
aduk	aduʔ
adukan	adukan
adun	adun
adunan	adunan
adverténsi	advərtensi
advis	advis
advokasi	advokasi
advokat	advokat
advérbial	adverbial
adéh	adeh
afal	afal
afdal	afdal
afdruk	afdruʔ
afdéling	afdeliŋ
afiat	afiat
afiks	afiʔs
afiksasi	afiʔsasi
afiliasi	afiliasi
afinitas	afinitas
afirmasi	afirmasi
afirmatif	afirmatif
afrikat	afrikat
afrit	afrit
afrodisiak	afrodisiaʔ
afsun	afsun
afwah	afwah
afék	afeʔ
aféksi	afeʔsi
aféktif	afeʔtif
aga	aga
agah	agah
agak	agaʔ
agaknya	agaʔɲa
agal	agal
agam	agam
agama	agama
agamaku	agamaku
agamanya	agamaɲa
agamawan	agamawan
agamawi	agamawi
agami	agami
agan	agan
agar	agar
agas	agas
agih	agih
agihan	agihan
agio	agio
agitasi	agitasi
agitator	agitator
aglutinasi	aglutinasi
agnostik	agnostiʔ
agnostisisme	agnostisismə
ago-go	ago-go
agraria	agraria
agraris	agraris
agroindustri	agroindustri
agronomi	agronomi
agrégasi	agregasi
agrégat	agregat
agrési	agresi
agrésif	agresif
agrésivitas	agresivitas
agrésor	agresor
aguk	aguʔ
agul	agul
agun	agun
agunan	agunan
agung	aguŋ
agus	agus
agut	agut
agén	agen
agénda	agenda
agénsi	agensi
ah	ah
ahad	ahad
ahadiat	ahadiat
ahimsa	ahimsa
ahkam	ahkam
ahli	ahli
ahlulbait	ahlulbait
ahlulkitab	ahlulkitab
ahlulkubur	ahlulkubur
ahmad	ahmad
ahmak	ahmaʔ
ahmar	ahmar
aho	aho
ahwal	ahwal
ai	ai
aib	aib
aidilfitri	aidilfitri
ain	ain
ainulbanat	ainulbanat
air	air
airi	airi
airmata	airmata
airnya	airɲa
ais	ais
aja	adʒa
ajab	adʒab
ajaib	adʒaib
ajak	adʒaʔ
ajakan	adʒakan
ajal	adʒal
ajang	adʒaŋ
ajar	adʒar
ajaran	adʒaran
ajaranmu	adʒaranmu
ajari	adʒari
ajek	adʒəʔ
ajengan	adʒəŋan
aji	adʒi
ajir	adʒir
ajnabi	adʒnabi
ajnas	adʒnas
ajojing	adʒodʒiŋ
aju	adʒu
ajuan	adʒuan
ajudan	adʒudan
ajujah	adʒudʒah
ajuk	adʒuʔ
ajukan	adʒukan
ajun	adʒun
ajur	adʒur
ak-ak	ak-aʔ
akad	akad
akadémi	akademi
akadémik	akademiʔ
akadémikus	akademikus
akadémis	akademis
akadémisi	akademisi
akaid	akaid
akak	akaʔ
akal	akal
akalnya	akalɲa
akan	akan
akanan	akanan
akang	akaŋ
akar	akar
akas	akas
akasia	akasia
akaun	akaun
akbar	aʔbar
akhbar	aʔhbar
akhir	aʔhir
akhiran	aʔhiran
akhirat	aʔhirat
akhirnya	aʔhirɲa
akhirulkalam	aʔhirulkalam
akhlak	aʔhlaʔ
akhtaj	aʔhtadʒ
akhwat	aʔhwat
aki	aki
akibat	akibat
akibatnya	akibatɲa
akidah	akidah
akik	akiʔ
akikah	akikah
akil	akil
aklamasi	aʔlamasi
akliah	aʔliah
aklimatisasi	aʔlimatisasi
akmal	aʔmal
akomodasi	akomodasi
akomodatif	akomodatif
akor	akor
akordéon	akordeon
akrab	aʔrab
akrabnya	aʔrabɲa
akrilik	aʔriliʔ
akrobat	aʔrobat
akrobatik	aʔrobatiʔ
akronim	aʔronim
akréditasi	aʔreditasi
aksa	aʔsa
aksara	aʔsara
aksarawan	aʔsarawan
aksarawati	aʔsarawati
aksi	aʔsi
aksidéntal	aʔsidental
aksioma	aʔsioma
aksiomatis	aʔsiomatis
aksis	aʔsis
akson	aʔson
aksélerasi	aʔselərasi
aksélerator	aʔselərator
aksén	aʔsen
akséntuasi	aʔsentuasi
aksép	aʔsep
akséptabel	aʔseptabəl
akséptasi	aʔseptasi
akséptor	aʔseptor
aksés	aʔses
aksésibilitas	aʔsesibilitas
akta	aʔta
aktentas	aʔtəntas
aktif	aʔtif
aktiva	aʔtiva
aktivis	aʔtivis
aktivitas	aʔtivitas
aktor	aʔtor
aktris	aʔtris
aktual	aʔtual
aktualisasi	aʔtualisasi
aktuaria	aʔtuaria
aktuaris	aʔtuaris
aku	aku
akuaduk	akuaduʔ
akuadés	akuades
akuakultur	akuakultur
akuan	akuan
akuarium	akuarium
akuarél	akuarel
akui	akui
akuifér	akuifer
akuisisi	akuisisi
akuk	akuʔ
akulah	akulah
akulturasi	akulturasi
akumulasi	akumulasi
akumulatif	akumulatif
akumulator	akumulator
akun	akun
akuntan	akuntan
akuntansi	akuntansi
akupunktur	akupunʔtur
akupunkturis	akupunʔturis
akur	akur
akurasi	akurasi
akurat	akurat
akusatif	akusatif
akustik	akustiʔ
akustika	akustika
akut	akut
akwal	aʔwal
al	al
al-ur’an	al-urʔan
ala	ala
alabangka	alabaŋka
alabio	alabio
alaf	alaf
alah	alah
alahan	alahan
alai	alai
alaihi	alaihi
alaika	alaika
alaikum	alaikum
alak	alaʔ
alam	alam
alamak	alamaʔ
alamanda	alamanda
alamas	alamas
alamat	alamat
alamatulhayat	alamatulhajat
alami	alami
alamiah	alamiah
alamin	alamin
alamnya	alamɲa
alan	alan
alang	alaŋ
alangan	alaŋan
alangkah	alaŋkah
alap	alap
alarm	alarm
alas	alas
alasan	alasan
alat	alat
alau	alau
albas	albas
