㔂	lan²⁴
㔊草	tʰuã⁵³⁻⁴⁴t͡sʰaʊ⁵³
㚻	ke⁴⁴
㤉	ɡe²⁴
㤉潲	ɡe²⁴⁻²²ɕiaʊ²⁴
㤉神	ɡe²⁴⁻²²ɕin²⁴
㤉𡳞	ɡe²⁴⁻²²lan²²
㧌	mãʊ⁴⁴
㧣	tu⁴⁴
㧣風	tu⁴⁴⁻²²hɔŋ⁴⁴
㾀	kʰiap̚³²
㾀勢	kʰiap̚³²⁻⁴ɕi²¹
㾀屎	kʰiap̚³²⁻⁴saɪ⁵³
㾓痀	un⁵³⁻⁴⁴ku⁴⁴
㾓痀橋	un⁵³⁻⁴⁴ku⁴⁴⁻²²kio²⁴
㾪	san⁵³
㾪扶	san⁵³⁻⁴⁴pʰɔ²⁴
㾪抽	san⁵³⁻⁴⁴tʰiu⁴⁴
㾪數	san⁵³⁻⁴⁴ɕiaʊ²¹
㾪梭	san⁵³⁻⁴⁴so⁴⁴
㾪猴	san⁵³⁻⁴⁴kaʊ²⁴
㾪田	san⁵³⁻⁴⁴t͡sʰan²⁴
㾪細	san⁵³⁻⁴⁴sue²¹
㾪話	san⁵³⁻⁴⁴ue²²
㾪赤	san⁵³⁻⁴⁴t͡ɕʰiaʔ³²
㾪躼	san⁵³⁻⁴⁴lo²¹
㾪長	san⁵³⁻⁴⁴tŋ̍²⁴
䀦	kɔ⁵³
䀫	kʰueʔ³²
䁪	t͡ɕiam⁵³
䃎	ta⁵³
䃰	t͡sʰat̚³²
䃰	t͡sʰuaʔ³²
䆀	baɪ⁵³
䆀喙斗	pʰãɪ⁵³⁻⁴⁴t͡sʰui²¹⁻⁵³taʊ⁵³
䆀手	baɪ⁵³⁻⁴⁴t͡ɕʰiu⁵³
䆀指	baɪ⁵³⁻⁴⁴t͡saɪ⁵³
䆀指	baɪ⁵³⁻⁴⁴t͡sãɪ⁵³
䆀火	baɪ⁵³⁻⁴⁴he⁵³
䖙	tʰe⁴⁴
䖙椅	tʰe⁴⁴⁻²²i⁵³
䖳	tʰe²²
䘥仔	kaʔ³²⁻⁵³a⁵³
䘼	ŋ̍⁵³
䘼口	ŋ̍⁵³⁻⁴⁴kʰaʊ⁵³
䟙掣	t͡ɕʰiʔ³²⁻⁵³t͡sʰuaʔ³²
䤝	ɡiaŋ⁴⁴
䤝仔	ɡiaŋ⁴⁴⁻²²a⁵³
䫀	kun⁵³
䫌	pʰue⁵³
䭕	t͡ɕiã⁵³
䭕水	t͡ɕiã⁵³⁻⁴⁴t͡sui⁵³
䭕水魚	t͡ɕiã⁵³⁻⁴⁴t͡sui⁵³⁻⁴⁴hi²⁴
䭕身	t͡ɕiã⁵³⁻⁴⁴ɕin⁴⁴
一	it̚³²
一	t͡ɕit̚⁴
一一	it̚³²⁻⁴it̚³²
一丈差九尺	t͡ɕit̚⁴⁻³²tŋ̍²²⁻²¹t͡sʰa⁴⁴⁻²²kaʊ⁵³⁻⁴⁴t͡ɕʰioʔ³²
一丈紅	it̚³²⁻⁴tiɔŋ²²⁻²¹hɔŋ²⁴
一下	t͡ɕit̚⁴⁻³²e²²
一下仔	t͡ɕit̚⁴⁻³²e²²⁻²¹a⁵³
一世人	t͡ɕit̚⁴⁻³²ɕi²¹⁻⁵³laŋ²⁴
一世儂	t͡ɕit̚⁴⁻³²ɕi²¹⁻⁵³laŋ²⁴
一串紅	it̚³²⁻⁴t͡sʰuan²¹⁻⁵³hɔŋ²⁴
一些	it̚³²⁻⁴ɕia⁴⁴
一人	t͡ɕit̚⁴⁻³²laŋ²⁴
一人一路	t͡ɕit̚⁴⁻³²laŋ²⁴⁻²²t͡ɕit̚⁴⁻³²lɔ²²
一來	it̚³²⁻⁴laɪ²⁴
一個	t͡ɕit̚⁴⁻³²e²⁴
一個	t͡ɕit̚⁴⁻³²ko²¹
一個人	t͡ɕit̚⁴⁻³²e²⁴⁻²²laŋ²⁴
一共	it̚³²⁻⁴kiɔŋ²²
一再	it̚³²⁻⁴t͡saɪ²¹
一切	it̚³²⁻⁴t͡sʰe²¹
一切	it̚³²⁻⁴t͡ɕʰiɛt̚³²
一勞永逸	it̚³²⁻⁴lo²⁴⁻²²iɪŋ⁵³⁻⁴⁴iɪk̚⁴
一千	t͡ɕit̚⁴⁻³²t͡ɕʰiɪŋ⁴⁴
一半	t͡ɕit̚⁴⁻³²puã²¹
一卡通	it̚³²⁻⁴kʰa⁵³⁻⁴⁴tʰɔŋ⁴⁴
一口氣	it̚³²⁻⁴kʰaʊ⁵³⁻⁴⁴kʰi²¹
一口氣	t͡ɕit̚⁴⁻³²kʰaʊ⁵³⁻⁴⁴kʰi²¹
一句	t͡ɕit̚⁴⁻³²ku²¹
一同	it̚³²⁻⁴tɔŋ²⁴
一向	it̚³²⁻⁴hiɔŋ²¹
一味	it̚³²⁻⁴bi²²
一四界	t͡ɕit̚⁴⁻³²ɕi²¹⁻⁵³kue²¹
一塊	t͡ɕit̚⁴⁻³²te²¹
一夥	t͡ɕit̚⁴⁻³²hue⁵³
一定	it̚³²⁻⁴tiɪŋ²²
一家人	t͡ɕit̚⁴⁻³²ke⁴⁴⁻²²laŋ²⁴
一寡	t͡ɕit̚⁴⁻³²kua⁵³
一寡仔	t͡ɕit̚⁴⁻³²kua⁵³⁻⁴⁴a⁵³
一己	it̚³²⁻⁴ki⁵³
一帆風順	it̚³²⁻⁴pʰaŋ²⁴⁻²²hɔŋ⁴⁴⁻²²sun²²
一席之地	it̚³²⁻⁴ɕiɪk̚⁴⁻³²t͡ɕi⁴⁴⁻²²te²²
一帶	it̚³²⁻⁴taɪ²¹
一年半載	it̚³²⁻⁴liɛn²⁴⁻²²puan²¹⁻⁵³t͡saɪ²¹
一度	it̚³²⁻⁴tɔ²²
一廂情願	it̚³²⁻⁴ɕiɔŋ⁴⁴⁻²²t͡ɕiɪŋ²⁴⁻²²ɡuan²²
一律	it̚³²⁻⁴lut̚⁴
一心	it̚³²⁻⁴ɕim⁴⁴
一心一意	it̚³²⁻⁴ɕim⁴⁴⁻²²it̚³²⁻⁴i²¹
一意孤行	it̚³²⁻⁴i²¹⁻⁵³kɔ⁴⁴⁻²²hiɪŋ²⁴
一應俱全	it̚³²⁻⁴iɪŋ²¹⁻⁵³ku²²⁻²¹t͡suan²⁴
一手	it̚³²⁻⁴t͡ɕʰiu⁵³
一手	t͡ɕit̚⁴⁻³²t͡ɕʰiu⁵³
一技之長	it̚³²⁻⁴ki⁴⁴⁻²²t͡ɕi⁴⁴⁻²²tiɔŋ²⁴
一把抓	it̚³²⁻⁴pa⁵³⁻⁴⁴t͡sua⁴⁴
一掃而空	it̚³²⁻⁴saʊ²¹⁻⁵³d͡ʑi²⁴⁻²²kʰɔŋ⁴⁴
一擺	t͡ɕit̚⁴⁻³²paɪ⁵³
一斑	it̚³²⁻⁴pan⁴⁴
一旁	t͡ɕit̚⁴⁻³²piɪŋ²⁴
一日	t͡ɕit̚⁴⁻³²lit̚⁴
一日三秋	it̚³²⁻⁴lit̚⁴⁻³²sam⁴⁴⁻²²t͡ɕʰiu⁴⁴
一旦	it̚³²⁻⁴tan²¹
一早	it̚³²⁻⁴t͡sa⁵³
一時	it̚³²⁻⁴ɕi²⁴
一時	t͡ɕit̚⁴⁻³²ɕi²⁴
一朝	it̚³²⁻⁴tiaʊ⁴⁴
一枝獨秀	it̚³²⁻⁴ki⁴⁴⁻²²tɔk̚⁴⁻³²ɕiu²¹
一概	it̚³²⁻⁴kaɪ²¹
一概	it̚³²⁻⁴kʰaɪ²¹
一模一樣	it̚³²⁻⁴bɔ²⁴⁻²²it̚³²⁻⁴iũ²²
一樣	it̚³²⁻⁴iũ²²
一樣	t͡ɕit̚⁴⁻³²iũ²²
一氣	t͡ɕit̚⁴⁻³²kʰui²¹
一氧化碳	it̚³²⁻⁴iɔŋ⁵³⁻⁴⁴hua²¹⁻⁵³tʰuã²¹
一波三折	it̚³²⁻⁴pʰo⁴⁴⁻²²sam⁴⁴⁻²²t͡ɕiɛt̚³²
一派胡言	it̚³²⁻⁴pʰaɪ²¹⁻⁵³hɔ²⁴⁻²²ɡiɛn²⁴
一流	it̚³²⁻⁴liu²⁴
一無所知	it̚³²⁻⁴bu²⁴⁻²²sɔ⁵³⁻⁴⁴ti⁴⁴
一片	it̚³²⁻⁴pʰiɛn²¹
一生	it̚³²⁻⁴ɕiɪŋ⁴⁴
一生一世	it̚³²⁻⁴ɕiɪŋ⁴⁴⁻²²it̚³²⁻⁴se²¹
一甲子	t͡ɕit̚⁴⁻³²kaʔ³²⁻⁵³t͡ɕi⁵³
一百	t͡ɕit̚⁴⁻³²paʔ³²
一目	it̚³²⁻⁴bɔk̚⁴
一目瞭然	it̚³²⁻⁴bɔk̚⁴⁻³²liaʊ⁵³⁻⁴⁴liɛn²⁴
一直	it̚³²⁻⁴tit̚⁴
一睏仔	t͡ɕit̚⁴⁻³²kʰun²¹⁻⁵³a⁵³
一睏手	t͡ɕit̚⁴⁻³²kʰun²¹⁻⁵³t͡ɕʰiu⁵³
一知半解	it̚³²⁻⁴ti⁴⁴⁻²²puã²¹⁻⁵³kaɪ⁵³
一種	t͡ɕit̚⁴⁻³²t͡ɕiɔŋ⁵³
一筆勾銷	it̚³²⁻⁴pit̚³²⁻⁴kaʊ⁴⁴⁻²²ɕiaʊ⁴⁴
一籌莫展	it̚³²⁻⁴tiu²⁴⁻²²bɔk̚⁴⁻³²tiɛn⁵³
一系列	it̚³²⁻⁴he²²⁻²¹liɛt̚⁴
一系列	t͡ɕit̚⁴⁻³²he²²⁻²¹liɛt̚⁴
一統	it̚³²⁻⁴tʰɔŋ⁵³
一絲不掛	it̚³²⁻⁴ɕi⁴⁴⁻²²put̚³²⁻⁴kua²¹
一經	it̚³²⁻⁴kiɪŋ⁴⁴
一網打盡	it̚³²⁻⁴bɔŋ⁵³⁻⁴⁴tã⁵³⁻⁴⁴t͡ɕin²²
一群	t͡ɕit̚⁴⁻³²kun²⁴
一臂之力	it̚³²⁻⁴pi²¹⁻⁵³t͡ɕi⁴⁴⁻²²liɪk̚⁴
一致	it̚³²⁻⁴ti²¹
一致性	it̚³²⁻⁴ti²¹⁻⁵³ɕiɪŋ²¹
一舉	it̚³²⁻⁴ku⁵³
一般	it̚³²⁻⁴pan⁴⁴
一般	it̚³²⁻⁴puã⁴⁴
一般	t͡ɕit̚⁴⁻³²puã⁴⁴
一般性	it̚³²⁻⁴puã⁴⁴⁻²²ɕiɪŋ²¹
一萬	t͡ɕit̚⁴⁻³²ban²²
一落千丈	it̚³²⁻⁴loʔ⁴⁻²¹t͡ɕʰiɛn⁴⁴⁻²²tŋ̍²²
一行	it̚³²⁻⁴hiɪŋ²⁴
一表人才	it̚³²⁻⁴piaʊ⁵³⁻⁴⁴d͡ʑin²⁴⁻²²t͡saɪ²⁴
