адэхъу	aː d a χʷ
акъыл	ʔ aː q ə l
антыр	aː n t ə r
армэугъ	aː r m a w ʁ
арти	aː r t i
ахъ	aː χ
ахъчэмыкӏу	aː χ t͡ʃ a m ə kʷʼ
ахъщапс	aː χ ʃ aː p s
ашъоку	aː ʂʷ a kʷ
ашъыу	aː ʃʷʼ ə w
багьэ	b aː ɡʲ a
бае	b aː j a
батыргъэгъ	b aː t ə r ʁ a ʁ
бганэ	b ɣ aː n a
бгъакъэ	b ʁ aː q a
бгъашхъо	b ʁ aː ʃ χʷ a
бгъо	b ʁʷ a
бгъуагъэ	b ʁʷ aː ʁ a
бгъузагъ	b ʁʷ ə z aː ʁ
бгъузэ	b ʁʷ ə z a
бгъурышӏ	b ʁʷ ə r ə ʃʼ
бгъэгъакӏ	b ʁ a ʁ aː t͡ʃ
бгъэузы	b ʁ a w ə z ə
бгъэӏас	b ʁ a ʔ aː s
бжым	b ʒ ə m
бжыхьас	b ʒ ə ħ aː s
бжьаӏо	b ʑ aː ʔʷ a
бзашӏу	b z aː ʃʷʼ
бзудэгу	b z ə w d a ɡʷ
бзын	b z ə n
бзыуубыт	b z ə w w ə b ə t
бзэгу	b z a ɡʷ
бзэгужъый	b z a ɡʷ ʐ ə j
бзэджапӏэ	b z a d͡ʒ aː pˤʼ a
бзэныб	b z a n ə b
бзэхын	b z a x ə n
бланэ	b l a n ɜ
блапцӏэ	b l aː p t͡sʼ a
блегъэкӏын	b l a j ʁ a kʲʼ ə n
блэун	b l a w ə n
блэуц	b l a w t͡s
быбын	b ə b ə n
быбыпӏ	b ə b ə pʼ
быгъу	b ə ʁʷ
былымылы	b ə l ə m ə l ə
быяупӏ	b ə j aː w pʼ
бэджэбы	b a d͡ʒ a b ə
бэдзэогъумаз	b a d͡z a w a ʁʷ ə m aː z
бэжъу	b a ʐʷ
бэлэрыгъ	b a l a r ə ʁ
бэнакӏо	b a n aː kʷʼ a
бэнжъый	b a n ʐ ə j
бэрэ	b a r a
бэрэскэжъый	b a r a s k a ʐ ə j
гомыхь	ɡʷ a m ə ħ
гощын	ɡʷ a ɕ ə n
губгъэ	ɡʷ ə b ʁ a
гугъуемылӏ	ɡʷ ə ʁʷ e m ə lʼ
гузэгу	ɡʷ ə z a ɡʷ
гукъэкӏьыжьын	ɡʷ ə q a kʲʼ ə ʑ ə n
гулъытэн	ɡʷ ə ɬ ə t a n
гупсэфыпӏ	ɡʷ ə p s a f ə pʼ
гушӏон	ɡʷ ə ʃʷʼ a n
гушӏуагъо	ɡʷ ə ʃʷʼ aː ʁʷ a
гущаӏэ	ɡʷ ə ɕ aː ʔ a
гуӏэн	ɡʷ ə ʔ a n
гъогъон	ʁʷ a ʁʷ a n
гъожьышэплъ	ʁʷ a ʑ ə ʃ a p ɬ
гъойщэен	ʁʷ a j ɕ a j a n
гъонлагъэ	ʁʷ a n ɮ aː ʁ a
гъошэгь	ʁʷ a ʃ a ɡʲ
гъуапэ	ʁʷ aː p a
гъунэгъу	ʁʷ ə n a ʁʷ
гъы	ʁ ə
гъын	ʁ ə n
гъэджэн	ʁ a d͡ʒ a n
гъэлъэпӏэн	ʁ a ɬ a pʼ a n
гъэмысэн	ɮ aː ʑ a
гъэсэн	ʁ a s a n
гъэсэныгъэ	ʁ a s a n ə ʁ a
