авария	əvarijə
автомагистрала	aftoməɡʲistralə
агенция	əɡʲɛntsijə
агитация	aɡʲit̪atsijə
агресор	əɡrɛsor
адамов	ədamof
адаптация	ədəptatsijə
адвокат	ədvokat
адекватен	ədɛkvatɛn
адресира	ad̪rɛsiɾə
адресирани	ad̪rɛsiɾəni
азербайджан	azɛrbəjdʒan
алуминиев	əlominiɛf
апартамент	əpərtəmɛnt
арка	arkə
арсен	ərsɛn
арсенал	ərsɛnal
артилерия	ərtilɛrijə
беден	bɛdɛn
безпокойство	bɛspokɔistvo
ближеха	bliʒɛxə
болест	bɔlɛst
боли	bɔli
боядисване	bo̝jɐd̪isvənɛ
бряг	brʲak
буква	bukvə
български	bɤlɡərskʲi
ванадий	vanadij
вас	vas
верен	vɛrɛn
вестник	vɛsnik
видел	vid̪ɛɫ
виделия	vid̪ɛlijə
видяхте	vidʲaxt̪ɛ
вий	vij
влак	vlak
вода	vɔda
воля	vɔlʲə
вре	vrɛ
врем	vrɛm
вреш	vrɛʃ
ври	vri
врящия	vrʲaʃt̪ijə
въведат	vəvɛd̪ɤt̪
въведем	vəvɛd̪ɛm
въведено	vəvɛd̪ɛno
въвиралият	vəviɾəlijət̪
въвлече	vəvlɛtʃɛ
въвлечен	vəvlɛtʃɛn
въвлечени	vəvlɛtʃɛni
въвлечено	vəvlɛtʃɛno
въздух	vɤzdux
възлиза	vəzlizə
възлизат	vəzlizət̪
възлизащи	vəzlizəʃt̪i
възлизащо	vəzlizəʃt̪o
герой	ɡɛrɔj
гимнастика	ɡimnastikə
говорейки	ɡovɔɾɛjkʲi
говорене	ɡovɔɾɛnɛ
говоренето	ɡovɔɾɛnɛt̪o
говорени	ɡovɔɾɛni
говорено	ɡovɔɾɛno
говорете	ɡovoɾɛt̪ɛ
говорех	ɡovɔɾɛx
говореха	ɡovɔɾɛxə
говорехме	ɡovɔɾɛxmɛ
говорехте	ɡovɔɾɛxt̪ɛ
говореше	ɡovɔɾɛʃɛ
говорещ	ɡovɔɾɛʃt̪
говорещи	ɡovɔɾɛʃt̪i
говорещите	ɡovɔɾɛʃt̪it̪ɛ
говорим	ɡovɔɾim
говорите	ɡovɔɾit̪ɛ
говориш	ɡovɔɾiʃ
говоря	ɡovɔrʲə
говорят	ɡovɔɾʲət̪
грабят	ɡrabʲət̪
градът	ɡrəd̪ɤt̪
данни	danni
дар	dar
двубой	dvubɔj
дебел	dɛbɛl
десети	dɛsɛti
доказва	d̪okazvə
доказваме	d̪okazvəmɛ
доказването	d̪okazvənɛt̪o̝
доказват	d̪okazvət̪
доказващ	d̪okazvəʃt̪
допеклите	d̪opɛklit̪ɛ
допечете	d̪o̝pɛtʃɛt̪ɛ
дотекат	d̪o̝t̪ɛkɤt̪
друг	druk
дъвчене	d̪ɤftʃɛnɛ
ебане	ɛbanɛ
европейски	ɛvrɔpɛjski
евтин	ɛftin
живееща	ʒivɛɛʃt̪ə
живеещи	ʒivɛɛʃt̪i
живеещият	ʒivɛɛʃt̪ijət̪
заболи	zɐbɔli
забрава	zəbravə
загребете	zəɡrɛbɛt̪ɛ
залив	zalif
заревахте	zəɾɛvaxt̪ɛ
засичат	zɐsitʃət̪
засичащи	zɐsitʃəʃt̪i
засичащите	zɐsitʃəʃt̪it̪ɛ
здрав	zdraf
зима	zimə
зоват	zovɤt̪
изковалият	iskovalijət̪
изнудва	iznud̪və
изнудване	iznud̪vənɛ
изнудваха	iznud̪vəxə
изрича	izritʃə
изричам	izritʃəm
изричат	izritʃət̪
изричате	izritʃət̪ɛ
изричаше	izritʃəʃɛ
интересува	int̪ɛɾɛsuvə
интересували	int̪ɛɾɛsuvəli
интересувало	int̪ɛɾɛsuvəɫo̝
интересуват	int̪ɛɾɛsuvət̪
интересувате	int̪ɛɾɛsuvət̪ɛ
интересуваш	int̪ɛɾɛsuvəʃ
интересуващия	int̪ɛɾɛsuvəʃt̪ijə
истински	istinski
калинка	kəliŋkə
картоф	kərtɔf
кожа	kɔʒə
коза	koza
кози	kɔzi
компетенция	kompɛtɛnt͡sijə
корена	korɛnə
кори	kori
корите	korit̪ɛ
край	kraj
купувай	kopuvəj
купувайте	kopuvəjt̪ɛ
купувам	kopuvəm
купуван	kopuvən
купувана	kopuvənə
купуваната	kopuvənət̪ə
купуване	kopuvənɛ
купуването	kopuvənɛt̪o̝
купувани	kopuvəni
купуват	kopuvət̪
купувате	kopuvət̪ɛ
купуваш	kopuvəʃ
купуваше	kopuvəʃɛ
лежали	lɛʒali
лежи	lɛʒi
любов	lʲubɔf
мазнина	məznina
мед	mɛt
минералогия	minɛrəlɔɡijə
мълчал	mɐɫtʃaɫ
мълчала	mɐɫtʃaɫə
мълчат	mɐɫtʃɤt̪
мълчи	mɐɫtʃi
мъртъв	mɤrt̪əf
надяваме	nɐdʲavəmɛ
нае	nɐɛ
наел	nɐɛɫ
наела	nɐɛɫə
наели	nɐɛli
наема	nɐɛmə
наемат	nɐɛmət̪
наеми	nəɛmi
нает	nɐɛt̪
наети	nɐɛt̪i
наетите	nɐɛt̪it̪ɛ
нанася	nɐnasʲə
нанасяли	nɐnasʲəli
нанасяне	nɐnasʲənɛ
нанасят	nɐnasʲət̪
насечел	nəsɛtʃɛɫ
нейни	nɛjni
ни	ni
обвинява	o̝bvinʲavə
обвинявал	o̝bvinʲavəɫ
обвинявам	o̝bvinʲavəm
обвиняван	o̝bvinʲavən
обвинявана	o̝bvinʲavənə
обвинявани	o̝bvinʲavəni
обвиняват	o̝bvinʲavət̪
обезсмъртявайки	o̝bɛsmɐrtʲavəjkʲi
обзаведен	o̝bzɐvɛd̪ɛn
обзаведени	o̝bzɐvɛd̪ɛni
обзаведяхте	o̝bzəvɛdʲaxt̪ɛ
обзавел	o̝bzɐvɛɫ
обзавела	o̝bzɐvɛɫə
обосноваха	o̝bo̝snovaxə
обрекат	o̝brɛkɤt̪
обрекло	obrɛkɫo̝
обречен	obrɛtʃɛn
обречена	obrɛtʃɛnə
обречената	obrɛtʃɛnət̪ə
обречени	obrɛtʃɛni
обреченият	obrɛtʃɛnijət̪
обречеш	o̝brɛtʃɛʃ
овчи	ɔftʃi
озадачиш	o̝zəd̪ɐtʃiʃ
олигарх	ɔliɡarx
опитен	ɔpitɛn
орел	orɛl
осиновена	o̝sinovɛnə
осиновени	o̝sinovɛni
осиновено	o̝sinovɛno̝
осинови	o̝sinovi
осъществим	osəʃtɛstvim
отваря	ot̪varʲə
отварям	ot̪varʲəm
отваряне	ot̪varʲənɛ
отварянето	ot̪varʲənɛt̪o̝
отваряни	ot̪varʲəni
отварят	ot̪varʲət̪
отварях	ot̪varʲəx
отваряш	ot̪varʲəʃ
отварящата	ot̪varʲəʃt̪ət̪ə
отхапа	ot̪xapə
отхапало	ot̪xapəɫo̝
отхапе	ot̪xapɛ
отчита	ot̪tʃit̪ə
отчитайки	ot̪tʃit̪əjkʲi
отчитали	ot̪tʃit̪əli
отчитаме	ot̪tʃit̪əmɛ
отчитане	ot̪tʃit̪ənɛ
отчитат	ot̪tʃit̪ət̪
отчиташ	ot̪tʃit̪əʃ
охранява	o̝xrɐnʲavə
охраняваме	o̝xrɐnʲavəmɛ
охраняван	o̝xrɐnʲavən
охранявана	o̝xrɐnʲavənə
охранявани	o̝xrɐnʲavəni
охраняват	o̝xrɐnʲavət̪
охраняваща	o̝xrɐnʲavəʃt̪ə
очаква	otʃakvə
очаквайте	otʃakvəjt̪ɛ
очаквал	otʃakvəɫ
очаквали	otʃakvəli
очаквам	otʃakvəm
очакваме	otʃakvəmɛ
очаквана	otʃakvənə
очакваната	otʃakvənət̪ə
очакване	otʃakvənɛ
очакването	otʃakvənɛt̪o̝
очакваните	otʃakvənit̪ɛ
очаквания	otʃakvənijə
очаквано	otʃakvəno̝
очакваното	otʃakvəno̝t̪o̝
очакват	otʃakvət̪
очаквате	otʃakvət̪ɛ
очаквах	otʃakvəx
очакваха	otʃakvəxə
очаквахме	otʃakvəxmɛ
очакваше	otʃakvəʃɛ
очакващ	otʃakvəʃt̪
очакващите	otʃakvəʃt̪it̪ɛ
паднат	pad̪nət̪
паднели	pad̪nɛli
пее	pɛː
пеене	pɛɛnɛ
пеенето	pɛɛnɛt̪o̝
пееш	pɛɛʃ
петият	pɛt̪ijət̪
печи	pɛtʃi
пеят	pɛjət̪
платен	pɫɐt̪ɛn
платена	pɫɐt̪ɛnə
платени	pɫɐt̪ɛni
платените	pɫɐt̪ɛnit̪ɛ
платеният	pɫɐt̪ɛnijət̪
платено	pɫɐt̪ɛno̝
платеното	pɫɐt̪ɛno̝t̪o̝
платете	pɫɐt̪ɛt̪ɛ
плати	pɫɐt̪i
платил	pɫɐt̪iɫ
платила	pɫɐt̪iɫə
платили	pɫɐt̪ili
платилото	pɫɐt̪iɫo̝t̪o̝
платим	pɫɐt̪im
платих	pɫɐt̪ix
платиха	pɫɐt̪ixə
платиш	pɫɐt̪iʃ
платя	pɫɐtʲɤ
платят	pɫɐtʲɤt̪
племе	plɛmɛ
повтаря	poft̪arʲə
повтарям	poft̪arʲəm
повтаряме	poft̪arʲəmɛ
повтаряне	poft̪arʲənɛ
повтарят	poft̪arʲət̪
повтаряш	poft̪arʲəʃ
повтаряше	poft̪arʲəʃɛ
подкупват	pot̪kupvət̪
подкупващата	pot̪kupvəʃt̪ət̪ə
подобрява	po̝d̪obrʲavə
подобряват	po̝d̪obrʲavət̪
подписва	pot̪pisvə
подписвайте	pot̪pisvəjt̪ɛ
подписвал	pot̪pisvəɫ
подписвала	pot̪pisvəɫə
подписвали	pot̪pisvəli
подписвам	pot̪pisvəm
подписваме	pot̪pisvəmɛ
подписват	pot̪pisvət̪
подписваш	pot̪pisvəʃ
подпрени	pot̪prɛni
подчерта	po̝t̪tʃɛrt̪a
подчертае	po̝t̪tʃɛrt̪aɛ
подчертаех	po̝t̪tʃɛrt̪aɛx
подчертана	po̝t̪tʃɛrt̪anə
