άγγελου	aŋɟelu
άκης	acis
άλιμος	alimos
άρα	aɾa
άρια	aɾia
έβδομος	evðomos
έκλινα	eklina
έλειψα	elipsa
έλεος	eleos
έλιασα	eʎasa
έλληνες	elines
έλυναν	elinan
έλυσαν	elisan
έντρομη	endɾomi
έξεις	eksis
έξη	eksi
έπαψα	epapsa
έργο	ɛɾɣo
έτριψα	etripsa
έψιλον	epsilon
ήμαστε	imaste
ήτανε	itane
αίας	eas
αβανγκαρντισμοί	avaŋɡaɾdizmi
αγαπημένε	aɣapimene
αγγέλου	aŋɟelu
αγγουριών	aŋɡuɾʝon
αγγούρι	aŋɡuɾi
αγγούρια	aŋɡuɾʝa
αγελάδα	aʝelaða
αγκάλιασα	aŋɡaʎasa
αγκαλιάζω	aŋɡaʎazo
αγυιόπαιδας	aʝiopeðas
αδρανής	aðɾanis
αηδιάζω	aiðiazo
αηδιαστικά	aiðʝastika
αηδιαστική	aiðʝastici
αιδοίο	ɛðiɔ
αιδώς	ɛðɔs
αιθέρας	ɛθɛɾas
ακοή	akoi
ακοής	akois
αλαφιασμένες	alafçazmenes
αλγέρι	alʝeri
αλείφομε	alifome
αλευρωμένο	alevromeno
αληθεύει	aliθevi
αλλαγή	alaʝi
αλληλοσυγκρουόμενα	alilosiŋɡruomena
αλληλοσυγκρουόμενε	alilosiŋɡruomene
αλληλοσυγκρουόμενες	alilosiŋɡruomenes
αλληλοσυγκρουόμενο	alilosiŋɡruomeno
αλλοίωσης	aliosis
αμοργού	amoɾɣu
αμοργό	amoɾɣo
αμυγδαλή	amiɣðali
αμφιλεγόμενης	aɱfileɣomenis
ανάγκες	anaŋɟes
ανάγκη	anaŋɟi
ανάγκης	anaŋɟis
ανέδειξα	aneðiksa
ανέμενα	anemena
αναγεννησιακό	anaʝenisiako
αναγεννησιακός	anaʝenisiakos
αναγκάζουμε	anaŋɡazume
αναγκών	anaŋɡon
αναγνωρίζω	anaɣnoɾizo
αναγνωρισμένος	anaɣnorizmenos
αναγνωρισμένων	anaɣnorizmenon
αναγράφω	anaɣrafo
αναδείξεις	anaðiksis
αναισθησία	anesθisia
ανανήφω	ananifo
αναστρέφω	anastɾefo
ανετράπησαν	anetɾapisan
ανθρωποκτονία	anθɾopoktonia
ανταμείβω	andamivo
ανωριμότητα	anoɾimotita
αξιοπρέπεια	aksiopɾepia
αξιωματικός	aksiomatikos
απαράδεκτα	apaɾaðekta
απαράδεκτη	apaɾaðekti
απαράδεκτοι	apaɾaðekti
απαράδεκτος	apaɾaðektos
απλούς	aplus
απλούστατος	aplustatos
αποβάλουμε	apovalume
απογοητεύω	apoɣoitevo
αποδοκιμάσθηκα	apoðocimasθika
αποκλεισμένο	apoklizmeno
αποκλεισμένους	apoklizmenus
αποπλέω	apopleo
απορρίπτουμε	apoɾiptume
αποστείρωσα	apostiɾosa
αρρωστημένα	arostimena
αρρωστημένη	arostimeni
αρχίζω	arçizo
ασέβεια	asevia
αστυνομία	astino̞mia
αυτή	afti
αυτοκινητάκι	aftocinitaci
αυτοκινητάκια	aftocinitaca
αφορά	afora
αχιλλέας	açileas
αψιθιά	apsiθça
βαμπίρ	vampiɾ
βασίλευε	vasileve
βασανίζομαι	vasanizome
βασανιστής	vasanistis
βεβαιώνομαι	veveonome
βελτιώνομαι	veltionome
βοοειδή	vooiði
βρήκαν	vɾikan
βρίσκομαι	vɾiskome
βρετανός	vretanos
βρούμε	vɾume
βυθισμένα	viθizmena
βόλος	volos
γένεσις	ʝenesis
γέννα	ʝena
γέννηση	ʝenisi
γέφυρα	ʝefira
γαλόνι	ɣaloni
γαρίδα	ɣaɾiða
γεια	ʝa
γιάννενα	ʝanena
γιάννινα	ʝanina
γιάντα	ʝanda
γιαννούλα	ʝanula
γκάιντα	ɡaida
γκομενάκι	ɡomenaci
γκόμενος	ɡomenos
γνώριμος	ɣnoɾimos
γραικός	ɣrekos
δέλτα	ðelta
δήμαρχος	ðimaɾxos
δαγκωθεί	ðaŋɡoθi
δαμασκός	ðamaskos
δεη	ðei
δεινός	ðinos
δεκατριών	ðekatɾion
δηλώνω	ðilono
δηλώσεις	ðilosis
δημητράκης	ðimitɾacis
δημοσιεύουμε	ðimosievume
διευκρινίζω	ðiefkɾinizo
δικαίωμα	ðiceoma
διόδια	ðio̞ðiä
δορυφόρος	ðoriforos
δυτικός	ðitikos
είντα	inda
εγχύνω	eŋçino
εθνεγερσία	eθneʝersia
εικοσάρικο	ikosaɾiko
ειρωνικός	ironikos
εκλέγομαι	ekleɣome
εκλέχτηκα	eklextika
ελκύω	elcio
ελλάς	elas
ελληνικό	eliniko
εμπνέομαι	embneome
εμπνευσμένου	embnevzmenu
ενάντια	enandia
ενημερώσεως	enimeroseos
ενοχλώ	enoxlo
ενρινοτήτων	enrinotiton
εντυπωσιακός	endiposiakos
εξοπλισμένη	eksoplizmeni
εξυπακούεται	eksipakuete
επανόρθωση	epanorθosi
επετράπη	epetɾapi
επιστρέφομε	epistɾefome
επιχείρηση	epiçiɾisi
ερχομένου	erxomenu
ερχόμενη	erxomeni
ερχόμενων	erxomenon
ευκαιρία	efkeria
εύχεται	efçete
ζωντανός	zondanos
ηγουμενίτσα	iɣumenitsa
ηλίθιος	iliθios
ηλικιωμένα	iliciomena
ηλικιωμένης	iliciomenis
ηλικιωμένοι	iliciomeni
ηλικιωμένου	iliciomenu
θαυμαστικά	θavmastika
θεία	θia
θερμοκοιτίδων	θermocitiðon
θεωρείο	θeoɾio
θεόδωρος	θɛɔðɔɾɔs
θλιμμένα	θlimena
ιδρύουμε	iðriume
ικανοποιημένος	ikanopiimenos
ιλαρά	ilaɾa
ισόγειο	isoʝio
ισόγειος	isoʝios
κάτασπρη	kataspɾi
κάτασπροι	kataspɾi
κίνδυνος	cinðinos
καθίζω	kaθizo
καλμάρισε	kalmaɾise
καλομοίρη	kalomiri
καλόγρια	kaloɣɾia
καμπούρης	kambuɾis
καντάδα	kandaða
καραμπόλα	kaɾambola
κατάφερα	katafeɾa
καταφέρνω	katafeɾno
κεντάκι	centaci
κεράτωμα	ceɾatoma
κετσέδων	ketseðon
κιθάρα	ciθara
κινδυνεύετε	cinðinevete
κκε	kukue
κλήση	klisi
κοιτίδας	citiðas
κοτάρα	kotaɾa
κουρέλι	kuɾeli
κουρέλια	kuɾeʎa
κουρασμένα	kurazmena
κούκκος	kukos
κρίθηκα	kɾiθika
κρυμμένα	krimena
κρυμμένος	krimenos
κρύπτω	kɾipto
κυνηγημένες	ciniʝimenes
κωμειδύλλιο	komiðilio
κόκκινους	kocinus
λάμπει	lambi
λέγεται	leʝete
λέει	lei
λήθη	liθi
λανθάνων	lanθanon
λασίθι	lasiθi
λείπω	lipo
λευκή	lefci
λευκής	lefcis
λογοκρίνομαι	loɣokɾinome
λυθούν	liθun
λυκάνθρωπος	likanθɾopos
λυμένοι	limeni
λύετε	liete
λύσανε	lisane
μάρκαρε	maɾkaɾe
μάτια	matça
μέτσοβο	metsovo
μίμης	mimis
μαγκιά	maŋɟa
μαζεύτηκα	mazeftika
μαζικότατοι	mazikotati
μαθημένα	maθimena
μανώλης	manolis
μασχάλη	masxali
ματόκλαδα	matoklaða
ματόκλαδου	matoklaðu
μαυρισμένοι	mavrizmeni
μαφιόζος	mafʝozos
μεσαίωνας	meseonas
μεσαιωνικές	meseonices
μη	mi
μισό	miso
μοιρασμένοι	miɾazmeni
μορφέας	mɔrfɛas
μπάμπης	babis
μπαγκέτα	baɟeta
μπελάς	belas
μπισκότο	biskoto
μπουρνούζι	buɾnuzi
μπούρδες	buɾðes
μπόλικη	bolici
μωρό	moɾo
μόσχα	mosxa
ναδίρ	naðiɾ
ναζιάρης	nazʝaɾis
νεκρομαντεία	nekɾomandia
νεράιδα	neɾaiða
νιάου	ɲau
νικολάου	nikolau
νοσοκόμος	nosokomos
ντέλαγουερ	delaɣueɾ
ντετέκτιβ	detektiv
ντουντούκα	duduka
ντρέπομαι	dɾepome
ντροπιασμένος	dɾopçazmenos
ντροπιαστικά	dɾopçastika
ντροπιαστική	dɾopçastici
ξεκουράζομαι	ksekuɾazome
ξενοδοχείο	ksenoðoçio
ξύλινος	ksilinos
οπλισμένο	oplizmeno
οπλισμένος	oplizmenos
οπτικός	ɔptikɔs
οργασμός	ɔɾɣazmɔs
οφσάιντ	ofsaid
πάρκαρε	paɾkaɾe
πίνουμε	pinume
παγιδεύθηκα	paʝiðefθika
παγωμένο	paɣomeno
παιδαριώδης	peðarioðis
παιδεύτηκα	peðeftika
παναγιά	panaʝa
πανικοβάλλω	panikovalo
παντεσπάνι	pandespani
παπάρα	papaɾa
παραβλέπουμε	paɾavlepume
παραδεχτεί	paɾaðexti
παρακείμενες	paɾacimenes
παρακείμενης	paɾacimenis
παρενέργεια	paɾeneɾʝia
παρουσίασα	paɾusiasa
παρουσιάζω	paɾusiazo
παρόν	paɾon
παρών	paɾon
πατεράδων	pateraðon
πείστηκα	pistika
πειθαναγκάζομαι	piθanaŋɡazome
πεπεισμένοι	pepizmeni
πεπεισμένος	pepizmenos
περιγράφομε	peɾiɣrafome
περιοδεύων	peɾioðevon
περιπλεχτήκανε	peɾiplextikane
περσεφόνη	pɛrsɛfɔni
πιγκουίνος	piŋɡuinos
πλατεία	platia
πλησίον	plision
ποικίλο	picilo
ποικίλοι	picili
πολυξένη	polikseni
πουτανάκι	putanaci
πούστης	pustis
πράγμα	pɾaɣma
πρέπει	pɾepi
πρησμένο	pɾizmeno
πρησμένοι	pɾizmeni
πριγκίπισσα	pɾiŋɟipisa
προαισθάνομαι	proesθanome
προηγουμένου	proiɣumenu
προηγουμένως	proiɣumenos
προκύπτει	procipti
προμήθευσα	pɾɔmiθefsa
προσευχήθηκα	prosefçiθika
προσεύχομαι	prosefxome
προτρέπουμε	pɾotɾepume
προφορά	pɾofoɾa
πρωθυπουργός	pɾoθipuɾɣos
πρωτόκολλο	pɾotokolo
πρόσωπο	pɾɔsɔpɔ
πωλήσεις	polisis
ραγιάδες	ɾaʝaðes
ραμαζάνι	ɾamazani
ρώγα	roɣa
σαπούνι	sapuni
σεβίλλη	sevili
σελήνη	selini
σερβιετάκι	servʝetaci
σημείωσα	simiosa
σητεία	sitia
σκιάχτρο	scaxtɾo
σοφάδες	sofaðes
σοφής	sofis
σοφίες	sofies
σοφός	sofos
σοφών	sofon
σπιτόγατος	spitoɣatos
σπουργιτιού	spuɾʝitçu
στέκομαι	stekome
στεναχωρημένοι	stenaxorimeni
στεναχωρώ	stenaxoro
στενοχωρούμαι	stenoxorume
στερήσεως	steɾiseos
στο	sto
στολίζομαι	stolizome
στουτγκάρδη	stutɡarði
στρώμα	stɾɔma
συγκινημένη	siŋɟinimeni
συγκινημένος	siŋɟinimenos
συλλέγω	sileɣo
συνάφθηκαν	sinafθikan
συνέλεξα	sineleksa
συνέρχομαι	sinerxome
συνήλθα	sinilθa
συνήφθησαν	sinifθisan
συνδέθηκα	sinðeθika
συνδέουμε	sinðeume
συνεθλίβη	sineθlivi
συνεργάζομαι	sineɾɣazome
συνεχάρην	sinexarin
συνηθισμένα	siniθizmena
συνηθισμένες	siniθizmenes
συνηθισμένη	siniθizmeni
συνηθισμένης	siniθizmenis
συνηθισμένο	siniθizmeno
συνηθισμένοι	siniθizmeni
συνηθισμένος	siniθizmenos
συνηθισμένου	siniθizmenu
συνηθισμένους	siniθizmenus
συνηθισμένων	siniθizmenon
σχετικά	sçetika
σωματικός	somatikos
σωροί	soɾi
τέρψεις	teɾpsis
τελείωσα	teliosa
τετριμμένος	tetrimenos
τεχνολογία	texnoloʝia
τεχνολογίας	texnoloʝias
τεχνολογίες	texnoloʝies
τεχνολογιών	texnoloʝion
τοστιέρα	tostçeɾa
τρίτων	tɾiton
τρανς	tɾans
τριάντα	trianda
τσούκτρα	t͡suktra
τσόντα	tsonda
υγιεινή	iʝiini
υπέροχη	ipeɾoçi
υπέροχος	ipeɾoxos
υπαγορεύουμε	ipaɣoɾevume
υποδοχή	ipoðoçi
