'COS	kˈəz
'D(1)	d
'D(2)	əd
'EM	əm
'LL(1)	l
'LL(2)	əl
'M	əm
'RE	ə
'S(1)	z
'S(2)	s
'VE(1)	v
'VE(2)	əv
A'S	ˈeɪz
A(1)	ə
A(2)	ˈeɪ
AARON	ˈɛəɹən
ABACK	əbˈæk
ABANDON	əbˈændən
ABANDONED	əbˈændənd
ABATE	əbˈeɪt
ABBEY	ˈæbi
ABBOT	ˈæbət
ABBREVIATE	əbɹˈiːvɪˌeɪt
ABDOMINAL	æbdˈɒmɪnəl
ABEL	ˈeɪbəl
ABERDEEN	ˌæbədˈiːn
ABERDEENSHIRE	ˌæbədˈiːnʃə
ABET	əbˈɛt
ABHOR	əbhˈɔː
ABIDE	əbˈaɪd
ABILITIES	əbˈɪlɪtiz
ABILITY	əbˈɪlɪti
ABINGDON	ˈæbɪŋdən
ABLE	ˈeɪbəl
ABLY	ˈeɪbli
ABNORMAL	æbnˈɔːməl
ABOARD	əbˈɔːd
ABODE	əbˈəʊd
ABOLISH	əbˈɒlɪʃ
ABOLITION	ˌæbəlˈɪʃən
ABORIGINAL	ˌæbəɹˈɪdʒɪnəl
ABORT	əbˈɔːt
ABORTION	əbˈɔːʃən
ABOUT	əbˈaʊt
ABOVE	əbˈɐv
ABRAHAM	ˈeɪbɹəhˌæm
ABROAD	əbɹˈɔːd
ABRUPTLY	əbɹˈɐptli
ABS	ˈæbz
ABSCOND	əbskˈɒnd
ABSENCE	ˈæbsəns
ABSENT	ˈæbsənt
ABSOLUTE	ˈæbsəlˌuːt
ABSOLUTELY	ˌæbsəlˈuːtli
ABSORB	əbzˈɔːb
ABSORBED	əbzˈɔːbd
ABSORPTION(1)	əbzˈɔːpʃən
ABSORPTION(2)	əbsˈɔːpʃən
ABSTINENCE	ˈæbstɪnəns
ABSTRACT(1)	æbstɹˈækt
ABSTRACT(2)	ˈæbstɹˌækt
ABSTRACTS(1)	əbstɹˈækts
ABSTRACTS(2)	ˈæbstɹˌækts
ABSURD	əbsˈɜːd
ABUNDANCE	əbˈɐndəns
ABUNDANT	əbˈɐndənt
ABUSE(1)	əbjˈuːz
ABUSE(2)	əbjˈuːs
ABYSMAL	əbˈɪsməl
ABYSS	əbˈɪs
ACADEMIC	ˌækədˈɛmɪk
ACADEMICS	ˌækədˈɛmɪks
ACADEMY	əkˈædəmi
ACCELERATE	æksˈɛləɹˌeɪt
ACCELERATION	æksˌɛləɹˈeɪʃən
ACCELERATOR	æksˈɛləɹˌeɪtə
ACCENT(1)	əksˈɛnt
ACCENT(2)	ˈæksˌɛnt
ACCENTS	ˈæksɛnts
ACCEPT	əksˈɛpt
ACCEPTABLE	əksˈɛptəbəl
ACCEPTABLY	əksˈɛptəbli
ACCEPTANCE	əksˈɛptəns
ACCEPTED	əksˈɛptɪd
ACCEPTING	əksˈɛptɪŋ
ACCEPTS	əksˈɛpts
ACCESS	ˈæksˌɛs
ACCESSED	ˈæksˌɛst
ACCESSES	ˈæksˌɛsɪz
ACCESSIBILITY	ˌæksɛsɪbˈɪlɪti
ACCESSIBLE	əksˈɛsɪbəl
ACCESSING	ˈæksˌɛsɪŋ
ACCESSORIES	æksˈɛsəɹiz
ACCESSORY	æksˈɛsəɹi
ACCIDENT	ˈæksɪdənt
ACCIDENTALLY	ˌæksɪdˈɛntəli
ACCIDENTS	ˈæksɪdənts
ACCOMMODATE	əkˈɒmədˌeɪt
ACCOMMODATION	əkˌɒmədˈeɪʃən
ACCOMMODATIONS	əkˌɒmədˈeɪʃənz
ACCOMPANIED	əkˈɐmpənid
ACCOMPANY	əkˈɐmpəni
ACCOMPANYING	əkˈɐmpəniɪŋ
ACCOMPLISH	əkˈɒmplɪʃ
ACCOMPLISHED	əkˈɒmplɪʃt
ACCORD	əkˈɔːd
ACCORDANCE	əkˈɔːdəns
ACCORDED	əkˈɔːdɪd
ACCORDING	əkˈɔːdɪŋ
ACCORDINGLY	əkˈɔːdɪŋli
ACCORDION	əkˈɔːdɪən
ACCORDS	əkˈɔːdz
ACCOUNT	əkˈaʊnt
ACCOUNTABILITY	əkaʊntəbˈɪlɪti
ACCOUNTANT	əkˈaʊntənt
ACCOUNTANTS	əkˈaʊntənts
ACCOUNTING	əkˈaʊntɪŋ
ACCOUNTS	əkˈaʊnts
ACCREDITATION	əkɹˌɛdɪtˈeɪʃən
ACCREDITED	əkɹˈɛdɪtɪd
ACCUMULATE	əkjˈuːmjʊlˌeɪt
ACCUMULATION	əkjˌuːmjʊlˈeɪʃən
ACCURACY	ˈækjʊɹəsi
ACCURATE	ˈækjʊɹɪt
ACCURATELY	ˈækjʊɹɪtli
ACCUSATION	ˌækjʊzˈeɪʃən
ACCUSE	əkjˈuːz
ACCUSED	əkjˈuːzd
ACE	ˈeɪs
ACER	ˈeɪsə
ACHE	ˈeɪk
ACHIEVE	ətʃˈiːv
ACHIEVED	ətʃˈiːvd
ACHIEVEMENT	ətʃˈiːvmənt
ACHIEVEMENTS	ətʃˈiːvmənts
ACHIEVING	ətʃˈiːvɪŋ
ACID	ˈæsɪd
ACIDIC	əsˈɪdɪk
ACIDS	ˈæsɪdz
ACKNOWLEDGE	əknˈɒlɪdʒ
ACKNOWLEDGED	əknˈɒlɪdʒd
ACKNOWLEDGEMENT	əknˈɒlɪdʒmənt
ACKNOWLEDGMENT	əknˈɒlɪdʒmənt
ACNE	ˈækni
ACORN	ˈeɪkɔːn
ACOUSTIC	əkˈuːstɪk
ACQUAINTANCE	əkwˈeɪntəns
ACQUIESCE	ˌækwɪˈɛs
ACQUIRE	əkwˈaɪə
ACQUIRED	əkwˈaɪəd
ACQUISITION	ˌækwɪzˈɪʃən
ACQUISITIONS	ˌækwɪzˈɪʃənz
ACQUIT	əkwˈɪt
ACQUITTED	əkwˈɪtɪd
ACRE	ˈeɪkə
ACRES	ˈeɪkəz
ACROBAT	ˈækɹəbˌæt
ACROSS	əkɹˈɒs
ACRYLIC	əkɹˈɪlɪk
ACT	ˈækt
ACTED	ˈæktɪd
ACTING	ˈæktɪŋ
ACTION	ˈækʃən
ACTIONS	ˈækʃənz
ACTIVATE	ˈæktɪvˌeɪt
ACTIVATED	ˈæktɪvˌeɪtɪd
ACTIVATION	ˌæktɪvˈeɪʃən
ACTIVE	ˈæktɪv
ACTIVELY	ˈæktɪvli
ACTIVIST	ˈæktɪvɪst
ACTIVISTS	ˈæktɪvɪsts
ACTIVITIES	æktˈɪvɪtiz
ACTIVITY	æktˈɪvɪti
ACTOR	ˈæktə
ACTORS	ˈæktəz
ACTRESS	ˈæktɹɪs
ACTS	ˈækts
ACTUAL	ˈæktʃʊəl
ACTUALLY	ˈæktʃʊəli
ACUTE	əkjˈuːt
AD	ˈæd
ADA	ˈeɪdə
ADAGE	ˈædɪdʒ
ADAM	ˈædəm
ADAMANT	ˈædəmənt
ADAMS	ˈædəmz
ADAPT	ədˈæpt
ADAPTATION	ˌædəptˈeɪʃən
ADAPTED	ədˈæptɪd
ADAPTER	ədˈæptə
ADAPTERS	ədˈæptəz
ADAPTIVE	ədˈæptɪv
ADAPTOR	ədˈɑːptə
ADD	ˈæd
ADDED	ˈædɪd
ADDENDA	ədˈɛndə
ADDENDUM	ədˈɛndəm
ADDER	ˈædə
ADDICTION	ədˈɪkʃən
ADDING	ˈædɪŋ
ADDITION	ədˈɪʃən
ADDITIONAL(1)	ədˈɪʃnəl
ADDITIONAL(2)	ədˈɪʃənəl
ADDITIONALLY(1)	ədˈɪʃnəli
ADDITIONALLY(2)	ədˈɪʃənəli
ADDITIONS	ədˈɪʃənz
ADDRESS	ədɹˈɛs
ADDRESSED	ədɹˈɛst
ADDRESSES	ədɹˈɛsɪz
ADDRESSING	ədɹˈɛsɪŋ
ADDS	ˈædz
ADELAIDE	ˈædəlˌeɪd
ADEPT	ədˈɛpt
ADEQUATE	ˈædɪkwɪt
ADEQUATELY	ˈædɪkwətli
ADHERE	ədhˈɪə
ADHESIVE	ədhˈiːsɪv
ADIDAS	ˈædɪdəs
ADIRONDACK	ˌædɪɹˈɒndæk
ADJACENCY	ədʒˈeɪsənsi
ADJACENT	ədʒˈeɪsənt
ADJECTIVE	ˈædʒɪktɪv
ADJECTIVES	ˈædʒɪktɪvz
ADJOURN	ədʒˈɜːn
ADJUST	ədʒˈɐst
ADJUSTABLE	ədʒˈɐstəbəl
ADJUSTED	ədʒˈɐstɪd
ADJUSTMENT	ədʒˈɐstmənt
ADJUSTMENTS	ədʒˈɐstmənts
ADMIN	ˈædmɪn
ADMINISTER	ədmˈɪnɪstə
ADMINISTERED	ədmˈɪnɪstəd
ADMINISTRATION	ədmˌɪnɪstɹˈeɪʃən
ADMINISTRATIVE	ədmˈɪnɪstɹətɪv
ADMINISTRATOR	ədmˈɪnɪstɹˌeɪtə
ADMINISTRATORS	ədmˈɪnɪstɹˌeɪtəz
ADMIRAL	ˈædməɹəl
ADMIRATION	ˌædmɪɹˈeɪʃən
ADMIRE	ədmˈaɪə
ADMISSION	ədmˈɪʃən
ADMISSIONS(1)	ædmˈɪʃənz
ADMISSIONS(2)	ədmˈɪʃənz
ADMIT	ədmˈɪt
ADMITS	ədmˈɪts
ADMITTED	ədmˈɪtɪd
ADMITTEDLY	ədmˈɪtɪdli
ADOBE	ədˈəʊbi
ADOLESCENT	ˌædəlˈɛsənt
ADOPT	ədˈɒpt
ADOPTED	ədˈɒptɪd
ADOPTION	ədˈɒpʃən
ADORE	ədˈɔː
ADRIAN	ˈeɪdɹɪən
ADS	ˈædz
ADULT(1)	ədˈɐlt
ADULT(2)	ˈædɐlt
ADULTS(1)	ədˈɐlts
ADULTS(2)	ˈædɐlts
ADVANCE	ədvˈɑːns
ADVANCED	ədvˈɑːnst
