άγγελος	a ŋ ɟ e l o s
άγγελου	a ŋ ɟ e l u
άκης	a c i s
άλιμος	a l i m o s
άρα	a ɾ a
άρια	a ɾ i a
έβδομος	e v ð o m o s
έκλινα	e k l i n a
έλειψα	e l i p s a
έλεος	e l e o s
έλιασα	e ʎ a s a
έλληνες	e l i n e s
έλυναν	e l i n a n
έλυσαν	e l i s a n
έντρομη	e n d ɾ o m i
έξεις	e k s i s
έξη	e k s i
έπαψα	e p a p s a
έργο	ɛ ɾ ɣ o
έτριψα	e t r i p s a
έψιλον	e p s i l o n
ήμαστε	i m a s t e
ήτανε	i t a n e
αίας	e a s
αβανγκαρντισμοί	a v a ŋ ɡ a ɾ d i z m i
αγαπημένε	a ɣ a p i m e n e
αγγέλου	a ŋ ɟ e l u
αγγουριών	a ŋ ɡ u ɾ ʝ o n
αγγούρι	a ŋ ɡ u ɾ i
αγγούρια	a ŋ ɡ u ɾ ʝ a
αγελάδα	a ʝ e l a ð a
αγκάλιασα	a ŋ ɡ a ʎ a s a
αγκαλιάζω	a ŋ ɡ a ʎ a z o
αγυιόπαιδας	a ʝ i o p e ð a s
αδρανής	a ð ɾ a n i s
αηδιάζω	a i ð i a z o
αηδιαστικά	a i ð ʝ a s t i k a
αηδιαστική	a i ð ʝ a s t i c i
αιδοίο	ɛ ð i ɔ
αιδώς	ɛ ð ɔ s
αιθέρας	ɛ θ ɛ ɾ a s
ακοή	a k o i
ακοής	a k o i s
αλαφιασμένες	a l a f ç a z m e n e s
αλγέρι	a l ʝ e r i
αλείφομε	a l i f o m e
αλευρωμένο	a l e v r o m e n o
αληθεύει	a l i θ e v i
αλλαγή	a l a ʝ i
αλληλοσυγκρουόμενα	a l i l o s i ŋ ɡ r u o m e n a
αλληλοσυγκρουόμενε	a l i l o s i ŋ ɡ r u o m e n e
αλληλοσυγκρουόμενες	a l i l o s i ŋ ɡ r u o m e n e s
αλληλοσυγκρουόμενο	a l i l o s i ŋ ɡ r u o m e n o
αλλοίωσης	a l i o s i s
αμοργού	a m o ɾ ɣ u
αμοργό	a m o ɾ ɣ o
αμυγδαλή	a m i ɣ ð a l i
αμφιλεγόμενης	a ɱ f i l e ɣ o m e n i s
ανάγκες	a n a ŋ ɟ e s
ανάγκη	a n a ŋ ɟ i
ανάγκης	a n a ŋ ɟ i s
ανέδειξα	a n e ð i k s a
ανέμενα	a n e m e n a
αναγεννησιακό	a n a ʝ e n i s i a k o
αναγεννησιακός	a n a ʝ e n i s i a k o s
αναγκάζουμε	a n a ŋ ɡ a z u m e
αναγκών	a n a ŋ ɡ o n
αναγνωρίζω	a n a ɣ n o ɾ i z o
αναγνωρισμένος	a n a ɣ n o r i z m e n o s
αναγνωρισμένων	a n a ɣ n o r i z m e n o n
αναγράφω	a n a ɣ r a f o
αναδείξεις	a n a ð i k s i s
αναισθησία	a n e s θ i s i a
ανανήφω	a n a n i f o
αναστρέφω	a n a s t ɾ e f o
ανετράπησαν	a n e t ɾ a p i s a n
ανθρωποκτονία	a n θ ɾ o p o k t o n i a
ανταμείβω	a n d a m i v o
ανωριμότητα	a n o ɾ i m o t i t a
αξιοπρέπεια	a k s i o p ɾ e p i a
αξιωματικός	a k s i o m a t i k o s
απαράδεκτα	a p a ɾ a ð e k t a
απαράδεκτη	a p a ɾ a ð e k t i
απαράδεκτοι	a p a ɾ a ð e k t i
απαράδεκτος	a p a ɾ a ð e k t o s
απλούς	a p l u s
απλούστατος	a p l u s t a t o s
αποβάλουμε	a p o v a l u m e
απογοητεύω	a p o ɣ o i t e v o
αποδοκιμάσθηκα	a p o ð o c i m a s θ i k a
αποκλεισμένο	a p o k l i z m e n o
αποκλεισμένους	a p o k l i z m e n u s
αποπλέω	a p o p l e o
απορρίπτουμε	a p o ɾ i p t u m e
αποστείρωσα	a p o s t i ɾ o s a
αρρωστημένα	a r o s t i m e n a
αρρωστημένη	a r o s t i m e n i
αρχίζω	a r ç i z o
ασέβεια	a s e v i a
αστυνομία	a s t i n o̞ m i a
αυτή	a f t i
αυτοκινητάκι	a f t o c i n i t a c i
αυτοκινητάκια	a f t o c i n i t a c a
αφορά	a f o r a
αχιλλέας	a ç i l e a s
αψιθιά	a p s i θ ç a
βαμπίρ	v a m p i ɾ
βασίλευε	v a s i l e v e
βασανίζομαι	v a s a n i z o m e
βασανιστής	v a s a n i s t i s
βεβαιώνομαι	v e v e o n o m e
βελτιώνομαι	v e l t i o n o m e
βοοειδή	v o o i ð i
βρήκαν	v ɾ i k a n
βρίσκομαι	v ɾ i s k o m e
βρετανός	v r e t a n o s
βρούμε	v ɾ u m e
βυθισμένα	v i θ i z m e n a
βόλος	v o l o s
γένεσις	ʝ e n e s i s
γέννα	ʝ e n a
γέννηση	ʝ e n i s i
γέφυρα	ʝ e f i r a
γαλόνι	ɣ a l o n i
γαρίδα	ɣ a ɾ i ð a
γεια	ʝ a
γιάννενα	ʝ a n e n a
γιάννινα	ʝ a n i n a
γιάντα	ʝ a n d a
γιαννούλα	ʝ a n u l a
γκάιντα	ɡ a i d a
γκομενάκι	ɡ o m e n a c i
γκόμενος	ɡ o m e n o s
γνώριμος	ɣ n o ɾ i m o s
γραικός	ɣ r e k o s
δέλτα	ð e l t a
δήμαρχος	ð i m a ɾ x o s
δαγκωθεί	ð a ŋ ɡ o θ i
δαμασκός	ð a m a s k o s
δεη	ð e i
δεινός	ð i n o s
δεκατριών	ð e k a t ɾ i o n
δηλώνω	ð i l o n o
δηλώσεις	ð i l o s i s
δημητράκης	ð i m i t ɾ a c i s
δημοσιεύουμε	ð i m o s i e v u m e
διευκρινίζω	ð i e f k ɾ i n i z o
δικαίωμα	ð i c e o m a
διόδια	ð i o̞ ð i ä
δορυφόρος	ð o r i f o r o s
δυτικός	ð i t i k o s
είντα	i n d a
εγχύνω	e ŋ ç i n o
εθνεγερσία	e θ n e ʝ e r s i a
εικοσάρικο	i k o s a ɾ i k o
ειρωνικός	i r o n i k o s
εκλέγομαι	e k l e ɣ o m e
εκλέχτηκα	e k l e x t i k a
ελκύω	e l c i o
ελλάς	e l a s
ελληνικό	e l i n i k o
εμπνέομαι	e m b n e o m e
εμπνευσμένου	e m b n e v z m e n u
ενάντια	e n a n d i a
ενημερώσεως	e n i m e r o s e o s
ενοχλώ	e n o x l o
ενρινοτήτων	e n r i n o t i t o n
εντυπωσιακός	e n d i p o s i a k o s
εξοπλισμένη	e k s o p l i z m e n i
εξυπακούεται	e k s i p a k u e t e
επανόρθωση	e p a n o r θ o s i
επετράπη	e p e t ɾ a p i
επιστρέφομε	e p i s t ɾ e f o m e
επιχείρηση	e p i ç i ɾ i s i
ερχομένου	e r x o m e n u
ερχόμενη	e r x o m e n i
ερχόμενων	e r x o m e n o n
ευκαιρία	e f k e r i a
εύχεται	e f ç e t e
ζωντανός	z o n d a n o s
ηγουμενίτσα	i ɣ u m e n i t s a
ηλίθιος	i l i θ i o s
ηλικιωμένα	i l i c i o m e n a
ηλικιωμένης	i l i c i o m e n i s
ηλικιωμένοι	i l i c i o m e n i
ηλικιωμένου	i l i c i o m e n u
θαυμαστικά	θ a v m a s t i k a
θεία	θ i a
θερμοκοιτίδων	θ e r m o c i t i ð o n
θεωρείο	θ e o ɾ i o
θεόδωρος	θ ɛ ɔ ð ɔ ɾ ɔ s
θλιμμένα	θ l i m e n a
ιδρύουμε	i ð r i u m e
ικανοποιημένος	i k a n o p i i m e n o s
ιλαρά	i l a ɾ a
ισόγειο	i s o ʝ i o
ισόγειος	i s o ʝ i o s
κάτασπρη	k a t a s p ɾ i
κάτασπροι	k a t a s p ɾ i
κίνδυνος	c i n ð i n o s
καθίζω	k a θ i z o
καλμάρισε	k a l m a ɾ i s e
καλομοίρη	k a l o m i r i
καλόγρια	k a l o ɣ ɾ i a
καμπούρης	k a m b u ɾ i s
καντάδα	k a n d a ð a
καραμπόλα	k a ɾ a m b o l a
κατάφερα	k a t a f e ɾ a
καταφέρνω	k a t a f e ɾ n o
κεντάκι	c e n t a c i
κεράτωμα	c e ɾ a t o m a
κετσέδων	k e t s e ð o n
κιθάρα	c i θ a r a
κινδυνεύετε	c i n ð i n e v e t e
κκε	k u k u e
κλήση	k l i s i
κοιτίδας	c i t i ð a s
κοτάρα	k o t a ɾ a
κουρέλι	k u ɾ e l i
κουρέλια	k u ɾ e ʎ a
κουρασμένα	k u r a z m e n a
κούκκος	k u k o s
κρίθηκα	k ɾ i θ i k a
κρυμμένα	k r i m e n a
κρυμμένος	k r i m e n o s
κρύπτω	k ɾ i p t o
κυνηγημένες	c i n i ʝ i m e n e s
κωμειδύλλιο	k o m i ð i l i o
κόκκινους	k o c i n u s
λάμπει	l a m b i
λέγεται	l e ʝ e t e
λέει	l e i
λήθη	l i θ i
λανθάνων	l a n θ a n o n
λασίθι	l a s i θ i
λείπω	l i p o
λευκή	l e f c i
λευκής	l e f c i s
λογοκρίνομαι	l o ɣ o k ɾ i n o m e
λυθούν	l i θ u n
λυκάνθρωπος	l i k a n θ ɾ o p o s
λυμένοι	l i m e n i
λύετε	l i e t e
λύσανε	l i s a n e
μάρκαρε	m a ɾ k a ɾ e
μάτια	m a t ç a
μέτσοβο	m e t s o v o
μίμης	m i m i s
μαγκιά	m a ŋ ɟ a
μαζεύτηκα	m a z e f t i k a
μαζικότατοι	m a z i k o t a t i
μαθημένα	m a θ i m e n a
μανώλης	m a n o l i s
μασχάλη	m a s x a l i
ματόκλαδα	m a t o k l a ð a
ματόκλαδου	m a t o k l a ð u
μαυρισμένοι	m a v r i z m e n i
μαφιόζος	m a f ʝ o z o s
μεσαίωνας	m e s e o n a s
μεσαιωνικές	m e s e o n i c e s
μη	m i
μισό	m i s o
μοιρασμένοι	m i ɾ a z m e n i
μορφέας	m ɔ r f ɛ a s
μπάμπης	b a b i s
μπαγκέτα	b a ɟ e t a
μπελάς	b e l a s
μπισκότο	b i s k o t o
μπουρνούζι	b u ɾ n u z i
μπούρδες	b u ɾ ð e s
μπόλικη	b o l i c i
μωρό	m o ɾ o
μόσχα	m o s x a
ναδίρ	n a ð i ɾ
ναζιάρης	n a z ʝ a ɾ i s
νεκρομαντεία	n e k ɾ o m a n d i a
νεράιδα	n e ɾ a i ð a
νιάου	ɲ a u
νικολάου	n i k o l a u
νοσοκόμος	n o s o k o m o s
ντέλαγουερ	d e l a ɣ u e ɾ
ντετέκτιβ	d e t e k t i v
ντουντούκα	d u d u k a
ντρέπομαι	d ɾ e p o m e
ντροπιασμένος	d ɾ o p ç a z m e n o s
ντροπιαστικά	d ɾ o p ç a s t i k a
ντροπιαστική	d ɾ o p ç a s t i c i
ξεκουράζομαι	k s e k u ɾ a z o m e
ξενοδοχείο	k s e n o ð o ç i o
ξύλινος	k s i l i n o s
οπλισμένο	o p l i z m e n o
οπλισμένος	o p l i z m e n o s
οπτικός	ɔ p t i k ɔ s
οργασμός	ɔ ɾ ɣ a z m ɔ s
οφσάιντ	o f s a i d
πάρκαρε	p a ɾ k a ɾ e
πίνουμε	p i n u m e
παγιδεύθηκα	p a ʝ i ð e f θ i k a
παγωμένο	p a ɣ o m e n o
παιδαριώδης	p e ð a r i o ð i s
παιδεύτηκα	p e ð e f t i k a
