अंत	ənt̪
अंतर्जातीय	ənt̪əɾd͡ʒɑːt̪iːj
अंधा	ənd̪ʱɑː
अक्तूबर	əkt̪uːbəɾ
अगला	əɡlɑː
अग्न्याशय	əɡnjɑːʃəj
अग्रवाल	əɡɾʋɑːl
अचेत	ət͡ʃeːt̪
अतिसार	ət̪ɪsɑːɾ
अधिकृत	əd̪ʱɪkɾɪt̪
अध्यादेश	əd̪ʱjɑːd̪eːʃ
अनाचार	ənɑːt͡ʃɑːɾ
अनुरूप	ənʊɾuːp
अनुवाद	ənʊʋɑːd̪
अनुसरण	ənʊsəɾən
अनूठा	ənuːʈʰɑː
अभाव	əbʱɑːʋ
अभिनेता	əbʱɪneːt̪ɑː
अभिप्राय	əbʱɪpɾɑːj
अभिवादन	əbʱɪʋɑːd̪ən
अभूतपूर्व	əbʱuːt̪puːɾʋ
अमेरिकी	əmeːɾɪkiː
अम्मी	əmmiː
अरसा	əɾsɑː
अर्जित	əɾd͡ʒɪt̪
अर्थहीन	əɾt̪ʰɦiːn
अलगाववादी	əlɡɑːʋʋɑːd̪iː
अलीगढ़	əliːɡəɽʱ
अवध	əʋəd̪ʱ
अविवाहित	əʋɪʋɑːɦɪt̪
अश्व	əʃʋ
अस्थायी	əst̪ʰɑːjiː
अहंकार	eːɦeːŋkɑːɾ
आंगन	ɑːŋɡən
आई	ɑːiː
आक्रामक	ɑːkɾɑːmək
आत्मनिर्भरता	ɑːt̪mənɪɾbʱəɾt̪ɑː
आदान	ɑːd̪ɑːn
आपदा	ɑːpd̪ɑː
आपस	ɑːpəs
आम	ɑːm
आलस्य	ɑːləsj
आलोचना	ɑːloːt͡ʃnɑː
आसमानी	ɑːsmɑːniː
इंटरव्यू	ɪnʈəɾʋjuː
इंडिया	ɪnɖiːjɑː
इंडोनेशिया	ɪnɖoːneːʃiːjɑː
इकट्ठा	ɪkəʈʈʰɑː
इच्छा	ɪt͡ʃt͡ʃʰɑː
इजाज़त	ɪd͡ʒɑːzət̪
इत्यादि	ɪt̪jɑːd̪iː
इमारती	ɪmɑːɾət̪iː
इम्तिहान	ɪmt̪ɪɦɑːn
इरादा	ɪɾɑːd̪ɑː
ईंट	iːnʈ
ईमान	iːmɑːn
ईमेल	iːmeːl
उठना	ʊʈʰnɑː
उत्तराखंड	ʊt̪t̪əɾɑːkʰənɖ
उत्पन्न	ʊt̪pənn
उत्पल	ʊt̪pəl
उन्मुक्त	ʊnmʊkt̪
उपचार	ʊpt͡ʃɑːɾ
उपयोगी	ʊpjoːɡiː
उपवास	ʊpʋɑːs
उरुग्वे	ʊɾʊɡʋeː
