աբորտ	ɑ b o ɾ t
ագահ	ɑ ɡ ɑ h
ազատազրկել	ɑ z ɑ t ɑ z ə ɾ k ɛ l
ազատություն	ɑ z ɑ t u tʰ j u n
ազդու	ɑ z d u
ազնվական	ɑ z n ə v ɑ k ɑ n
ազոտ	ɑ z o t
աժդահա	ɑ ʒ d ɑ h ɑ
ախտորոշել	ɑ χ t ɔ ɾ ɔ ʃ ɛ l
ականատես	ɑ k ɑ n ɑ t ɛ s
ակնարկ	ɑ k n ɑ ɾ k
աղբ	ɑ χ p
աղբյուր	ɑ χ p j u ɾ
աղվես	ɑ ʁ v ɛ s
ամաչկոտ	ɑ m ɑ t͡ʃʰ k ɔ t
ամիրա	ɑ m i ɾ ɑ
այգաբաց	ɑ j ɡ ɑ b ɑ t͡sʰ
այդուհանդերձ	ɑ j d u h ɑ n d ɛ ɾ t sʰ
այդտեղ	ɑ j d t ɛ ʁ
այսուհանդերձ	ɑ j s u h ɑ n d ɛ ɾ t͡sʰ
անասուն	ɑ n ɑ s u n
անբարյացակամ	ɑ n b ɑ ɾ j ɑ t͡sʰ ɑ k ɑ m
անգամ	ɑ ŋ kʰ ɑ m
անգիր	ɑ ŋ ɡ i ɾ
անդունդ	ɑ n d u n d
անդրադառնալ	ɑ n d ɾ ɑ d ɑ r n ɑ l
աներձագ	ɑ n ɛ ɾ d͡z ɑ kʰ
անի	ɑ n i
անխնա	ɑ ŋ χ ə n ɑ
անկած	ɑ n k ɑ t͡s
անկասկած	ɑ ŋ k ɑ s k ɑ t͡s
անհնազանդ	ɑ n h ə n ɑ z ɑ n d
անհուն	ɑ n h u n
անձնական	ɑ n d͡z n ɑ k ɑ n
անմահություն	ɑ n m ɑ h u tʰ j u n
անմիջական	ɑ n m i t͡ʃʰ ɑ k ɑ n
անմնացորդ	ɑ n m ə n ɑ t͡sʰ ɔ ɾ tʰ
աննա	ɑ nː ɑ
աննման	ɑ nː ə m ɑ n
անվանել	ɑ n v ɑ n ɛ l
անտարբերություն	ɑ n t ɑ ɾ b ɛ ɾ u tʰ j u n
անօդաչու	ɑ n ɔ tʰ ɑ t͡ʃʰ u
աշխարհագրական	ɑ ʃ χ ɑ ɾ ɑ ɡ ɾ ɑ k ɑ n
աշխարհահռչակ	ɑ ʃ χ ɑ ɾ ɑ h ə r t͡ʃʰ ɑ k
ապա	ɑ p ɑ
ապակառուցողական	ɑ p ɑ k ɑ r u t͡sʰ ɔ ʁ ɑ k ɑ n
ապրիլ	ɑ p ɾ i l
ապօրինի	ɑ p ɔ ɾ i n i
առանձին	ɑ r ɑ n d͡z i n
առաջնային	ɑ r ɑ t͡ʃʰ n ɑ j i n
առաջնություն	ɑ r ɑ t͡ʃʰ n u tʰ j u n
առաքել	ɑ r ɑ kʰ ɛ l
առաքում	ɑ r ɑ kʰ u m
առկայություն	ɑ r k ɑ j u tʰ j u n
առն	ɑ r ə n
ասպետական	ɑ s p ɛ t ɑ k ɑ n
ասվի	ɑ s v i
ավազուտ	ɑ v ɑ z u t
ավետիս	ɑ v ɛ t i s
ավիաընկերություն	ɑ v j ɑ ə ŋ k ɛ ɾ u tʰ j u n
ատեստատ	ɑ t ɛ s t ɑ t
արաբիա	ɑ ɾ ɑ b j ɑ
արագություն	ɑ ɾ ɑ ɡ u t sʰ j u n
արամայիս	ɑ ɾ ɑ m ɑ j i s
արատավոր	ɑ ɾ ɑ t ɑ v ɔ ɾ
արգիշտի	ɑ ɾ ɡ i ʃ t i
արկադի	ɑ ɾ k ɑ d i
արմինե	ɑ ɾ m i n ɛ
արտահայտություն	ɑ ɾ t ɑ h ɑ j t u tʰ j u n
արքայական	ɑ ɾ kʰ ɑ j ɑ k ɑ n
բագրատ	b ɑ ɡ ɾ ɑ t
բազմամարդ	b ɑ z m ɑ m ɑ ɾ tʰ
բաժանվել	b ɑ ʒ ɑ n v ɛ l
բաղրամյան	b ɑ ʁ ɾ ɑ m j ɑ n
բայ	b ɑ j
բարեփոխում	b ɑ ɾ ɛ pʰ ɔ χ u m
բացատրություն	b ɑ t͡sʰ ɑ t ə ɾ u tʰ j u n
բեկել	b ɛ k ɛ l
բերդ	b ɛ ɾ tʰ
բժշկական	b ə ʒ ə ʃ k ɑ k ɑ n
բիբլոս	b i b l ɔ s
բլբուլ	b ə l b u l
բնավորություն	b ə n ɑ v ɔ ɾ u tʰ j u n
բորբոքում	b o ɾ b o kʰ u m
բուժում	b u ʒ u m
բուլղարիա	b u l ʁ ɑ ɾ j ɑ
բուք	b u kʰ
բռնել	b ə r n ɛ l
գաբրիել	ɡ ɑ pʰ ɾ i j ɛ l
գագիկ	ɡ ɑ ɡ i k
գազա	ɡ ɑ z ɑ
